search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Peso,Conectores de entrada,Tipos de filtros del parlante
330,Parlante Portátil Bluetooth Philips Bt7900a 14w,74.99,NA,3,69,6,12.498,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PROVIDENCIA+HOGAR,https://articulo.mercadolibre.cl/MLC-467348591-parlante-portatil-bluetooth-philips-bt7900a-14w-_JM,NA,NA,NA,NA,NA,#467348591,Philips,NA,NA,NA,NA,NA
331,Bang & Olufsen Parlante Portatil P2 Azul - Mobilehut,131.99,NA,1,15,6,21.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-475842919-bang-olufsen-parlante-portatil-p2-azul-mobilehut-_JM,NA,NA,NA,NA,NA,#475842919,mobileHUT,Parlante portatil P2 Azul,50 W,NA,NA,No aplica
332,Parlante Estéreo Inalámbrico Con Bluetooth Y Subwoofer,29.177,NA,0,58,12,2.431,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMPRATECHCL,https://articulo.mercadolibre.cl/MLC-464868652-parlante-estereo-inalambrico-con-bluetooth-y-subwoofer-_JM,NA,NA,NA,NA,NA,#464868652,AEC,NA,NA,NA,NA,NA
333,Parlantes Bluetooth Fiddler True Wireless Stereo 4 Pulgadas,19.99,29.99,17,84,6,3.332,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=FIfosH2MPr%2BPu7%2B%2Fl9NHB6PPOqMGlUV58%2FoGPFV22N5KsWPNnW0QDHqN%2B9T7W6yUipN855WT1t%2FkS9QTkNXizayICR3jKhT%2BFgY93VYrFGsZiIZX99wsdifacsSZp2bB0RjJ8iOWkG%2F3cf2ect2vKOevoE4WLIj6DN%2B2PU6HJTkKirhf%2Bq1Ld6%2Fo2ROu5eKO4jxBImZI0HzMjIiH%2FcRzqhR7c%2FtUO%2FCnvtdG8CZBeb18HCYldkhPPdaqja0kQFDwAMln4DKkv6uTzyul3%2BNElxdYzHr%2FcL3zKzDXMo7ymz7LOMnXj%2FBKXaek0E1Z1nJgbf%2B0%2Fd8gDBOfZ4fjNtxkD9U36Xorm0h0Eu8%2BFFCtZFxmCkvoFTbjBvZi%2BNYeuQ%2FBg%2BGxzbfC%2B9XuoYsGj%2FJ%2BaOXabrt0Gl5SWAlfO%2FIK%2F5EGHmX7tVwNrpA2%2BLgZKVrd6PrrCBscAwtUGpuRl2S7fFpJ9cYC7Kve1lRqKvrwpLWCIJnOvtfW42bf3nk65ZOSNBrXm6R9KfSwNbTJ8gfncrKV9TpK9YCsLm7HiUXpP%2FmMw6%2BQ3Ha%2F5NVsS4JBCfohWFKBogKcJr9zaeS8o6E64ipMUhxh%2BWAR1bSbpU07TVZy4vH5BTCt6XpYYTcn0%2BqFgClhYvMsWoVGUpLJjGMrvirgw6UuGZqvCxn%2FnQdrFu3lyfWEbQfESFToloCVMsNq9wUT0bhiKoBkRiumkq3yO79PvuuEp4b2CWfjUI%2FYReFKMYvmxfyMBGEm6wA3SHqJpKAMyfUTjKp79RYMlWyqrfr6mLT3VR6O8y7hFRs4D0A%2B0nDa5ZYSDvm79MEYJMOfLTakv8OntCLLMsxJootUG6nvdlFTLiRcBICdaPly6jpLTsK2mvvv3OjLx8JOuhJ1u%2F22VONVnARuG5Av%2F7SFnSi8ry6JKE66Nb20UP1geYa%2BufsHeREyDqvBKQQ1g3hd%2FeTg5gj9zGvzDDDU5KfKwYcs%2BkvY2pl6Jt5aRzC3Pn3RGp1xlvZFuM5YhT%2BP3uuLUxFj0HdM8Y4LGF3rd%2Fhbx8Or3KJF3KhK69ZTcihCbuj%2BV6AZkSpHGctomWUEiYQzZbrIjGr24Qg1hxysIrY0T2%2BBg0bSFAtj9xISksO%2Fj%2FcOB43CWqqT509JRwjSCFSA550wq2CUWQuEq8QLVQH4Q7ILbjr%2F21ezAn%2BlAFc3mRoFFIhtvOvqgwWJ5hFe5eQPnHveX1svgXwyYZ5Qvj2k3I%2BO9fU01fcl7r0ItvRMRw%2BbzQkSVgAofL8%2FIs77udTM75dbwkZyGOhmA%2BToHnjtSnOw44Venee%2FPcBYJRjkvzhmcaNbgjg5mdueb%2F4LwzTuUjNnzmNAuVF8lCv0GrgZzQ95Kwbv248T24kqI5sOyvbJvmvPgUE9EEk25QKhAA0rJIBik%2Fo5wdYJv56auExZ7p0JESQioauQc4hf5UBas3RYK94rZ920zjMa9fT5619Fa3iO0p34huemDWimoLctTLo7LVatk3QqU58bPuNg4myAnuwLVf2Mt6Xfc0ItqFQMtkJcxMsVYI%2BsOSOePsXGTnRn%2BRY3f0MfuSKIAYhSuEN%2BlJ%2FfksaHgI9hwG3MaGbc9oXJaVBmXBa31zse3A4%3D,1,0,0,0,0,#476372073,Fiddler,FD-PTWS24,NA,NA,Auxiliar,NA
334,Altavoz Parlante Bluetooth Philips Bt100 Rosado Proglobal,15.99,NA,6,NA,6,2.665,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-464259017-altavoz-parlante-bluetooth-philips-bt100-rosado-proglobal-_JM,NA,NA,NA,NA,NA,#464259017,Philips,NA,2 W,0.18 g,USB,NA
335,Parlante Samsung Level Box Slim Azul 8w 30horas Sumergible,49.99,NA,5,4,6,8.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CLMC7026CL,https://articulo.mercadolibre.cl/MLC-459772924-parlante-samsung-level-box-slim-azul-8w-30horas-sumergible-_JM,NA,NA,NA,NA,NA,#459772924,Samsung,NA,NA,NA,NA,NA
336,Parlante Bluetooth Con Carga Inalambrica - Tecnostrike,61.99,NA,2,NA,6,10.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-467909752-parlante-bluetooth-con-carga-inalambrica-tecnostrike-_JM,NA,NA,NA,NA,NA,#467909752,Baseus,Encok E50,7 W,NA,Auxiliar,NA
337,Par Parlantes Bookshelf Bluetooth Klipsch R51mp,399.99,NA,NA,10,6,66.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MUSICWORLDCHILE?brandId=183,https://articulo.mercadolibre.cl/MLC-493519223-par-parlantes-bookshelf-bluetooth-klipsch-r51mp-_JM,NA,NA,NA,NA,NA,#493519223,NA,NA,NA,NA,NA,NA
338,Parlante Karaoke 8 Tws/bt/2 Mic Wless/usb/sd/fm Fujitel,29.9,NA,2,18,6,4.983,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PARO1305168,https://articulo.mercadolibre.cl/MLC-491253222-parlante-karaoke-8-twsbt2-mic-wlessusbsdfm-fujitel-_JM,NA,NA,NA,NA,NA,#491253222,Fujitel,NA,NA,NA,NA,NA
339,"Parlante Jbl Flip 4 Original, Nuevos Y Garantizados",69.9,NA,4,9,6,11.650,NA,Envío gratis a todo el país,NA,NA,4.7,85,https://perfil.mercadolibre.cl/VENTAS.LIVERPOOL,https://articulo.mercadolibre.cl/MLC-461812241-parlante-jbl-flip-4-original-nuevos-y-garantizados-_JM,70,11,2,1,1,#461812241,JBL,Flip 4,16 W,NA,NA,Activo
340,Parlante Edifier R1700bt Bluetooth Brown (musicplay),138.9,NA,13,NA,6,23.150,NA,Envío gratis a todo el país,NA,NA,5,5,https://perfil.mercadolibre.cl/MUSICPLAY+SPA,https://articulo.mercadolibre.cl/MLC-466099966-parlante-edifier-r1700bt-bluetooth-brown-musicplay-_JM,5,0,0,0,0,#466099966,Edifier,R1700BT,66 W,6.6 kg,RCA,Activo
341,Parlante Bluetooth Street Voice2 + Micrófono / Mundo Electro,29.99,37.99,3,32,12,2.499,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MUNDOELECTROCL,https://articulo.mercadolibre.cl/MLC-471702187-parlante-bluetooth-street-voice2-microfono-mundo-electro-_JM,NA,NA,NA,NA,NA,#471702187,Microlab,Street Voice 2,200 W,NA,"Auxiliar, Entrada: Micrófono",NA
342,Parlante Bluetooth Marshall Stanmore 2 Blanco - Marshall,309.99,349.99,NA,4,6,51.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=466,https://articulo.mercadolibre.cl/MLC-487437643-parlante-bluetooth-marshall-stanmore-2-blanco-marshall-_JM,NA,NA,NA,NA,NA,#487437643,Marshall,Stanmore 2 Blanco,NA,NA,NA,NA
343,Parlante Portatil Flama Led 3d Bluetooth Subwoof Fuego,14.99,NA,4,96,12,1.249,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-462207306-parlante-portatil-flama-led-3d-bluetooth-subwoof-fuego-_JM,NA,NA,NA,NA,NA,#462207306,NA,NA,NA,NA,NA,NA
344,Jbl Xtreme Parlante Portátil Bluetooth Splashproof Altavoz,219.99,NA,1,899,6,36.665,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-464008636-jbl-xtreme-parlante-portatil-bluetooth-splashproof-altavoz-_JM,3,0,0,0,0,#464008636,JBL,Xtreme,40 W,2112 g,NA,Pasivo
345,Caja Activa Portable Bluetooth 12pulg. Proco (musicplay),175.9,NA,1,NA,6,29.317,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MUSICPLAY+SPA,https://articulo.mercadolibre.cl/MLC-458557546-caja-activa-portable-bluetooth-12pulg-proco-musicplay-_JM,NA,NA,NA,NA,NA,#458557546,PROCO,NA,NA,NA,NA,NA
346,Maxell Parlante Cassette Inalambrico Bluetooth 4.1bt-90,19.99,NA,NA,10,12,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MAXELL+CHILE?brandId=219,https://articulo.mercadolibre.cl/MLC-476564347-maxell-parlante-cassette-inalambrico-bluetooth-41bt-90-_JM,NA,NA,NA,NA,NA,#476564347,NA,NA,6 W,400 g,NA,NA
347,Parlantes Para Exterior Pyle Amplificados Bluetooth Negros,129.9,NA,1,8,6,21.650,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALOMEGALTDA,https://articulo.mercadolibre.cl/MLC-452325066-parlantes-para-exterior-pyle-amplificados-bluetooth-negros-_JM,NA,NA,NA,NA,NA,#452325066,NA,NA,NA,NA,NA,NA
348,Parlante Bluetooth Bazooka Portátil Usb Fm Radio Batería,9.99,NA,55,NA,6,1.665,NA,Envío a todo el país,NA,NA,4.8,4,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-442125235-parlante-bluetooth-bazooka-portatil-usb-fm-radio-bateria-_JM,3,1,0,0,0,#442125235,Prosound,NA,NA,NA,NA,NA
349,Micrófono Karaoke Parlante Inalámbrico Bluetooth Con Estuche,9.59,NA,13,9,12,799,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GAMETOTALIMPACT,https://articulo.mercadolibre.cl/MLC-471319571-microfono-karaoke-parlante-inalambrico-bluetooth-con-estuche-_JM,NA,NA,NA,NA,NA,#471319571,NA,NA,NA,NA,NA,NA
350,Parlante Bluetooth Outdoor Powerbass3 10w Ipx6 Njoytech,19.99,24.99,100,100,12,1.666,NA,Envío gratis a todo el país,NA,NA,4.6,7,https://perfil.mercadolibre.cl/NJOYTECH+CHILE,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=oVMdLUyau3mzqcwpQS4%2F6TGanf%2B%2F88r%2BOB661pYTLcV8hTEoLVZiMmFxdfP5nz%2FyTQsf3GY97GuyWOGpQ91HjlEn0XUWkNUL0hTZaIFd%2BhdGrvwJmhZ49nkC2JLQK0r7ZL6CkJyYBfP8X1ORYaYZHSpHSchkxvzLLDgsCgR5KxUmgCulaAegFf2SK8%2BvztYTGc39tEmDRn27rRb8drh5fRsT5nb%2Bevoejqso%2FVU44gteXmIKRUcqhkyGYLtQSdLZqaVpxsJhyNzYRw8OS0Nqf1MXxNXJ6IYj4TaIF9pTOgFMeuqNcOiRq4u3UVTv%2Fg3x5bg0Hi0qeAat0pG8zMbrpxFRRCwUfz1%2BLbIWWmeTELeo2LIv0MdCTaMRFgcQGqLFnB2aiECpNrX6wBWrFXBpm2kX9EGdTvdFNMHQEk5Ov8L%2Feq%2B6BSaS802uxdD7JDocg3KCuMAaxeKA6kbPlFCz1wyI4pvfSphFjqoW2ztQkJu0joFgDJPUG%2BefQQ8tQCEZTdw2rrdKKa5ilJtxe2GPuhLKuGgj9lqNEgPYAmVl%2BeiZpQccIPUROyS2Gc2MtRUPvQlgmIzPvEpRJaaGR8m7Ju0LDGcSx3Y1yXHBgzb%2BSIaYvMfKOhxL4BpTs1MIv7omlc7nuV6n8sWKWZIJr53aWcixNX18xn89G1LFXVVDjQPlPXobHacF%2BUCja9q4djmSx1BNiTSzME9Du7iDlGUWrfdw9YgZO%2FO4c6NNuv8Ssa3NyEeeSrILS7ogDcgHClJEo4tJxKSg9PHr8dcYcmaxNbZ70ayh13SGXr5gajkcrtpAL5zXSKz8BKs4N5PYzFD%2BTOhaxHRnSqf7QgH6%2F6mkfuqlGQhbTOt0%2BIUBEqIznJDfPp72HJ2aYOHPCtf6GzZrJQBjtedQaUgdDKdSfHRubpR6ac0O1Dk8ArieNWnn56zFHPn7UPrYxkWn4cKrFyD3E9mKDAz%2FzXDQkDyzXL%2FtLzdpv4XUXKLwuo3ZAFTtmtY7LBispY9ZyLsZMwHzWYLGjL9f5M08Gp7klEMfHC5Hj3dVGxKN3qzyAvRtBNtCREgYCTe85zHtKX67m8JjGTpeR59qHjLGSerwxAaTnnTpxbtAFTl9Iv8JrUowKLFMycV2f65tQNzcI%2BCqxpRy58P%2F6KyPKW5VLMssoDZK3tkCpRv7xzE7ko3sikuWt0iN%2FLX8ssxt%2F%2BzPt%2FrSgZRp%2Fzb2840x%2FEnYl5vGuD46DonSBr%2FCJR%2B4SHI26lQw6eq1KyLe5mqnvhd%2B0PS5YiPdD5C%2FUep5YFeL1MZV5A3UaObzab3YsZAf7LV2PLN53BpoL0zIccB64uxqHCnX%2FSEt2ajfVXy3airXFjYmHqcRoJCmjOdZ15SpeyfeufAliIRMxZHWVAn00tUU5WT9ynu35maJ1NoomNKOvi7VxNEtjLlvXIUUY9UMNQnEUE21uRD3eI1aP72PX82h6aU0eqW0ywShI%2BORqk0JY2wUBPQNmN563Q76FJ34%2Flx3J415fYfgUz4DG9NGPEIL%2BtxvAteK1x8O27Kr%2ByGQYyvJZy8WboGluycNlu4WWk15pFv%2BuAszgHzUkXFobbL%2FS9eQiwOSSdcbv0EAxk1UmuXIKA%3D%3D,5,1,1,0,0,#464586508,NA,NA,NA,287 g,NA,NA
351,Ampolleta Led Con Parlante Bluetooth Inteligente Musica,14.79,NA,20,80,6,2.465,NA,Envío a todo el país,NA,NA,4,1,https://perfil.mercadolibre.cl/CHILE_DISTRIBUTOR,https://articulo.mercadolibre.cl/MLC-463972952-ampolleta-led-con-parlante-bluetooth-inteligente-musica-_JM,0,1,0,0,0,#463972952,NA,NA,NA,NA,NA,NA
352,Parlante Karaoke Bluetooth Master G Spbt5w // Angelstock,56.99,NA,2,8,12,4.749,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ANGEL+STOCK,https://articulo.mercadolibre.cl/MLC-478151241-parlante-karaoke-bluetooth-master-g-spbt5w-angelstock-_JM,NA,NA,NA,NA,NA,#478151241,NA,NA,NA,NA,NA,NA
353,Parlante Bluetooth Charge Mini Ii Excelente Sonido Nuevo,15.99,NA,3,37,12,1.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/KIOSKOFAST.COM,https://articulo.mercadolibre.cl/MLC-482544090-parlante-bluetooth-charge-mini-ii-excelente-sonido-nuevo-_JM,NA,NA,NA,NA,NA,#482544090,JBL,NA,NA,NA,NA,NA
354,Parlante Ducha Parlantes Bluetooth Parlante Resistente Agua,4.99,NA,0,99999,12,416,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/QATAR+SHOP,https://articulo.mercadolibre.cl/MLC-488451554-parlante-ducha-parlantes-bluetooth-parlante-resistente-agua-_JM,NA,NA,NA,NA,NA,#488451554,NA,NA,NA,NA,NA,NA
355,Parlante Alternativo Jbl Con Bluetooth,14.99,NA,3,97,12,1.249,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/IMPERIOGAMERS+PE%C3%91AFLOR,https://articulo.mercadolibre.cl/MLC-475646758-parlante-alternativo-jbl-con-bluetooth-_JM,NA,NA,NA,NA,NA,#475646758,JBL,NA,NA,NA,NA,NA
356,Parlante (altavoz) Jbl Clip 2 Bluetooth,35.99,NA,2,NA,6,5.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBGAMERS,https://articulo.mercadolibre.cl/MLC-483778117-parlante-altavoz-jbl-clip-2-bluetooth-_JM,NA,NA,NA,NA,NA,#483778117,JBL,Clip 2,3 W,NA,NA,Activo
357,Parlante F Mini Speaker Bluetooth Colores - Impowick,14.99,NA,1,NA,6,2.498,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/IMPOWICK.SHOP,https://articulo.mercadolibre.cl/MLC-446785721-parlante-f-mini-speaker-bluetooth-colores-impowick-_JM,NA,NA,NA,NA,NA,#446785721,Marca Generica,Color,NA,NA,NA,NA
358,Parlante Xiaomi Mi Pocket 2 Speaker Negro - Gsmpro,20.99,NA,2,5,6,3.498,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GSMPROLIMITADA,https://articulo.mercadolibre.cl/MLC-467157336-parlante-xiaomi-mi-pocket-2-speaker-negro-gsmpro-_JM,NA,NA,NA,NA,NA,#467157336,Xiaomi,NA,NA,NA,NA,NA
359,Parlante Karaoke Bluetooth Master-g 24000w Proglobal,149.99,NA,8,NA,6,24.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-456355249-parlante-karaoke-bluetooth-master-g-24000w-proglobal-_JM,NA,NA,NA,NA,NA,#456355249,Master-G,ULTRAPROII,NA,28 kg,NA,NA
360,Receptor Bluetooth Auto Parlantes Audífonos Universal,3.49,NA,38,38,6,582,NA,Envío a todo el país,NA,NA,4.3,4,https://perfil.mercadolibre.cl/TECNO-CITY.STGO,https://articulo.mercadolibre.cl/MLC-458461672-receptor-bluetooth-auto-parlantes-audifonos-universal-_JM,2,1,1,0,0,#458461672,NA,NA,NA,NA,NA,NA
361,Parlante Portátil Bluetooth Philips Bt3900a 4w,50,NA,7,96,6,8.333,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PROVIDENCIA+HOGAR,https://articulo.mercadolibre.cl/MLC-467345426-parlante-portatil-bluetooth-philips-bt3900a-4w-_JM,NA,NA,NA,NA,NA,#467345426,Philips,NA,NA,NA,NA,NA
362,Oferta Parlante Aiwa Vintage Awv-22bt,19.9,NA,2,8,12,1.658,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PARO1305168,https://articulo.mercadolibre.cl/MLC-483694707-oferta-parlante-aiwa-vintage-awv-22bt-_JM,NA,NA,NA,NA,NA,#483694707,Aiwa,NA,NA,NA,NA,NA
363,Parlante Altavoz Bt Logitech X50 Amarillo Gris Proglobal,7.99,NA,4,53,6,1.332,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-474674879-parlante-altavoz-bt-logitech-x50-amarillo-gris-proglobal-_JM,NA,NA,NA,NA,NA,#474674879,Logitech,X50,3 W,0.14 kg,NA,Activo
364,Marshall Parlante Portátil Bluetooth Kilburn Negro,269.99,299.99,NA,2,6,44.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=466,https://articulo.mercadolibre.cl/MLC-492581717-marshall-parlante-portatil-bluetooth-kilburn-negro-_JM,NA,NA,NA,NA,NA,#492581717,Marshall,Kilburn Negro,NA,NA,NA,NA
365,Parlante Bluetooth Baseus Outdoor E03 Portable - Tecnostrike,20.99,25.99,4,2,6,3.498,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-443306971-parlante-bluetooth-baseus-outdoor-e03-portable-tecnostrike-_JM,NA,NA,NA,NA,NA,#443306971,Baseus,E03,NA,NA,NA,NA
366,Promo Navidad Parlante Bluetooth + Linterna + Cargador Porta,24.99,NA,1,4,6,4.165,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MMSMIKE1,https://articulo.mercadolibre.cl/MLC-452473593-promo-navidad-parlante-bluetooth-linterna-cargador-porta-_JM,NA,NA,NA,NA,NA,#452473593,NA,NA,NA,NA,Auxiliar,NA
367,Parlante Bluetooth Inalambrico Impermeable Ducha Agua,3.99,NA,0,100,6,665,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PANTOJAJUANPEDRO,https://articulo.mercadolibre.cl/MLC-463926690-parlante-bluetooth-inalambrico-impermeable-ducha-agua-_JM,NA,NA,NA,NA,NA,#463926690,NA,NA,NA,NA,NA,NA
368,Parlante Bowmann Karaoke Bluetooth + Micrófono / Zofree,19.99,NA,2,5,6,3.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ZOFREE.TIENDA,https://articulo.mercadolibre.cl/MLC-491529319-parlante-bowmann-karaoke-bluetooth-microfono-zofree-_JM,NA,NA,NA,NA,NA,#491529319,GENERICOS,Parlante Bowmann Karaoke Bluetooth + Micrófono / Zofree,NA,NA,USB,NA
369,Jbl Flip 4 Blanco Parlante Portátil Bluetooth Inalámbrico,59.99,79.99,5,3,6,9.998,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-471126104-jbl-flip-4-blanco-parlante-portatil-bluetooth-inalambrico-_JM,1,0,0,0,0,#471126104,JBL,Flip 4,16 W,515 g,NA,No aplica
370,Parlante Soundbar Barra Audio 55w Bluetooth Rca Sb-2000bt,49.8,NA,7,2,6,8.300,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIGUELLAGARDERA,https://articulo.mercadolibre.cl/MLC-484698393-parlante-soundbar-barra-audio-55w-bluetooth-rca-sb-2000bt-_JM,NA,NA,NA,NA,NA,#484698393,NA,NA,NA,NA,NA,NA
371,Parlante Lampara Led Bluetooth Mp3 Usb - Envio Gratis,19.99,NA,3,2,12,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MARE8077404,https://articulo.mercadolibre.cl/MLC-460990782-parlante-lampara-led-bluetooth-mp3-usb-envio-gratis-_JM,NA,NA,NA,NA,NA,#460990782,NA,NA,NA,NA,NA,NA
372,Parlante Portatil Bluetooth Aiwa Xblack,13.5,NA,3,47,12,1.125,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PARO1305168,https://articulo.mercadolibre.cl/MLC-473358140-parlante-portatil-bluetooth-aiwa-xblack-_JM,NA,NA,NA,NA,NA,#473358140,Aiwa,NA,NA,NA,NA,NA
373,Parlante Bluetooth Portatil Baño Ducha Impermeable Fujitel,7.49,NA,0,50,6,1.248,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOPICADA,https://articulo.mercadolibre.cl/MLC-485453669-parlante-bluetooth-portatil-bano-ducha-impermeable-fujitel-_JM,NA,NA,NA,NA,NA,#485453669,NA,NA,NA,NA,NA,NA
374,Parlante Bluetooth Karaoke Microfono Philco 757bk / Fernapet,14.99,NA,28,10,6,2.498,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FERNAPET,https://articulo.mercadolibre.cl/MLC-435055838-parlante-bluetooth-karaoke-microfono-philco-757bk-fernapet-_JM,NA,NA,NA,NA,NA,#435055838,Philco,NA,NA,1.25 kg,USB,NA
375,Pack 2 Parlantes Bluetooth Tronsmart Element Force 40w,116.99,NA,1,99,6,19.498,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CASTLETECEIRL,https://articulo.mercadolibre.cl/MLC-487762714-pack-2-parlantes-bluetooth-tronsmart-element-force-40w-_JM,NA,NA,NA,NA,NA,#487762714,Tronsmart,Element Force+,40 W,NA,NA,NA
376,Parlante Bluetooth Aiwa Pbt-80 Sd Recargable 21252 Fernapet,26.99,NA,7,20,6,4.498,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FERNAPET,https://articulo.mercadolibre.cl/MLC-446155608-parlante-bluetooth-aiwa-pbt-80-sd-recargable-21252-fernapet-_JM,NA,NA,NA,NA,NA,#446155608,Aiwa,NA,NA,1.6 kg,Auxiliar,NA
377,Parlante Bluetooth 4.1 Elon - K / Multielectro,14.99,NA,0,5,6,2.498,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+MULTIELECTRO,https://articulo.mercadolibre.cl/MLC-466759857-parlante-bluetooth-41-elon-k-multielectro-_JM,NA,NA,NA,NA,NA,#466759857,NA,NA,NA,NA,NA,NA
378,Parlante Bluetooh Nude Audio Move S Negro,10,NA,2,3,6,1.667,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CLMC7026CL,https://articulo.mercadolibre.cl/MLC-458490600-parlante-bluetooh-nude-audio-move-s-negro-_JM,NA,NA,NA,NA,NA,#458490600,NA,NA,NA,100 g,NA,NA
379,Parlante Bt Sumergible Ue Wonderboom Negro Gris Proglobal,39.99,NA,4,3,6,6.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-475044670-parlante-bt-sumergible-ue-wonderboom-negro-gris-proglobal-_JM,NA,NA,NA,NA,NA,#475044670,Logitech,NA,NA,0.425 kg,USB,NA
380,Bola Led De Luces Fiesta Disco Parlante Giratoria Bluetooth,11.99,NA,18,3,12,999,NA,Envío a todo el país,NA,NA,4.5,2,https://perfil.mercadolibre.cl/GEOVENTASCHILE,https://articulo.mercadolibre.cl/MLC-467926760-bola-led-de-luces-fiesta-disco-parlante-giratoria-bluetooth-_JM,1,1,0,0,0,#467926760,NA,NA,NA,NA,NA,NA
381,Parlante Bluetooth Inalámbrico Bulldog 10w / Ekipofertas,14.99,NA,2,NA,6,2.498,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/EKIPOFERTAS,https://articulo.mercadolibre.cl/MLC-470910412-parlante-bluetooth-inalambrico-bulldog-10w-ekipofertas-_JM,NA,NA,NA,NA,NA,#470910412,NA,NA,NA,NA,NA,NA
