search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Voltagem,Potência de saída (RMS),Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Sensibilidade de entrada,Resposta máxima em frequência,Resposta mínima em frequência,Conectores de entrada,Peso,Largura,Altura,Profundidade,Cor
638, Kit 3 Caixa Som Torre Amplificada Bluetooth 500w - Usb Fm ,94,99,"
			
				Novo
			
			
				
					 - 
				
				24
				vendidos
			
		",(975 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 791
		
		 sem juros
		
	

	
		",91,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/FP+VAREJOEATACADO,https://produto.mercadolivre.com.br/MLB-1245749014-kit-3-caixa-som-torre-amplificada-bluetooth-500w-usb-fm-_JM,NA,NA,NA,NA,NA,#1245749014,Goldenultra,NA,Torre,NA,NA,10 W,NA,Ativo/Passivo,NA,Caixa,5.1,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA
639, Caixa De Som Bluetooth Jbl Tune Prata Rádio Fm Micro Sd ,49,NA,"
			
				Novo
			
			
		",(50 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 925
		
		 sem juros
		
	

	
		",25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LOJADOCHICO,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=UUl0frOqRODoadZf4tTlbeVTTFan3vgrZoG01EjEaVjdf5%2FM9NzVImVtiQFN27Jhq%2Ff%2Fq1%2FwWfNk%2FujMy5Q6WHFgZIjpw%2F4DodM1OS0JgbawbM6dxP368JGFKvcjt26AKaxxz0UNRjrTb%2BLae6iFWoPDPlrQaU3pHOzN953BacDj0bTF%2Bd9MbZ%2FWAy0vVIsRz%2FYwkQTEhxs9OjesuqgvZaGzJunQy51atGEt1VtkrsU5J0ipCItLJdixj5tZWRm%2B1AiCDnxJej7GARhOyDU0xxRVKjAlCHtVtmy0kIvZhczGm%2FATzUgZjNGdr9aQIcin93qmZW1kZW0lR7J%2BINRnimxrFla%2B46%2FZGlXlBkj4K9N9SoOaveY9aqUTZbKEbQscr7mU7zpmQhL%2B0BrV7Q0Mi1adrauFNATcqEhzGZSVWA8qm3aY3YBEaK3Kc9TG6AlnHq46rfExFkI4%2B4WTONh4tBmuVLBlG%2FYc9yywJszVqaMz2gyOxL2pRQihvvWP8%2Bp6qavk7SLxnVIeq6wXxVXUG%2Bzthhw10LwG7jRH8VIcg5wKsJtXRAxe9L36W2Q%2BdkTK4o793qnLSsvygPXp4%2Bdb%2BTYWeZPijFAxswkXwGuevEz7uJMMfmONUarFxyvZlQyn0Lhtl3YitoJMoz96U7V%2BL%2BHLMTHOHIhUfmVJ%2B62qSJ3wNsHdTbOf%2FayrykwAyxPFyok8M9ZexZ7fjhnjHykwRknZ3ArOa7UTFk0oxnA6OK5F9QtUt1LBw%2F6u0Ej7CuNmBS%2BiEBShvHfTNxdSR0DTme9k7o45bh2uITNlrh%2FH1dQPKmsOvr%2F%2Bvs2DxK7FX0tVvs8McGy%2F7eXOzyFjbp0oOiGmWSqfgQvB%2F7jhyxF%2Bn3cmrQIIe0Z8LTCPxMS%2FG%2BN99ipgffmd8J3kZNk6S7H4YQUnisJr5qZ1hlwBXD6Ep2tzSwa%2FslKUOl48Hqvsc9M%2Fcrb83pjCcwSVYojrz8fTHgAKE6RlpEZBOGr9HkeLNAK%2BilTWDLFOa5kPbdrTBFQBlBgzodvt6uEzmjGW4F%2BQ2JcBcPc1ElIp71%2Fn71WJzvOJxDewNYf4Z8AIH6rP6AjXtynAPmnAZuzpsn2LyedjyN2GEIPefb0KAi4Bb0zkXqE2RTRdhHsllRlX40kv9nCjiVYZW2DolLn4wMBrPUQ3pFfwXKcfkFhzwSE75doWSqz866aPdewIr0TbHclOtI8TL4haqvEgV%2FJiaxqQzrRnyHEMnQ10XETHSc4hqAdK9l3HXDounZ27gO62eQw8oHiTrQ5%2F8esghiakpGKgfX%2Fe36kAMSXW7MC8dvWUeKNB0yAJvp7%2F97qES%2FW6h0yOz9my5UXSDrMVatoImtBGf9Q4sk49AK9B3u2eiPpC3%2FmrpTqHNxHAgjR4TZwvtJR5CjT3fYr3UV28di21SyJxJpdfTpg4NSZHXPA0Fn94J5AVAi9kSVrbhEXvYQ%2BkbvHIj3pr%2B72r33p2uBKZ5hi1ftvc93qJqCaLv%2BTuFBfYp%2BuZ6cvsFUZdzwH3mbbO6i%2FBGiZd761WVp2zXMs%2F4selQFT1u4rs0hBnuC%2B81uYakeG5FSi0BJ6g9Qw%2BpQYOdd9sdb2TsAljH8u5imvJ4qlWZMCA3DUzy8accMjXKyQIGzMYt7CifoEqE62D9SYQPEatDGL5%2FQenQ3sZTSfvuEJr7hWSG4OIgecQZ7ZMuVdB1CC1kWjHvnL0LK8BxTyNeYlESxPRO15WprW6PiaIoywG%2FbQC0jTO3SY801BOQiTVL3QwtjFmPwc9VIJ5Erxe4bXDj8v2TnxSqO95t%2BB%2FOMhcXYWomMP1M%2Bd%2B0EW2EV4l9dWryZJ3%2BaS2FSaf8NFpR1hYtb8WKKx0litr04J1BK2PmFKGAX8BtWf13t8%2F2HkJGK7ZmlMfgyA9PZDh6mEnQg%3D%3D,NA,NA,NA,NA,NA,#1273944780,grazep,NA,1014,NA,NA,8 W,Tweeter,fixo,universal,Caixa,2.1,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA
640, Caixa De Som Bose Soundlink Color Ii 2 Original Vermelha ,299,NA,"
			
				Novo
			
			
				
					 - 
				
				10
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2499
		
		 sem juros
		
	

	
		",99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/KINGSOM+UTILIDADES,https://produto.mercadolivre.com.br/MLB-1219250176-caixa-de-som-bluetooth-jbl-tune-prata-radio-fm-micro-sd-_JM,NA,NA,NA,NA,NA,#1219250176,JBL,NA,Tune,NA,NA,5 W,Portátil,Passivo,Portátil,Caixa,NA,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,NA
641, Caixa De Som 1014 Portátil Mp Entrada Usb Pen Drive Rádio ,629,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5242
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,61,https://perfil.mercadolivre.com.br/MUNDOVARIEDADESBH,https://produto.mercadolivre.com.br/MLB-1207137185-caixa-de-som-bose-soundlink-color-ii-2-original-vermelha-_JM,55,4,2,0,0,#1207137185,Bose,SoundLink,Sound Link Color II,NA,NA,NA,NA,Ativo,NA,NA,NA,NA,80 dB,NA,NA,Auxiliar,NA,NA,NA,NA,NA
642, Caixinha Som Portatil Q3 H-maston Bluetooth Mp3 Pen Drive Fm ,46,NA,"
			
				Novo
			
			
				
					 - 
				
				117
				vendidos
			
		",(40 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 770
		
		 sem juros
		
	

	
		",70,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,6,https://perfil.mercadolivre.com.br/MAGAZINEHELENA,https://produto.mercadolivre.com.br/MLB-932944457-caixinha-som-portatil-q3-h-maston-bluetooth-mp3-pen-drive-fm-_JM,5,0,0,1,0,#932944457,Yes,Primeira,HF-Q3,NA,DC5V,5 W,NA,NA,NA,NA,NA,NA,NA,20 kHz,150 Hz,USB,NA,NA,NA,NA,NA
643, Caixa De Som Bluetooth Fortress - 2000w Amplificada Potente ,699,NA,"
			
				Novo
			
			
				
					 - 
				
				48
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5833
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-919453635-caixa-de-som-bluetooth-fortress-2000w-amplificada-potente-_JM,NA,NA,NA,NA,NA,#919453635,Sumay,NA,Caixa de som Bluetooth,NA,NA,200 W,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,USB,7 kg,NA,NA,NA,NA
644, Caixa Som Bluetooth Pendrive Radio Potente Usb Atacado - 6un ,113,NA,"
			
				Novo
			
			
				
					 - 
				
				535
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1080
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,34,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-898590477-caixa-som-bluetooth-pendrive-radio-potente-usb-atacado-6un-_JM,23,9,0,1,1,#898590477,Altomex,Portáteis,WS-887,WS887,110V/220V (Bivolt),5 W,Woofer,Ativo/Passivo,Mesa,Caixa,2.1,1,NA,16000 Hz,280 Hz,USB,250 g,6.5 cm,7 cm,6.5 cm,Sortida
645, Caixa De Som Bose Sound Link Colors 2 ,24,NA,"
			
				Novo
			
			
		",(2 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 675
		
		 sem juros
		
	

	
		",75,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LOJA_RADOME,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=vExcueD0Xvuq48KQzNSYtiJaUV5HHnWRtyEe1YrlQXybbAj%2FzDAbt3eFy1brUeBt%2FhO1Q59EDXr50mUuhgw%2F0e0wF5P2Z7Sz7ukqu0USKOWRkvM3Rx6cooAnX2K39TpeE0wMG8jIczXX7Fx%2FCIWA5q2UZsGUJ3dKXAmPf8uIYWqQ5YeC68Uam2P%2BBw7y2jyWZS6F5fo5qwbgdrdUEDxggpeiH7j39e3XT8UiTLk0SOA7okk17D3FGykJ9wE%2FIiJeyyH3fJwSH3rmRaUsgvYTjzPlaOgIwRWSXrko0jUXOy%2B%2Bi7e%2FFh3pX5lZApGTcaNwKdUsOZGURT4AWiZpp7ShSJmIsMHG6AcXgOjBeHPD3q0h%2B1OUU%2FbrW2xnzJwccN%2FA05CmRF1wLYZqev2FX5zSpoP1kgIzYgPXJJL%2Fdns3cOzUopWEkQ5rAFGJSVc4mstCkB85%2F30oS1%2BT%2B1f3HR6mIxHaHYAk3ZCyFjHnE1M9G51bOdw9BO7YuLAvRKLgqSB72bvd6pjCu5v%2B9EoJ1c4jhVzPWpHUzRWiqKJDdcF9zqnAJC6gG%2BYo%2BL4YihbRUTsVGu72KmJCLU1sOvxWfi9bPPSl57%2FHpaS7cLm1zBjR6zAeyfM4s8qI78w51VprLwYf1lFjZDHBfHw%2BuAiv659Ci3b4CN851WqoinCv%2Fro%2FGE4mARTR9w1WDodFiB9ujjx%2F1PjHL%2BeKk%2FS2PAegq%2B7%2FKtedWjlPziCRiTpiRhsjpHMQc5OJisqxKFnVEZbcsEehOanIQ5mckAzwjTL8c7xGOlJZkAyqL0q4feeFkaC5dXjkSW8R0FGJf6Yfb4minb%2F1wnWEUqP0f9PC2bscVuqjBvdCdQGPviFeqGY%2Brm39dw1b3Hi%2BeFdi4aZ5YIJ%2F8U6IsxWtNiBaPjJVeUFmi4r1oRa56cmQWRlLottWSB%2BIsCefstsEanGr5gtnCSvMcLwOi9wsfAc0qNotWzWdBBeWMEizlNkLF6Lp3WxR8bPRiRo%2F7yXTDsfB1gMpNRMjbghf6tZ0%2BIfcX8Fg672zmENwJ2CnQ4PsuhVn9a%2FhJr96UqF6pp1cHkQcxhWJXh8X8H%2FD6u5fbLHcfAPGiDQDs4pmbOUzyHc1tdPDvpIdiUYe%2BUZJ2KGg4Enug1UnKh%2B66aWQ%2BeDczzzNVz20JjHIYaXLHehlLWeySX9vqb5xWrj93eCDE1tR6O9Lfu9M33JRp84Wjqnomd%2BEck%2Fn9LxWpKWOicKIw2dx%2FSz4M%2FtPy4OheqBFey3HywBdyYg8UHHEfKptOR4HXWQIkyS7mRcev1XuLwcuCI%2FnUjwL8CX3vBQnyelsLT1%2F%2FNHXf6X53Kc565oVv2v0E%2FkhKfvJXhlFS6cRLboJ36mrQW87OLtugLML%2FKnzD739bxngmCUP3B0zy9NSeE1iE5x1uqe3Dzc3VFmL0d4ldaCsnyDtNbaK3NdcIOPrHYtnUlBRD96wlXqQtBdrKxfYC242xxEY90o9XgaLJ2JSqUjuYS9vwgUEuC4fhi8eRJNWP%2F8cAYTe3c8FQIIPmiOGapEcZlhaHKTnRzum9FuBcBGjvdoDyt%2BKwo3eFihmZSBqAoNI6Y6NijeGZo1g3lwok%2FSNaffA05Ql66iB1Gy4MTlnt0VaRgZSpPBga4%2BSNMJC9eknYJfGBvkfx95vCWvrZVwHGSd%2BfTol9u3I7zW2S7NXkRin%2FKhbpt1X%2FRd9OZsq6n17bpIn4ECDmJHofhhDhFXQ4UI0bOoG2VJt%2BnNf6mxeIhKghDcuFFCDy4sFzHZMW89Rf0WSEjVGS9%2FMrTJPrOtCcesZ0bqyy5MO%2FWicWOgM5N90NT9Ht04MocjHYgo3E4jd9Q%2F2smqd2UjuDhsjePtfcfujgE%2FhzDIWhRUahKn3Fy73dn8QocR%2Bh%2FNBHzjkKIkgEQ%3D%3D,NA,NA,NA,NA,NA,#1228822473,NA,NA,BTS-06,NA,NA,3 W,NA,NA,NA,NA,NA,1,80 dB,NA,NA,NA,NA,NA,NA,NA,NA
646, Caixa De Som Portátil Bluetooth Jbl Party Box 300 - Usb 120w ,595,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(18 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5687
		
		 sem juros
		
	

	
		",87,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,61,https://perfil.mercadolivre.com.br/SM2-DISTRIBUIDORA,https://produto.mercadolivre.com.br/MLB-1257284609-caixa-de-som-bose-sound-link-colors-2-_JM,55,4,2,0,0,#1257284609,Bose,SoundLink,Soundlink Color 2,NA,NA,NA,NA,Ativo,NA,NA,NA,NA,80 dB,NA,NA,Auxiliar,1.2 lb,NA,NA,NA,NA
647, Mini Caixa Som Bluetooth Portátil Prova D'água Ventosa ,2359,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 19658
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,32,https://perfil.mercadolivre.com.br/VIRTUALPRAX,https://produto.mercadolivre.com.br/MLB-1269846794-caixa-de-som-portatil-bluetooth-jbl-party-box-300-usb-120w-_JM,27,4,0,0,1,#1269846794,JBL,NA,PartyBox 300,NA,NA,120 W,NA,Ativo,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
648, Caixa De Som Bluetooth Jbl Wind Original Nota Para Moto Bike ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				45
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1719
		
		 sem juros
		
	

	
		",19,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,869,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-1050632594-caixa-de-som-bluetooth-jbl-wind-original-nota-para-moto-bike-_JM,701,117,34,6,10,#1050632594,JBL,NA,Wind,NA,NA,3 W,Ativo,Caixa,Indefinido,Caixa,NA,NA,80 dB,20000 Hz,20 Hz,NA,185 g,NA,NA,NA,NA
649, Caixa De Som 6 Em 1 Amplificada Com Bluetooth Usb Mp3 Sd Mic ,214,226,"
			
				Novo
			
			
				
					 - 
				
				1095
				vendidos
			
		",(67 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1791
		
		 sem juros
		
	

	
		",91,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,627,https://perfil.mercadolivre.com.br/STCSMART,https://produto.mercadolivre.com.br/MLB-926239115-caixa-de-som-6-em-1-amplificada-com-bluetooth-usb-mp3-sd-mic-_JM,444,119,37,15,11,#926239115,Deko,AMPLIFICADA,SY-658,SY-658,NA,15 W,Woofer,Woofer,"Sala,quarto,suite,cozinha,festa,balada,escritorio,carro,quintal,sacada,terraço,salão,portatil",Caixa,Digital,NA,NA,NA,NA,Entrada para Microfone,NA,NA,NA,NA,NA
650, Jbl Xtreme Speaker Portátil Bluetooth Prova Agua Original ,974,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 9318
		
		 sem juros
		
	

	
		",18,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1831,https://perfil.mercadolivre.com.br/NEWCARCUSTOMS,https://produto.mercadolivre.com.br/MLB-1071670114-jbl-xtreme-speaker-portatil-bluetooth-prova-agua-original-_JM,1186,311,170,67,96,#1071670114,JBL,NA,Xtreme,NA,NA,40 W,NA,Passivo,NA,NA,NA,1,80 dB,20 kHz,70 Hz,USB,3.5 kg,NA,NA,NA,NA
651, Caixa Som Ambiente Jbl C621 Par Selenium C621p 100w Kadu Som ,24,NA,"
			
				Novo
			
			
		",(500 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 662
		
		 sem juros
		
	

	
		",62,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CALLOU_VENDAS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=2YAJVtpn1JRS%2BOIIAzraXdFhHi9Vui3GHW2Qhmza9%2BDfn6Cvv8f2S%2FjRaW6ySY0ekmuF2SHUWYxZnQrfMvnqDRm%2B6qYnqVtY0%2BSSJOK%2F0QcZIXOD1yvuQL%2BWw2Ll9ItjyQ7LTtG%2FfT2YKj%2FFWDqBRjF837gombbBkk54HVe5ZDeiKMc2t1okjXOJffA6f6%2BZxt8RO3%2F3zs8uZk9lJbtuS1%2FXuQfd2KA0DhGt1twnn1CH9uPj6BJ%2BhIGWOw4rVDxIjhWKQshATdTUytnneEAkJ%2B8CZkxNz5fIDe9qPW9LuemKQnxBN5fK5eEjCThnXVQ4S%2Bhqs24%2BvYXCDekbUHuNCf4sJwFDPURD9JKFc%2BLebgdO%2B0WOBA%2F36eBYc1arP4aZSRIwPelXH7ZX1dGmWWZkg0DzuKVCmfjjX6mUCdPEWdcz8uSM3GL1%2F7esf8yaRy%2B%2Fr4S3mrTYrvQy1UsQp8oRZmxhW2y8x8S8KuaEwKxO9NTyG%2BltKBRWwCT5BoM%2FvpVIFahrTO74J2R8TNyTffwg%2Bc34md0jFrJCaociJch1OjZlbGrNIOLAhjvC9d24xJYxX3FezOKgEboz7eUrApNQ7n2p3P4pKW%2BkKvDBMCRo3ntqjF6BGOSxrNTDoE2RDfpW3t%2FMxyUomstoGY0oCygw6eU3jnquA9XMCbj%2FCZZdj8cIMszKPWW8qQNyAyZjUroFeQwT6RE21PwWUDqaw%2BcJFYgUntL8TbbmU8CLCTRtt%2FdFYE%2BxkvvAz33jssz3nBOjKwSREmfxdM%2FQ%2FDzRhB24Ip3z9C%2BPT6XM0xCFb7WrgrOVZ4i3GCjvWZFxMjxL39gpjyYGxIIdkZam2I1hRJGe02L%2BbgCcxyLASDT90KdQgnJnnoHfaYjjPmHz5J1L8ZF2NTnuAxXh7RBIwHgJRX9QFZon2ESkND1lmaK8%2BhUlOr30fODmptaAvFZYCMdrrLrv1%2FfvO6a27OCIfjmrU5TkRaOnxOAOHPLP621vDpZhKm5nJBrNqj5jm6sNX5piLS2Vlxnra1P%2BCtFfcSXXo9cU8ZCJiX6OzCEUegCL20s8BWMB6qaN2wO52lB9HBDXfCDDUykNwckSEWeTzXmHVIuoXFEHFWeZySPmxyGFn%2BmGGS6MGAYbr5DnEI1QK5RgJI%2FI9QGiaaN1uPXu%2FYQk4Udv6V2xjHNl2voBVeX1ZNLcsX8rIVfOGLKevLTii55sDyQFW7BQJBCDkbTEBi5iMcp0oIqNnjcownjBjbJKILAN6SNH5iLJU4Bpi1r3vOEOdd%2Br0otXQOgVM5Xr0kloC30YcAw8XEP3BMHyJwN2oFaVuBB%2FjNzFP4imLtEZRUig8iMlsq8QEdkvCTHt89Khcca4HQYfwoG70zMgi827w%2FbSeXFcZuDUNpaW9iPjsH8nibjXnc1PSW9BNOB5e%2FjizWQwh1oUUg2zVY2KKbkdi6%2FuIZVNwknWSeoW0jwuwqqMYEgwdedwUfClGktjiKDFLl1aGefymFyFUEAH%2FaVytW5UkqOS9vbGuPHX01YGxwZaf9yDCFKlA4aDE9Ug1Dyl8T67PpM5XbjjqxVJIZgy6rg46SlOpfrp2saPrcWlf8eVxMcYpnRfxr6Xftzx8hZGvxQEp3QgmjN6LfOkzkrR7seQIN484Q7B7sAAtoPRzSyE3NSwNsYlhbdI5drY%2BcPDdUZVMfJogI2Snzyc8kJcWGVGErMSeudWbiX%2FiLdC8H04W0OzDpuT7J6rimQezli0S1mZWnc%2BEjUPKmad7v64j1wS8oS%2F6%2FvHpKPE1%2B5nvmZhVHitoXOlJZW2Tb%2BB4Js%2Bc4E%2FjDWdDJvvJGRaH6uya3EyoBZuOyRMVOcv8TE7RyW0hL%2BRqx7dtDi4VLe3SyNj0fr8a2vgF9kZMEnPvJpbKxy2iYO1oQkz6YisCq2zmODLQGA%3D,NA,NA,NA,NA,NA,#1275548898,Altomex,NA,WS-887,NA,NA,3 W,Mini tweeter,Normal,Superfície Plano,Caixa,NA,1,NA,NA,NA,USB,NA,NA,NA,NA,NA
652, Caixinha Som Charge2+ Plus Portátil 10w Grave Potente ,509,NA,"
			
				Novo
			
			
				
					 - 
				
				28
				vendidos
			
		",(53 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4242
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ELETROKADULTDA,https://produto.mercadolivre.com.br/MLB-1010026066-caixa-som-ambiente-jbl-c621-par-selenium-c621p-100w-kadu-som-_JM,NA,NA,NA,NA,NA,#1010026066,JBL,Ambientare,C-621,NA,NA,NA,Woofer,NA,NA,NA,NA,NA,NA,20 kHz,20 Hz,NA,NA,NA,NA,NA,NA
653, Caixa De Som Bluetooth Caixinha Wireless Mp3 Usb Mega Oferta ,59,NA,"
			
				Novo
			
			
				
					 - 
				
				29
				vendidos
			
		",(2749 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 681
		
		 sem juros
		
	

	
		",81,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,322,https://perfil.mercadolivre.com.br/ARTFLEXSUPORTES,https://produto.mercadolivre.com.br/MLB-1143413776-caixinha-som-charge2-plus-portatil-10w-grave-potente-_JM,199,67,30,10,16,#1143413776,JBL,NA,QS-506,NA,NA,10 W,NA,Tweeter,aonde quiser,Caixa,5.1,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,NA
654, Jbl Flip 4 Original Caixa De Som Bluetooth Speaker Portátil ,449,NA,"
			
				Novo
			
			
				
					 - 
				
				169
				vendidos
			
		",(808 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4301
		
		 sem juros
		
	

	
		",01,NA,Chegará grátis hoje,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,2898,https://perfil.mercadolivre.com.br/VIRTUAL+KAR,https://produto.mercadolivre.com.br/MLB-916212683-jbl-flip-4-original-caixa-de-som-bluetooth-speaker-portatil-_JM,2631,188,38,11,30,#916212683,JBL,JBL,Flip,NA,NA,16 W,NA,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,NA,NA,NA,NA,NA
655, Caixa De Som Bluetooth Xiaomi 2w White - Qbh4141eu ,73,NA,"
			
				Novo
			
			
				
					 - 
				
				14
				vendidos
			
		",(10 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 609
		
		 sem juros
		
	

	
		",09,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/ECADESOUZADOSSANTOSCOMERC,https://produto.mercadolivre.com.br/MLB-1255837192-caixa-de-som-bluetooth-xiaomi-2w-white-qbh4141eu-_JM,NA,NA,NA,NA,NA,#1255837192,Logitech,NA,Qbh4141eu,NA,NA,2 W,NA,NA,"interno, Externo",Caixa,NA,NA,NA,NA,NA,NA,54 g,NA,NA,NA,NA
656, Caixa Som Portátil Pbs50 Bluetooth 50 Rms Potente Philco ,329,NA,"
			
				Novo
			
			
				
					 - 
				
				13
				vendidos
			
		",(15 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3154
		
		 sem juros
		
	

	
		",54,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1186763810-caixa-som-portatil-pbs50-bluetooth-50-rms-potente-philco-_JM,NA,NA,NA,NA,NA,#1186763810,Philco,NA,PBS50 EXTREME,NA,NA,50 W,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,NA
657, Caixa De Som Portátil Bluetooth Amplificada Microfone Grátis ,229,NA,"
			
				Novo
			
			
				
					 - 
				
				52
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1908
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,5,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-931093103-caixa-de-som-portatil-bluetooth-amplificada-microfone-gratis-_JM,5,0,0,0,0,#931093103,HMIK,NA,MK-B29,MK-B29,Bivolt,25 W,"Woofer, Subwoofer, Tweeter","Ativo, Passivo","Mesa, De piso",Caixa,2.1,NA,85 dB,18 kHz,80 Hz,USB,2.4 kg,20 cm,32 cm,10 cm,NA
658, Caixa Som Amplificada 3500w Mp3 Bluetooth Microfone Fm Usb ,609,NA,"
			
				Novo
			
			
				
					 - 
				
				10
				vendidos
			
		",(173 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5083
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BARATAOPONTOCOM,https://produto.mercadolivre.com.br/MLB-1138699283-caixa-som-amplificada-3500w-mp3-bluetooth-microfone-fm-usb-_JM,NA,NA,NA,NA,NA,#1138699283,Sumay,CAIXA AMPLIFICADA,Primus,NA,NA,250 W,NA,Woofer,"Escola, bares, laser, culto, palestra, etc",Caixa,NA,NA,NA,NA,NA,"bluettoth, USB, sd card, fm, Auxiliar, microfone, karaoke, bateria, controle",7.5 kg,NA,NA,NA,NA
