search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Peso,Tipos de parlante,Voltaje,Altura
11, Parlante Bluetooth Portátil 4500 W Trípode + Mic Inalámbrico ,2890,3590,"
			
				Nuevo
			
			
				
					 - 
				
				1323
				vendidos
			
		",(954 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,125,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-720520187-parlante-portatil-bluetooth-karaoke-fm-led-usb-mp3-aux-mic-_JM,88,19,10,4,3,#720520187,Oryx,MJ,MJ-121,NA,Activo,NA,Caja Portátil,NA,USB,NA,Woofer,220,NA
12, Parlante Bluetooth Resistente Al Agua + Envio Incluido ,1489,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(95 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/GROUPMHS,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Anaj7LA%2B7pkH14OjnHzjgod9wuBQZj6ZwXnNiC0bbkmgMdVQaCBSDSSUKSLcMCWye3MwoexxKnkxAyEvE4OOj71LCYnbteW4ggrpIy6bIzxS395%2Bg4I4FmlNEL1pRBGK5Zh5lZQljXe%2FXrTf6nZkHJgLHg8eSG07wy7fIVwKzM1Llu7wRpyBEVCg4rkgp%2FKZ4rF9F0pzxPKNHfNJTLYCFsg2YKRwgrkf6zz8Jgo%2FRZ6M5WzvoGH%2B1gVAgjDKmR6UPpVpu9%2BaIRYhiGpHx2QMKM4QPDC35l3EVVcrM6SnxnVOaxBVVQYVeiGv1e4b1VAQcWtG9HPFEA%2Bh%2BzsBhvg5IGRdDzj0KcsXxny9Otnnm2OczNgnH07C8YWDWgjn%2FTLAlpqhA1zsqoHfAdRjxLgnIKagn4ClpPXcZxW9jpbKHMxK2NOW30iduz9qNXYp1EM8rmJWB433TJadTH%2BD3%2FLF49lbKBryqOZizEAdZOnLbBw2ZbDplyWMiHQKamLPskfSlKYLtE9oaKb6B8eWT%2FPoF07DlAYrJQysKRer9NAqdVVahD5%2BkAxLxoHqvzP0uyqaElrupsiJw%2FRNWFsxN7roV2TvYMEyfgc3dg%2FiUctqWNDF%2ByTe26C95M0%2ByOX3iFpcPuADNM%2FoPHTzs%2FFVa7RqIw2mvnqbKl3MEpeTRB9lCMeobeTuWuq9F2%2BoON%2F%2FiRCFB5DhfvYZn%2Bf4GXKkrAmT9KcCZZ1m1bwFt06NtAdqweETptRdqF%2FJJclyi6Ly8lWSAnKWbBKbQE67H0lL7RPQvrly%2FhQqbaxbqZEw3vRT1Of2sQ2QyKJVrv%2FvmmBsq6rHgq7ahRDC1v7O2gefDJ0Gte8SAmFnjO2e1aFMbOGhRtAeEh%2BimoBcM3Cavizq4in42nbzIBOGa3yZ7OmX%2FDOYJkUXWUn%2FN0qXNjqsVjtLvgWHrTkVKEVppwo7xnK6%2BDynvxuuSiPbSIc41BE8PB%2BNF505I4kYEZLLC3GWNBkRLBKYWRrorZscHl7gbaOZ%2FvQcoVaRa9LzeZKQMA5R7COvzBWzXP%2FwA1qrzRT2FWgnIqtt%2Fk6bGM3wWnRzfLMcFlZVNwS2P2j45bG8egJ%2F89fDLG8xLXRkFZI40rrM266Ev3XEB40xC%2BC1Dz27bjanTxESOs8G6lCpNlN3v628g51z826zN5fH3CXOsFVuWyyz93s2QjvbCiXP%2BrkpqKZAQUq1wi7UiSQLMbv99e5PnKTeWqaw26XE14vvsVjkIG5JRNg45hWc%2FKP5Rd%2F9RbULzQbiFLM9fogn5BmMlJcuuBmceDvuffyy77fk3ileCFDMG8HcYg4s1MRFguP5JHSXwoJbTGAhZrIQQexdKA7q1eUBR4Inx7WIQFlkwmVtVuGVryv3Kq8X3VpKISvck9HwbUHG0PtQrgeQY88IvmkGf4k8jDRwfr4m6x5jrOLbscDRVCjWw0rQtjgWew95sp8Lz3EibnfyjFQCZxqvEXeDjTAKy%2BVXnxRWOM9LbuQ4XSvGbTm%2FDDUS45joaIwl8IhCo986hqMUXBdgu%2BrwLKOGtj1kz89H7hhCrpQyJef7G4jqUA0gpaA6UJDKmYzbEyteHvd9EfMiHuvgzrHU7RxIivUBzTlR48sORV0KoQmuSbH%2Ba%2FaFfBhEH3foZnnlfEgWiJuk37xq9g%2BeuYrYxnDmmIsF1cXPZLVcmjuo9LB0QBmj%2F7%2BdfUDxm5aWaPmLhMG4qd%2FBu%2FknSPCHmqXANpwWZ%2FSHo42VGTZ5fLzbgexuD8k1OLamEiXADvpKMKJGoK6ojHgolBMGrRq13qRJTDvWQNH1TXVLBMlWnc1bNQhmRN4KuWKkpvN6uzSpAfDYjLVXQVD3xfdd,NA,NA,NA,NA,NA,#774430700,Universal,NA,Xtreme,40 W,NA,NA,NA,NA,NA,NA,NA,NA,NA
13, Parlante Valija Carrito Karaoke Bluetooth ,228,NA,"
			
				Nuevo
			
			
				
					 - 
				
				895
				vendidos
			
		",(664 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,12,https://perfil.mercadolibre.com.ar/MONA-FELISA+OPORTUNIDADESVIP,https://articulo.mercadolibre.com.ar/MLA-634321330-altavoz-parlante-portatil-music-mini-craquelado-recargable-_JM,8,3,1,0,0,#634321330,Genérico,NA,Music Animal,3 W,Portátil,De mesa,Tambor,5.1,NA,NA,NA,5V,NA
14, Parlante Jbl Go 2 Bluetooth Portatil Nuevo Modelo Original ,1399,1999,"
			
				Nuevo
			
			
				
					 - 
				
				310
				vendidos
			
		",(32 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,30,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-674207418-parlante-karaoke-mp3-sd-usb-bluetooth-luces-efecto-full-_JM,22,7,0,0,1,#674207418,TECHNOLOGY LINE,NA,Bronx,10 W,Woofer,No aplica,Caja,NA,Entrada para Micrófono,NA,NA,NA,NA
15, Parlante Portatil Bluetooth Mini Hongo Manos Libre Usb 3w ,3199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1655
				vendidos
			
		",(74 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,316,https://perfil.mercadolibre.com.ar/PHOTOSTORE,https://articulo.mercadolibre.com.ar/MLA-614542424-sony-xb10-parlante-playero-resistente-salpicaduras-y-arena-_JM,253,48,12,1,2,#614542424,Sony,XB,SRS-X11,10 W,Portátil,PORTATIL,Caja,si,USB,NA,portatil,USB,NA
16, Parlante Bluetooth Jbl Flip 4 iPhone Android 100% Original ! ,1349,2299,"
			
				Nuevo
			
			
				
					 - 
				
				946
				vendidos
			
		",(998 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,83,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-648179703-parlante-karaoke-bluetooth-usb-luz-sd-microfono-_JM,58,18,5,1,1,#648179703,TECHNOLOGY LINE,NA,SBL10-KARAOKE-RED,10 W,Woofer,NA,Caja,NA,NA,NA,NA,NA,NA
17, Parlante Bluetooth Recargable Ducha Anti Agua Con Microsd 5w ,3190,3790,"
			
				Nuevo
			
			
				
					 - 
				
				1616
				vendidos
			
		",(968 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,271,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-663857293-parlante-portatil-bluetooth-karaoke-usb-fm-luces-2-mics-_JM,184,59,20,3,4,#663857293,Otras Marcas,MW,MW CARRY MUSIC,30 W,Activo,NA,Caja Portátil,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",NA,Woofer,220V,NA
18, Parlante Torre Karaoke 5000 Wats Bluetooth Sd Fm Consola Dj ,12990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(29 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/BAIRES-IMPORT,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=mOdsSeG3NuzvW6z103ouEgZHmue4BL5SlXmnkK00T3MsrT2OAWXYaAM%2B9mLhYLOA7ZhsO666qrLopqEKNpyUrYzvty3JxRWKlpymfrofPvoW6%2FODAI72OMLZhK32tiAIuarAoGDZh%2FHqHrqWmmYyb8R5x5qRI1SNJPqpouuoQxGiFCf4DBMqdkcvQ7uaWHBwQRjnj2B5AjbC07zYn6nVn%2FgaG7kJlpd%2Fk%2BlXoOgE70prTcm6drY2piaIpULT0fqJ17y%2By3wQuYCO%2B%2Bduav8SGZH9TjAd2T2%2FvRddDfk9y4FsQK4q1A3WXEgxF959Yl4CSuWpPZ%2BIKmnr4UtrlKnxiTpc6BpUgkfY4LdZ3IPIDV0vGf4A5BVRoUr9s%2Foo%2Bz9UoxYtFQNot1wJWUV7%2BpfIvxaNGWJtHoYcMn28caZvulR9LI4ps6aSKvObgPUZdF0HW25r5qAcrnkuJY2G30Ru%2BTlUwSJbBz%2FTKvRv0wNY%2BcqrJS1Rg86iG0YmK9PDGMfu0plxg1KTLd3b9GeC94DJchvgZftypxDCXKxD%2Bd8%2BQXUGuFD281OXYEDI9SS3Wy%2FwZMEjGdeJvBLG%2BLUgSDy4EXnmvKeGTujEzWoPK7g9vLfOODoW0y%2BRyAhieUNzWXCSZlYGZQFHLfpqqJfDp3sGkj8WoC9e111n9qtt7xiyhrdRu1gd5QdcfcgkyBnsAumaEil4o39KL2AHHeq2wn8LNWloExxm7gXNrN268%2BZ7iMGHK%2Blkjpoc8faBXBTvntzJCKCiC6YyxMj59DLWer0apTRaW%2BVwoGpCwtg7ebGrMLVB6z7ObqICFAAyCaZkPuE8JcZXhqbAk8DzJzO0p1dnnMlm%2FyvyOG5CVUAQIPu0UmplV283vPZ6crTf%2F61uzPL2rNJ6YKCwF%2FABMl01cSR22gLAJzL4tHfpV4SV6QHTEJ3%2F7Ii8%2BjM%2BvxFN68foOG8as%2BmgV7%2FmG8meHH1Ld6asjofz9fBDNZ5rf8UnHYpSU2dL5VbkeBohdAaSllWQQ9k8eaVlWrIR%2F1vpFaxUUxV%2F5uc2ItGduyQq0gJ7gPMVnctup2sypWIubSl6%2FQDK9kHSTTLPqghrQoNbI6RhOl1mrS5vulGIneaQunknc5byl5G%2Fry7tQw%2F5Oq8GNQFMHxenSN1vzaz9wXM%2FkDEs6%2FzQN2%2BTZIZBqdwPUuO%2BQ3ZiDPoHaxbkKnrX4oGGelpNuDDDbq%2F8MB%2FZr8eA7M%2B13hC3CKReeMBPGssKBKenc1ZyA2W7o3SQz0mUhTZdkGRwrRq12aDR4qVS8pp3651TlHeiBA36sX1mbxt%2FZm9Ms8JaLiGSUUvRAN7ZTQ9y137665bggARK%2F392wSIPVrMcqxYEJXlLap3Hev5vDRXrzRgEXtOnD3rKWEpnNmdM74p7NZl%2BKnK%2BHNvXAylw%2BgaCEwW1vfsv2ilT2yY2J%2FszvzVen3POYp8B%2BoV7VS7VhjSB158t44ztkAYdXRRXRnkdZqcDsvrfmRNbLHK%2B9nJ1aaHGnb46BZvNf%2BljOv4ql4m4wDUHmOtxMFzYxB0f84SUccm1YQFnmO1RIVfEce1ZvHfNWDm16fyN0uppr6fZcdR8YmKBo19lh6rAefNoc1%2B1PX4NL770H3xydvro8TUx2nQN53ztHUHgtouLE4IzZuAALX%2F4lNoU%2B9ETKQ%2Bf5yBXy%2BrwUIFkiWwczZXunsrvbbF1phedevk5u8X7cfdzXuK2HpQsU23td1q%2BgmLpsRRxtTBIfmd6FBFEDhhlQmiRMOsJ%2B1RhT5SF0uKA87fyCKSi5kkMIYuBt1jZo1P8ygISGqNmjGTVJylJj5En6MLm7UQ9VeNGhi%2F2ZHeJs8s52y8gfBD%2BgBlsW3HXoJ4fbg%3D%3D,NA,NA,NA,NA,NA,#797871037,Gadnic,NA,XBS7,5000 W,Activo,De piso,Caja,NA,NA,NA,portatil,NA,NA
19, Parlante Trolley Carrito Portable Bluetooth + Tripode Y Mics ,2199,3000,"
			
				Nuevo
			
			
				
					 - 
				
				341
				vendidos
			
		",(60 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,64,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-735697832-parlante-bluetooth-bomb-40w-luces-led-potenciado-usb-radio-_JM,49,8,2,4,1,#735697832,Kolke,NA,KPM222 BOMB,40 W,Activo,NA,NA,NA,Entrada para Micrófono,NA,NA,NA,NA
20, Parlante Portatil Jbl Flip 4 Bluetooth iPhone Micro Usb Gtia ,319,NA,"
			
				Nuevo
			
			
				
					 - 
				
				344
				vendidos
			
		",(20 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,7,https://perfil.mercadolibre.com.ar/UNIVERSALSHOPS,https://articulo.mercadolibre.com.ar/MLA-750048172-parlante-portatil-bluetooth-mini-hongo-manos-libre-usb-3w-_JM,7,0,0,0,0,#750048172,UNIVERTSAL,NA,Portatil,12 W,Bluetooth,Cualquier Superficie,Honguito,No aplica,NA,NA,Bluetooth,DC5V23:51,NA
21, Parlante Blueetooth Mini Portátil. Luces Led .radio Fm ,3600,NA,"
			
				Nuevo
			
			
				
					 - 
				
				265
				vendidos
			
		",(28 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,14,https://perfil.mercadolibre.com.ar/JBD-HITECH,https://articulo.mercadolibre.com.ar/MLA-719694463-parlante-valija-carrito-karaoke-bluetooth-_JM,9,1,3,1,0,#719694463,RX,NA,RX-1010,35 W,RECREACION,"PORTATIL, CARRITO, VALIJA",Caja,2.1,NA,NA,CARRITO,NA,NA
22, Sony Xb10 Parlante Playero Resistente Salpicaduras Y Arena ,3999,5990,"
			
				Nuevo
			
			
				
					 - 
				
				1719
				vendidos
			
		",(940 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,542,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-739077845-parlante-grande-12-pulgada-karaoke-bluetooth-led-fiesta-mic-_JM,358,134,31,10,9,#739077845,Otras Marcas,T - 12 Pulgadas,T152,NA,Activo,NA,Caja Portátil,NA,"Bluetooth, USB, microSD, AUX, Mic x2.",NA,Woofer,220,NA
23, Sony Srs-xb01 Parlante Inalambrico Portatil Resiste Agua Bt! ,217,NA,"
			
				Nuevo
			
			
				
					 - 
				
				360
				vendidos
			
		",(9639 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,6,https://perfil.mercadolibre.com.ar/SMART-CLICK,https://articulo.mercadolibre.com.ar/MLA-789005543-parlante-bluetooth-recargable-ducha-anti-agua-con-microsd-5w-_JM,5,1,0,0,0,#789005543,MIYOSHI,NA,Modelo C6,5 W,Tweeter,"Ducha, De pared, De techo",Redondo,2.1,NA,152 g,Tweeter,NA,NA
24, Parlante Portátil Bluetooth Karaoke Usb Fm Luces + 2 Mics ,5650,NA,"
			
				Nuevo
			
			
				
					 - 
				
				352
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,1883,https://perfil.mercadolibre.com.ar/TECNOPARAVOS,https://articulo.mercadolibre.com.ar/MLA-661330596-parlante-bluetooth-jbl-flip-4-iphone-android-100-original--_JM,1604,239,29,6,5,#661330596,JBL,Flip Series 4,Flip 4,16 W,Portátil,NA,NA,NA,NA,515 g,Portatil,NA,NA
25, Parlante Bluetooth Portátil Radio Usb Mp3 Leds 1200 Watts ,2290,2990,"
			
				Nuevo
			
			
				
					 - 
				
				238
				vendidos
			
		",(938 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,23,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-761476874-parlante-bluetooth-portatil-karaoke-usbcontrol-microfono-_JM,9,8,3,3,0,#761476874,Otras Marcas,SP,SP-KJA16E,500 W,Activo,NA,Caja Portátil,NA,"Bluetooth, USB, microSD, AUX, Micrófono",NA,Woofer,220,NA
