search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Peso,Conectores de entrada,Potencia de salida (RMS),Tipos de filtros del parlante
55, Jbl Go 2 Parlante Bluetooth Portatil Acuatico Ipx7 Original ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(47 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.9,12,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444185-jbl-go-2-parlante-bluetooth-portatil-acuatico-ipx7-original-_JM,11,1,0,0,0,#434444185,JBL,GO 2,NA,NA,3.1 W,Activo
56, Parlante Bluetooth Radio Usb Halion 8w Manos Libres ,45,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSWALDO+VALVERDE,https://articulo.mercadolibre.com.pe/MPE-432544632-parlante-bluetooth-radio-usb-halion-8w-manos-libres-_JM,NA,NA,NA,NA,NA,#432544632,Halion,HA-S35,NA,Auxiliar,30 W,Pasivo
57, Parlante Bluetooth Jbl Flip 4 16w Original Acuatico ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(11 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-432749458-parlante-bluetooth-jbl-flip-4-16w-original-acuatico-_JM,NA,NA,NA,NA,NA,#432749458,JBL,FLIP 4,NA,NA,NA,NA
58, Parlante Bluetooth® Inalámbrico Portátil - Seisa ,59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				213
				vendidos
			
		",(66 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TODATECNOLOGIAPERU.COM.,https://articulo.mercadolibre.com.pe/MPE-426675372-parlante-bluetooth-inalambrico-portatil-seisa-_JM,NA,NA,NA,NA,NA,#426675372,NA,NA,NA,NA,NA,NA
59, Amazon Echo Dot 3ra Gen Español Alexa Tienda En San Isidro ,238,NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(11 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/DIGITALZ+PERU,https://articulo.mercadolibre.com.pe/MPE-434754150-amazon-echo-dot-3ra-gen-espanol-alexa-tienda-en-san-isidro-_JM,NA,NA,NA,NA,NA,#434754150,Amazon,NA,300 g,NA,NA,NA
60, Microfono Bluetooth Karaoke Parlanrte Inalambrico Delivery ,99,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(13 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMPORTACIONESMYJASOCIADOS,https://articulo.mercadolibre.com.pe/MPE-434083302-microfono-bluetooth-karaoke-parlanrte-inalambrico-delivery-_JM,NA,NA,NA,NA,NA,#434083302,NA,NA,NA,NA,NA,NA
61, Parlante Tronsmart T6 Plus Bluetooth 40w Power Bank +estuche ,350,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,https://articulo.mercadolibre.com.pe/MPE-436941118-parlante-tronsmart-t6-plus-bluetooth-40w-power-bank-estuche-_JM,NA,NA,NA,NA,NA,#436941118,NA,NA,NA,NA,NA,NA
62, Parlante Cafini Bluetooh Recargable Con Migrofono Vincha Isc ,59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INNOVASYSTEMCORP,https://articulo.mercadolibre.com.pe/MPE-432430252-parlante-cafini-bluetooh-recargable-con-migrofono-vincha-isc-_JM,NA,NA,NA,NA,NA,#432430252,Cafini,ISC,NA,NA,NA,NA
63, Parlante Tronsmart T6 Plus Bluetooth 40w Power Bank ,330,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,https://articulo.mercadolibre.com.pe/MPE-436501908-parlante-tronsmart-t6-plus-bluetooth-40w-power-bank-_JM,NA,NA,NA,NA,NA,#436501908,NA,NA,NA,NA,NA,NA
64, Jbl Pulse 3 Parlante Bluetooth Altavoz - Tienda Dlectro ,749,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(91 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DLECTRO,https://articulo.mercadolibre.com.pe/MPE-433189510-jbl-pulse-3-parlante-bluetooth-altavoz-tienda-dlectro-_JM,NA,NA,NA,NA,NA,#433189510,NA,NA,NA,NA,NA,NA
65, Parlante Bluetooth 6000w Microfono Ruedas Klip Xtreme Kws920 ,999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-431951347-parlante-bluetooth-6000w-microfono-ruedas-klip-xtreme-kws920-_JM,NA,NA,NA,NA,NA,#431951347,NA,NA,12.5 kg,NA,NA,NA
66, Gratis!!! Parlante Logitech Ue Wonderboom Bluetooth Ipx7 ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(2 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-434462022-gratis-parlante-logitech-ue-wonderboom-bluetooth-ipx7-_JM,NA,NA,NA,NA,NA,#434462022,Logitech,NA,NA,NA,NA,NA
67, Parlante Bluetooth Xiaomi Mi Rabbit Mdz-20-da Delivery Peru ,105,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(868 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DIGITAL-PERU,https://articulo.mercadolibre.com.pe/MPE-433174796-parlante-bluetooth-xiaomi-mi-rabbit-mdz-20-da-delivery-peru-_JM,NA,NA,NA,NA,NA,#433174796,NA,NA,NA,NA,NA,NA
68, Equipo De Sonido Bluetooth Parlante + Control Entrada Usb Sd ,289,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(99 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,https://articulo.mercadolibre.com.pe/MPE-421923040-equipo-de-sonido-bluetooth-parlante-control-entrada-usb-sd-_JM,NA,NA,NA,NA,NA,#421923040,NA,NA,NA,NA,NA,NA
69," Parlante Tronsmart Element Mega 40w,.bluetooth 4.2, Nfc ",215,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/FLOYDTEC.,https://articulo.mercadolibre.com.pe/MPE-421964989-parlante-tronsmart-element-mega-40wbluetooth-42-nfc-_JM,NA,NA,NA,NA,NA,#421964989,Tronsmart,Element Mega,NA,NA,40 W,Activo
70, Parlante Bluetooth 3w + Radio Fm + Usb Con Panel Solar ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PRECIO.PE,https://articulo.mercadolibre.com.pe/MPE-426243561-parlante-bluetooth-3w-radio-fm-usb-con-panel-solar-_JM,NA,NA,NA,NA,NA,#426243561,NA,NA,NA,NA,NA,NA
71, Jbl Flip 4 Nuevos Originales ,344,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/DISTRIBUIDORA+DACSA,https://articulo.mercadolibre.com.pe/MPE-431754808-jbl-flip-4-nuevos-originales-_JM,7,2,0,0,0,#431754808,JBL,Flip 4,515 g,NA,16 W,Activo
72, Parlante Bluetooth Power Bank Usb Radio Fm Aux Sd ,54,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(95 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SPORTECH+BALHER,https://articulo.mercadolibre.com.pe/MPE-433385771-parlante-bluetooth-power-bank-usb-radio-fm-aux-sd-_JM,NA,NA,NA,NA,NA,#433385771,NA,NA,NA,NA,NA,NA
73, Parlante Tv Soundbar Infini Mini ,299,NA,"
			
			
				
				3
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-434547085-parlante-tv-soundbar-infini-mini-_JM,NA,NA,NA,NA,NA,#434547085,NA,NA,1190 g,NA,NA,NA
74, Home Theater Sony 5.1 canales Con Barra De Sonido Ht-rt40 ,799,NA,"
			
			
				
				6
				vendidos
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-427444688-home-theater-sony-51canales-con-barra-de-sonido-ht-rt40-_JM,NA,NA,NA,NA,NA,#427444688,Sony,HT-RT40,NA,NA,NA,NA
75, Parlante Bluetooth Zealot S12 (tambien Power Bank) ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(19 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/EZ+TECH,https://articulo.mercadolibre.com.pe/MPE-434999146-parlante-bluetooth-zealot-s12-tambien-power-bank-_JM,NA,NA,NA,NA,NA,#434999146,NA,NA,NA,NA,NA,NA
76, Parlante Logitech Bluetooth Ue Megaboom Electric 984-000511 ,745,NA,"
			
			
				
				1
				vendido
			
		",1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DISTRIBUIDORAMESAJILHNOS?brandId=153,https://articulo.mercadolibre.com.pe/MPE-435552165-parlante-logitech-bluetooth-ue-megaboom-electric-984-000511-_JM,NA,NA,NA,NA,NA,#435552165,Logitech,NA,877 g,Auxiliar,NA,NA
77, Parlante Bluetooth Recargable + Microfono Gratis Entrada Usb ,145,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(98 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,https://articulo.mercadolibre.com.pe/MPE-425356321-parlante-bluetooth-recargable-microfono-gratis-entrada-usb-_JM,NA,NA,NA,NA,NA,#425356321,NA,NA,NA,NA,NA,NA
78, Jbl Pulse 3 Parlante Bluetooth 20w Luces Led Acuatico Tienda ,699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(999 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-432853236-jbl-pulse-3-parlante-bluetooth-20w-luces-led-acuatico-tienda-_JM,NA,NA,NA,NA,NA,#432853236,JBL,Pulse 3,NA,NA,NA,NA
79, Parlante Portatil Bluetooth Recargable 8 Pulgadas + Tripode ,289,NA,"
			
				Nuevo
			
			
				
					 - 
				
				13
				vendidos
			
		",(194 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,4.7,3,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,https://articulo.mercadolibre.com.pe/MPE-423374989-parlante-portatil-bluetooth-recargable-8-pulgadas-tripode-_JM,2,1,0,0,0,#423374989,NA,NA,NA,NA,NA,NA
80, Parlante Sony Bluetooth Extra Bass Inalámbrico Xb21 (azul) ,239,NA,"
			
			
				
				4
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-431904501-parlante-sony-bluetooth-extra-bass-inalambrico-xb21-azul-_JM,NA,NA,NA,NA,NA,#431904501,Sony,NA,530 g,USB,NA,NA
81, Parlante Portatil Bluetooth Maxtron Hertz 60w Led Ritmico ,85,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(49 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,https://articulo.mercadolibre.com.pe/MPE-434666074-parlante-portatil-bluetooth-maxtron-hertz-60w-led-ritmico-_JM,NA,NA,NA,NA,NA,#434666074,NA,NA,NA,NA,NA,NA
82, Coolbox - Parlante Bluetooth Con Subwoofer S-11 Negro ,99,NA,"
			
			
				
				34
				vendidos
			
		",(97 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,NA,https://articulo.mercadolibre.com.pe/MPE-430569726-coolbox-parlante-bluetooth-con-subwoofer-s-11-negro-_JM,NA,NA,NA,NA,NA,#430569726,NA,NA,NA,NA,NA,NA
83, Parlante Portatil Bluetooth Recargable + Microfono Gratis ,90,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(99 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AHORAONUNCA1978,https://articulo.mercadolibre.com.pe/MPE-436128431-parlante-portatil-bluetooth-recargable-microfono-gratis-_JM,NA,NA,NA,NA,NA,#436128431,NA,NA,NA,NA,NA,NA
84, Lg Parlantes Bluetooth Pk7 40w Calidad Sonido Nuevo ,619,669,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DALTHRON+S.A.C.,https://articulo.mercadolibre.com.pe/MPE-433443995-lg-parlantes-bluetooth-pk7-40w-calidad-sonido-nuevo-_JM,NA,NA,NA,NA,NA,#433443995,LG,NA,NA,NA,NA,NA
85," Parlante Bluetoot ,reloj Despertador,bass,radio Fm,sd,aux ",170,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECHGAMER,https://articulo.mercadolibre.com.pe/MPE-427789649-parlante-bluetoot-reloj-despertadorbassradio-fmsdaux-_JM,NA,NA,NA,NA,NA,#427789649,NA,NA,NA,NA,NA,NA
86, Parlante De Madera Con Bluetooth Cafini ,96,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(39 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LA.CAJA.TECNOL%C3%93GICA,https://articulo.mercadolibre.com.pe/MPE-425969062-parlante-de-madera-con-bluetooth-cafini-_JM,NA,NA,NA,NA,NA,#425969062,NA,NA,NA,NA,NA,NA
87, Soundbar Samsung Curvo Ms6500 Wifi Hdmi 450w Nuevo Sellados ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(1 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,https://articulo.mercadolibre.com.pe/MPE-436657284-soundbar-samsung-curvo-ms6500-wifi-hdmi-450w-nuevo-sellados-_JM,NA,NA,NA,NA,NA,#436657284,Samsung,ms6500,NA,NA,450 W,9
88, Xiaomi Mi Parlante Bluetooth Altavoz Metálico Mdz-26-db ,156,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LUISENRIQUEHUIZASOSA,https://articulo.mercadolibre.com.pe/MPE-435362540-xiaomi-mi-parlante-bluetooth-altavoz-metalico-mdz-26-db-_JM,NA,NA,NA,NA,NA,#435362540,NA,NA,NA,NA,NA,NA
89, Parlante Portatil Bluetooth Jbl Go 2 Sellado / Sumergible ,118,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(44 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.9,12,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-429687887-parlante-portatil-bluetooth-jbl-go-2-sellado-sumergible-_JM,11,1,0,0,0,#429687887,NA,NA,NA,NA,NA,NA
90," Parlante Micronics Atlantis Pc,laptop,smartphone,dvd Y Tv ",160,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LACASADIGITALYAGA,https://articulo.mercadolibre.com.pe/MPE-430606946-parlante-micronics-atlantis-pclaptopsmartphonedvd-y-tv-_JM,NA,NA,NA,NA,NA,#430606946,NA,NA,NA,NA,NA,NA
91, Parlante Portátil Jam Alloy Bluetooth ,120,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ROJASTONDERJOHANANDERSON,https://articulo.mercadolibre.com.pe/MPE-432921022-parlante-portatil-jam-alloy-bluetooth-_JM,NA,NA,NA,NA,NA,#432921022,NA,NA,NA,NA,NA,NA
92, Foco Parlante Bluetooth Con Control ,95,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(29 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OVERPOMIANO,https://articulo.mercadolibre.com.pe/MPE-433220328-foco-parlante-bluetooth-con-control-_JM,NA,NA,NA,NA,NA,#433220328,NA,NA,NA,NA,NA,NA
93, Parlante Bluetooth Soundcore Flare Negro ,299,NA,"
			
			
				
				13
				vendidos
			
		",1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-434546675-parlante-bluetooth-soundcore-flare-negro-_JM,NA,NA,NA,NA,NA,#434546675,NA,NA,530 g,NA,NA,NA
94, Parlante Multi-function Bluetooth Portátil Memoria ,70,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LASER+IMPORT,https://articulo.mercadolibre.com.pe/MPE-429214211-parlante-multi-function-bluetooth-portatil-memoria-_JM,NA,NA,NA,NA,NA,#429214211,NA,NA,NA,NA,NA,NA
95, Parlante Amplificado Portatil Bluetooth Mpa40bt Pro + Envio ,899,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(100 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SOUNDA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-428582326-parlante-amplificado-portatil-bluetooth-mpa40bt-pro-envio-_JM,NA,NA,NA,NA,NA,#428582326,NA,NA,NA,NA,NA,NA
96, [ ] Parlante Logitech Ue Megaboom 40 Watts Bluetooth Wireles ,699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OFERTAS+DELIVERY,https://articulo.mercadolibre.com.pe/MPE-433923775--parlante-logitech-ue-megaboom-40-watts-bluetooth-wireles-_JM,NA,NA,NA,NA,NA,#433923775,Logitech,NA,NA,NA,NA,NA
97, Skullcandy Parlante Bluetooth Acuatico Barricade Mini ,149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		",(30 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435362135-skullcandy-parlante-bluetooth-acuatico-barricade-mini-_JM,NA,NA,NA,NA,NA,#435362135,NA,NA,NA,NA,NA,NA
98, Google Home Mini - Masplay ,149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(9993 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,https://articulo.mercadolibre.com.pe/MPE-434654884-google-home-mini-masplay-_JM,NA,NA,NA,NA,NA,#434654884,NA,NA,173 g,NA,NA,NA
99, Mini Parlante Bluetooth Hongo Mushroom. ,55,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(29 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JESUS_OUTLOOK,https://articulo.mercadolibre.com.pe/MPE-430848177-mini-parlante-bluetooth-hongo-mushroom-_JM,NA,NA,NA,NA,NA,#430848177,NA,NA,NA,NA,NA,NA
100, Parlante Portatil Lg Xboom Go Pk5 Negro 20w Bluetooh Origina ,459,541,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(99 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECHNOW+1,https://articulo.mercadolibre.com.pe/MPE-436450909-parlante-portatil-lg-xboom-go-pk5-negro-20w-bluetooh-origina-_JM,NA,NA,NA,NA,NA,#436450909,LG,NA,NA,NA,NA,NA
101, Parlante Marshall Acton M-accs-10126 50w Bluetooth Negro ,749,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(10 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/UNALUKA,https://articulo.mercadolibre.com.pe/MPE-427454401-parlante-marshall-acton-m-accs-10126-50w-bluetooth-negro-_JM,NA,NA,NA,NA,NA,#427454401,NA,NA,NA,NA,NA,NA
102, Foco Parlante Bluetooth Luz Led Android iPhone Itelsistem ,79,NA,"
			
				Nuevo
			
			
				
					 - 
				
				47
				vendidos
			
		",(152 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,https://articulo.mercadolibre.com.pe/MPE-421489264-foco-parlante-bluetooth-luz-led-android-iphone-itelsistem-_JM,NA,NA,NA,NA,NA,#421489264,NA,NA,NA,NA,NA,NA
103, Parlante Bluetooth Jbl Charge 3 20w Sumergible / Sellado ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(49 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/APPLEMALLCENTER,https://articulo.mercadolibre.com.pe/MPE-434551129-parlante-bluetooth-jbl-charge-3-20w-sumergible-sellado-_JM,NA,NA,NA,NA,NA,#434551129,JBL,Charge 3,NA,Auxiliar,20 W,Pasivo
104, Parlante Micronics Jazz 1 70w Bluetooth Radio Usb Sd -negro ,159,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/KOBYINVERSIONESSAC,https://articulo.mercadolibre.com.pe/MPE-431001610-parlante-micronics-jazz-1-70w-bluetooth-radio-usb-sd-negro-_JM,NA,NA,NA,NA,NA,#431001610,NA,NA,NA,NA,NA,NA
105, Parlante Bluetooth Portátil Marshall Stockwell Con Case ,769,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MIRAFLORES+STORE,https://articulo.mercadolibre.com.pe/MPE-433090838-parlante-bluetooth-portatil-marshall-stockwell-con-case-_JM,NA,NA,NA,NA,NA,#433090838,Marshall,Stockwell,NA,NA,20 W,Activo
106," Parlante Bluetooth Usb Halion 100 Watts Karaoke S/189,00 ",189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(99 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AHORAONUNCA1978,https://articulo.mercadolibre.com.pe/MPE-432003740-parlante-bluetooth-usb-halion-100-watts-karaoke-s18900-_JM,NA,NA,NA,NA,NA,#432003740,NA,NA,NA,NA,NA,NA
107, Parlante Bluetooth Acuatico Radio Fm Envio Provincia ,38,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(116 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REVOLLEDOJOSEANTONIO,https://articulo.mercadolibre.com.pe/MPE-420691542-parlante-bluetooth-acuatico-radio-fm-envio-provincia-_JM,NA,NA,NA,NA,NA,#420691542,NA,NA,NA,NA,NA,NA
108, Parlante Portatil Bluetooth Maxtron Zenith ,135,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSWALDO+VALVERDE,https://articulo.mercadolibre.com.pe/MPE-433420893-parlante-portatil-bluetooth-maxtron-zenith-_JM,NA,NA,NA,NA,NA,#433420893,NA,NA,NA,NA,NA,NA
109, Parlante Portatil Mini Speaker Smart Bluetooth Radio Usb Sd ,18,NA,"
			
				Nuevo
			
			
				
					 - 
				
				22
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,4,http://perfil.mercadolibre.com.pe/LIZANDROAN,https://articulo.mercadolibre.com.pe/MPE-428903012-parlante-portatil-mini-speaker-smart-bluetooth-radio-usb-sd-_JM,2,2,0,0,0,#428903012,NA,NA,NA,NA,NA,NA
110," Parlante Klip Xtreme Kws-611bk Enkore, Bluetooth ",150,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/RODISTAR.PE,https://articulo.mercadolibre.com.pe/MPE-427912228-parlante-klip-xtreme-kws-611bk-enkore-bluetooth-_JM,NA,NA,NA,NA,NA,#427912228,NA,NA,NA,NA,NA,NA
