search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Material,Modelo,Marca
11, Silicone Case Original iPhone 6 7 8 X Plus Apple Oferta Ya ,990,NA,108,56,18 cuotas,55.00,NA,Envío a todo el país,NA,NA,4.8,13,http://perfil.mercadolibre.com.uy/PANTAYAUY,https://articulo.mercadolibre.com.uy/MLU-452827858-silicone-case-original-iphone-6-7-8-x-plus-apple-oferta-ya-_JM,12,0,1,0,0,#452827858,Apple,Silicona,NA,NA
12, Protector Fino Cristal Bumper iPhone 8 7 6 6s 5 5s Se Plus ® ,190,NA,631,3933,18 cuotas,10.56,NA,Envío a todo el país,NA,NA,4.4,35,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443333988-protector-fino-cristal-bumper-iphone-8-7-6-6s-5-5s-se-plus--_JM,20,10,4,1,0,#443333988,Apple,TPU,5/SE/6s/7/8/ Plus,Apple
13, Protector Agenda Flip Cover iPhone Xs Xs Max Xr X 10 8 Plus® ,290,NA,41,3978,18 cuotas,16.11,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-442264811-protector-agenda-flip-cover-iphone-xs-xs-max-xr-x-10-8-plus-_JM,1,0,0,0,0,#442264811,Apple,Plástico,Xs Xs Max Xr X 10 8 Plus,NA
14, Protector 360 Magnetico iPhone 6 7 7plus 8 8plus Xs Xr Xsmax ,490,NA,437,39,18 cuotas,27.22,NA,Envío a todo el país,NA,NA,1,2,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=2YISDBYuNOolakfSP7K2%2FCti7rB8bu5sFW%2BXTIUET7x8dzbmbnL7e1xRhmITLTMtsmdGE1RIUQExPRRGRATCbZP%2B4JAaGui76WjgelWnaTRK3uGoJkyrTGt9N%2F3JydFZI9o069XfVv9S5Wvrvm5zmAGukITM9wrlTmo8%2Bamz2CzRFF9jo5EyfudplWMnEvGWVWKriHxC8tkNt3x%2Fm3exrDwl4l2NwCzL%2BNHCgKmWSs0Q0QnRsgSZji6fa5wEWVifEWKHlfI53h4iRPUbnpvHJ5vKaJgv5F9lr6ldYq7N7ayCCf4B93Cm%2FyedMnxU%2B%2FhAO1dzBb65YsCGaSio6aZbW8RXIa7rPjJKP4iZqvCW%2Btb5g1Q9Hn8KQgyEs47NR0YqyIKJ9t2%2BMhAmNufAFGNG2q3I5yK2xnLO500lD9TSLSbQH4o7figVVUPOeSMEqztRp%2BGn5l5Wu3O%2BjcUOD1aFTxND8vz705MdnSH8Mxw%2B8UmiRaUqKzhh0edV0zLVGajIGN%2FfIye2BGm3Z4iaa2Lwq7IjrAlTxb2aXRy4vFbTmxwcNIGvqIjiYP5RnsmsCq7GwV03%2BrBj9AUjzad%2B5%2FFP%2FJDFz%2FvK00qWTo7PICLiKuRXwcl1ql2fZsWLjWe1OA31ofzYprs7EXv%2BzMSKjCy8BWB7GehCR9isbUdBLMtHnfEIWk6a2TYC3szGB034CCui%2BDFkiBgXXltlkDIpSeZVJkodXgjyo4zscwuO9UKKmNp9aMT1i2K1Sj3siMwRwC53Dkog2gBHI6KLInOFxlYC84xqwa%2BQX6hjzTFH%2F254yFZHiQxvdWkTTwfNsBypuqSvSf8QJ4tNd6nmPlsyUlHtMeGvXkGaFb1TZpmeKokmmnGbEnb1f50W5lXIYYbr6GYM%2Ffwlg8wkeU5PruJlHECgks12OPgoI8k7CFFn5Do2OAssucd8Q5wGTA%2BMg8YtKTMi8ShcTffpQ%2ByZ9gR8xeNNUV4qal7sK6KZy798vky3BzyMItZ9I6uNA2dI%2B9XVRv7P0oYyowTKF0NKoUSgNhG1ulnvfAjYIlRAKct3kh%2ByPrKp2dnKCO2DKzxzxatLOeq6%2FKaedzf6AXn039IpdDiwogj7uiiaoGFf5QJIAMHP4Xcq3rX7VhMC56xjtMyD%2FffNeWQlauD8DSBFozK8FrXL4Mt63c6Y0xLsUR8XyTo3HMyFygxKjrbFVx9I3wBwFIzSTbkB%2BKkbI4i1RZMDRos97shkBu%2BnM0dhZFNEL668dh418UMsSZckUs7lqYxkFC3a2LjW%2FCZcyITekqzLQyvhocfW1h1L83Tl%2FqBnow9zyL1exRDTtQ2%2FN4Oacyk8ihdkguz1Atu7cB05QYFLuM%2B1fiEbOsWoiY3OQIsTa7QMwHfLhpqXbb3MzluXLyHVSRPAzevRX%2B2rKs0%2B4q%2FreKosuG4iAse7FYpn9Wu4VQ8B33cfNfeJCgPOgzAs%2FL%2BMNHWT%2FerKUsm54XzRjKc7Hj9l3z2QLhIQVZp5Id2vcjNzh0MFHlXyCRg%2BCRvOvgx0xrYhLZqtoqELzjILpne37fn1qdnIcsKetBDrE6ruJKWu%2F8Oo7H1ez6yrfqjhCdyM8D8tbxAnstrpjCsaN%2BAFCEqDB%2Fhv1aQNu35h1iagFKa%2FshbE5a7DmF%2BLIq4oxNNr65QbxdZPfXVlPkBNhC%2BfxK%2BOqICHY2492e9ixIAjfBsie2kWO08AahMC4YbQD5%2FT0jhUdf67fSsPd8YCUmBonb6hAafCYbXF1bgOAqq3k3EN%2FH%2B6mjgzN6Lgf%2B%2FGV5k6Sw%3D%3D,0,0,0,0,2,#443922805,Apple,TPU,NA,NA
15, Estuche Funda Silicona Para iPhone 6 7 8 7 6 Plus Xr Xs Max ,450,NA,484,94,18 cuotas,25.00,NA,Envío a todo el país,NA,NA,4.7,34,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,https://articulo.mercadolibre.com.uy/MLU-446243554-estuche-funda-silicona-para-iphone-6-7-8-7-6-plus-xr-xs-max-_JM,27,6,0,1,0,#446243554,Apple,Silicona,NA,NA
16, Protector Fino Simil Cuero iPhone 8 7 6s 6 Se 5s 5 Y Plus ® ,380,NA,806,3985,18 cuotas,21.11,NA,Envío a todo el país,NA,NA,4,25,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443202210-protector-fino-simil-cuero-iphone-8-7-6s-6-se-5s-5-y-plus--_JM?searchVariation=38047510139,12,7,2,3,1,#443202210,Apple,Cuero,NA,NA
17, Funda+silicona+case iPhone 6 7 8 X Plus Apple Gofix ,490,NA,9,105,18 cuotas,27.22,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GOFIXUY,https://articulo.mercadolibre.com.uy/MLU-455251573-fundasiliconacase-iphone-6-7-8-x-plus-apple-gofix-_JM,NA,NA,NA,NA,NA,#455251573,Apple,Silicona,NA,Apple
18, Protector 360 Magnetico iPhone 6s Plus 8 8 Plus X Xr Xs Max ,540,NA,38,43,18 cuotas,30.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=gQuIJRBrsT1XiHA%2FLcBTfU%2BTMo3KcJxAShsAbRVeQZc8ci3Q2MzzwSeRooF2BXg%2Fe%2B8ASa10G96qf9bMvYccasetkWUbLtq3VmfUmJVolJtcKAMFh%2BWBoChQRCnHe%2B7aWGQOJcILPWT9wBYfdSHwsHpJHASS52d2ysqVsSM7M2qUgR2YegXQcZGseClGxmvgnGQmxq%2FMYZFbn9DgzjdTVftDGpYyZ%2FWGWsTM4JH6S8%2Bsarnb3sIsoezZ%2BTUW6xow%2FEndnKa%2FMbh7%2BPXUMCYpzpoz0NPxT40PafFOjaSZ7ll4MD5vVK4t38t27jU3L%2FMOzoZWh0QwARKrlzHUmggYAPJtyEdWZP52oq2vS%2B6YY4kwSJqU9D6JMaWdgPu2ITOGoRvq42xC10I6IjuZSd5d%2FRerDd0pQwTnUKnfZYwiMqFQTTtRoAmmor9hd7XaBwaAivicgI4zbQW%2BsqQ0Y9b2LNPY4b2H4FM7tAJ7fxjxvIdE0ikQwHyj5JbAxFcgU2JHd5IWJ5A%2F6Ck0kGmoTMSogho3rO1fACdt9G40Qo3l1bTA2elok0M9zR%2BeBwAwoOVvXWRpOpNLGhQ%2BLMjUgjunNdtcUJz0YDD90YJaBV6t7ClPf80OtYlwsU6WXlxQim1nEOlBA15%2FWRTF686eePc0uBp1s56tZuiJK4jV1dZIYSxg%2B5%2B7YHx2Rox9VDVms%2BdO3aog4No%2B2ZaMDJx8pywOki4VS2HSXzPBuyJOL2FiyfjeXt4FwHr1pKZLuFnXprvGwhN4XEei%2BoTe7eG8XHFO7iRIV99krcxVBCeSu13vI%2FHIllfSiT56bMs1%2BGO2qEOcWY1ugFNtOgYMfEcVpR4u60UXl8V017n7Ac5MsCyharOTjvr8%2B%2BCodc6kuilqTSX%2BTlKA2qZGzNekjVkiLpz0AAdDZN5LMUA8JfA5Pu61Fa1%2B0KKM40nxOc5QZ4RktUzzPmoDijFNjNgCpArhhOfaqxEe%2B5l453HX1PKsJCzLbZU6NlZ2HCUiJa0RQvuFh0pPpGOutUaYWS7JLKG8o%2Bkgh7XZLAn6bRpu%2BDTVmHCtomC2Z6hR1%2FMYnqCFitmCNnZqyUzZXcVWe6cJ9VfbTwZwzJFRpv%2FG9oHkSWPOVPeYdMSKC233t69R9%2BpRsyUcG47Uio7wLN5dkj%2BOXiMAbeE5%2BjjhTPIaPgHWYmybJ9RQ8l9y3XK9tUeQTRGD21N2njZi9u59RgKxbazXcUQ6M2DxcwVUeMvey4ETxJKMVLE62UuroMlvJi%2FTIxpK9F0ErRvQOHscyRA3VjhZ8BrEMqglvfzs6pNq6xl3UVsllbHcg3uuf4Aya3fYuSkKXuvjYHEzCnrDFh8mpTGOb%2Bh6LIaZhNatw3xfLqJh%2BJKwxKkr%2FGZVZq7FMU45fqiZ7wE%2FGnqa3B7sLIWGNCB9qDiSFYeBAcBRTV7tNLFAWoG6BPlra%2Bd%2FHxisG9I0%2B8Xi0FWACsg50zFcByUmLrFXZhIai8bT0WK33lJ%2FAqW4RcQnj4J%2FeXCw147TpZZ5mBV1R2Nzzfmu4Su5QH53lAfMo5S9wTlKSUauTN%2BFj%2FuBlBbseqCSJKf2vdYiPaeGliLnuy6xx7BLMSCKvjmOGDoIgt%2BteoDgSPv7wPo7bZF6Qmg1rmCMOBWEj%2BrdJDxIaGDhQ8hHjry%2Fq7pLndQVqoC7zqthvMbObm0CiCrFRZJvzW3ae0B9qu%2BOh%2Bv0BX2wTYP3u2LbmzejaxJZOeQ4j0sm5EMbNDeeCNJ2I7uwZEJ%2FUdgu120Gahe8AdeyimtuoYl5YLCF,NA,NA,NA,NA,NA,#460107403,Apple,NA,NA,NA
19, Brazalete iPhone 8 7 6s 6 Plus Note Y Otros Hasta 16x9cm ® ,100,NA,275,5000,18 cuotas,5.56,NA,Envío a todo el país,NA,NA,4.3,11,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443333995-brazalete-iphone-8-7-6s-6-plus-note-y-otros-hasta-16x9cm--_JM,6,2,3,0,0,#443333995,Apple,Neopreno,NA,Genérico
20, Protector Tpu Premium + Vidrio Templado iPhone 8 7 6s 6 Plus ,150,NA,185,122,18 cuotas,8.33,NA,Envío a todo el país,NA,NA,4.6,5,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-440300653-protector-tpu-premium-vidrio-templado-iphone-8-7-6s-6-plus-_JM,3,2,0,0,0,#440300653,Apple,TPU,S LINE,NA
21, Estuche Case Funda Sellada iPhone X 6 7 8 Plus Clicshop ,490,NA,35,47,18 cuotas,27.22,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-454146701-estuche-case-funda-sellada-iphone-x-6-7-8-plus-clicshop-_JM,2,0,0,0,0,#454146701,Apple,Silicona,NA,NA
22, Protector Funda Estuche iPhone 5 Se 6 6s 7 8 Plus X Xs Xr ,199,NA,105,3,18 cuotas,11.06,NA,Envío a todo el país,NA,NA,4.6,9,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-449569369-protector-funda-estuche-iphone-5-se-6-6s-7-8-plus-x-xs-xr-_JM,7,0,2,0,0,#449569369,Apple,Silicona,NA,NA
23, Protector iPhone Resistente Al Agua iPhone 5 5s Se 7 8 Plus ,350,NA,104,25,18 cuotas,19.44,NA,Entrega a acordar con el vendedor,NA,NA,4.2,5,http://perfil.mercadolibre.com.uy/MEGACASEUY,https://articulo.mercadolibre.com.uy/MLU-449329522-protector-iphone-resistente-al-agua-iphone-5-5s-se-7-8-plus-_JM,3,0,2,0,0,#449329522,Apple,NA,NA,NA
24, Carcasa Case iPhone Original Silicona 6 7 8 6/7/8pls 10 X Xs ,390,NA,6,160,18 cuotas,21.67,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,https://articulo.mercadolibre.com.uy/MLU-464439097-carcasa-case-iphone-original-silicona-6-7-8-678pls-10-x-xs-_JM?searchVariation=39510407174,NA,NA,NA,NA,NA,#464439097,Apple,Silicona,Todos,Apple
25, Protector Super Reforzado iPhone 5 5s Se 6 6plus 7 8 8 Plus ,210,NA,92,201,18 cuotas,11.67,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/MEGACASEUY,https://articulo.mercadolibre.com.uy/MLU-445375131-protector-super-reforzado-iphone-5-5s-se-6-6plus-7-8-8-plus-_JM,1,1,0,0,0,#445375131,Apple,TPU,NA,NA
26, Funda Protector iPhone 7 8 Plus Original Cuero Envio Gratis ,26,NA,13,9990,18 cuotas,51.16,NA,Envío gratis a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/MONTEVIDEOPC1,https://articulo.mercadolibre.com.uy/MLU-455451267-funda-protector-iphone-7-8-plus-original-cuero-envio-gratis-_JM,2,0,0,0,0,#455451267,Apple,NA,NA,NA
27, Protector Funda iPhone 8 Plus Ardillas Carcasa ,599,NA,3,3,18 cuotas,33.28,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-449485678-protector-funda-iphone-8-plus-ardillas-carcasa-_JM,NA,NA,NA,NA,NA,#449485678,Apple,Silicona,NA,NA
28, Estuche Espejados Aluminio iPhone 8 7 6 6 Plus 5 Se ,90,NA,152,85,18 cuotas,5.00,NA,Envío a todo el país,NA,NA,4.6,5,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,https://articulo.mercadolibre.com.uy/MLU-445173371-estuche-espejados-aluminio-iphone-8-7-6-6-plus-5-se-_JM,4,0,1,0,0,#445173371,Apple,Aluminio,Espejados,NA
29, Funda+silicona+case iPhone 6 7 8 X Plus Originales Gofix ,490,NA,3,111,18 cuotas,27.22,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GOFIXUY,https://articulo.mercadolibre.com.uy/MLU-455251631-fundasiliconacase-iphone-6-7-8-x-plus-originales-gofix-_JM,NA,NA,NA,NA,NA,#455251631,Apple,Silicona,NA,NA
30, Estuche Carcasa Brillantina Rígido Para iPhone 6 Plus 7 8 ,90,NA,85,90,18 cuotas,5.00,NA,Envío a todo el país,NA,NA,5,4,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,https://articulo.mercadolibre.com.uy/MLU-445052626-estuche-carcasa-brillantina-rigido-para-iphone-6-plus-7-8-_JM,4,0,0,0,0,#445052626,Apple,TPU,Brillantina Rigida,NA
31, Funda Estuche Bateria Cargador Remax iPhone 8 7 / 7 Plus ® ,790,NA,4,96,18 cuotas,43.89,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-453221503-funda-estuche-bateria-cargador-remax-iphone-8-7-7-plus--_JM,NA,NA,NA,NA,NA,#453221503,Apple,NA,NA,NA
32, Carcasa Protector Estuche Funda iPhone 7 8 Plus Original ® ,789,NA,2,4998,18 cuotas,43.88,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-459165088-carcasa-protector-estuche-funda-iphone-7-8-plus-original--_JM,NA,NA,NA,NA,NA,#459165088,Apple,Silicona,NA,NA
33, Protector Funda Silicona iPhone 8 7 Plus Rock 3d Carcasa ,249,NA,3,2,18 cuotas,13.83,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-449413855-protector-funda-silicona-iphone-8-7-plus-rock-3d-carcasa-_JM,NA,NA,NA,NA,NA,#449413855,Apple,Silicona,NA,Apple
34, Protector Funda iPhone 8 Plus 7 Plus Lucky 7 Carcasa ,399,NA,2,4,18 cuotas,22.17,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448792410-protector-funda-iphone-8-plus-7-plus-lucky-7-carcasa-_JM,NA,NA,NA,NA,NA,#448792410,Apple,NA,NA,Apple
35, Protector Original iPhone 8 Plus Azul Pro ,1290,NA,0,50,18 cuotas,71.67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/PRO-ACCESORIOS-Y-CELULARES,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=QQZX8WFZKDhFumlaVM9xtd1VqK38uama%2BTL4z32dqnhh4pWhePVW2O9ihAQtvXe%2BStEgYR6PeKNN8rlL6nxQ2YbDXY77V4pCJQRNz%2BIxOMe1i21w%2FfDD47uIP0e4Jeoc6w7OU2iZZIZIto4ZTP%2BKRZWC7srjcZUGRHIwdMv5ikdtFIL2DxCS1NApYzwbi%2B1idxkUV7a4W0QMBmIkO1CgpZ3Tui0lMmuWkWROO2aVwgfOXCFkan9uYtPvUO%2BldDfCGeTf1M5%2FCTrBL2Rmucfuj8wuXOsyOEn8TJDlEw064xrriGck7Sc4Lp3vnWLSHgHkIuwa9UtjgbKabaNgHScK0%2BntHqfgUA5%2BvCpPWPNZt3WgRkA9y1OrdvF%2BsXHruuPyhEWy4dmu3op5Ak%2Fr3TU8ceYIS25TEz7Q2rXoJKXhZSks5hx73MwrWFrA0hidT3cvHJl5OOA8IF7iZvEdRgRwQBUkmqaYnTvFYawE%2FopYLDG3NROd1rrLOHQ129hXsX1yGtEiXHYFG9Ee1tersXl5XP5%2BaXT54c6YqzLr5qRRYbmvNl8pppjfvwYl6ykDXOaA2Q%2F6o%2BxpzcO9YijwD6MyLDiMNQCYMwzp2zRq0Sg5Uvaqwu%2BYbdXY9tJCM7et3Ey0C2pBCj%2B8gxqQEOjA4x%2FumH%2Fi%2FnYOOR%2BL8z9twEgRpBRfWFaPALS1tkLx14B0ZxhiPmMJmUepfB1H3bLW3U8h2PiBqF38NQ90DL0DexBO8GIADMTqI3WuBqEido0hpf79AHbgOeBu%2Fn5rV%2BWT4yaX68OLchpsTfVpIjx7AwVZtjAf0r14QzAi3DJ2LeKV%2FoJxgTc%2FQpDzNe4wla%2F0uct0diJY%2BMIiUwCYah7Qb0qyo%2F9Ptc125OUslkYATZ9WZSMTUKJWp3kb7%2FdCaGgBwl50G7kH7a7NHEmZ%2F6c3TUt7qK%2FT3gMLqx62PRAn4Icwr%2BBkSKiuuCc9nH9hTNxR0JnqhlrGlzPdUKCmZxSlGiRCKWzegngWANu3GxVWcnKWjiw8%2FiMakq9acjG0dFisVQr9MSvF6V5hknxYfqgub1rAfL3P40goNbTNF0cdbWiPJMhHeo%2FSBukiNnn0B6cUlfYxNTPbcFRpRW4z0YfcpMYZPsaSlqrqYIWyhxYZECTcruQTg2rIvCar1tljOqtn4yolulSUUEfLgnfx5I1ju3URwa3yhJDzb3MEr4bpgwtEZaO1Ls%2F9QzLWSbu19s9k2zmdeh8ksvgM7rpuEpswwyVrS0WRD8QySd4Ek%2Fb882of02jemugyVuq29mO%2BiWlJb87UzIuL0I2kLxQtLaPyneaUP5AS%2BGK5TGeDV8TNOXCJ9rkKlTLa3YPuEJXYC4IxY2Fh%2BqbCXBcc51YcqIQRD1ZfhCJdNiYT%2F2ccgVOEDIkIJ1IoRb%2B9x3Cp3thoVo%2B%2B%2F%2BvpuvLDFsDh%2BcTJ7e9cFP6NY7OQlUGKG1lkLnT4KfLWCHX%2BkaCzEHns7SAQ8bXy3UkgLqWIhWfuiKecM7urcVqtMWD1Gi4ahpoPWdFk6fDkZ7tmTlxCj%2FyoMMxnw6W51U9rYuyuKPwwlO2%2FSXgMj0greGO8MrTqi0WFsKDo8K%2FQY%2BG0wWUMAu3ObSXii8b2uk%2B8ZanIwx8qujCv0YwRQXVt%2FE3Agyr0LEbZofOnUOg08JyWQSc90ODYPEY%2FMkGXSuxJvIAqQOaYh1y4k5bggWLW5PJDIJ1j%2F4hraZzpUi%2FZe7eTQxnC5XHxHw9Pp8cf%2BuqCZSY7IR7gq%2BYpcySZ,NA,NA,NA,NA,NA,#457349548,Apple,NA,NA,NA
36, Protector Funda Summer iPhone X 10 8 Plus 8 Summer ,350,NA,4,2,18 cuotas,19.44,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-450412550-protector-funda-summer-iphone-x-10-8-plus-8-summer-_JM,NA,NA,NA,NA,NA,#450412550,Apple,Silicona,NA,NA
37, Estuche Carcasa Funda Cromado Flores iPhone 6 7 8 7 Y 8 Plus ,90,NA,170,100,18 cuotas,5.00,NA,Envío a todo el país,NA,NA,4.8,13,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,https://articulo.mercadolibre.com.uy/MLU-444678980-estuche-carcasa-funda-cromado-flores-iphone-6-7-8-7-y-8-plus-_JM,11,1,1,0,0,#444678980,Apple,TPU,NA,NA
38, Protector Funda iPhone 8 7 6 Plus Silicona 3d Alien ,199,NA,4,17,18 cuotas,11.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448209107-protector-funda-iphone-8-7-6-plus-silicona-3d-alien-_JM,NA,NA,NA,NA,NA,#448209107,Apple,Silicona,NA,Apple
39, Funda Case Blue Ray - iPhone 7g-8g / 7 Plus / 8 Plus ,350,NA,6,14,18 cuotas,19.44,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GABRIELAGUILAR122,https://articulo.mercadolibre.com.uy/MLU-449355071-funda-case-blue-ray-iphone-7g-8g-7-plus-8-plus-_JM,NA,NA,NA,NA,NA,#449355071,Apple,NA,NA,NA
