search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Color,Marca,Modelo,Material
11, Case Funda Protector Supcase iPhone 7 8 Y Plus Stock Colores ,39,NA,160,104,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,5,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-421205404-case-funda-protector-supcase-iphone-7-8-y-plus-stock-colores-_JM,4,1,0,0,0,#421205404,Apple,NA,NA,NA,NA
12, Case iPhone 7/8 / 7/8 Plus X De Cuero Louis Vuitton Y Gucci ,65,NA,8,492,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/MALUPHONE,https://articulo.mercadolibre.com.pe/MPE-433215134-case-iphone-78-78-plus-x-de-cuero-louis-vuitton-y-gucci-_JM?searchVariation=40515285935,1,0,0,0,0,#433215134,Apple,NA,NA,NA,Cuero
13," Case Funda Anti Golpe Caída iPhone 6, 6+, 7/8, 7/8 Plus, X ",34,NA,4,46,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/RODRI+STORE01,https://articulo.mercadolibre.com.pe/MPE-432630035-case-funda-anti-golpe-caida-iphone-6-6-78-78-plus-x-_JM,NA,NA,NA,NA,NA,#432630035,Apple,NA,NA,NA,TPU
14, iPhone Case Fibra Carbono 8 7 Plus X Protector Funda Cover ,24,NA,5,15,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,https://articulo.mercadolibre.com.pe/MPE-433924614-iphone-case-fibra-carbono-8-7-plus-x-protector-funda-cover-_JM,NA,NA,NA,NA,NA,#433924614,Apple,NA,NA,NA,NA
15, Case Delgado Mate Para iPhone X Xr Xs Max 7 8 Plus Protector ,69,NA,5,94,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989675-case-delgado-mate-para-iphone-x-xr-xs-max-7-8-plus-protector-_JM,NA,NA,NA,NA,NA,#435989675,Apple,Negro,NA,NA,NA
16, iPhone 8 Plus Billetera Funda De Phone iPhone 7 Plus Funda X ,147,NA,1,11,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436462758-iphone-8-plus-billetera-funda-de-phone-iphone-7-plus-funda-x-_JM,NA,NA,NA,NA,NA,#436462758,Apple,Red,XRPOW,NA,Cuero
17, Funda Case Protector Antishock iPhone 7/8/plus Delgada ,15,NA,5,90,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-432695703-funda-case-protector-antishock-iphone-78plus-delgada-_JM,NA,NA,NA,NA,NA,#432695703,Apple,NA,NA,NA,NA
18, Lunatik iPhone 5/6/6s 7/7plus 8/8plus Armadura De Aluminio ,125,NA,3,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ALBERTOPP75,https://articulo.mercadolibre.com.pe/MPE-428313439-lunatik-iphone-566s-77plus-88plus-armadura-de-aluminio-_JM,NA,NA,NA,NA,NA,#428313439,Apple,Negro,NA,NA,Aluminio
19, Rock Case Funda Protector Moc Series iPhone 7 / 8plus ,50,NA,4,29,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-430286444-rock-case-funda-protector-moc-series-iphone-7-8plus-_JM,NA,NA,NA,NA,NA,#430286444,Apple,Roja,NA,NA,NA
20," Case Funda iPhone 6, 6s, 7/8, 7/ 8 Plus, X, Xs, Xr ",55,NA,1,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-436663632-case-funda-iphone-6-6s-78-7-8-plus-x-xs-xr-_JM,NA,NA,NA,NA,NA,#436663632,Apple,NA,NA,NA,NA
21, Protector Case Funda De Silicona iPhone 6/6s 7/8 Plus ,39,NA,3,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SERGIOAMARANTOPEREA,https://articulo.mercadolibre.com.pe/MPE-431846795-protector-case-funda-de-silicona-iphone-66s-78-plus-_JM,NA,NA,NA,NA,NA,#431846795,Apple,NA,NA,NA,NA
22, Case Consola Retro Games iPhone 6s 7 8 Plus Xs Funda Juegos ,54,NA,3,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,https://articulo.mercadolibre.com.pe/MPE-431938397-case-consola-retro-games-iphone-6s-7-8-plus-xs-funda-juegos-_JM,NA,NA,NA,NA,NA,#431938397,Apple,NA,NA,NA,NA
23, Funda Case Protector Marmol Laut iPhone 8+ 7+ 8 Plus 7 Plus ,80,NA,1,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MVH+STORE,https://articulo.mercadolibre.com.pe/MPE-430059713-funda-case-protector-marmol-laut-iphone-8-7-8-plus-7-plus-_JM,NA,NA,NA,NA,NA,#430059713,Apple,NA,NA,NA,NA
24, Funda iPhone 5s/se/6/6plus/7/7plus/8/8plus Luxury Case ,45,NA,15,47,NA,NA,NA,Envío gratis a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-428375700-funda-iphone-5sse66plus77plus88plus-luxury-case-_JM,1,0,0,0,0,#428375700,Apple,Rosa dorado,NA,NA,NA
25, Funda Cases Protector 360 + Mica De Vidrio iPhone 8 & 8 Plus ,45,NA,1,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ASMOBILEACCESORIES,https://articulo.mercadolibre.com.pe/MPE-432015260-funda-cases-protector-360-mica-de-vidrio-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#432015260,Apple,NA,NA,NA,NA
26, Funda Case Bumper Aluminio Espejo iPhone 5 6 7 8 Plus ,35,NA,6,94,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTOREPUNTOPE,https://articulo.mercadolibre.com.pe/MPE-423672540-funda-case-bumper-aluminio-espejo-iphone-5-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#423672540,Apple,NA,NA,NA,NA
27, Funda iPhone Case 5s/se/6/6plus/7/7plus/8/8plus Multi Case ,40,NA,36,38,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430509893-funda-iphone-case-5sse66plus77plus88plus-multi-case-_JM,NA,NA,NA,NA,NA,#430509893,Apple,Roja,NA,NA,NA
28, Protector Case Funda Delgado iPhone 7/8/plus/x Aluminio ,99,NA,93,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,3,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-422979822-protector-case-funda-delgado-iphone-78plusx-aluminio-_JM,3,0,0,0,0,#422979822,Apple,NA,NA,NA,NA
29, Funda Case Protector Bumper Anti Shock iPhone 7/8/plus/x ,129,NA,4,16,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-429994028-funda-case-protector-bumper-anti-shock-iphone-78plusx-_JM,NA,NA,NA,NA,NA,#429994028,Apple,Roja,NA,NA,NA
30, Funda Case Protector 360 iPhone 8/8plus/x + Vidrio Pantalla ,69,NA,1,999,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-426538133-funda-case-protector-360-iphone-88plusx-vidrio-pantalla-_JM,NA,NA,NA,NA,NA,#426538133,Apple,NA,NA,NA,NA
31, Case iPhone X Xs Max Xr 7 8 10 Plus + Gancho Y Mica Supcase ,129,NA,1,98,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990497-case-iphone-x-xs-max-xr-7-8-10-plus-gancho-y-mica-supcase-_JM,NA,NA,NA,NA,NA,#435990497,Apple,NA,NA,NA,NA
32, Case iPhone X Xs 7 8 5s Plus Max Xr + Mica Supcase Original ,129,NA,1,98,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989860-case-iphone-x-xs-7-8-5s-plus-max-xr-mica-supcase-original-_JM,NA,NA,NA,NA,NA,#435989860,Apple,NA,NA,NA,NA
33, Case iPhone 5 5s Se 8 7 Y Plus Súper Protector 360° Supcase ,129,NA,1,98,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990424-case-iphone-5-5s-se-8-7-y-plus-super-protector-360-supcase-_JM,NA,NA,NA,NA,NA,#435990424,Apple,Negro,NA,NA,NA
34, Protector Case Ringke Fusión Bumper iPhone X 7 8 Y Plus ,59,NA,63,189,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,2,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-421426418-protector-case-ringke-fusion-bumper-iphone-x-7-8-y-plus-_JM,0,2,0,0,0,#421426418,Apple,NA,Ringke,Fusion,NA
35, Case Slim Tpu Transparente Marca Nillkin iPhone 7 / 8 Plus ,25,NA,1,28,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-432175719-case-slim-tpu-transparente-marca-nillkin-iphone-7-8-plus-_JM,NA,NA,NA,NA,NA,#432175719,Apple,NA,Nillkin,NA,NA
36, Case Funda Protector Spigen iPhone X 7 8 Y Plus Original Usa ,89,99,217,37,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,7,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-421175972-case-funda-protector-spigen-iphone-x-7-8-y-plus-original-usa-_JM,4,2,1,0,0,#421175972,Apple,NA,NA,NA,NA
37, Estuche Cuero Correa Samsung iPhone X Xs 7 Plus 8 Luxmo ,30,NA,1,28,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-434092787-estuche-cuero-correa-samsung-iphone-x-xs-7-plus-8-luxmo-_JM,NA,NA,NA,NA,NA,#434092787,Samsung,NA,Samsung,NA,Cuero
38, Funda Case iPhone 6 7 8 Plus X Xs Max Xr Otterbox Defender ,60,NA,1,19,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-434433295-funda-case-iphone-6-7-8-plus-x-xs-max-xr-otterbox-defender-_JM,NA,NA,NA,NA,NA,#434433295,Apple,NA,OtterBox,Defender,NA
39, Case Premium iPhone 7 8 Plus Xr Protector Funda Anti-shock ,49,NA,0,30,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SABO520433,https://articulo.mercadolibre.com.pe/MPE-434229773-case-premium-iphone-7-8-plus-xr-protector-funda-anti-shock-_JM,NA,NA,NA,NA,NA,#434229773,Apple,NA,NA,NA,NA
40," Case Funda iPhone 6, 6s, 7/8, 7/8 Plus Y Xr ",55,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-436695536-case-funda-iphone-6-6s-78-78-plus-y-xr-_JM,NA,NA,NA,NA,NA,#436695536,Apple,NA,NA,NA,NA
41, Case iPhone 7 6 Plus Galaxy Note 9 8 S9 C/ Vidrio Funda Usa ,169,NA,2,97,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-432123028-case-iphone-7-6-plus-galaxy-note-9-8-s9-c-vidrio-funda-usa-_JM,NA,NA,NA,NA,NA,#432123028,Apple,NA,NA,NA,NA
42, Case Funda Resistente Color Camaleón Para iPhone 8 Y 7 Plus ,49,NA,0,2,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/YAJOMATECH,https://articulo.mercadolibre.com.pe/MPE-434939764-case-funda-resistente-color-camaleon-para-iphone-8-y-7-plus-_JM,NA,NA,NA,NA,NA,#434939764,Apple,Verde,Apple,Case color Camaleon,NA
43, Protector Bumper Funda Case iPhone 7/8/plus/x Aluminio Pro ,59,NA,39,16,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-427126693-protector-bumper-funda-case-iphone-78plusx-aluminio-pro-_JM,NA,NA,NA,NA,NA,#427126693,Apple,NA,NA,NA,NA
44," Case Funda iPhone 6s, 7, 8,7 Plus, 8 Plus,x,xs, Xr Y Xs Max ",55,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-436695527-case-funda-iphone-6s-7-87-plus-8-plusxxs-xr-y-xs-max-_JM,NA,NA,NA,NA,NA,#436695527,Apple,NA,NA,NA,NA
45, Funda Con Tapa Cuero Genuino Para iPhone 8 Plus Y 7 Plus ,109,NA,12,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/YAJOMATECH,https://articulo.mercadolibre.com.pe/MPE-429033178-funda-con-tapa-cuero-genuino-para-iphone-8-plus-y-7-plus-_JM,NA,NA,NA,NA,NA,#429033178,Apple,NA,icarer,Flip Cover Curvo Cuero Genuino,Cuero
46, Funda Case Protector Aluminio iPhone 7/8/plus/x Delgado+glas ,109,NA,25,75,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-422979846-funda-case-protector-aluminio-iphone-78plusx-delgadoglas-_JM,1,0,0,0,0,#422979846,Apple,NA,NA,NA,NA
47, Case Funda Original Jelly iPhone 7plus / 8 Plus / 6 Plus ,28,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AZTILEYRODRIGUEZ,https://articulo.mercadolibre.com.pe/MPE-435783718-case-funda-original-jelly-iphone-7plus-8-plus-6-plus-_JM,NA,NA,NA,NA,NA,#435783718,Apple,NA,NA,NA,NA
48," Case Funda Silicona iPhone 6, 7, 8, X, Plus ",15,NA,54,48,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,2,1,http://perfil.mercadolibre.com.pe/MAOMATACASTILLO,https://articulo.mercadolibre.com.pe/MPE-433067982-case-funda-silicona-iphone-6-7-8-x-plus-_JM,0,0,0,1,0,#433067982,Apple,NA,NA,NA,NA
49, Case iPhone 7 Plus 7+ 7 8 8+ Funda Cover Extrema Thor Metal ,130,NA,4,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-421670783-case-iphone-7-plus-7-7-8-8-funda-cover-extrema-thor-metal-_JM,NA,NA,NA,NA,NA,#421670783,Apple,NA,NA,NA,NA
50, Funda Case Protector Anti Caída iPhone 7/8/plus/x/s/r/max ,149,NA,136,99,NA,NA,NA,Envío gratis a todo el país,NA,NA,4.2,5,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-425935369-funda-case-protector-anti-caida-iphone-78plusxsrmax-_JM,4,0,0,0,1,#425935369,Apple,NA,NA,NA,NA
51, Protector Bumper Funda Case iPhone 6 / 6s 7 / 8plus Aluminio ,75,NA,11,13,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-426950928-protector-bumper-funda-case-iphone-6-6s-7-8plus-aluminio-_JM,NA,NA,NA,NA,NA,#426950928,Apple,NA,NA,NA,NA
52, Funda Case Protector Militar Antishock iPhone 7/8/plus/x ,109,NA,10,90,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-424941759-funda-case-protector-militar-antishock-iphone-78plusx-_JM,NA,NA,NA,NA,NA,#424941759,Apple,Désir,NA,NA,Aluminio
53, Funda Case Protector Todo Terreno iPhone 7/8/plus/x Aluminio ,229,NA,10,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-424962913-funda-case-protector-todo-terreno-iphone-78plusx-aluminio-_JM,NA,NA,NA,NA,NA,#424962913,Apple,Aluminio,NA,NA,NA
54, Funda Bumper Case iPhone 7/8/plus/x Aluminio Antishock ,129,NA,1,9,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-427847071-funda-bumper-case-iphone-78plusx-aluminio-antishock-_JM,NA,NA,NA,NA,NA,#427847071,Apple,Roja,NA,NA,NA
55, Funda Case Protector Delgado Mate iPhone 7/8/plus/x ,69,NA,18,32,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-425119317-funda-case-protector-delgado-mate-iphone-78plusx-_JM,1,0,0,0,0,#425119317,Apple,NA,NA,NA,NA
56, Funda De Mickey Mouse Para iPhone 7 Plus Y 8 Plus ,50,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REVOLUTION.STAR,https://articulo.mercadolibre.com.pe/MPE-436464787-funda-de-mickey-mouse-para-iphone-7-plus-y-8-plus-_JM,NA,NA,NA,NA,NA,#436464787,Apple,NA,NA,NA,Cuero
57, Case Mate Funda Case Cuero Genuino iPhone X Xs 8 7 6 6s Plus ,149,NA,0,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436147670-case-mate-funda-case-cuero-genuino-iphone-x-xs-8-7-6-6s-plus-_JM,NA,NA,NA,NA,NA,#436147670,Apple,Black,NA,NA,Cuero
58, Case Armor Protector Funda Soporte iPhone 5 6 7 8 Plus ,49,NA,0,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MOBITECH.PE,https://articulo.mercadolibre.com.pe/MPE-432409559-case-armor-protector-funda-soporte-iphone-5-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#432409559,Apple,NA,NA,NA,NA
59," Case Funda Protector iPhone 7, 8, 7/8 Plus, X, Xs Y Xr ",35,NA,0,3,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-435296680-case-funda-protector-iphone-7-8-78-plus-x-xs-y-xr-_JM,NA,NA,NA,NA,NA,#435296680,Apple,NA,NA,NA,NA
60, Case iPhone Funda 6/6plus 7/8 7/8plus X/xs Max /xr / Xs /6s ,29,NA,0,24,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAROLD25X,https://articulo.mercadolibre.com.pe/MPE-436847777-case-iphone-funda-66plus-78-78plus-xxs-max-xr-xs-6s-_JM,NA,NA,NA,NA,NA,#436847777,Apple,NA,NA,NA,NA
61, Case iPhone 8 7 Plus Supcase Funda Gancho Armor Anti Shock ,159,NA,2,23,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-421249696-case-iphone-8-7-plus-supcase-funda-gancho-armor-anti-shock-_JM,NA,NA,NA,NA,NA,#421249696,Apple,NA,NA,NA,NA
62," Case Funda Protector Silicona iPhone 6s Plus, 7plus, 8 Plus ",25,NA,1,8,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-434564795-case-funda-protector-silicona-iphone-6s-plus-7plus-8-plus-_JM,NA,NA,NA,NA,NA,#434564795,Apple,NA,NA,NA,NA
63, Funda Protector iPhone 7/8/plus/x Delgado Original ,49,NA,16,84,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-425414808-funda-protector-iphone-78plusx-delgado-original-_JM,1,0,0,0,0,#425414808,Apple,NA,NA,NA,NA
64, Funda Soporte Case Protector iPhone 7 Plus - 8 Plus ,39,NA,3,7,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TEVEN255,https://articulo.mercadolibre.com.pe/MPE-422461248-funda-soporte-case-protector-iphone-7-plus-8-plus-_JM,NA,NA,NA,NA,NA,#422461248,Apple,NA,NA,NA,NA
65, Case Funda Protector Bumper Aluminio iPhone 8/8plus + Vidrio ,135,NA,4,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-428113673-case-funda-protector-bumper-aluminio-iphone-88plus-vidrio-_JM,NA,NA,NA,NA,NA,#428113673,NA,NA,NA,NA,NA
