search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca da Capa,Marca de Celular,Modelo de Celular,Modelo da Capa,Tipo de capa,Material,Cor
11, Capa Case Capinha Silicone Aveludado iPhone 8 Plus Branco ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				226
				vendidos
			
		",(274 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 580
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,9,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165539317-capinha-silicone-aveludado-iphone-8-plus-verde-agua-_JM,8,1,0,0,0,#1165539317,Apple,Apple,Iphone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
12, Capinha Capa Anti Impacto P/ iPhone 5 Se 6 6s 7 8 Plus Xs Xr ,16,NA,"
			
				Novo
			
			
				
					 - 
				
				550
				vendidos
			
		",(18 disponíveis),"
	
		
			
		
		3x 
		
			
				R$ 566
		
		 sem juros
		
	

	
		",66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,10,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1230329082-capa-anti-impacto-p-iphone-6-7-8-10-x-xs-xr-pelicula-vidro-_JM?searchVariation=37033346817,8,2,0,0,0,#1230329082,HR,Apple,Escolher no anúncio.,TPU,Capinha,Silicone,NA
13, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8plus X Xr Xs Max ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				466
				vendidos
			
		",(791 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,8,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://produto.mercadolivre.com.br/MLB-1246923437-capinha-capa-case-silicone-iphone-7-plus-8-plus-aveludada-_JM,8,0,0,0,0,#1246923437,Silicone,Apple,iphone7 plus  iphone 8 plus,iPhone,Silicone,Silicone- Aveludada,NA
14, Capinha iPhone 8 Plus Apple 5.5 Poleg. Silicone Case Lacrada ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(398 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/AJCAPA,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=lpO9SHfNlKoGtYCHrUOzrXRdWBcMxzTMKujZyWAKUnQaX0u7PlicH%2B71OLJ3eqkMgBLkK0H%2BOb8TQTDjOEOF70q5DWwt7iBG8Dq6LNAMicfGehZPn3yWXqTmsXXr%2Bw%2Bja1RQYeWwMT5j0QAYYPAdomDY9I8K%2F%2BPCDQl91GaaVQHxDkQ5a09081ieLPaeTk5I%2BKWfKPu72T9%2FTlet6s6vn28hBR%2BkuNU8NmnX9JS%2BJ3qSptGcRwFYPMSrzFkwaMhFvaa84lQq3fP%2F5%2BUexrz3gti5%2Btu5XsCdV52j4ev30X7Nhb1RG7PbEZakvFx7A5xBg%2FGK%2BkXlfmS1IUWMK2DN4Csp0Mrt1ZT7PHIIYntaf4ynt6sIgOXNdekPEVUBkfmK0WXXfy38aS1xDPqMmAtceCWvYprGXnoaZTgBfrvJq%2B9VBMvSBetX1MKNtKELZMTeSqqqgDLoTaOGChA4SIRFk7C3GfabUCbimKNQatx5OjuugUaAjrc4YUBL1hSWStiLxy46m9BAt8TIlX3PAZvGmL45KEkThu00bh1S3TmJJJRjCyKwGZS%2BMMbrVIpj5hLjjzzmTbt8GJIma5395b59TiQki98l5OSBa9FvYCDiGu99%2F6yvgXjGT80Tu0iOeYcjF7LcUy90aGxoMJntAKU1PZhTDZYcnWR4wre%2BzVKTfby0fawW4xJxQQmVFmuq4KN5L%2B23H4KQSqmMFhkmgtPTpsYVUbFqsJqW3uf%2F2s5A8LIrOSlK60%2FYFS8xglAOkXbD1ZbKUJcAtqLaSMTcM%2F4Dd%2FSseVlBp2m2YuFajuKsQZfh%2Fa9n%2BPzCB7zvwG7vWdBcNoItFwPQLV9%2FwosHqUQx1Qm%2BogFBY%2FG5S9vJ4sFGA4Do2iEBUQsIuke%2FDj6jU2aBKsuamdqTCADZtsYsB2XpxNF1sM4n8X97NYoxtrxjpIIn%2FoKaIGBcJ8G903khJkyle04c7S5z6MeAPUSuz0ZD6sSSNRm7QeaD4UfG1hjceBU2ZyS7GbpBdx2ytlnVXoieelYqJ6W9idF1uB1aFLxHboNi0VfzcTeZd2Q%2FlDNPjX4d0crhEq3PBpkxjm3LmVo2fV%2BMl0Ms2wMfzMK1YwtQaLjhODKEKPMEzwTzFlhAFtJDz8IaMCSNgtEaYKTQw%2B0jBpNqAfmqNiXlgn1sYDT5s%2FeZ%2BWUd%2FJTq4W9AesPhGVA73o9r2EHVxLWXsYt4hWO4pXYpByc56t5gb5bywZseuptWEM%2FPD5Rk5lrp%2BHpR2F3SKDq3cMmjAgmsKU9kzWsrPkIYabZXgIxRT%2FhT6DEobd9DQd5ALAe7eVac4FclpmZwjNAX9nkq6G5kDoN3zcqPMuWT8%2Bogx5Dshd9mxRTBX50Bwa2nTw3kSpITVHgZxiETplSyanMgSh7Wpvm%2FHGfpzhQy8GOsrk%2FDWOXqMZcpTduWMjx%2F39De7f2JivCLd1wrvBPFWHZW0qiaveFTKIfB97g8vGUH5gTfZlDU4FWfb8DwVqmE63LTZmZG03YJoJP6OfNnX1Q1A7PG%2Fo%2BH7UcolvgzwYnTgrwKaA%2Fv201WYRyf3IM4%2B1TC2EOAm6JU3OKbXKJma9a73AUyujMwXmymvQHqNJCKqmNvXQoThtC%2B7uHkFg%3D%3D,NA,NA,NA,NA,NA,#1235179135,ADS,Apple,Iphones 6_6 plus_7_7 plus_8_8 plus_X_Xr_Xs Max,Magnética,Magnética,Vidro Temperado,NA
15, Capinha Aveludada Apple iPhone 5 Se 6 6s 6s 7 8 Plus Xr Xs ,23,NA,"
			
				Novo
			
			
				
					 - 
				
				387
				vendidos
			
		",(94 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 598
		
		 sem juros
		
	

	
		",98,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,7,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1012470928-capa-case-capinha-iphone-6s-6-plus-glitter-rosa-luxo-premiun-_JM?searchVariation=33828203324,4,1,2,0,0,#1012470928,TPU,Apple,Iphone,Transparente,Glitter,Silicone,NA
16, Capa Capinha Ultra Fina Fosca iPhone 6s Plus 7 8 Plus Novo ,16,NA,"
			
				Novo
			
			
				
					 - 
				
				350
				vendidos
			
		",(20 disponíveis),"
	
		
			
		
		3x 
		
			
				R$ 563
		
		 sem juros
		
	

	
		",63,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,5,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1056485759-capa-anti-impacto-p-iphone-5-6-7-8-10-x-xs-xr-pel-gel-_JM?searchVariation=26828489024,5,0,0,0,0,#1056485759,H+,Apple,Escolher no anúncio.,TPU,capinha de silicone,Silicone,NA
17, Capinha Silicone Aveludado iPhone 8 Plus Rosa ,12,NA,"
			
				Novo
			
			
				
					 - 
				
				1697
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		2x 
		
			
				R$ 649
		
		 sem juros
		
	

	
		",49,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,42,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1047637856-capa-anti-impacto-queda-iphone-5-se-6-6s-7-8-plus-xs-max-xr-_JM?searchVariation=26827542816,30,3,3,4,2,#1047637856,HR,Apple,Escolher no anúncio.,TPU,Capinha,Silicone,NA
18, Capinha Ultra Fina Fosca iPhone 6 6s Plus 7 Plus 8 Luxo Capa ,17,NA,"
			
				Novo
			
			
				
					 - 
				
				1221
				vendidos
			
		",(879 disponíveis),"
	
		
			
		
		3x 
		
			
				R$ 637
		
		 sem juros
		
	

	
		",37,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,33,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-689234987-capinha-anti-queda-silicone-iphone-x-xs-xr-max-5-se-6s-7-8-p-_JM?searchVariation=21674208427,25,4,2,1,1,#689234987,Marketmix1,Apple,Iphone,Silicone,Anti impacto,Silicone,NA
19, Capinha Silicone Aveludado iPhone 8 Plus Amarelo ,64,NA,"
			
				Novo
			
			
				
					 - 
				
				654
				vendidos
			
		",(1250 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 542
		
		 sem juros
		
	

	
		",42,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,28,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-687097200-capa-capinha-case-magnetica-iphone-6-7-8-7-plus-8-plus-x-xs-_JM?searchVariation=27812486572,15,3,4,2,4,#687097200,Marketmix1,Apple,Iphone,Magnetica,Silicone,Emborrachada,NA
20, Capinha Magnética iPhone 6_6plus_7_7plus_8_8plus_x_xr_xs Max ,189,NA,"
			
				Novo
			
			
		",(10 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1583
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SPIGEN+BRASIL,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=wLH8XSDIbx2np2VxBDgXKypbaZZaPasyc0O4aqjlfOTOuK1XnbpNoUe284KesVtRgbbMYRE5hys2JZ6dMdfyUNvJZ4iSuS8DnAEQDtKQcXyHW%2F5z1iW4GZ8tcbzoiCkahU8QAmGbvRgXyxPjQaarv2Tox726ZDKgDXbjdoHV5Dsn2mOEkkxnOXV1Rp7dKvFPENKEukYiggvCny%2BZFC79uQPFAyBUByFAKTi8qd%2F4%2F5FcjX84Jjf12bm6BKp1PRMwoLREf4VDoNemZ7WhCy95dt8byq4qYPyad7Auo4q%2FxQjjudIeXdTTxINFJYXeBiBV7bjKROZNdTeulFbitBfEfqAMJlPSfOWpiCHaiuGNYmzj60UFrcmZhaErf7OGo%2B2POzHL9PrV8ai3ZsJFlmSRb4zh%2F58bSC9ei9KK4wGxiY2t9wEktBvKKdlpymW4xnU7w0wWLUjmPCXvV7%2B6p7%2FDtT8yGLij5V2xs%2BvNTJABFuGwojrANWAH4cXVSFo1uxBCokRZ%2FkUhogx%2BbHf%2BDEnpZbjEfd1Jr1q3%2FzhbX3hH7ZYA0uqE2NIkl5yPAPlL3Ta33LKX2kSRoi8vwJxKFYmBe7sVLZWRWr2S31Zz8O3BSpoUONa8gxKAbs3GlaAQ%2FHLdGGXzdupyYU%2FKvagnlIuVF1ZPns9u9aXYtVlh7ggdP2ZUd%2BwcL03L4qcAmDU0edSs6Hy%2F0vnyxOiqv4ragO%2BtZsXr%2BtBenz4%2FfnRS6SePr6x1ftDJxVdUKLGmfOmJ3biu5Q%2Fe2YUUfAvmEp42uuaKlQFY6rC6uhu%2BJiM14PBIHx%2B6jMPYZGrnmsyAjiFa04Nx4G2Lqd5vw6j21KLk%2FQc9BKSuWtNbYGXTwCVhgOd7WR8eWCg3ryGhbDosXq1o%2BYmZvceuaQeWGl4GqOjkWot5iAB8HHPQtOcFJ%2FLyjdUwMyeRrFzOTkXLI5QHVpl%2B31uSDn6pE3DySzHTyD7etWVw6RQYAVNrAyTUYRpMClJ1%2B6psRmO7YrO6pcQAU%2B3G4Mv%2BO0P9wCDSAmTApyW%2Bm9PYARNQCeKFavh9HBC1T5IXhkH6JDqK%2Fv569PboySuaCAvmxLSr3FpFbS%2BF9CvN4h%2FE%2BFECZk4%2Bnr88f%2BU0rJXmE5AMPGCVxA%2BHFUwmJYzPoEINGeEUNQm8rEe150MjfpTzKS6mQ8gR3c2ymA9swVnnBlqW11fsgAD4hooOJnZBQ9ypIL4cp8SuIBPs%2BRKEzoNuOjflaIsjCWSNNiSmzBmj%2Bp0%2BM7K4q848gG18W2tQpJpZ1O6KMnomUXrP5mt26KTjpJ7fzidNdFsil%2F%2Fxhxxdzid6yMWmHDigo227jF6NFwXCbxUzUCesBFDNXRluovk1jlGIdhhD326UYp%2Fu%2FA4FEd%2FhJEkskShSj5Bzz04XcM08k1mkv4Sl3tmJx7aJ20vbPY2R9IE%2B0vNGH7JJm3gsW1jvMQM3LugI8F9LFTBBTXe08Q%2B7C4QTu9ytFcVaRbec2cnUAt2pzVwuggdaw3My0%2FMgqFUJ4ZA8jqnIEzx83DiTg6a9JkkmfWqwkwfUwb%2BgTS3K8Ws%2FCu4gMyT7xXvfBXuDoZ3a2jHtgHX5QuffBZ4qhGX8UWb0%2FEr%2F8WkVaQ%3D%3D,NA,NA,NA,NA,NA,#1252228122,Spigen,iPhone,iPhone 8/7 Plus,Valentinus Wallet,Carteira,Couro,NA
21, Capa Case Capinha Silicone Aveludado iPhone 8 Plus Preto ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				101
				vendidos
			
		",(399 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 580
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536270-capa-case-capinha-silicone-aveludado-iphone-8-plus-branco-_JM,NA,NA,NA,NA,NA,#1165536270,Apple,Apple,Iphone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
22, Capa Anti Impacto P iPhone 6 7 8 10 X Xs Xr + Película Vidro ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				2231
				vendidos
			
		",(3698 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 575
		
		 sem juros
		
	

	
		",75,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,100,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-686071680-capa-capinha-iphone-xs-x-xr-6-6s-7-8-plus-max-anti-impacto-_JM?searchVariation=20023563955,79,10,6,1,4,#686071680,Marketmix1,Apple,Iphone 5s/se/6/6s/7/Plus/X,Anti Impacto,Anti Impacto,Silicone,NA
23, Capa Capinha iPhone 8/8 Plus/7/7 Plus Caseology Parallax ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				83
				vendidos
			
		",(8846 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1204440894-capa-capinha-anti-impacto-luxo-iphone-6-7-8-plus-x-xr-xs-max-_JM?searchVariation=34758789527,NA,NA,NA,NA,NA,#1204440894,gkk,Apple,iphone,capa 360,capa protetor,TPU/Policarbonato,NA
24, Capa Capinha iPhone 8 Plus / 7 Plus Caseology Skyfall Case ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				214
				vendidos
			
		",(7639 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.7,6,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213999114-capa-capinha-magnetica-premium-iphone-7-8-plus-x-xs-xr-xsmax-_JM?searchVariation=37715721002,3,0,1,2,0,#1213999114,jk capas,Apple,iphone,Magnética,capa protetor,metal e vidro,NA
25, Capa Anti Impacto P/ iPhone 5 6 7 8 10 X Xs Xr + Pel. Gel ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				162
				vendidos
			
		",(65 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.7,7,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-926275689-capa-capinha-ultra-fina-fosca-iphone-7-tpu-case-varias-cores-_JM?searchVariation=33828300664,3,1,2,0,1,#926275689,Bumper,Apple,Iphone,Silicone,Silicone,Silicone,NA
