search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Tipo de funda
11, Carcasa 360° iPhone 8 7 Plus + Vidrio Templado Rojo 3 En 1 ,9.995,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Lo retiro en el domicilio del vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452825550-carcasa-360-iphone-8-7-plus-vidrio-templado-rojo-3-en-1-_JM#position=11&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#452825550,Apple,NA,Carcasa
12, Carcasa 360 Magnética iPhone 8 Negro Plata Digitek ,11.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.998
			
		
		 sin interés
		
	

	
		","
				$ 1.998
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITEK.CL,https://articulo.mercadolibre.cl/MLC-470861069-carcasa-360-magnetica-iphone-8-negro-plata-digitek-_JM#position=12&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#470861069,Apple,NA,Carcasa
13, Carcasa Otterbox Defender iPhone 7 / iPhone 8 ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				22
				vendidos
			
		",(173 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/SUSPENSIONTRAINING,https://articulo.mercadolibre.cl/MLC-471755427-carcasa-otterbox-defender-iphone-7-iphone-8-_JM#position=13&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#471755427,Apple,OtterBox,Carcasa
14, Carcasa Silicona Logo Apple iPhone 7 / 8 + Lamina De Vidrio ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				47
				vendidos
			
		",(88 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/CARCASASPUNTOCL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=MMFIh%2BIiUp3pANAgRwFaQAaahOBU%2FVf%2FX%2FBBu1O1uj9QuCWRzI9DUQpG5YiRYDgDay7Q9GLDVubcqTMSRQJ5Hkpbahyj0umBHD7zEC567avHAG5ZXvzmA5P5hyIwM4tWeNPbwW2XBdlyQf5uiQOu6SimYgyk%2FUT%2BtxPo8PceHSg4fmyaYFoff%2FsjxKRZo6%2Bp9wLAVbMi9NSZ4OglhJZxhPg9bFv8MChJriYeFe2t9X1yFGW0wYMam9YA9nK0fMioan6DWpAVvo5hRlQ%2BFvwYiNz%2BNKwJn43ecr1h5IMHlJFlga1Qfau%2B9EhoWxysaPwlhxP2DTxuNASPS7JXB%2BxhTKIhvAqSDi82kLkcitdeCGyJrh2igJ2AmSBVn%2BzJEkM67L%2B2%2FF%2FqSyyvE0%2FHt5BhQenK0Fmdzog4tF2oYlo7jBKvf0DB8IGyZR3s3XbbMh0kExLZrH77x7%2BXz4iQd%2BExEYQySzwI8eCUVdIE%2BtmGLxOBo13fvWSyE2BrO5sdNChEzlRFdbfYJBULElrCINAFD07oSPVy4V4QL5aDtRG2%2B%2B3FZ8OQudIaWkspp1xYDNP4fqpeBZxUuNRqbqCUFBhxoeK2Qn%2F1%2FqFf0kl6Sc11WywKuG7Kn2UCojSvW1QM2LgDSk2EhuZEh0bN131x5%2FcVrlhQXKxrSv3AjxAELZXbRpUGfkSbcNAEL%2Flwu21XFFNzV7yQtnRioxeKJvc9hAwuBy8MjxKAhdRyoVK0mL%2B3Een4kXm%2FC0%2FajzNVn8IKnOygfycOwCBdJMZ6rZyxfWkC6XbmII1bgJZV5TevxLojOZ4bTX0XDA85iC8NIhrNW3j2JaE5yLpxA1of2PhboksyHUhMEbe%2FbxbfmB4OGuxG4nii7pjJGxBpxVvnLyxcfITZ7uX7NcsE8XEalO6E1dDmvYVtUX73fRff6n5Ls2u7ODVAB%2FH%2Bi%2F3gujUi5lV%2BVnR9B79ptkiWhKyYsn9NrJ3fDaFQCfNOHIlbysfAcxit9c0%2BL5dnoq2nZlCZrO%2FtTT%2FSzLR8CH9ChRM%2BuPLoM8S52rGCZQVnz8cmVmd5MNvYL1cR23CX8kJTMiPHXv6x1bkQy7aW74aGp1YWHE3tIeFw45AMa0yEb8l0iQ01q7EDSE9iggaGtC6yGjbJeT06qi6zRPnSJ%2FVG0lOlyHxIOndS4QVi%2Bs%2Bk%2BUm3FdfdiDeBZPrtlfrWwZ84hMkzZ6Civ%2FhR0e%2BuSpBAuhjNJolc9iW9Nm6PrwrmZJLR74EC474VSmDMjFiLi7OYkGH3YSKzoS4MYScuic8esue7zbSLJAtxzC5bIA05AH%2FptKSFVQb0QwYn3tuNxV4qlt2%2BK3KSMUa8GGqRDHBB75Mv94hewqsFVpRgfvz8tbuwpQUgyDOlbltuOrBfICN7AZkc%2FBA5m7T9BDloVpbzEUCah1bTvVoqeq3p9ICWBweiGYfIJnQ3vq9EDSisEZteQvk9A074rilkAz%2FdDobEhMmQSVV4M6am4D6GgP7k0zixOAlJk%2BlgUSIgre%2BiWhBUm4PoRFsO%2FFlve0MCMYDI%2F2%2BokW49m%2F6Ac3SHn2k4jJyhb%2FZ7y5R9ZWO4GNbGFTeB8bXCn6EKsY6yXfTyjvXOxjBRm0B51h60OkAxRidy8oUvMVDE0hRE%2BlDYAuoZDMueS1%2FDY9jktxtULRNG,NA,NA,NA,NA,NA,#480609141,Apple,NA,Carcasa
15," Tpu Silicona 360 Carcasas Para iPhone 8, 7 Y 6s ",7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				22
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,3.0,1,https://perfil.mercadolibre.cl/VAPORISLANDCHILE,https://articulo.mercadolibre.cl/MLC-461042132-tpu-silicona-360-carcasas-para-iphone-8-7-y-6s-_JM?searchVariation=38943862593#position=15&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#461042132,Apple,NA,Carcasa
16, Cafele Carcasa Magnética + Vidrio iPhone 8 Negro ,13.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.083
			
		
		 sin interés
		
	

	
		","
				$ 1.083
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CUATRO+GLACIARES,https://articulo.mercadolibre.cl/MLC-480448512-cafele-carcasa-magnetica-vidrio-iphone-8-negro-_JM#position=16&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#480448512,Apple,NA,Carcasa
17, Carcasa Proteccion 360° iPhone 7 Y iPhone 8 - Tecnostrike ,9.990,15.000,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.665
			
		
		 sin interés
		
	

	
		","
				$ 1.665
			",NA,Lo retiro en el domicilio del vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-470875704-carcasa-proteccion-360-iphone-7-y-iphone-8-tecnostrike-_JM#position=17&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#470875704,Apple,Baseus,Carcasa
18, Carcasa Original Ipaky 360º iPhone 8 + Vidrio Templado ,12.990,19.990,"
			
				Nuevo
			
			
				
					 - 
				
				3024
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.165
			
		
		 sin interés
		
	

	
		","
				$ 2.165
			",NA,Envío a todo el país,NA,NA,3.0,1,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=UzXIuW%2B1%2Fu0pC9jV5ow%2BJySLwl9NqSFBFj1pKerwSj3Tau7yKeZV4CKtWp9LzY%2BKqmliwG1ODsiZ6wNZtMcM17hl4ra5xM16NjBPTb%2F5LWfM5VebBoOAe5xi%2F5gzgEJ0MLGekuMTqH5ziAqTf%2Fvs1oCh5i9rA%2FilGuk8YE7%2FP8k0ujSIyggyy8S%2B73RQl4soYvRaMqQa3X8uBXpoD6ZUqogjHdDbBouReTCPWlA9xGp50b8FKnflV3Q%2Bn7actb%2BbFUXDC3jMaGWFzWPMi1BTjpyHhtsnNuCYsRsMABiMKx4we6Ddn38r%2F%2FjpEoXDh5TmGkGpsziahs0wNKWI4I34U3fr7lXHfuK74huo%2Fq%2F%2FPkW03X%2B7AIohguKTHl0Pk15u0NQCuEnJBVftf%2Fqddt9xOEblrZr%2BX0Pt4qMZvSGJCC6DaKA6xQsHPJHYMTh3SIPZxMIZLgSKY5Qgozvddfaoxu1hpeVDNimFc2OFWh9%2B73wBKLtpeudlqIjM4cVRyx%2FmTz%2BOPV3losSvY74pnTiHvrNY0yR%2Frb5uRzlVOLehwiSubncLeq8dvteN%2FZGbtRPuIB0ecLYlXrbfvEU54%2Bxp9l0VskWE8E75hUjCBvRsuUWaFGSTX7kDJvFoN8xeH8cz1eBosjN3SuUeuNQpc9eEbt6BOgNxHVXY4P%2FFYB93EsFuOzrGvC3cebALyUZ68yZeyThpfKvpVGaI%2BAAX2mFpojctM7vlA5GLhIJD3uoYrX07nAKViyZLhZhAlfFU1RVOl7kRmOchJ5S0x1fQG49GhtJWGx1j%2Bnq%2BFwrttCxidAq5DnBd1YmPDHka%2FfJIcHIOtRvPir2%2FDcpKXhSTPa1F%2FT0mbmz3NdsnS4SmP40Bt2%2FLmzI%2F3%2Bu0UYOP8Gwioa5gsDiosWyUZLtDqgKrQr%2BQ1TJHXmmLXsIM3hpJxBuGaqM%2B2VV8sQNYbCHXP0Fw5uFzqvNSCR53zkHBuWgPj0%2Bnf4mXfHKAjr%2FY30tbCki%2BobwStwodr4HkKo9ZiGcKu6V2nKgQd9pB51P4LtDAb3Clfstb9eg7A19hxynbVbF2XkVFT0CBO43ZqBNuhSl4MqLJS08UJaS9Qm5HwdycOHfkcv6uOSdeBsepR7z%2BPxmJfE3QXzys8sUogQC5r7%2BAcug2q8u1LV2kpLyEr%2F%2BDKiH7osFle8i0yblyc6J6zJiGWmf6jaK5V4rBio7NZeohq3PjtfpdzMluDoVuBtdP3h3ue0hrJxV1CjjEx1cMtd8GLsoqj1IIR8gpllka632h8Pig11bQ94F%2FciiskLIvLfQE%2FPOha4ofssOU4gBhAHREgqLNVUFFRfmupHqHfVD7OKIJKFiTCChqaHazApkfnkNJKSSQWffROehdr4EeaLfRW5R3h5nLbVeO5iltser2Hv2oQoj1zJbRathj%2BSxjLuZ926JpivumoyUewfPF1wGjtqrJxTNvI0f%2Fpc7ryyZw0R0sPULBLkGFC97wKTlSTYG22o7d4lPqblbNEbfXFnvIM6le7v1Lz%2BOjJYq84A0Nne3nxdXxa6HbHWkY3BZ7Z7ATFpxKTv57sOHEE3R56DMzdcXCD%2F3LbfLjhL43XMWR3X6KKvWofz4j8M4mLzoVIrOwDAV06L6MgIvN8PwBHoRC9wP4Q6PPAvyfRM19x7shnpk%3D,NA,NA,NA,NA,NA,#451127669,Apple,Apple,Carcasa
19, iPhone 8 Carcasa Sublimacion 2d Pack De 5 Uni ,16.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				23
				vendidos
			
		",(67 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.667
			
		
		 sin interés
		
	

	
		","
				$ 2.667
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AMPLEX_CHILE,https://articulo.mercadolibre.cl/MLC-455544333-iphone-8-carcasa-sublimacion-2d-pack-de-5-uni-_JM#position=19&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#455544333,Apple,NA,Carcasa
20, Carcasa Gel Silicona iPhone 8 Plus + Lamina ,3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDATRANSPARENCIA,https://articulo.mercadolibre.cl/MLC-500010865-carcasa-gel-silicona-iphone-8-plus-lamina-_JM#position=20&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#500010865,Apple,Tet,Carcasa
21, iPhone 8 / iPhone 7 - Protección Carcasa Roja 100% Original ,10.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.832
			
		
		 sin interés
		
	

	
		","
				$ 1.832
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-492398182-iphone-8-iphone-7-proteccion-carcasa-roja-100-original-_JM#position=21&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#492398182,Apple,GKK,Carcasa
22, Apple iPhone 8 Plus Case Cuero Premium Nillkin - Prophone ,15.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(965 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.500
			
		
		 sin interés
		
	

	
		","
				$ 2.500
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-455903823-apple-iphone-8-plus-case-cuero-premium-nillkin-prophone-_JM#position=22&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#455903823,Apple,Nillkin,Carcasa
23, iPhone 8 Plus / 7 Plus - Funda Carcasa Dorada Protección 360 ,10.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.832
			
		
		 sin interés
		
	

	
		","
				$ 1.832
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-492274577-iphone-8-plus-7-plus-funda-carcasa-dorada-proteccion-360-_JM#position=23&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#492274577,Apple,GKK,Carcasa
24, Carcasa 360º iPhone 7 I iPhone 8 I Full Protección I Tpu ,1.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 332
			
		
		 sin interés
		
	

	
		","
				$ 332
			",NA,Lo retiro en el domicilio del vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VENTAS+ELECTRONICAS1,https://articulo.mercadolibre.cl/MLC-459074884-carcasa-360-iphone-7-i-iphone-8-i-full-proteccion-i-tpu-_JM#position=24&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#459074884,Apple,NA,Carcasa
25, Carcasa Metálica iPhone 8 7 Negro Lunatik Taktik Armadura ,23.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.999
			
		
		 sin interés
		
	

	
		","
				$ 1.999
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452413396-carcasa-metalica-iphone-8-7-negro-lunatik-taktik-armadura-_JM#position=25&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#452413396,Apple,NA,Carcasa
26, Carcasa Metálica iPhone 8 7 Rojo Lunatik Taktik / Alphatec ,23.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 1.999
			
		
		 sin interés
		
	

	
		","
				$ 1.999
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452413572-carcasa-metalica-iphone-8-7-rojo-lunatik-taktik-alphatec-_JM#position=26&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#452413572,Apple,NA,Carcasa
27, Unica Arena Carcasa 360 Con Logo iPhone 8 8 Plus ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				27
				vendidos
			
		",(273 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.665
			
		
		 sin interés
		
	

	
		","
				$ 1.665
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/AERRECOMEX.COM,https://articulo.mercadolibre.cl/MLC-462074236-unica-arena-carcasa-360-con-logo-iphone-8-8-plus-_JM#position=27&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#462074236,Apple,NA,Carcasa
28, Cafele Carcasa Magnética + Vidrio iPhone 8 Rojo ,13.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.083
			
		
		 sin interés
		
	

	
		","
				$ 1.083
			",NA,Lo retiro en el domicilio del vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CUATRO+GLACIARES,https://articulo.mercadolibre.cl/MLC-481798379-cafele-carcasa-magnetica-vidrio-iphone-8-rojo-_JM#position=28&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#481798379,Apple,NA,Carcasa
29, Carcasa Silicona Transparente iPhone 8 Miaustore ,1.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 166
			
		
		 sin interés
		
	

	
		","
				$ 166
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453749078-carcasa-silicona-transparente-iphone-8-miaustore-_JM#position=29&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#453749078,Apple,NA,Carcasa
30, Apple iPhone 8/7 Plus Case Eton Premium Nillkin - Webphone ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://articulo.mercadolibre.cl/MLC-475197980-apple-iphone-87-plus-case-eton-premium-nillkin-webphone-_JM#position=30&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#475197980,Apple,Nillkin,Carcasa
