search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Formato
73, Fone Ouvido Bluetooth 4.1 Sem Fio Esportivo Corrida Chamadas ,1099,NA,35,3,12x,91.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,1098,https://perfil.mercadolivre.com.br/MEGAACABAMENTOS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=YeZGDcfQZHcVjdnN8wUg6spWVHlMK48ti%2Fr41efZorLg%2Bj8Lb35L5nfWXuMOz%2FLc83dVQkls6LYlFbwUqfNv1GBE5l5xuZ8%2FPEwnC3tVDP3gMlwlOAyzSYiUdylTdisDJA9Xm9Y%2B1fRQ%2BBSvJC8OXsnFrpJ%2FDWjKzTELE7v9XMXUx0BWwrAQ3ub3C9IAaTIhIq0n6v6aPV3RvFZ9FuEguIdZwvnvlXogQrNvgW1Dhs5pS8RgJRfRd5LaTM1rNl4fLepFBofWTfhFViXt1rPDd4FQrLRPOVC%2BPfP7PTZFUFu0fTSbncgFD4HCSrs7KbY2e%2BJ0q9MzluWYzp3bNdmAmE3NjF7z9UCiaPQzRH1NSdLsEVYE2183LwLAzLXU7zJ7IT5SuazpvX3EXlW2Zh%2F52G8RREpoDhR4aJWDZkHvAXMvmbpRaFToVdH7gnq60mUhxelKr9%2BG4XOR%2FgpBynDkcGQfZ2KItb1jSceNPctTAvVvhEyAompr6TQyasJoe9T%2FaWkMVHEeCZ9NODSgnl5yWf7D5Heh6hYPkSzmLdTooAcZ4SujHnj0AzzoAb3HNQhDpTJ8CCTnvL2TknjYyUNqPJCV39j5VIpjmpjbynKReQ3mnovr6ixJKQSatdlM7XwbZogb4gBjYAcRE%2B0jZVvxjHGgZvWpua6EY7m1bWTGLzJUZH4HQm4BrpyagTXOFoH6cm3CeDaslz6FzhtoFq3asce3GrvAYcBLPP3gMw1QNkyw9Ys8Vz9uAAbVReerN%2BDLF9ddYCRCq2qZou0houpCFwiv6WxFi8pSfUVVOee7WTYqJV6YLGm4ChX9zVZviE%2F4RmeTeaW4LGUrqjbeTfTO8dC5HtIRgR3qk1Q6YfBGN5ho%2Bf6wYRU1L2lP4lfqNHBzeQFfNxPClmWtkc1q79%2FRh1BOyzRNOCpK%2BWGhalrap85WN7KM0nZJr5n%2F6i1ixF7ifdu0%2FV5SvimjMUW17lokFM1TnebR3vY1yMv1xg5RvvNujDUYiWlIp8CdN6hy3v%2FZ3NQmmFWn4jPJS8sKnIfYWo2QoJDdOjX3kKxGa6oxVQNg5W5nulgGnX8dvT2gkNDcmNW0yGQNOCPXkakchbi%2B1zLCC0sA%2FtOwQE9PoDOrx1uIaU0ogwvReNb%2Fcsv1U1ehuN9MyqM91F394G9oo5GkabeDj25BSd%2BHPN2gHweb0ZtUyP2QWIOfWgnuzYP6b9PM0m%2BnvBOD%2FOzaMb7OjuuZ64No94l4S1ILazpcJGkHQ%2BAXvDAk8xth0R5irIZPK4K%2BdQTo82v1X1JmZstbtd1xeCTIr1bWDg3yPZIdGDNmmLwvpHG5v3m1y87NA%2BJhTCB%2F4MCRrFdZpsjUrz7NPm8qljwTFBjyjVG9jYbjm%2FeiARcFPFtEJgdzhMjX0w1V9sAPUnvzcH%2B6UpsaRKXekm8ObjbQFp%2BVbKlRLcbWak7Ji6vN8Caq39BDikfjJWAwMlSPat5%2BSo0YwruENLgUTrIj9%2FK7n2SwuOjmltfS3VBWj8y8NweAdMzsbPb%2BPGRppczMmysS6Uj7o8XbpCWGIrMpFkz%2Fizk%3D,932,83,31,20,32,#1181383360,Apple,NA,AirPods,MMEF2,In-ear
74, Fone Ouvido Headset Bluetooth 4.1 Sem Fio Stereo Amw-810 ,41,NA,204,21,6x,7.77,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,6,https://perfil.mercadolivre.com.br/DIGITAL+JE,https://produto.mercadolivre.com.br/MLB-1049749821-fone-ouvido-boas-headset-bluetooth-universal-celular-lc-777-_JM,4,2,0,0,0,#1049749821,Universal,BT,LC-777,3 v,In-ear
75, Mini Fone De Ouvido S530 4.1 S/ Fio Bluetooth Micro Menor ,16,NA,2061,84,3x,5.99,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,240,https://perfil.mercadolivre.com.br/FLATSHOP,https://produto.mercadolivre.com.br/MLB-842366754-adaptador-bluetooth-universal-fone-de-ouvido-p2-celular-h44-_JM,148,46,24,9,13,#842366754,Nextrend,NA,ABT-32,NA,NA
76, Fone Jbl T500bt Bluetooth T500 Bt Lançamento Substitui T450 ,49,NA,391,1002,10x,5.68,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,591,https://perfil.mercadolivre.com.br/NOVA+SHOPBRASIL,https://produto.mercadolivre.com.br/MLB-1093727169-fone-ouvido-sem-fio-bluetooth-jwcom-bh-668-conecta-2-celular-_JM,388,113,57,12,21,#1093727169,Universal,NA,JWCOM BH-668,FO-BH668,In-ear
77, Fone Headset De Ouvido Bluetooth 4.1 Para Chamadas Profissio ,65,NA,329,53,12x,5.46,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,23,https://perfil.mercadolivre.com.br/REIDOSELETR%C3%94NICOS,https://produto.mercadolivre.com.br/MLB-1114723372-fone-de-ouvido-bluetooth-orelha-de-gato-com-led-celular-p2-_JM,22,0,1,0,0,#1114723372,Exbom,GATINHO,HF-C40BT,HF-C40BT,Over-Ear
78, Queima De Estoque !! Edifier W800bt Últimas Unidades ,35,NA,215,8,6x,6.57,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.5,6,https://perfil.mercadolivre.com.br/ACCESSORY+WORD,https://produto.mercadolivre.com.br/MLB-969409920-fone-ouvido-mp3-sem-fio-mini-bh-503-carto-micro-sd-nota-f-_JM,2,1,2,0,1,#969409920,Universal,ortado,BH-503,NA,Ear-Buds
79, Fone De Ouvido T500bt Bluetooth Jbl 500bt Tune 500 Bt ,799,NA,8,3,12x,66.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,129,https://perfil.mercadolivre.com.br/7OUT,https://produto.mercadolivre.com.br/MLB-1090615589-fone-de-ouvido-samsung-gear-iconx-r140-bluet-4gb-vitrine-nf-_JM,104,16,4,2,3,#1090615589,Samsung,Gear,IconX (2018) EB-PR140,SM-R140,In-ear
80, Mini Fone De Ouvido S530 V4.1 Sem Fio Bluetooth Universal ,39,NA,414,27,6x,7.28,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,10,https://perfil.mercadolivre.com.br/KGMICOMERCIAL?brandId=1259,https://produto.mercadolivre.com.br/MLB-1076439811-kit-2-fone-de-ouvido-bluetooth-41-mini-portatil-chamada-mus-_JM,7,1,1,0,1,#1076439811,Universal,NA,Wolf Tech,NA,In-ear
81, Fone Ouvido Sem Fio I7s Tws Bluetooth AirPods Ios Android ,103,114,2020,27,12x,9.89,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,129,https://perfil.mercadolivre.com.br/YEEKO+BRASIL,https://produto.mercadolivre.com.br/MLB-935666540-fone-sem-fio-bluetooth-k2-original-nf-case-brinde-_JM,84,30,8,2,5,#935666540,TWS,NA,TWS-K2,N/A,Ear-Buds
82, Fone De Ouvido Headphone Sem Fio Micro Sd Usb Fm Bluetooth ,39,NA,92,1,6x,7.31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,201,https://perfil.mercadolivre.com.br/X.-TIMER,https://produto.mercadolivre.com.br/MLB-1072749949-mini-fone-de-ouvido-bluetooth-s-fio-lc-100-boas-caixa-_JM,118,35,28,3,17,#1072749949,Universal,NA,LC-100,NA,Clip-ear
83, Fone De Ouvido Duplo Sem Fio Bluetooth 5.0 Qcy Qs1 Promoção ,36,NA,1263,19,6x,6.84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,59,https://perfil.mercadolivre.com.br/HAIZ_SHOP,https://produto.mercadolivre.com.br/MLB-1089735007-fone-de-ouvido-bluetooth-sport-corrida-esterio-hz-k4-nf-_JM,35,14,7,2,1,#1089735007,HAIZ,NA,Bluetooth,NA,In-ear
84, Fone Jbl Bluetooth Tune 205bt Original T205 Bt Bluetooth+nf ,120,NA,634,61,12x,10.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,34,https://perfil.mercadolivre.com.br/JHONATAM.MARTINS,https://produto.mercadolivre.com.br/MLB-863470753-fone-headset-de-ouvido-bluetooth-41-para-chamadas-profissio-_JM,24,6,0,2,2,#863470753,Universal,Lymoc,Fone bluetooth para chamadas,V8s,Headset
85, Fones De Ouvido Sem Fio Bluetooth I7s Tws ,125,NA,883,744,12x,10.48,NA,NA,NA,NA,4.7,115,https://perfil.mercadolivre.com.br/MILAIBR,https://produto.mercadolivre.com.br/MLB-1241292892-xiaomi-fone-de-ouvido-redmi-airdots-bluetooth-reduzir-ruido-_JM,90,16,6,0,3,#1241292892,Xiaomi,Mi,TWSEJ04LS,NA,In-ear
86, Fone Bluetooth 5.0 Blitzwolf Série Bw-fye True Hi-fistereo ,23,NA,227,773,5x,5.23,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,11,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1241493404-fone-ouvido-sem-fio-bluetooth-41-sports-universal-celular-_JM,10,0,1,0,0,#1241493404,Universal,Bluetooth,Sports,Amw-810,Neckband
87, Fones De Ouvido Sem Fio Bluetooth I7s Tws ,248,NA,818,362,12x,20.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,111,https://perfil.mercadolivre.com.br/TECHMAISMUSIC,https://produto.mercadolivre.com.br/MLB-875932473-fone-jbl-t500bt-bluetooth-t500-bt-lancamento-substitui-t450-_JM,97,11,1,0,2,#875932473,JBL,Tune Series,JBL T500BT,NA,Over-Ear
88, Fone Ouvido Bluetooth 4.1 Sem Fio Esportivo Corrida Chamadas ,27,NA,544,382,6x,5.09,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4,6,https://perfil.mercadolivre.com.br/TESORSHOP?brandId=1259,https://produto.mercadolivre.com.br/MLB-1056478006-fone-de-ouvido-bluetooth-41-mini-portatil-chamada-musica-bt-_JM,3,1,1,1,0,#1056478006,Universal,NA,Wolf Tech,NA,In-ear
89, Fone Ouvido Headphone Sem Fio Bluetooth Micro Sd Fm P2 B-05 ,88,NA,230,4,12x,8.45,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,25,https://perfil.mercadolivre.com.br/GDSIMPORTADORA,https://produto.mercadolivre.com.br/MLB-762580121-fone-de-ouvido-bluetooth-42-baseus-s09-ipx5-lacrado-_JM,20,4,1,0,0,#762580121,Samsung,Baseus Encok S09,Encok S09,NA,In-ear
90, Fone Bluetooth Edifier W800bt Cores - Alta Performance ,51,NA,255,78,10x,5.20,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,10,https://perfil.mercadolivre.com.br/HAIZ_SHOP,https://produto.mercadolivre.com.br/MLB-1135321825-fone-de-ouvido-stereo-mp3-bluetooth-haiz-hz-k168-_JM,6,3,1,0,0,#1135321825,HAIZ,sem fio,Wireless Bluetooth,HZ-K168,In-ear
91, Fone De Ouvido Bluetooth Sem Fio Super Bass + P2 + Usb ,39,NA,145,6,6x,7.31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,3,https://perfil.mercadolivre.com.br/SUEDVENDAS,https://produto.mercadolivre.com.br/MLB-891066750-fone-ouvido-sem-fio-bluetooth-stereo-universal-mini-bh-503-_JM,2,1,0,0,0,#891066750,Universal,Fone Bluetooth Sem Fio,BH-503,3.0,Over-ear
92, Fones De Ouvido Sem Fio Bluetooth I7s Tws ,142,149,433,342,12x,13.62,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,12,https://perfil.mercadolivre.com.br/YEEKO+BRASIL,https://produto.mercadolivre.com.br/MLB-1130070766-qcy-qs1-t1c-fone-de-ouvido-tws-sem-fio-bluetooth-50-case-_JM,10,2,0,0,0,#1130070766,QCY,"NA",T1C,N/A,Ear-Buds
93, Fone Bluetooth Headset Jb950 Modelo Az-009 Sd Fm P2 Bt ,20,25,560,22,4x,5.62,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,46,https://perfil.mercadolivre.com.br/SEVENNCOM,https://produto.mercadolivre.com.br/MLB-920729979-adaptador-bluetooth-com-mic-fone-ouvido-universal-galaxy-h44-_JM,26,11,5,1,3,#920729979,Universal,Adaptador Bluetooth,ABT-32,NA,Over-ear
94, Fone Bluetooth De Ouvido B05 Sem Fio Sd Fm P2 B05 ,39,NA,257,19,6x,7.40,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,7,https://perfil.mercadolivre.com.br/HAIZ_SHOP,https://produto.mercadolivre.com.br/MLB-1135367218-fone-ouvido-bluetooth-sport-mp3-hz-k4-corrida-carto-micro-_JM,5,2,0,0,0,#1135367218,HAIZ,NA,Bluetooth,NA,Neckband
95, Fone De Ouvido Bluetooth 4.1 Mini Portátil Chamada Música Bt ,41,NA,456,17,6x,7.77,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,40,https://perfil.mercadolivre.com.br/LS.EXPRESS,https://produto.mercadolivre.com.br/MLB-781130257-fone-ouvido-headset-bluetooth-universal-celular-boas-lc-777-_JM,23,14,3,0,0,#781130257,Universal,LC-777,LC-777,LC-777,In-ear
96, Fone De Ouvido I7s Tws (estilo: AirPods) 6 7 8 X Android ,32,NA,950,10,6x,6.10,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,45,https://perfil.mercadolivre.com.br/OLIVEIRA.SHOP.,https://produto.mercadolivre.com.br/MLB-765109711-mini-fone-de-ouvido-lc-100-41-s-fio-bluetooth-micro-menor-_JM,30,7,3,1,4,#765109711,Apple,Fone,LC-100,LC100,Over-ear
97, Fone De Ouvido Bluetooth 4.1 Mini Portátil Chamada Música Bt ,29,34,55,16,6x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/DALI+MODAS,https://produto.mercadolivre.com.br/MLB-1201681112-fone-de-ouvido-bluetooth-exbom-fbbt2-universal-esportivo-_JM,1,0,0,0,0,#1201681112,Universal,Bluetooth,FB-BT-2,FBBT2,In-ear
98, Fone Jbl Tune 500 Bluetooth T500bt Original Melhor Q T450 ,249,NA,412,17,12x,20.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,36,https://perfil.mercadolivre.com.br/GFCAPAS,https://produto.mercadolivre.com.br/MLB-1143240222-fone-bluetooth-50-blitzwolf-serie-bw-fye-true-hi-fistereo-_JM,28,7,0,0,1,#1143240222,BlitzWolf,Bw,BW-FYE2,FYE2,In-ear
99, Fone De Ouvido Bluetooth 4.1 Mini Portátil Chamada Música Bt ,41,NA,163,1,6x,7.77,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,11,https://perfil.mercadolivre.com.br/JSA+VENDAS,https://produto.mercadolivre.com.br/MLB-850275707-mini-fone-ouvido-headset-bluetooth-celular-tablet-boas-_JM,7,2,2,0,0,#850275707,Universal,Lc777,LC-777,Lc777,In-ear
100, Fone De Ouvido Bluetooth I9s Tws AirPods iPhone Android S/fi ,45,NA,6,85,6x,7.50,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-886511354-fone-bluetooth-ouvido-samsung-estereo-headset-_JM,NA,NA,NA,NA,NA,#886511354,Samsung,NA,NA,NA,NA
101, Fone De Ouvido Bluetooth 4.1 Mini Portátil Chamada Música ,25,NA,489,58,5x,5.47,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,13,https://perfil.mercadolivre.com.br/RSIRQUEIRA,https://produto.mercadolivre.com.br/MLB-1145916647-fone-de-ouvido-magnetico-intra-auricular-bluetooth-_JM,5,4,1,2,1,#1145916647,Universal,1+,sem fio,Não tem,intra auricular
102, Fone Ouvido Bluetooth 2 Cel Unv Sams Lg Moto Simil Jbl Jwcom ,46,NA,8922,3,10x,5.34,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,750,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-761661741-fone-de-ouvido-bluetooth-headphone-sem-fio-visor-fm-stereo-_JM,371,182,126,29,42,#761661741,Importado,NA,N65BT,NA,Over-ear
103, Fone De Ouvido Airpod Bluetooth I7s Tws iPhone Android Sem F ,39,NA,802,16,6x,7.40,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,53,https://perfil.mercadolivre.com.br/JSA+VENDAS,https://produto.mercadolivre.com.br/MLB-850278734-fone-ouvido-boas-headset-bluetooth-universal-corrida-lc777-_JM,30,10,6,3,4,#850278734,Universal,lc777,LC-777,0,In-ear
104, Mini Micro Fone Ouvido Bluetooth 4.0 Universal ,158,NA,824,37,12x,13.17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,236,https://perfil.mercadolivre.com.br/TECHMAISMUSIC,https://produto.mercadolivre.com.br/MLB-952526311-fone-de-ouvido-t110bt-bluetooth-preto-jbl-t110-bt-original-_JM,180,37,12,4,3,#952526311,JBL,TUNE,JBL T110BT,NA,Ear-Buds
105, Fone Ouvido Bluetooth I7s 4.2 Par Tws Sem Fio Case Base ,149,NA,113,99,12x,12.49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,8,https://perfil.mercadolivre.com.br/MICYU_OUTLET,https://produto.mercadolivre.com.br/MLB-1197293611-fone-de-ouvido-sem-fio-funcl-w1-bluetooth-50-ipx5-hifi-top-_JM,6,2,0,0,0,#1197293611,Universal,FUNCL W1,Funcl W1,"5,0",In-ear
106, Mini Fone De Ouvido Lc-100 4.1 S/ Fio Bluetooth Micro Menor ,35,NA,3656,3,6x,6.57,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,246,https://perfil.mercadolivre.com.br/ESPA%C3%87O+VENDASS,https://produto.mercadolivre.com.br/MLB-680486892-fone-de-ouvido-bluetooth-mini-503-mp3-carto-s-fio-wireless-_JM,129,59,30,12,16,#680486892,Importado,BH503,mini BH503,0,In-ear
107, Mini Fone De Ouvido Ponto Eletrônico Sem Fio Bluetooth ,20,NA,259,798,4x,5.67,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.3,3,https://perfil.mercadolivre.com.br/ARCORROM,https://produto.mercadolivre.com.br/MLB-1199185679-mini-fone-de-ouvido-ponto-eletrnico-sem-fio-bluetooth-_JM,1,1,0,0,1,#1199185679,Universal,Mini,smg,3,In-ear
108, Fone Ouvido Original Awei Bluetooth Nfc Qualidade C/ Charge ,259,NA,30,2,12x,21.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/PEREGRINUS_OFICIAL,https://produto.mercadolivre.com.br/MLB-894179667-fone-ouvido-original-awei-bluetooth-nfc-qualidade-c-charge-_JM,NA,NA,NA,NA,NA,#894179667,Samsung,T85,T85,T85,In-ear
109, Fone De Ouvido Bluetooth Headphone Micro Sd Usb Fm Universal ,45,NA,54,25,10x,5.18,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,4,https://perfil.mercadolivre.com.br/REIDOSELETR%C3%94NICOS,https://produto.mercadolivre.com.br/MLB-1106480268-fone-de-ouvido-bluetooth-headphone-micro-sd-usb-fm-universal-_JM,3,1,0,0,0,#1106480268,Universal,B-01,B-01,B-01,Over-ear
110, Fone Bluetooth 5.0 Blitzwolf Série Bw-fye True Hi-fistereo ,151,159,491,342,12x,12.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,268,https://perfil.mercadolivre.com.br/YEEKO+BRASIL,https://produto.mercadolivre.com.br/MLB-1129304174-fone-sem-fio-tws-qcy-t1c-bluetooth-50-q29-nf-case-brinde-_JM,177,60,17,7,7,#1129304174,QCY,NA,T1C,N/A,Ear-Buds
111, Fone De Ouvido Bluetooth Sem Fio Kaidi Kd-902 Academia Nf ,119,NA,34,10,12x,11.47,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/LIBERTAD.COM.BR,https://produto.mercadolivre.com.br/MLB-1183988775-fone-de-ouvido-bluetooth-sem-fio-kaidi-kd-902-academia-nf-_JM,1,0,0,0,0,#1183988775,Universal,NA,KD902,NA,Clip-ear
112, Fones De Ouvido Sem Fio Bluetooth I7s Tws ,129,NA,405,99,12x,12.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,15,https://perfil.mercadolivre.com.br/MICYU_OUTLET,https://produto.mercadolivre.com.br/MLB-1234322074-fone-de-ouvido-sem-fio-xg-12-bluetooth-50-ipx5-hifi-top-_JM,10,4,0,1,0,#1234322074,XG-12,VEICULAR,XG-12,Bluetooth 5.0,In-ear
113, Fone De Ouvido Bluetooth Bt Sem Fio Headphone Chamada Música ,38,NA,878,855,6x,7.09,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,23,https://perfil.mercadolivre.com.br/WOLF+TECH,https://produto.mercadolivre.com.br/MLB-972398913-fone-de-ouvido-bluetooth-bt-sem-fio-headphone-chamada-musica-_JM,13,6,3,1,0,#972398913,Universal,NA,8252,NA,Over-ear
114, Fone Ouvido Headphone Sem Fio Bluetooth Micro Sd Fm P2 B-05 ,36,NA,1967,4,6x,6.84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,106,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=DsFFdA%2FM8JHBQEP6mz1BhaUFNk3IRgKIxX8zuZND371PMQjrx8DLHLXbs1tKljtlieYZ%2FUHNPWAur6YaIJoqFqomb2GwyW%2B1%2BB2SusjnOHCzqOZtoZ0K5Nk1MlO%2B9LCCQ7kXpKgdS%2BRpmJj%2FFAySYc3lORtCpCZM768K2P9W2S%2FkwhYTz%2FJVKuhPOcFbteMwYUb%2Bn4%2BJgzD5Gx1xjDZwg79GCuodZmNlv%2B4AYVVo0COt1g5DfC4ZhXHiMlO6UTSC7ojwSq7RV3gfwbYbJQIzMe3ANN3GPiCr2PCuNnzeXUu0pgKpqA9zwcVXEESixQV70wtWp4SzoECpqTEiG6Ys%2Bcrd%2FbV6aoRIxx%2BXudDW3QF93GW3Q0NQysBshl8nK%2FBv7mEkmL0%2Fybu5%2B6r2jb%2F%2FD9Qh1b%2B9o9lLxexTBj%2BYFzzJAeQR2Cjxy%2FydD5bA1o%2B9ei4SRDDY4K7ckmPlIbkyx%2FgUN9%2Fv%2FZlX2BARC5eCKcOf8NBTGe2EB30PXVieeJdYKaOfvJZcVKSqtpAWuX%2BmNgoYCp49UVSHF9B%2FQxvjnzoZHP73M6RBImLoFAYsDLJ0%2B34%2F55cjIBZIvcKWXI6M2qZW1zMP7Dt18ac0JrwHHqzb%2FkQe%2BWt2CIz8dYzehT2tnzi86Z4tcIQyNHHFkufocELA9oG3p%2F4Ei8GdBzZmtVP%2BfxXuRPIfKMhM5vfXBbmz8otQnm%2F%2B1a5v0lrmtXD05k4GJujxkCtbq5Xf9EuAcHOy1G6%2Fz5wKzDxOqC5lsx12n6uCg5ao6sXAnRpBKGXVieIf1WwLVJe8KCPd7BW6soPkJlLGQhFDigX%2FIQ4FIZHQus3mSx2a%2FYkuNyVLZ8YUnwqLWkRe8McNyUw5GkHbKZd9aSOW1XlWjAq8VG%2BPFfVxssg4ri70ysJjta9BEjZVfIBh0wwBKheq%2FhUBh%2F2T25OT7GFQyk1peGHkzlI3ni06a%2BQOFB75FW2V7Yb6Izc2t6EiNwW%2FaT0OdhG7TbjeKEH66HZ8W5CGYoQOXD8HNRrGu4eBJMwtvZTVarZAU7oxj5qgSlmSv%2F4i8sDp%2F6NzNVzDGsATCX%2B5FlmgRnjihxQz7%2Fymkc1cPKyxXUN1m%2FE54Ao1mNB1tAqqbFfKMOxcQKxpovCYhdFkWfFenW7ndS4P995o2bhxG%2FEpqV67r8SnXwOl7dCo6nov1QENh5yXo9EjvfMBrb47yFDvGZasZpP7W%2BTxiVe05hHj25dgBqgHuoehkCtJ%2FyGH6CK1htY%2FFbF5klobdFoW8CYwJt0UAhXgkFSeWXtDgVvYfi5p0zEP5g4c5kBX5BF6s256kL00iugQ9ljYU1jaOblQohyoBV24ryXznPXF55hutX9a1K7%2Bg0ABNB4oYYPySvryk%2FghsjKf3y30P4RYMHjW8KfJXKxiDTwT%2FuX7wEs2eSKvJq97WBmjBIeUcDZUGRpzbjsk%2B1U5QEKfoFEjI6acA01yKaC5rUXYIarUAio6Xb7wAgDUSc1ahL3mzXjVS4BrFCfVvb%2FIGvyrBfcIJAvULQL%2BJUuyTfQ3p3HwO%2FHXZ3KpjX%2Fe0VC5LfmQbb1lgj%2BkFGM%3D,92,10,1,2,1,#1153975447,B05,Bluetooth,B-05,B-05,Over-ear
115, Fone Jbl T500bt Bluetooth T500 Bt Lançamento Substitui T450 ,47,NA,14344,42,10x,5.44,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,919,https://perfil.mercadolivre.com.br/DNR+PARTS,https://produto.mercadolivre.com.br/MLB-702540662-fone-de-ouvido-headphone-sem-fio-micro-sd-usb-bluetooth-fm-_JM,526,213,104,29,47,#702540662,Importado,Fone Bluetooth,Headphone,4.1,Over-Ear
116, Fone De Ouvido I11 Bt 5.0 Bluetooth Com Botão Tws Promocao ,65,NA,208,80,12x,6.31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,5,https://perfil.mercadolivre.com.br/ERER5546493,https://produto.mercadolivre.com.br/MLB-1225150709-fone-de-ouvido-i11-bt-50-bluetooth-com-boto-tws-promocao-_JM,4,1,0,0,0,#1225150709,Universal,TWS I11,i11 tws,NA,NA
117, Fone De Ouvido Bluetooth 5.0 Wavefun Ipx7 A Prova D´água ,149,NA,62,12,12x,12.45,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,76,https://perfil.mercadolivre.com.br/GDSIMPORTADORA,https://produto.mercadolivre.com.br/MLB-802476136-fone-de-ouvido-bluetooth-50-wavefun-ipx7-a-prova-dagua-_JM,67,8,1,0,0,#802476136,Samsung,Galaxy,Wavefun X-buds Ipx7,SM-R170,Headset
118, Fone De Ouvido Bluetooth 4.2 Magnético Graves Sport Pdagua ,110,NA,1074,2,12x,9.24,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,7,https://perfil.mercadolivre.com.br/NATHCELLDIGITALL,https://produto.mercadolivre.com.br/MLB-920962284-fone-de-ouvido-bluetooth-42-magnetico-graves-sport-pdagua-_JM,6,1,0,0,0,#920962284,Universal,Primeira,Marca correta é AWEI,X660 4.2,Over-ear
