search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca da Capa,Marca de Celular,Modelo de Celular,Modelo da Capa,Tipo de capa,Material,Cor
11, Capa Anti Impacto P iPhone 6 7 8 10 X Xs Xr + Película Vidro ,34,NA,5648,40321,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,498,https://perfil.mercadolivre.com.br/JKCAPAS,https://produto.mercadolivre.com.br/MLB-682539065-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8plus-x-xr-xs-max-_JM?searchVariation=22563854091,399,60,25,11,3,#682539065,JK CAPAS,Apple,IPHONE,ULTRA FINA,CAPA PROTETOR,TPU,NA
12, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8plus X Xr Xs Max ,16,NA,329,20,3x,5.63,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,5,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1056485759-capa-anti-impacto-p-iphone-5-6-7-8-10-x-xs-xr-pel-gel-_JM?searchVariation=26828489024,5,0,0,0,0,#1056485759,H+,Apple,Escolher no anúncio.,TPU,capinha de silicone,Silicone,NA
13, Capa Anti Impacto P/ iPhone 5 6 7 8 10 X Xs Xr + Pel. Gel ,32,NA,389,811,6x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,7,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://produto.mercadolivre.com.br/MLB-1246923437-capinha-capa-case-silicone-iphone-7-plus-8-plus-aveludada-_JM,7,0,0,0,0,#1246923437,Silicone,Apple,iphone7 plus  iphone 8 plus,iPhone,Silicone,Silicone- Aveludada,NA
14, Capinha iPhone 8 Plus Apple 5.5 Poleg. Silicone Case Lacrada ,60,NA,644,1256,12x,5.00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,28,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-687097200-capa-capinha-case-magnetica-iphone-6-7-8-7-plus-8-plus-x-xs-_JM?searchVariation=27812486572,15,3,4,2,4,#687097200,Marketmix1,Apple,Iphone,Magnetica,Silicone,Emborrachada,NA
15, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Aveludada ,19,NA,698,940,3x,6.66,NA,Envio para todo o país,NA,NA,4.1,28,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-709855452-capinha-case-capa-iphone-4-5-5s-se-6-6s-7-8-7-plus-coracoes-_JM?searchVariation=20025292856,18,3,2,2,3,#709855452,Marketmix1,Apple,Iphone,Silicone,Silicone,Silicone,NA
16, Capa Capinha Case Magnetica iPhone 6 7 8 7 Plus 8 Plus X Xs ,29,NA,95,405,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536270-capa-case-capinha-silicone-aveludado-iphone-8-plus-branco-_JM,1,0,0,0,0,#1165536270,Apple,Apple,Iphone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
17, Capinha Case Capa iPhone 4 5 5s Se 6 6s 7 8 7 Plus Coracoes ,17,NA,1205,879,3x,6.37,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,33,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-689234987-capinha-anti-queda-silicone-iphone-x-xs-xr-max-5-se-6s-7-8-p-_JM?searchVariation=21674208427,25,4,2,1,1,#689234987,Marketmix1,Apple,Iphone,Silicone,Anti impacto,Silicone,NA
18, Capa Case Capinha Silicone Aveludado iPhone 8 Plus Branco ,48,NA,108,817,6x,8.11,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/KARMINPARTS2003,https://produto.mercadolivre.com.br/MLB-1214046247-capa-capinha-case-flip-magnetica-iphone-8-plus-_JM?searchVariation=35503300510,1,0,0,0,0,#1214046247,000,Apple,iPhone 8 Plus,Magnético,Flip Magnético,TPU/Policarbonato,NA
19, Capinha Anti Queda Silicone iPhone X Xs Xr Max 5 Se 6s 7 8 P ,54,NA,209,7641,10x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.7,6,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213999114-capa-capinha-magnetica-premium-iphone-7-8-plus-x-xs-xr-xsmax-_JM?searchVariation=37715721002,3,0,1,2,0,#1213999114,jk capas,Apple,iphone,Magnética,capa protetor,metal e vidro,NA
20, Capinha Holográfica iPhone 6 6s Plus 7 8 Plus X Xr Xs Max ,22,NA,2220,3700,4x,5.75,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,99,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-686071680-capa-capinha-iphone-xs-x-xr-6-6s-7-8-plus-max-anti-impacto-_JM?searchVariation=20023563955,78,10,6,1,4,#686071680,Marketmix1,Apple,Iphone 5s/se/6/6s/7/Plus/X,Anti Impacto,Anti Impacto,Silicone,NA
21, Capa Capinha Case Flip Magnética iPhone 8 Plus ,34,NA,343,440,6x,5.82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,16,https://perfil.mercadolivre.com.br/AQUITEMDETUDO16,https://produto.mercadolivre.com.br/MLB-835972839-capa-capinha-case-rosa-de-iphone-7-feminina-_JM?searchVariation=25908148601,10,1,1,0,4,#835972839,Apple,Apple,7,"7""",Silicone,Silicone,NA
22, Capa Capinha Magnetica Premium iPhone 7 8 Plus X Xs Xr Xsmax ,20,NA,234,42,4x,5.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,3,https://perfil.mercadolivre.com.br/PRESENTES4ALL,https://produto.mercadolivre.com.br/MLB-828466878-capa-capinha-ultra-fina-fosca-iphone-x-5s-se-6s-plus-7-8plus-_JM?searchVariation=32338006784,3,0,0,0,0,#828466878,Apple,Apple,iPhone 7 Plus,iPhone,traseira,TPU,NA
23, Capa Capinha iPhone Xs X Xr 6 6s 7 8 Plus Max Anti Impacto ,49,NA,66,8855,6x,8.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1204440894-capa-capinha-anti-impacto-luxo-iphone-6-7-8-plus-x-xr-xs-max-_JM?searchVariation=34758789527,2,0,0,0,0,#1204440894,gkk,Apple,iphone,capa 360,capa protetor,TPU/Policarbonato,NA
24, Capa Capinha Case Rosa De iPhone 7 - Feminina ,29,NA,64,436,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536360-capinha-silicone-aveludado-iphone-8-plus-amarelo-_JM,NA,NA,NA,NA,NA,#1165536360,Apple,Apple,Iphone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
25, Capa Capinha Ultra Fina Fosca iPhone X 5s Se 6s Plus 7 8plus ,29,NA,61,439,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536357-capinha-silicone-aveludado-iphone-8-plus-rosa-_JM,2,0,0,0,0,#1165536357,Apple,Apple,Iphone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
26, Capa Capinha Anti Impacto Luxo iPhone 6 7 8 Plus X Xr Xs Max ,94,NA,7,1,12x,7.91,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CAPINHASMARTPHONE,https://produto.mercadolivre.com.br/MLB-1136029586-capa-capinha-case-nillkin-luxo-iphone-8-plus-eton-case-_JM,NA,NA,NA,NA,NA,#1136029586,Nillkin,Apple,iPhone 8 Plus,Eton Case,Back Cover,TPU/Policarbonato,NA
27, Capinha Silicone Aveludado iPhone 8 Plus Amarelo ,29,NA,41,459,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165542688-capa-case-capinha-silicone-aveludado-iphone-8-plus-preto-_JM,2,0,0,0,0,#1165542688,Apple,Apple,Iphone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
28, Capinha Silicone Aveludado iPhone 8 Plus Rosa ,14,NA,104,9,2x,7.60,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/MAITE_26,https://produto.mercadolivre.com.br/MLB-1205102371-capinha-casca-de-ovo-ultra-fina-iphone-7-8-plus-x-pelicula-_JM?searchVariation=34807626240,1,0,0,0,0,#1205102371,Ipremium,Apple,"Iphone 7, 8, 7Plus, 8Plus e X",Slim Transparente,Slim Transparente,TPU/Policarbonato,NA
29, Capa Capinha Case Nillkin Luxo iPhone 8 Plus - Eton Case ,20,NA,378,67,4x,5.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,11,https://perfil.mercadolivre.com.br/PRESENTES4ALL,https://produto.mercadolivre.com.br/MLB-828661397-capa-capinha-tpu-ultra-fina-iphone77plus5se5s6-8-barata-_JM?searchVariation=39632579712,7,2,1,0,1,#828661397,Importado,Apple,Iphone 7 plus/ 8plus,Flexível,traseira,TPU,NA
30, Capa Case Capinha Silicone Aveludado iPhone 8 Plus Preto ,139,NA,1,3,12x,11.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CAPINHASMARTPHONE,https://produto.mercadolivre.com.br/MLB-1132808261-capa-iphone-8-plus-capinha-nillkin-de-fibra-de-carbono-tpu-_JM,NA,NA,NA,NA,NA,#1132808261,Nillkin,Apple,iPhone 8 Plus,Fibra de carbono,Fibra de Carbono,Silicone,NA
31, Capinha Casca De Ovo Ultra Fina iPhone 7 8 Plus X + Pelicula ,64,NA,3,3,12x,5.41,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CAPINHASMARTPHONE,https://produto.mercadolivre.com.br/MLB-1132500213-capinha-ultra-fina-iphone-8-plus-nillkin-nature-tpu-original-_JM,NA,NA,NA,NA,NA,#1132500213,Nillkin,Apple,iPhone 8 Plus,Nature TPU,Emborrachada,Silicone,NA
32, Capa Capinha Tpu Ultra Fina Iphone7/7plus/5/se/5s/6 8 Barata ,29,NA,29,471,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165542958-capinha-silicone-aveludado-iphone-8-plus-azul-marinho-_JM,1,0,0,0,0,#1165542958,Apple,Apple,Iphone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
33, Capa iPhone 8 Plus Capinha Nillkin De Fibra De Carbono Tpu ,26,NA,78,538,5x,5.91,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,5,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-695953433-3-capinha-capa-case-anti-impacto-queda-todos-iphones-_JM?searchVariation=35517432727,5,0,0,0,0,#695953433,Marketmix1,Apple,Iphone,Silicone,Silicone,Silicone,NA
34, Capinha Ultra Fina iPhone 8 Plus Nillkin Nature Tpu Original ,29,NA,38,7768,5x,5.99,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BOX-1001,https://produto.mercadolivre.com.br/MLB-1272452877-capinha-aveludada-apple-iphone-5-se-6-6s-6s-7-8-plus-xr-xs-_JM?searchVariation=40290827017,NA,NA,NA,NA,NA,#1272452877,Apple,Apple,iPhone,iPhone,Silicone,Silicone,NA
35, Capinha Silicone Aveludado iPhone 8 Plus Azul Marinho ,10,NA,39,3822,2x,5.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CIBRATEL+PARTS,https://produto.mercadolivre.com.br/MLB-1238584972-capinha-anti-queda-silicone-resistent-iphone-xs-7-8-plus-xr-_JM?searchVariation=37808370147,NA,NA,NA,NA,NA,#1238584972,Apple,Apple,iPhone 7 8 X XR XS XS Max,Anti Impacto,Anti Shock,Silicone,NA
36, 3 Capinha Capa Case Anti Impacto Queda Todos Iphones ,40,NA,19,5545,6x,6.67,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1205482450-capa-capinha-anti-impacto-luxo-slim-iphone-5s-6s-7-8-plus-xs-_JM?searchVariation=34838458614,NA,NA,NA,NA,NA,#1205482450,NA,NA,NA,NA,NA,NA,NA
37, Capinha Aveludada Apple iPhone 5 Se 6 6s 6s 7 8 Plus Xr Xs ,29,NA,20,480,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536217-capa-case-capinha-silicone-aveludado-iphone-8-plus-amarelo-_JM,NA,NA,NA,NA,NA,#1165536217,Apple,Apple,Iphone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
38, Capinha Anti Queda Silicone Resistent iPhone Xs 7 8 Plus Xr ,118,NA,504,298,12x,9.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,17,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-686398246-capinha-case-magnetica-frente-verso-vidro-iphone-x-xs-max-xr-_JM?searchVariation=40473761554,12,3,0,1,1,#686398246,Marketmix1,iPhone,iPhone 6 6s 7 8 7 Plus 8 Plus X Xs Xs MAx,Magnetica com vidro na frente e na traseira,Magnetica com vidro na frente e na traseira,Aluminio Vidro,NA
39, Capa Capinha Anti Impacto Luxo Slim iPhone 5s 6s 7 8 Plus Xs ,19,NA,48,496,3x,6.66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,3,https://perfil.mercadolivre.com.br/STORECCS,https://produto.mercadolivre.com.br/MLB-1130081482-capinha-anti-queda-silicone-iphone-x-xs-xr-max-5-6-7-8-plus-_JM?searchVariation=29616456882,3,0,0,0,0,#1130081482,Marketmix1,Apple,Iphone,Silicone,Anti impacto,Silicone,NA
40, Capa Case Capinha Silicone Aveludado iPhone 8 Plus Amarelo ,78,NA,16,875,12x,6.56,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/KARMINPARTS2003,https://produto.mercadolivre.com.br/MLB-1214046062-capa-capinha-case-flip-magnetica-iphone-8-plus-_JM?searchVariation=35503213436,NA,NA,NA,NA,NA,#1214046062,000,Apple,Iphone 8 plus,Magnético,Flip Magnético,TPU/Policarbonato,NA
41, Capinha Case Magnetica Frente Verso Vidro iPhone X Xs Max Xr ,29,NA,54,46,5x,5.98,NA,Envio para todo o país,NA,NA,4.8,4,https://perfil.mercadolivre.com.br/BENPICSCAPASDECELULAR,https://produto.mercadolivre.com.br/MLB-925200208-capinha-com-foto-personalizada-iphone-8-plus-_JM,3,1,0,0,0,#925200208,Benpics,Apple,iPHone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
42, Capinha Anti Queda Silicone iPhone X Xs Xr Max 5 6 7 8 Plus ,12,NA,141,16,2x,6.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1056948426-capinha-capa-fina-p-iphone-5-6-7-8-plus-10-x-_JM?searchVariation=25316698501,1,0,0,0,0,#1056948426,H+,Apple,Escolha antes de comprar o Iphone 5 5s 6 6s 7 8 10 X,TPU SILICONE Transparente,capinha de silicone,Silicone,NA
43, Capa Capinha Case Flip Magnética iPhone 8 Plus ,64,NA,31,95,12x,6.21,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STORECCS,https://produto.mercadolivre.com.br/MLB-1134696586-capa-capinha-a-prova-de-agua-shock-areia-iphone-6-7-8-x-10-_JM?searchVariation=29936208694,NA,NA,NA,NA,NA,#1134696586,Extreme.Deal,Apple,Iphone 6 6s 7 7 Plus,A prova de Agua,A prova de Agua,Silicone,NA
44, Capinha Com Foto Personalizada iPhone 8 Plus ,114,120,36,14,12x,9.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,4,https://perfil.mercadolivre.com.br/STORECASE-BR,https://produto.mercadolivre.com.br/MLB-910928034-capa-capinha-iphone-8-plus7-plus-ringke-fusion-transparente-_JM,3,0,0,1,0,#910928034,Ringke,Apple,iphone 8 Plus,Fusion,protetora,TPU/Policarbonato,NA
45, Capinha Capa Fina P/ iPhone 5 6 7 8 Plus 10 X ,17,NA,47,285,3x,6.37,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/CERTAOFERTA,https://produto.mercadolivre.com.br/MLB-862314220-capinha-case-iphone-4-5-6-7-8-plus-gatinho-gato-cat-lovers-_JM?searchVariation=18550740190,NA,NA,NA,NA,NA,#862314220,CertaOferta,Apple,Iphone,Silicone,Flexível,Silicone,NA
46, Capa Capinha A Prova De Agua Shock Areia iPhone 6 7 8 X 10 ,144,NA,26,14,12x,12.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/STORECASE-BR,https://produto.mercadolivre.com.br/MLB-838245690-capa-capinha-iphone-8-plus-7-plus-caseology-skyfall-case-_JM,2,0,0,0,0,#838245690,Caseology,Apple,iPhone 7 Plus,Skayfall,traseira e lateral,TPU/Policarbonato,NA
47, Capa Capinha iPhone 8 Plus/7 Plus Ringke Fusion Transparente ,14,NA,550,9820,2x,7.86,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,7,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-791106097-case-capa-capinha-silicone-iphone-5-6s-7-8-x-xs-xr-plus-max-_JM?searchVariation=29062828009,6,1,0,0,0,#791106097,Marketmix1,Apple,Iphone,Silicone,Silicone,Silicone,NA
48, Capinha Case iPhone 4 5 6 7 8 Plus Gatinho Gato Cat Lovers ,12,NA,83,6,2x,6.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1222747558-capa-capinha-anti-impacto-iphone-5-6-6s-7-8-plus-x-xs-max-xr-_JM?searchVariation=36243911212,1,0,0,0,0,#1222747558,HR,iPhone,Escolher no anúncio.,TPU,Capinha,Silicone,NA
49, Capa Capinha iPhone 8 Plus / 7 Plus Caseology Skyfall Case ,49,NA,10,8881,6x,8.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1204455080-capa-capinha-anti-impacto-slim-luxo-iphone-6-7-8-plus-x-max-_JM?searchVariation=37662508201,NA,NA,NA,NA,NA,#1204455080,gkk,Apple,iphone,capa 360,capa protetor,TPU/Policarbonato,NA
50, Case Capa Capinha Silicone iPhone 5 6s 7 8 X Xs Xr Plus Max ,19,NA,1955,80008,3x,6.66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,88,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-706962558-capa-capinha-flexivel-iphone-6-7-8-plus-xs-x-xr-max-vidro-_JM?searchVariation=18057256084,65,14,6,3,0,#706962558,Marketmix1,Apple,Iphone,Silicone,Silicone,Silicone,NA
51, Capa Capinha Ultra Fina Fosca iPhone 7 Tpu Case Varias Cores ,22,NA,161,47,4x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.7,7,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-926275689-capa-capinha-ultra-fina-fosca-iphone-7-tpu-case-varias-cores-_JM?searchVariation=33828300664,3,1,2,0,1,#926275689,Bumper,Apple,Iphone,Silicone,Silicone,Silicone,NA
52, Capa Case Capinha iPhone 6s 6 Plus Glitter Rosa Luxo Premiun ,23,NA,376,41,4x,5.98,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,6,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1012470928-capa-case-capinha-iphone-6s-6-plus-glitter-rosa-luxo-premiun-_JM?searchVariation=35321463316,4,1,1,0,0,#1012470928,TPU,Apple,Iphone,Transparente,Glitter,Silicone,NA
