search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Modelo,Marca
13, Carcasa Funda Estuche iPhone ,19.999,NA,3,1,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MLOKEDO,https://articulo.mercadolibre.com.co/MCO-517962345-carcasa-funda-estuche-iphone-_JM?searchVariation=40002255578,NA,NA,NA,NA,NA,#517962345,iPhone,NA,NA
14, Fundas Apple Silicona Case iPhone 5s 6 6s 7 8 Plus + Templdo ,59.8,NA,117,NA,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,11,https://perfil.mercadolibre.com.co/TECNO.GADGETS.CO,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=oZvke8O6tTIOcx2ROjBAAIZitxGiQdBTY2IYvGh0fOgGuJWe%2BLoF2AW6itm6WVjkPfOA5a5CwEixg9GJhyESeyIOiGr7h%2BJswRmrZ2H9PUJPeanPnDmn9O6x0xrVMdBxtsWDFtXZTosZJFoER%2F8rtSwqfq%2FKT2W0cOHYn8L0wkRCVDwLKRRL8aaT73EalsL%2Bn4gErpZt1nfs2FJznoqN6ScEnnXl83ogE4Bj5jnxpf0q39HS76g9ITZtlzp62jo0h6hUat211cIU5ADboSIXzVPewIOGUeU%2Bq%2BKN%2FpKpugW4IxlZUWTeTdXoRAKCOwQVu7Tg1kdaZIDjxuF8mHJEllS%2FIGuD6SMlgrNFiQDhAIv2%2FpfbJkoWNsnNMkPPkbQuI2FW3GWKNvzGa5lwYTrhxdBdud7n2tMvzvONHk%2FKBNYwTQn0Z0S5WrPFKJcE9zqctuZhhalnsVK%2FUOsg99PXqcWCCVnQ5cgW2z3DHtL3igh5jGdc9VjyygNqmUXJPNX8RbmeZdFOTcAWqaZbGC8PXX3qEfy8xFho17wCwJgKyLn201FL5nVIec1%2FG%2BxpT6mkIV2F6Yx7CFXKjI%2BXcGve3gfIpeIT9aF8KZoKZt5S9oU60B%2FzL06cSVmqif0HbbcLTFLeUz3T1FBgOR2WivLamXMa5PUg%2B%2FoKukYU0Ey4zHI8qaBNvL4md7zEBR2O3zWwuWAS%2FdwmSQDCc75hW%2BK4slc29wffecW30OZUpQMgSUx5zF5qYZjCH0ob0eeIqe1PikomxjhzJVXhv1FTdFNPhx7dfKuY4WYbihneELmYko4LLTFQ9IuC6Ye0wm8KlwyitmC30BpwQ0xCZQIf4vl%2B0KoeYBTwkLhKiNghA9IPNldTi3ox%2FeGSvBgb38n4wnV7Oqu1BjdaHgN%2FTJFAYLHAjHR6T9PCH%2B826dA7v0a5YpnorHwGL5J27K0BlEXOm%2BOe0HXDlfFjuW9JlAwUvTXq0HWN4SYcHVWT5dW8aPHYG9ok5WsnN59CyK2wmmJO7J1C68tVccqN2RllK9N%2BEvEM8elYodskZ4fHI0GvczqdvohjuRPrTModLfyip5yZrRc2ynrS3KZDyxTE6GwouqClajdlJq%2FTj7VqBcQicP63ZjSSm%2BnxQ9Y%2FqsTGgxfu8H%2FnEPWd8g2z9gm2ZqcHdgAmAVRFBo3l1LyS6aNx8e7t9fQvrhZAZGrHzPd9uttdAvySAmbJk7rOc%2BtWStwwJR%2Fyd5D%2FG6Ch1ypWzzkLUDtqnLYjvO8RQl2o8DAqGpd5ofsaE9SqfduV2SVV9boehq%2FTGLCgmqoqXuzDZ4lF8DCmRoBpen1qupboVh963kiY8BHkJ0gg0%2FideKuNw7ML1S6xWvL5tiZZIrRi3Yu2JPNZhP4eR3C%2FCeac6AGlBhrwNrcxS2LDtgPhZ0fCda7xRBy63%2FBfvFjJXGcyMOHsOpVQilMGcLU56d9uzw%2BZpg2rbn1VuI8INMPX4eU3miA23XNusxWsWaUNZJZhCUQc4D4%2BzkCOiH1MMXcy,9,2,0,0,0,#455553083,NA,NA,NA
15, Funda Silicona Para iPhone 7 Plus - 8 Plus ,18,NA,0,8,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/URBAN+TECHNO,https://articulo.mercadolibre.com.co/MCO-504849800-funda-silicona-para-iphone-7-plus-8-plus-_JM,NA,NA,NA,NA,NA,#504849800,NA,NA,NA
16, Funda Sumergible /iPhone 8/7plus/ 6 Plus /8/7/6/6s/universal ,34.99,NA,14,2,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/NEXOSGROUP2010,https://articulo.mercadolibre.com.co/MCO-447917005-funda-sumergible-iphone-87plus-6-plus-8766suniversal-_JM,NA,NA,NA,NA,NA,#447917005,NA,NA,NA
17, iPhone 8 Plus 7 Plus Funda De Silicona Transparente ,9.4,NA,0,20,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/APRECIOSDEREMATE,https://articulo.mercadolibre.com.co/MCO-525740005-iphone-8-plus-7-plus-funda-de-silicona-transparente-_JM,NA,NA,NA,NA,NA,#525740005,NA,NA,NA
18, Carcasa Para iPhone Funda Estuche Hermosos Diseños ,18,NA,6,3,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TRENDYNOVEDADES,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=IpU%2BxQ1UJ3h03JWwMFnTb94kYBBEYvfznO6Tume2wNXyteTK%2FVOPgAMqGW5SJFcOW1JXvWgf2vFlNOtjfxpRFxAQ6S2W26GuiCVkMluDBukhJ4lEe8YUih8uJtCd3%2FuDReL2p4EukRfNolM1Guj1yyKclBAF%2BjTcDGows4sgHwOZLj6Ylcn8LqJvdhdAn5%2BSJYVbSbU%2BgEHwxuWDpbcV6QAg5vXkwXjSuz0qJBv43M%2BJtw9FoTxfbuQd226fgGP97mVnwChD5ncMmBXJBPRD19ESh%2Be1gAgbFSDC0GBQYWtxFU9rOkMb7PsBdio09fdqVBBB4akP7iemDKE1sbWATjxr%2BJMgKTNfTgJie9VYgFEfZclYohtuWitoze9mGIoWe%2FXGG%2FtZOwLLm0osIYFP5dYHZDfrCaUCUJ5eiCpGDUy%2BnP7IGftvx8ExWrxOyO6AWVX0aJL%2FrthLR%2F4LQqJa004%2F%2FCWXWNKg9Zw6QpBz21%2BdXENtoGXtwQxdTe85unktb0YcOM%2Fnc5bl0JZElyJwQuAXcLqk1C3s%2BbTISzsI50z8eIrEA4arfL1b3X0%2BNeNU9v9JS%2F6DbgIkRF1UobKBPReiB1wEQmfx9TU941fyjkvZevO7NbYbKBP8Q7Zc9u94yrscc%2B0Hb4jjiReAgCBjaqpe4VB9ol9RnJWVemOXnWRWFH99Z5fP93CRtpBanwfSCu2WGsXS%2F9YPqGkQbCvpgi9y77m9oFd6MwA%2BMA1Puw1h2F1ElPBjakgnxEcFdPpd9jL1FYrzRwZmHrpw6We9%2BgYQQ4RVWTMLMp15U3CMHBMTVG1XIEeLCzXZoOI%2FV%2BMAzHHXHARABFPtWtkwjuHZK7uUP1boidTTMCIyVYAQUNoEoKI%2BNw%2BwPIttRPgBlhY5KNq4HTBYwhU69zhgtpaseB9VNVSYTtxyYV8fLyMwLOvAXdl4zgC8e%2B95JDhqxog%2BzsvVomm2yA3LQO02rFD8%2FEBcKcmiEbbFT76EQj2Gnq2UQu%2F0IGDzthlgD8bxYMb1rBWnQm4Hdov8K4HpxDuQHZgjqZOWEbpDsJehcwIRlKZFlX4kag3QbX5D1cEde9OHBgZvlpjyuBmJsHZFKoNbICpR%2BqWHr1q9rVnqKWdH6bWjbFoaZDbJqgfpf3RvJl6I9FU5BR3S%2BiSDwd42xz7zV7yfT4V7Pe6l1kuKk8k6XXwM9EA6lj7PJscYfHqLkTab28cHc8U36Xn71BloEAFowxHsM6SMltDCFEKXBrJrr4gcSOSPwjwhFXBR715OwNSFlwUBT3QzMDhqeGxRSubmitgk0n85oj8MSlnYEYbQhCi03shDD4IAw7qr7GtriOks60LLFHiJfo3FGiGJGEisW82tfZQUYBFb6HbivcJ98XEhQBfLZHjgUemjyHEdG5dUDcqud2gBTr9ifzCPqbPDBw%2BOFxxRRCidfFbLwNvgbJvknRBxjke%2Bo3FUbjlfeqeBePdd3sD5MO3qj06JI2tHtoZ%2FA1Zw2LQKKbQ06ccDDw%3D%3D,NA,NA,NA,NA,NA,#510007912,iPhone,NA,NA
19, Otterbox Defender Series Funda Para iPhone 8 Plus Y iPhone 7 ,212.9,NA,1,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-459385397-otterbox-defender-series-funda-para-iphone-8-plus-y-iphone-7-_JM,NA,NA,NA,NA,NA,#459385397,NA,NA,NA
20, Funda Antichoque Para iPhone X - 7/8 - 7/8 Plus - Azul ,40.3,NA,5,286,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PHONETIFYTIENDAONLINE,https://articulo.mercadolibre.com.co/MCO-483700658-funda-antichoque-para-iphone-x-78-78-plus-azul-_JM?searchVariation=40895018934,NA,NA,NA,NA,NA,#483700658,NA,NA,NA
21, Carcasa Funda Estuche Cristal Anillo iPhone 7/8 Plus Negro ,35,NA,0,NA,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSERAULRESTREPOGARZON,https://articulo.mercadolibre.com.co/MCO-501127549-carcasa-funda-estuche-cristal-anillo-iphone-78-plus-negro-_JM,NA,NA,NA,NA,NA,#501127549,iPhone,NA,NA
22," Carcasa Funda Silicona iPhone 6, 7, 8 Plus, X, Xs ",17.999,NA,0,10,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEENONIMPORTACIONES,https://articulo.mercadolibre.com.co/MCO-507060579-carcasa-funda-silicona-iphone-6-7-8-plus-x-xs-_JM,NA,NA,NA,NA,NA,#507060579,NA,NA,NA
23, Funda Antichoque Para iPhone X - 7/8 - 7/8 Plus - Negro ,40.3,NA,17,259,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,3,1,https://perfil.mercadolibre.com.co/PHONETIFYTIENDAONLINE,https://articulo.mercadolibre.com.co/MCO-483233782-funda-antichoque-para-iphone-x-78-78-plus-negro-_JM?searchVariation=40895019918,0,0,1,0,0,#483233782,NA,NA,NA
24, Funda Iluv Para iPhone 8 Y 7 Plus Crystal Ring Transparente ,47,NA,2,NA,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ANROHEZ,https://articulo.mercadolibre.com.co/MCO-518742210-funda-iluv-para-iphone-8-y-7-plus-crystal-ring-transparente-_JM,NA,NA,NA,NA,NA,#518742210,NA,NA,NA
25, Funda Forro Protector 360 Gkk Estuche 3 En 1 iPhone 8 Plus ,27.9,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/CAROLINA.CASTRO68,https://articulo.mercadolibre.com.co/MCO-516372872-funda-forro-protector-360-gkk-estuche-3-en-1-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#516372872,NA,NA,NA
26, Case iPhone 7/8 Plus Apple Silicone Forro Protector Funda ,29.9,NA,1,NA,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IPHONESHOP_BQ,https://articulo.mercadolibre.com.co/MCO-492860348-case-iphone-78-plus-apple-silicone-forro-protector-funda-_JM,NA,NA,NA,NA,NA,#492860348,NA,NA,NA
27," Carcasa Funda Silicona iPhone 6, 7, 8 Plus, X, Xs ",17.999,NA,0,19,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JIS+IMPORTACIONES,https://articulo.mercadolibre.com.co/MCO-503516446-carcasa-funda-silicona-iphone-6-7-8-plus-x-xs-_JM,NA,NA,NA,NA,NA,#503516446,NA,NA,NA
28, Case iPhone 7/8 Plus Blue Cobalt Protector Forro Funda Apple ,29.9,NA,0,NA,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IPHONESHOP_BQ,https://articulo.mercadolibre.com.co/MCO-490131114-case-iphone-78-plus-blue-cobalt-protector-forro-funda-apple-_JM,NA,NA,NA,NA,NA,#490131114,NA,NA,NA
29, Amazonbasics Funda Para iPhone 7 Plus iPhone 8 Plus Roja ,24.9,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/COMPRA+_SEGURO,https://articulo.mercadolibre.com.co/MCO-454204947-amazonbasics-funda-para-iphone-7-plus-iphone-8-plus-roja-_JM,NA,NA,NA,NA,NA,#454204947,iPhone,ROJA,NA
30," Carcasa Funda Silicona iPhone 6, 7, 8 Plus, X, Xs ",18.999,NA,0,20,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SIJ+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-503335452-carcasa-funda-silicona-iphone-6-7-8-plus-x-xs-_JM,NA,NA,NA,NA,NA,#503335452,NA,NA,NA
31, Case iPhone 7/8 Plus Forro Funda Protector ,29.9,NA,0,NA,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IPHONESHOP_BQ,https://articulo.mercadolibre.com.co/MCO-490129328-case-iphone-78-plus-forro-funda-protector-_JM,NA,NA,NA,NA,NA,#490129328,NA,NA,NA
32, Vidrio Cristal Trasero Repuesto iPhone 8 Plus 100% Original ,89.9,NA,10,26,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IWORLDSERVICE,https://articulo.mercadolibre.com.co/MCO-465277145-vidrio-cristal-trasero-repuesto-iphone-8-plus-100-original-_JM,NA,NA,NA,NA,NA,#465277145,NA,CRIREP8P,APLE
33," Funda De Billetera Para iPhone 8 Plus, 7 Plus, 6 Plus Y 6s P ",88.9,NA,0,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-459482542-funda-de-billetera-para-iphone-8-plus-7-plus-6-plus-y-6s-p-_JM,NA,NA,NA,NA,NA,#459482542,NA,NA,NA
34, Fundas De Silicona Para Iphone 8 Y 8 Plus ,25,NA,0,12,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEBASTEANO,https://articulo.mercadolibre.com.co/MCO-495735959-fundas-de-silicona-para-iphone-8-y-8-plus-_JM,NA,NA,NA,NA,NA,#495735959,NA,NA,NA
35, iPhone 8 Plus Kit Protector Funda Delgada + Vidrio Templado ,48.9,80,24,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.2,6,https://perfil.mercadolibre.com.co/TIENDANOSTRA.COM,https://articulo.mercadolibre.com.co/MCO-458321230-iphone-8-plus-kit-protector-funda-delgada-vidrio-templado-_JM,4,1,0,0,1,#458321230,NA,NA,NA
36," Funda iPhone 7 Plus, Funda iPhone 8 Plus, Funda Rígida Slim ",88.9,NA,0,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-463244431-funda-iphone-7-plus-funda-iphone-8-plus-funda-rigida-slim-_JM,NA,NA,NA,NA,NA,#463244431,NA,NA,NA
37," Funda iPhone 8 Plus, Supcase Unicorn Beetle Series Premium F ",105.99,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/FULLBOX+TODOLOQUENECESITAS,https://articulo.mercadolibre.com.co/MCO-504782497-funda-iphone-8-plus-supcase-unicorn-beetle-series-premium-f-_JM,NA,NA,NA,NA,NA,#504782497,NA,SUP-iPhone8Plus-Unicorn-Frost/Black,SUPCASE
38," Funda iPhone 7 Plus, Funda iPhone 8 Plus, Funda De ",83.9,NA,0,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-463244421-funda-iphone-7-plus-funda-iphone-8-plus-funda-de-_JM,NA,NA,NA,NA,NA,#463244421,NA,NA,NA
39, Funda Otterbox Defender Series Para iPhone 8 Plus Y iPhone 7 ,187.9,NA,0,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-458596048-funda-otterbox-defender-series-para-iphone-8-plus-y-iphone-7-_JM,NA,NA,NA,NA,NA,#458596048,NA,NA,NA
40, Funda iPhone 7/8 Plus Y X Star Wars Darth Vader ,30,NA,1,NA,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/BACKUPSTORECOL,https://articulo.mercadolibre.com.co/MCO-469810935-funda-iphone-78-plus-y-x-star-wars-darth-vader-_JM,NA,NA,NA,NA,NA,#469810935,iPhone,NA,NA
41, iPhone 7 Plus Funda De Silicona Para iPhone 8 Plus / iPhone ,72.9,NA,0,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-457605255-iphone-7-plus-funda-de-silicona-para-iphone-8-plus-iphone-_JM,NA,NA,NA,NA,NA,#457605255,NA,NA,NA
42, Navor Funda Magnetica Para iPhone 7 Plus8 Plus Y iPhone X Co ,120.99,NA,0,12,36 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/FELIPE+TOBON,https://articulo.mercadolibre.com.co/MCO-505207290-navor-funda-magnetica-para-iphone-7-plus8-plus-y-iphone-x-co-_JM,NA,NA,NA,NA,NA,#505207290,NA,NA,navor
43," Funda iPhone 7 Plus, Funda iPhone 8 Plus, Funda Rígida Thara ",83.9,NA,0,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-463244391-funda-iphone-7-plus-funda-iphone-8-plus-funda-rigida-thara-_JM,NA,NA,NA,NA,NA,#463244391,NA,NA,NA
44, Otterbox Defender Series Funda Para iPhone 8 Plus Y iPhone 7 ,177.9,NA,3,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-457597042-otterbox-defender-series-funda-para-iphone-8-plus-y-iphone-7-_JM,NA,NA,NA,NA,NA,#457597042,NA,NA,NA
45," Running Arm Band / Funda Brazo S9, S9+ iPhone 6/7/8 Plus ",20,NA,2,NA,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ODG500,https://articulo.mercadolibre.com.co/MCO-482130843-running-arm-band-funda-brazo-s9-s9-iphone-678-plus-_JM,NA,NA,NA,NA,NA,#482130843,NA,NA,NA
46, Silk Funda Rígida iPhone 7/8 Plus Humo - Envío Gratis ,136.9,NA,0,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-462151658-silk-funda-rigida-iphone-78-plus-humo-envio-gratis-_JM,NA,NA,NA,NA,NA,#462151658,NA,NA,NA
47," Funda iPhone 8 Plus, [resistente A Los Aranazos] Funda Trans ",120.99,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/FULLBOX+TODOLOQUENECESITAS,https://articulo.mercadolibre.com.co/MCO-504782498-funda-iphone-8-plus-resistente-a-los-aranazos-funda-trans-_JM,NA,NA,NA,NA,NA,#504782498,NA,iPhone8Plus-Halo-Clear,i-Blason
48, Carcasas Fundas Personalizadas iPhone 7 Plus 8 Plus iPhone X ,19.9,NA,0,10,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JUANDIEGOJ,https://articulo.mercadolibre.com.co/MCO-514449053-carcasas-fundas-personalizadas-iphone-7-plus-8-plus-iphone-x-_JM,NA,NA,NA,NA,NA,#514449053,iPhone,NA,NA
49," Funda iPhone 7 Plus, Funda iPhone 8 Plus, Funda De Protecció ",88.9,NA,0,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-463244408-funda-iphone-7-plus-funda-iphone-8-plus-funda-de-proteccio-_JM,NA,NA,NA,NA,NA,#463244408,NA,NA,NA
50, Otterbox Defender Series Funda Para iPhone 8 Plus Y iPhone 7 ,337.9,NA,0,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-457599553-otterbox-defender-series-funda-para-iphone-8-plus-y-iphone-7-_JM,NA,NA,NA,NA,NA,#457599553,NA,NA,NA
51, Funda Silicone Case iPhone 7plus / 8plus + Cristal Templado ,30,NA,0,2,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/EDISONLEGUIZSMO,https://articulo.mercadolibre.com.co/MCO-486915452-funda-silicone-case-iphone-7plus-8plus-cristal-templado-_JM,NA,NA,NA,NA,NA,#486915452,NA,NA,NA
52, Funda De Madera Natural Para iPhone X Xs Max Xr 8 Plus 7 ,137.097,NA,0,50,36 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/DELIVERYSASUSAME,https://articulo.mercadolibre.com.co/MCO-515740425-funda-de-madera-natural-para-iphone-x-xs-max-xr-8-plus-7-_JM,NA,NA,NA,NA,NA,#515740425,NA,NA,NA
