search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Potência de saída (RMS),Tipos de alto-falante,Quantidade de alto-falantes,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Conectores de entrada,Peso,Resposta mínima em frequência,Resposta máxima em frequência,Distorção,Voltagem,Largura,Profundidade,Altura,Cor
390, Caixa Som Bluetooth Jbl Xtreme 2 40w Azul Jblxtreme2azl ,1009,NA,"
			
			
				
				12
				vendidos
			
		",(65 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 9653
		
		 sem juros
		
	

	
		",53,NA,Envio para todo o país,NA,NA,4.3,1971,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1229472852-caixa-som-bluetooth-jbl-xtreme-2-40w-azul-jblxtreme2azl-_JM#position=21&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,1262,346,188,69,106,#1229472852,JBL,NA,Xtreme,40 W,Woofer,1,Passivo,NA,NA,NA,USB,2.11 kg,70 Hz,20 kHz,NA,NA,136 mm,132 mm,288 mm,NA
391, Caixa Amplificada Jbl Party Box 300 Box300 ,2399,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 22937
		
		 sem juros
		
	

	
		",37,NA,Entrega a combinar com o vendedor,NA,NA,4.8,39,https://perfil.mercadolivre.com.br/TOP+MULTIM%C3%8DDIAS,https://produto.mercadolivre.com.br/MLB-1278701575-caixa-amplificada-jbl-party-box-300-box300-_JM#position=22&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,33,5,0,0,1,#1278701575,JBL,NA,Box300,120 W,"2x6.5"" woofer, 3x2.25"" tweeter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392, Caixa Amplificada P/ Microfone Guitarra Violão Lx100 Nca Ysm ,413,NA,"
			
				Novo
			
			
				
					 - 
				
				26
				vendidos
			
		",(986 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3442
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/YOUNGMUSIC,https://produto.mercadolivre.com.br/MLB-948076207-caixa-amplificada-p-microfone-guitarra-violo-lx100-nca-ysm-_JM#position=23&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#948076207,LL Audio,NA,Lx 100,30 W,Woofer,1,Tweeter,"Igreja, banda, estudio, casa, som.",Caixa,3,"P10, RCA",9.35 kg,NA,NA,NA,NA,NA,NA,NA,NA
393, Caixa De Som Amplificada Multiuso Cm 1800 Bt Luz De Leds Fm ,1499,NA,"
			
			
				
				5
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 12499
		
		 sem juros
		
	

	
		",99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,7,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-1223687610-caixa-de-som-amplificada-multiuso-cm-1800-bt-luz-de-leds-fm-_JM#position=24&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,5,1,1,0,0,#1223687610,Frahm,CM,CM 1800 BT,600 W,NA,NA,Ativo,NA,Caixa,NA,Auxiliar,13.6 kg,NA,NA,NA,NA,920 mm,300 mm,440 mm,NA
394, Tronsmart Mega Auto Falante Bluetooth (40w) Novo Lacrado ,289,NA,"
			
				Novo
			
			
				
					 - 
				
				26
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2772
		
		 sem juros
		
	

	
		",72,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,5,https://perfil.mercadolivre.com.br/DANIELTMONTAGNA,https://produto.mercadolivre.com.br/MLB-1198527963-tronsmart-mega-auto-falante-bluetooth-40w-novo-lacrado-_JM#position=25&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,1,2,2,0,0,#1198527963,Tronsmart,NA,Element Mega,40 W,NA,NA,normal,NA,refondo,5.1,NA,662 g,NA,NA,1 %,NA,NA,NA,NA,NA
395, Caixa De Som Bluetooth Jbl Charge 4 30w Preto ,879,NA,"
			
			
				
				13
				vendidos
			
		",(30 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,96,https://perfil.mercadolivre.com.br/DIRETOCOMVOCE?brandId=1328,https://produto.mercadolivre.com.br/MLB-1244316919-caixa-de-som-bluetooth-jbl-charge-4-30w-preto-_JM#position=26&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,68,12,9,1,6,#1244316919,JBL,NA,Charge 4,30 W,NA,NA, , , , , ,965 g,NA,NA,NA,NA,NA,NA,NA,NA
396, Caixa De Som 6 Em 1 Amplificada Com Bluetooth Usb Mp3 Sd Mic ,214,226,"
			
				Novo
			
			
				
					 - 
				
				1095
				vendidos
			
		",(67 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1791
		
		 sem juros
		
	

	
		",91,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,633,https://perfil.mercadolivre.com.br/STCSMART,https://produto.mercadolivre.com.br/MLB-926239115-caixa-de-som-6-em-1-amplificada-com-bluetooth-usb-mp3-sd-mic-_JM#position=27&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,446,122,38,15,12,#926239115,Deko,AMPLIFICADA,SY-658,15 W,Woofer,NA,Woofer,"Sala,quarto,suite,cozinha,festa,balada,escritorio,carro,quintal,sacada,terraço,salão,portatil",Caixa,Digital,Entrada para Microfone,NA,NA,NA,NA,NA,NA,NA,NA,NA
397, Caixinha Caixa Som Bluetooth Grave Potente Charge Mini 3 ,48,NA,"
			
				Novo
			
			
				
					 - 
				
				46
				vendidos
			
		",(68 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 800
		
		 sem juros
		
	

	
		",00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/FRRI4022818,https://produto.mercadolivre.com.br/MLB-1174451353-caixinha-caixa-som-bluetooth-grave-potente-charge-mini-3-_JM#position=28&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#1174451353,Importado,NA,CHARGE 3 Mini,10 W,NA,2,Passivo,NA,Caixa,NA,NA,NA,65 Hz,20 kHz,NA,NA,NA,NA,NA,Pele
398, Áudio Conferência Jabra Speak 810 C/nfe + Pronta Entrega ,2649,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 22075
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STI+COMPUTADORES-JOINVILLE,https://produto.mercadolivre.com.br/MLB-1064089821-audio-conferncia-jabra-speak-810-cnfe-pronta-entrega-_JM#position=29&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#1064089821,Jabra,Speak,810,24 W,NA,NA,Woofer,mesa,Caixa,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399, Caixa De Som Multilaser Sp217 Bluetooth Amplificada Usb ,225,NA,"
			
				Novo
			
			
				
					 - 
				
				32
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2160
		
		 sem juros
		
	

	
		",60,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,1207,https://perfil.mercadolivre.com.br/TELSOM_SP,https://produto.mercadolivre.com.br/MLB-1110312285-caixa-de-som-multilaser-sp217-bluetooth-amplificada-usb-_JM#position=30&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,916,230,37,7,17,#1110312285,Multilaser,NA,SP217,80 W,NA,NA,Ativo,NA,Caixa,NA,NA,2.5 kg,NA,NA,NA,NA,NA,NA,NA,Multi
400, Micro System 2.1 Bluetooth 1000w Mp3 Fm Pc Bivolt Caixa Som ,247,NA,"
			
				Novo
			
			
				
					 - 
				
				40
				vendidos
			
		",(9962 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2066
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,66,https://perfil.mercadolivre.com.br/LUNNA+MAGAZINE,https://produto.mercadolivre.com.br/MLB-1154888103-micro-system-21-bluetooth-1000w-mp3-fm-pc-bivolt-caixa-som-_JM#position=31&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,45,6,9,3,3,#1154888103,XTrad,NA,XDG-13,20 W,NA,NA,Ativo,"pc, tv, notbook",Caixa,2.1,NA,NA,NA,NA,NA,90V,NA,NA,NA,Preto
401, Caixa Som Bluetooth Portatil Rádio Fm P2 Violão Guitarra 40w ,220,NA,"
			
				Novo
			
			
				
					 - 
				
				32
				vendidos
			
		",(16 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2112
		
		 sem juros
		
	

	
		",12,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2,https://perfil.mercadolivre.com.br/POWER+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1164620497-caixa-som-bluetooth-portatil-radio-fm-p2-violo-guitarra-40w-_JM#position=32&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#1164620497,Briwax,NA,FBX-107,40 W,Woofer,NA,Ativo,De piso,Torre,2.1,Entrada para Microfone,NA,NA,NA,1 %,NA,NA,NA,NA,NA
402, Caixa De Som Com Bluetooth C/rodinhas 100w Rms Super Potente ,399,NA,"
			
				Novo
			
			
				
					 - 
				
				56
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,62,https://perfil.mercadolivre.com.br/GGEELETRONICNET,https://produto.mercadolivre.com.br/MLB-984989371-caixa-de-som-com-bluetooth-crodinhas-100w-rms-super-potente-_JM#position=33&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,38,14,3,1,6,#984989371,Grasep,NA,D-BH3202,100 W,dinamico,NA,DINAMICO,FRENTE,DINAMICO,100watts,USB,5.45 kg,NA,NA,NA,NA,26 cm,31 cm,53.5 cm,NA
403, Caixa Som Ambiente Jbl C621 Par Selenium C621p 100w - Loja ,529,NA,"
			
				Novo
			
			
				
					 - 
				
				32
				vendidos
			
		",(49 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4408
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CASAR%C3%83O+SOM4,https://produto.mercadolivre.com.br/MLB-1010026066-caixa-som-ambiente-jbl-c621-par-selenium-c621p-100w-loja-_JM#position=34&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#1010026066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404, Caixa Som Bluetooth Amplificada Portátil Karaokê Fm 40w Rms ,269,NA,"
			
				Novo
			
			
				
					 - 
				
				36
				vendidos
			
		",(10 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2250
		
		 sem juros
		
	

	
		",50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,3,https://perfil.mercadolivre.com.br/POWER+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1164613324-caixa-som-bluetooth-amplificada-portatil-karaok-fm-40w-rms-_JM#position=35&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,2,1,0,0,0,#1164613324,Briwax,NA,FBX-108,40 W,Woofer,2,Subwoofer,De piso,Caixa,2.1,Entrada para Microfone,2.75 kg,18 kHz,80 kHz,1 %,NA,NA,NA,NA,NA
405, Caixa De Som Bluetooth Bazooka Pulse - Usb/sd/fm Sp222 C/nf ,187,NA,"
			
				Novo
			
			
				
					 - 
				
				11
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1558
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/PEGMIX,https://produto.mercadolivre.com.br/MLB-1267059226-caixa-de-som-bluetooth-bazooka-pulse-usbsdfm-sp222-cnf-_JM#position=36&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#1267059226,Pulse,NA,Sp222,20 W,Subwoofer,NA,Ativo,NA,Caixa,NA,USB,NA,NA,NA,NA,NA,NA,NA,NA,NA
406, Caixa De Som Bluetooth Com Luzes Jbl Party Box 200 Energia ,1807,NA,"
			
			
				
				6
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 17280
		
		 sem juros
		
	

	
		",80,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-1156792517-caixa-de-som-bluetooth-com-luzes-jbl-party-box-200-energia-_JM#position=37&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#1156792517,JBL,NA,Party Box 200,NA,NA,NA,NA,NA,NA,NA,NA,15.32 kg,NA,NA,NA,NA,NA,NA,NA,NA
407, Caixa De Som Bluetooth Jbl Charge 3 - Original Nova Lacrado ,540,NA,"
			
				Novo
			
			
				
					 - 
				
				12
				vendidos
			
		",1,"
	
		
			
		
		12x 
		
			
				R$ 5161
		
		 sem juros
		
	

	
		",61,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,85,https://perfil.mercadolivre.com.br/ZEINEDDINE,https://produto.mercadolivre.com.br/MLB-1260318887-caixa-de-som-bluetooth-jbl-charge-3-original-nova-lacrado-_JM#position=38&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,71,7,3,0,4,#1260318887,JBL,NA,Charge 3,20 W,Woofer,2,Passivo,NA,Caixa,NA,NA,NA,65 Hz,20 kHz,NA,NA,NA,NA,NA,Azul
408, Caixa De Som Bluetooth Receptor Caixinha Wireless Mp3 Usb ,24,NA,"
			
				Novo
			
			
				
					 - 
				
				667
				vendidos
			
		",(332 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 625
		
		 sem juros
		
	

	
		",25,NA,Chegará amanhã,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,23,https://perfil.mercadolivre.com.br/VIRTUAL+KAR,https://produto.mercadolivre.com.br/MLB-1069634978-caixa-de-som-bluetooth-receptor-caixinha-wireless-mp3-usb-_JM#position=39&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,12,8,2,1,0,#1069634978,Produto Importado,NA,Portatil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5 %,NA,NA,NA,NA,NA
409," Bateria Jbl Charge 3 , 3.7 V 6000 Mah - Original C/ Nfe ",359,NA,"
			
				Novo
			
			
				
					 - 
				
				24
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3000
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2418,https://perfil.mercadolivre.com.br/BSTECNLOGIA,https://produto.mercadolivre.com.br/MLB-1179522177-bateria-jbl-charge-3-37-v-6000-mah-original-c-nfe-_JM#position=40&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,1786,348,139,53,92,#1179522177,JBL,NA,Charge 3,40 W,-----,NA,Passivo,-----,------,NA,NA,NA,65 Hz,20 kHz,NA,NA,NA,NA,NA,NA
410, Infokit Voxcube Caixa De Som Portàtil Bluetooth-vc-m622 ,194,NA,"
			
				Novo
			
			
				
					 - 
				
				130
				vendidos
			
		",(465 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1864
		
		 sem juros
		
	

	
		",64,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/ACMN.VENDAS,https://produto.mercadolivre.com.br/MLB-1111933361-infokit-voxcube-caixa-de-som-porttil-bluetooth-vc-m622-_JM#position=41&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#1111933361,Infokit,NA,vc-622,12 W,NA,NA,Mini tweeter,NA,Caixa,5.1,USB,NA,NA,NA,0.3 %,NA,25 cm,20.3 cm,39 cm,NA
411, Speaker Jbl Go 2 Com Bluetooth/auxiliar- Original ,125,NA,"
			
				Novo
			
			
				
					 - 
				
				39
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1204
		
		 sem juros
		
	

	
		",04,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1675,https://perfil.mercadolivre.com.br/FOX+EL%C3%89TRO,https://produto.mercadolivre.com.br/MLB-1272329586-speaker-jbl-go-2-com-bluetoothauxiliar-original-_JM#position=42&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,1538,106,19,6,6,#1272329586,JBL,GO,GO 2,NA,NA,NA,NA,Mesa,NA,NA,USB,274 g,NA,NA,NA,NA,NA,NA,NA,NA
412, Caixa Ativa Residencial Bar Comercio 4340 W Rms Taramps 7dri ,2099,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(9988 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 17492
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/OESTESOM,https://produto.mercadolivre.com.br/MLB-1171848697-caixa-ativa-residencial-bar-comercio-4340-w-rms-taramps-7dri-_JM#position=43&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#1171848697,OESTESOM,NA,CAIXA BLUETOOTH,3000 W,12,NA,NA,NA,12,NA,NA,2.5 kg,NA,NA,NA,NA,NA,NA,NA,Vermelho
413, Caixa Som Amplificada 500w Bluetooth Portátil + 2 Microfones ,742,NA,"
			
				Novo
			
			
				
					 - 
				
				11
				vendidos
			
		",(27 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7094
		
		 sem juros
		
	

	
		",94,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,183,https://perfil.mercadolivre.com.br/BANANA-SHOP,https://produto.mercadolivre.com.br/MLB-1236342305-caixa-som-amplificada-500w-bluetooth-portatil-2-microfones-_JM#position=44&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,128,31,14,4,6,#1236342305,Amvox/Knup,NA,ACA501 NEW X/KPM0001 PRETO BIVOL,500 W,Woofer e Tweeter,NA,Ativo,De piso,Caixa,2.1,NA,13.64 kg,NA,NA,NA,110/220V (Bivolt),NA,NA,NA,Preto
414, Caixinha De Som Bluetooth Prova Dagua Chuveiro Banheiro ,17,NA,"
			
				Novo
			
			
				
					 - 
				
				47
				vendidos
			
		",(124 disponíveis),"
	
		
			
		
		3x 
		
			
				R$ 634
		
		 sem juros
		
	

	
		",34,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,1.0,1,https://perfil.mercadolivre.com.br/CHHO4229941,https://produto.mercadolivre.com.br/MLB-1296917109-caixinha-de-som-bluetooth-prova-dagua-chuveiro-banheiro-_JM#position=45&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#1296917109,TDY,NA,A PROVA D'AGUA,3 W,Tweeter,NA,Woofer,"Vidro, Azulejo",Caixa,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415, Caixa De Som Portátil Jbl Tuner Fm Com Bluetooth Branca ,385,NA,"
			
				Novo
			
			
				
					 - 
				
				15
				vendidos
			
		",(23 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3216
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/KLHE8905729,https://produto.mercadolivre.com.br/MLB-1240989342-caixa-de-som-portatil-jbl-tuner-fm-com-bluetooth-branca-_JM#position=46&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#1240989342,JBL,NA,Jbl Tuner Fm Com Bluetooth Branca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416, 4 Caixinha De Som Bluetooth Mini Speaker 3w Feitun Fn-0006 ,200,NA,"
			
				Novo
			
			
				
					 - 
				
				18
				vendidos
			
		",(54 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1911
		
		 sem juros
		
	

	
		",11,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/IMPORTREAL1,https://produto.mercadolivre.com.br/MLB-1220653171-4-caixinha-de-som-bluetooth-mini-speaker-3w-feitun-fn-0006-_JM#position=47&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#1220653171,FETUN,NA,FN0006,3 W,NA,NA,NA,NA,NA,NA,NA,70 g,NA,NA,NA,NA,NA,NA,NA,NA
417, Caixa Acústica Philco Pcx11000 Com Conexão Bluetooth Bivolt ,1099,NA,"
			
			
				
				21
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 9166
		
		 sem juros
		
	

	
		",66,NA,Envio para todo o país,NA,NA,3.0,1,https://perfil.mercadolivre.com.br/BRITANIAELETRONICOSSA15E?brandId=199,https://produto.mercadolivre.com.br/MLB-1089287632-caixa-acustica-philco-pcx11000-com-conexo-bluetooth-bivolt-_JM#position=48&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#1089287632,Philco,NA,Pcx11000,1200 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418, Caixa Som Ambiente Jbl Par C521p Selenium C521 P - Loja C ,379,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(87 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3158
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CASAR%C3%83O+SOM6,https://produto.mercadolivre.com.br/MLB-1231323992-caixa-som-ambiente-jbl-par-c521p-selenium-c521-p-loja-c-_JM#position=49&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#1231323992,JBL,NA,c521p,50 W,Woofer,NA,Passivo,De parede,Caixa,NA,NA,NA,NA,NA,NA,NA,15 mm,14 mm,22 mm,NA
419, Jbl Wind Mini Caixa De Som Bluetooth Bike Moto Android Ios ,167,NA,"
			
				Novo
			
			
				
					 - 
				
				60
				vendidos
			
		",(124 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1392
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,940,https://perfil.mercadolivre.com.br/JPARTSBRASIL,https://produto.mercadolivre.com.br/MLB-1116028456-jbl-wind-mini-caixa-de-som-bluetooth-bike-moto-android-ios-_JM#position=50&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,760,122,39,7,12,#1116028456,JBL,NA,Wind,3 W,NA,NA,Ativo,NA,Caixa,NA,NA,NA,20 Hz,20 kHz,NA,NA,NA,NA,NA,NA
420, Caixa De Som Bluetooth 40w Amplificada Para Pc Tv Celular ,160,NA,"
			
				Novo
			
			
				
					 - 
				
				25
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1529
		
		 sem juros
		
	

	
		",29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.0,1,https://perfil.mercadolivre.com.br/GOMESARAUJOCELLCENTERLTDA,https://produto.mercadolivre.com.br/MLB-1198176340-caixa-de-som-bluetooth-40w-amplificada-para-pc-tv-celular-_JM#position=51&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,NA,NA,NA,NA,NA,#1198176340,Tomate,NA,MTS-2000A,40 W,NA,NA,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,NA,NA,NA,NA,NA
421, Caixinha De Som Bluetooth Mini Speaker 3w Feitun Fn-0006 ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				43
				vendidos
			
		",(57 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,3,https://perfil.mercadolivre.com.br/IMPORTREAL1,https://produto.mercadolivre.com.br/MLB-1047752147-caixinha-de-som-bluetooth-mini-speaker-3w-feitun-fn-0006-_JM#position=52&type=item&tracking_id=31cb5bcd-b4c4-44a8-a383-ef5c12c1af4e,2,1,0,0,0,#1047752147,FETUN,NA,FN0006,3 W,PORTATIL,1,NA,"Sala, Quarto, Quintal, Festas",MINI SPEAKER,20HZ-20KHZ,NA,70 g,NA,NA,NA,NA,NA,NA,NA,NA
422, Caixa Amplificada Multi Connect Bateria 500w Rms Amvox ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				133
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 740
		
		 sem juros
		
	

	
		",40,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,14,https://perfil.mercadolivre.com.br/CR10+IMPORTS,https://produto.mercadolivre.com.br/MLB-706161516-caixa-de-som-bluetooth-entrada-usb-micro-sd-e-auxiliar-_JM#position=1&type=item&tracking_id=1c56fbdd-9a64-4899-9f77-b20b427c8340,6,7,1,0,0,#706161516,Importado / FiveStar,Bluetooth,BT-808,3 W,Woofer,NA,Ativo,De mesa,Caixa,NA,"Auxiliar, USB, CARTÃO MICRO SD",NA,NA,NA,NA,NA,NA,NA,NA,NA
