search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Peso,Tipo,Línea
11, Casco Moto Integral Mt Targo Certificado Europeo Ece - As ,279.99,340,96,7,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,14,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-462871593-casco-moto-integral-mt-targo-certificado-europeo-ece-as-_JM?searchVariation=32912015146,13,1,0,0,0,#462871593,Negro mate/Rojo,NA,MT,TARGO,Integral,NA,NA,NA
12, Casco Moto Abatible Certificado Ich 3110 Dot Placas Gratis ,99.9,149.9,125,393,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,9,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-445921735-casco-moto-abatible-certificado-ich-3110-dot-placas-gratis-_JM?searchVariation=18010980802,8,1,0,0,0,#445921735,Negro,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
13, 2 Cascos Abatibles Doble Visor Dot + Intercomunicador - As ,199.99,NA,24,13,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4,2,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-508809203-2-cascos-abatibles-doble-visor-dot-intercomunicador-as-_JM?searchVariation=34939691274,0,2,0,0,0,#508809203,Negro,M/L/XL,ICH,ICH-3110,Rebatible,NA,NA,NA
14, Cascos De Proteccion ,25,NA,0,100,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MUNDOTACIONES3,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=9d1r8fXux7w6jraJzdFGsGtwmBXimbQnaw%2FyfDPO6u7wcAYfYTNRSZDYbDW2DYwl1xdwVguGW3eSK2vNQZ5pmTT0KE7C0PdEtYYUFs92%2FDBU5MaJmYaEFIb42RuTQ8I%2FCrV5TeIbf5fixV78m7miqJSJUQmEWn0t%2F4E%2FfhkgT14giLy6i29Gwx7jvozmScNLpGGCQZC5CY9d09X%2F%2B7NZaysaY3JNlSILL9gzAGXtw91rgl002V42SwKBO6bs8mDd9ULf61Nvtb%2FVdC9OUYJZYnUqVu1bEdEL74kqePTsQWiThrhCvDe%2BnYP3%2BAn3Cf7CSOPI3yHimZZkXfEXkJCSTTkshLz6%2BFK4eboA7760McS4mhDsir5%2FLrmJZShN902wxuey8IaW3QxdjjfmCAC0d65OuO2me2Tmc9Y0glNlzzzxUP1QY91YRLP%2B9v39jOAn0Xn9YWwXuRn44Y0PyPer5iCbW%2FI3EwN0wbH0rAKJk1JTC9OV5RQJnj2oVqE%2F3brANeuZuRXK5Pju9uroAyeJBXln5Gtiyd2TzMPuvxxlYFUJErboFO7OdZhCDUIArWzkbF9XrBUTx0KVuMSYhRPkHXA4a6MZtm%2FG6dujrm7xfYxeQaZzv4MhUjy3pUzZJsZpJs5cHV2iWtKYH5LIKWmghyXcVYuKpvplzT9YfRs06nG%2B4mmvXtJnVK%2F7XFWrUFYGLWKcZs38jtf3O0UJC58WvdKboENq4eoDsJqmlYVnFGAx5eelMwRlbYYrgINo5Guz%2FgoC1hZQwiPEcL%2B8eCKcDXnM7vEh2tcgVMhGxDIrEcsAK633vdIhMi2jUPIsFTXuR20Gqg7wLNSmWMCLM3v%2BtYduxtr7QpIiATWrG2kcee1W6mlMoCAwD%2F2LiyVO9L3ghmkrTz2LdbmsT4lAoharrxDyj%2BMoWmDJN%2BJNoJNoUZb6MIa0seIlOfEQW36JV6300AiCinlFWfk9oIsc8Gk8SZUt7yR5P%2BlepvjGqkN0CJTmAE25NwYMGcnjiVlC5w04DBODCrAyV9Otqk9NUgNoPfjDDZPdCkWZrtk0yVeSZB3qxiwZGwWA2v98zgFT1LsVunDS0am5zQh%2FcyUJjsLafnJGnVDH2dvmfV%2FOo4TUkrm2LxD32JHjeTmtwnsupqVbdshaX05R1qOF1hsQL6M%2FG%2FuecEbC%2BqagNtGmcT0FlV0mWV%2BVadquCYnuVZc8SS0zh9IChdq2M1bpG3FF7HAxaK9j8wlyUsFreT2MHR41RJHwmKI4k7tv9seGq1Br6vJ5eNNs%2B%2Bv9S4HYnkac2Eeg1GGOvOUtEzfg1PHX4bkXPJv5T9UGLJjE%2BH%2BskGytE01HWkn9UAACfkF10BWkwTvLYglhEbHPYxisq9m%2BXJi441oPyienYqOP1rQyoLPRKElY%2FxKH4ygECz2T2nlcktrIVt7AS3%2FUos5%2B%2B9r9coPb2ShQZmu1jFxjwFm%2BccLI6NwyskJvokXtF9WNgCLMvYy1OIw5Ix%2BiFE%2B1Pr0uumtbM7prLKS2Us64ZJRLfWaeyCvm0fsNYpRLmUOXY%2BY5L4RlcSQT1Shd0AXmdcIPS4g16CZwvtwIncWbif0fZ%2F7XB4r1sJcPVQn25yP1UKSsbiKAzDFp92i4DG3UM3hL6EffEgJeWsaLPEbD%2BjGBNv2Ts6Y3uQ%2FwH9SJAePsQZDIkQycS%2F0P2ByQ9DMXFQBuNAbHgOtYldFrihwdOUdmnlGD6CRgxSqKnqlE,NA,NA,NA,NA,NA,#497858939,NA,NA,NA,NA,NA,NA,Integral,NA
15, Casco Moto Integral Kontrol Certificado Dot + Obsequio - As ,109.99,140,21,19,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-501927986-casco-moto-integral-kontrol-certificado-dot-obsequio-as-_JM,1,0,0,0,0,#501927986,Mate / Brillo,NA,KONTROL,KNT-858,Integral,NA,NA,NA
16, Casco Moto Abatible Doble Visor Certificado Ich Mas Placas ,114.9,169.9,408,392,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,48,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-449639667-casco-moto-abatible-doble-visor-certificado-ich-mas-placas-_JM?searchVariation=21093543550,34,10,2,1,1,#449639667,Negro,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
17, Casco Abatible Doble Visor Ich Certificado Dot Oferta ,99.9,149.9,38,395,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,2,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451519145-casco-abatible-doble-visor-ich-certificado-dot-oferta-_JM?searchVariation=19434542345,2,0,0,0,0,#451519145,Negro,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
18, 2 Cascos Abatibles Doble Visor Dot + Pasamontañas - As ,199.99,240,89,20,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,9,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-456597030-2-cascos-abatibles-doble-visor-dot-pasamontanas-as-_JM?searchVariation=17680791576,7,1,1,0,0,#456597030,Negro,M/L/XL,ICH,ICH-3110,Rebatible,NA,NA,NA
19, Cascos Moto Cross Certificado Hro Mx330 Integral +obsequio ,159.9,NA,20,7,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-504577586-cascos-moto-cross-certificado-hro-mx330-integral-obsequio-_JM,1,0,0,0,0,#504577586,"L,XL",,HRO,MX330,Integral,NA,NA,MX330
20, Pinlock Casco Lamina Antiempañante ,59.9,NA,58,6,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.3,6,https://perfil.mercadolibre.com.co/COJE1458660,https://articulo.mercadolibre.com.co/MCO-477622802-pinlock-casco-lamina-antiempanante-_JM,5,0,0,0,1,#477622802,Transparente,NA,TRIMON,NA,Integral,NA,NA,NA
21, Casco Moto Integral Mt Revenge Certificado Europeo - As ,379.99,NA,22,4,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,3,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-460325258-casco-moto-integral-mt-revenge-certificado-europeo-as-_JM?searchVariation=36574696971,3,0,0,0,0,#460325258,Amarillo flúor,NA,MT,Revenge,Integral,NA,NA,Speeding
22, Cascos Moto Certificado Ich 3110 + Eco Regalo ,115.9,NA,43,117,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-456336444-cascos-moto-certificado-ich-3110-eco-regalo-_JM,1,0,0,0,0,#456336444,"S,M,L,XL",,ICH,3110,Rebatible,1300 g,NA,NA
23, Casco Moto Abatible Ich Certificado Dot Oferta ,109.9,NA,48,400,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,3,https://perfil.mercadolibre.com.co/LUJOACCESORIOS.,https://articulo.mercadolibre.com.co/MCO-452707556-casco-moto-abatible-ich-certificado-dot-oferta-_JM?searchVariation=17157074010,2,1,0,0,0,#452707556,Verde,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
24, Casco Certificado Icon Airflite Battlescar Integral Dot Ece ,869,NA,5,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MYTECHCO,https://articulo.mercadolibre.com.co/MCO-510032063-casco-certificado-icon-airflite-battlescar-integral-dot-ece-_JM?searchVariation=37246860015,NA,NA,NA,NA,NA,#510032063,Verde,"M,L",Icon,Battlescar 2,Integral,NA,NA,Airflite
25, Cascos Moto Ich Abatible Certificados Doble Visor ,109.9,159.9,19,110,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-472297009-cascos-moto-ich-abatible-certificados-doble-visor-_JM?searchVariation=24243151273,1,0,0,0,0,#472297009,"Azul,Amarillo neón,Azul,Fucsia,Gris,Naranja oscuro,Negro,Rojo,Verde","S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
26, Casco Cross Para Adultos + Gafas + Obsequio ,63.7,NA,28,142,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4,1,https://perfil.mercadolibre.com.co/OSSA3358167,https://articulo.mercadolibre.com.co/MCO-503610375-casco-cross-para-adultos-gafas-obsequio-_JM,0,1,0,0,0,#503610375,NA,NA,NA,NA,NA,NA,Cross,NA
27, Casco Shox Certificado Stinger Creepy Tipo Mt No Shaft ,199.5,NA,7,17,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/IMCOVALLE+SAS,https://articulo.mercadolibre.com.co/MCO-513415783-casco-shox-certificado-stinger-creepy-tipo-mt-no-shaft-_JM?searchVariation=37200429749,1,0,0,0,0,#513415783,Negro/Blanco,"TALLA L,M",NA,NA,NA,NA,NA,NA
28, Pinlock Casco / Antiempañante Para Casco Motociclista ,59.9,NA,25,4,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,2,https://perfil.mercadolibre.com.co/COJE1458660,https://articulo.mercadolibre.com.co/MCO-489078318-pinlock-casco-antiempanante-para-casco-motociclista-_JM,2,0,0,0,0,#489078318,Transparente,NA,NA,NA,Integral,NA,NA,NA
29, Casco Abatible Ich Certificado Verde Policía Oferta ,99.9,149.9,40,38,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,3,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-454482599-casco-abatible-ich-certificado-verde-policia-oferta-_JM?searchVariation=17287461092,3,0,0,0,0,#454482599,Verde,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
30, Casco Ich Abatible Doble Visor Certificado Dot Gratis+placas ,109.9,159.9,83,118,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.4,9,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451663775-casco-ich-abatible-doble-visor-certificado-dot-gratisplacas-_JM?searchVariation=21233702252,5,3,1,0,0,#451663775,"Rojo,Amarillo neón,Azul,Fucsia,Gris,Naranja,Negro,Rojo,Verde","S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
31, Casco Ich Dot + Llavero + Placas ,95,NA,33,3,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/POSA4722849,https://articulo.mercadolibre.com.co/MCO-493753358-casco-ich-dot-llavero-placas-_JM,1,0,0,0,0,#493753358,NA,NA,NA,NA,NA,1000 g,Rebatible,NA
32, Casco Icon Alliance Dark + Visor Oscuro- Omi ,499.59,NA,45,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,11,https://perfil.mercadolibre.com.co/OUTLETMOTERO.COM.CO,https://articulo.mercadolibre.com.co/MCO-455276293-casco-icon-alliance-dark-visor-oscuro-omi-_JM?searchVariation=17288117369,9,1,1,0,0,#455276293,Negro,L,Icon,ALLIANCE DARK,Integral,NA,NA,Alliance
33, Casco Abatible Ich Doble Visor Certificado Dot Gratis Placas ,109.9,NA,12,28,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/LUJOACCESORIOS.,https://articulo.mercadolibre.com.co/MCO-449657535-casco-abatible-ich-doble-visor-certificado-dot-gratis-placas-_JM?searchVariation=26130104907,1,0,0,0,0,#449657535,Rojo,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
34, Casco Moto Cross Niñas Y Niños + Gafas + Obsequio ,61,NA,26,144,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/OSSA3358167,https://articulo.mercadolibre.com.co/MCO-503612005-casco-moto-cross-ninas-y-ninos-gafas-obsequio-_JM,1,0,0,0,0,#503612005,NA,NA,NA,NA,NA,NA,Cross,NA
35, 2 Cascos Moto Certificados Abatible Ich Dot Gratis Placas ,189.9,249.9,20,994,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-472138403-2-cascos-moto-certificados-abatible-ich-dot-gratis-placas-_JM,NA,NA,NA,NA,NA,#472138403,"S-S,M-M,L-L,XL-XL,S-M,S-L,S-XL,ML,M-XL,L-XL",,ICH,3110,Rebatible,1000 g,NA,NA
36, Casco Chopper Xtrong ,150,NA,28,3,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,3.7,3,https://perfil.mercadolibre.com.co/BOUTIQUE+MOTOS,https://articulo.mercadolibre.com.co/MCO-466274114-casco-chopper-xtrong-_JM?searchVariation=31560279029,2,0,0,0,1,#466274114,Negro mate,S-M-L-XL,XTRONG,XTR-629,chopper,NA,NA,NA
37, Casco Moto Integral Mt Certificado Europeo *5 Diseños - As ,299.99,360,18,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-447470688-casco-moto-integral-mt-certificado-europeo-5-disenos-as-_JM,NA,NA,NA,NA,NA,#447470688,NA,S / M / L / XL,MT,Thunder 3,Integral,NA,NA,NA
38, Casco Para Moto Certificado Ich 501 ,109.5,NA,16,144,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-456213910-casco-para-moto-certificado-ich-501-_JM,NA,NA,NA,NA,NA,#456213910,"S,M,L,XL",,ICH,501,Integral,0 mg,NA,NA
39, Casco Icon Alliance Dark Certificado Envio Gratis ,449,NA,6,14,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,11,https://perfil.mercadolibre.com.co/MYTECHCO,https://articulo.mercadolibre.com.co/MCO-507687297-casco-icon-alliance-dark-certificado-envio-gratis-_JM?searchVariation=34388758109,9,1,1,0,0,#507687297,Negro Matte,"S,M,L,XL",Icon,ALLIANCE DARK,Integral,NA,NA,Alliance
40, Mascara Careta Modular Moto Cafe Racer Casco Open Face ,78.99,NA,40,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,2,https://perfil.mercadolibre.com.co/EDINSONCARDENAS,https://articulo.mercadolibre.com.co/MCO-468514904-mascara-careta-modular-moto-cafe-racer-casco-open-face-_JM?searchVariation=22910708379,2,0,0,0,0,#468514904,Plateado,NA,NA,NA,NA,NA,NA,NA
41, Tornillo O Boton Visor Casco Shaft 821 - 581 - 525 ,12,NA,126,7,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,5,https://perfil.mercadolibre.com.co/ROME1416,https://articulo.mercadolibre.com.co/MCO-467407647-tornillo-o-boton-visor-casco-shaft-821-581-525-_JM?searchVariation=22225665737,5,0,0,0,0,#467407647,Negro,Shaft,Shaft,Tornillo ó Botón Shaft  821 - 581 - 525,Integral,NA,NA,NA
42, Casco Certificado Icon Airflite Envio Inmediato Gratis ,719,NA,7,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MYTECHCO,https://articulo.mercadolibre.com.co/MCO-511239207-casco-certificado-icon-airflite-envio-inmediato-gratis-_JM?searchVariation=39030178064,NA,NA,NA,NA,NA,#511239207,Negro,"M,L,XL",Icon,Airflite Rubatone,Integral,NA,NA,Airflite
43, Porta Placa Casco ,10,NA,46,NA,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/AND_GT2005,https://articulo.mercadolibre.com.co/MCO-470351592-porta-placa-casco-_JM,1,0,0,0,0,#470351592,NA,NA,placaport,Porta placa casco,NA,NA,todos,NA
44, Casco Moto Abatible Ich Certificado Dot Gratis Placas ,99.9,NA,66,396,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,6,https://perfil.mercadolibre.com.co/LUJOACCESORIOS.,https://articulo.mercadolibre.com.co/MCO-450624523-casco-moto-abatible-ich-certificado-dot-gratis-placas-_JM,4,2,0,0,0,#450624523,Negro Mate plano,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
45, Cascos Para Moto Certificado Shaft 577 Integral +obsequio ,295.9,NA,5,35,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-486327060-cascos-para-moto-certificado-shaft-577-integral-obsequio-_JM,NA,NA,NA,NA,NA,#486327060,"S,M,L,XL",,NA,NA,NA,NA,NA,NA
46, Cascos Moto Abatible Certificado Ich Dot Gratis Placas ,109.9,NA,151,394,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,20,https://perfil.mercadolibre.com.co/LUJOACCESORIOS.,https://articulo.mercadolibre.com.co/MCO-448492936-cascos-moto-abatible-certificado-ich-dot-gratis-placas-_JM?searchVariation=19428028569,17,2,1,0,0,#448492936,"Rosa,Amarillo neón,Azul,Gris,Naranja,Negro,Rojo,Rosa,Verde","S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
47, Casco Integral Ls2 320 Hunter Negro Mate Gris Titanio ,360,NA,9,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-503400592-casco-integral-ls2-320-hunter-negro-mate-gris-titanio-_JM,NA,NA,NA,NA,NA,#503400592,NEGRO MATE - TT,"M,XL",LS2,320,Integral,50 g,NA,NA
48, Tira De Luz Led 2 Und Casco De Motocicleta Señal Luminosa ,55,NA,8,7,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IMPORTKEYS,https://articulo.mercadolibre.com.co/MCO-511561086-tira-de-luz-led-2-und-casco-de-motocicleta-senal-luminosa-_JM?searchVariation=36373755123,NA,NA,NA,NA,NA,#511561086,Rojo,Audew,Audew,Led,NA,0.5 g,NA,NA
49," Casco Integral Niñas, Niños + Impermeble, Princesa, Heroes ",53.9,NA,21,149,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/OSSA3358167,https://articulo.mercadolibre.com.co/MCO-503648015-casco-integral-ninas-ninos-impermeble-princesa-heroes-_JM,NA,NA,NA,NA,NA,#503648015,NEGRO - FUCSIA - ROJO - VERDE - AZUL - AMARILLO - MORADO,2 A 6 Y 7 A 11 AÑOS,NA,NA,Integral,NA,NA,NA
50, Cinta Termica Dorado Moto Carro Exostos Mofle (5cmx5mt) ,65.99,NA,37,11,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4,2,https://perfil.mercadolibre.com.co/EDINSONCARDENAS,https://articulo.mercadolibre.com.co/MCO-469026034-cinta-termica-dorado-moto-carro-exostos-mofle-5cmx5mt-_JM,0,2,0,0,0,#469026034,Dorada,NA,NA,NA,NA,NA,NA,NA
51, Casco Moto Integral Hjc Certificado Europeo *12 Diseños - As ,359.99,390,17,6,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,4,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-455699015-casco-moto-integral-hjc-certificado-europeo-12-disenos-as-_JM,4,0,0,0,0,#455699015,NA,NA,HJC,CS-15,Integral,NA,NA,NA
52, Casco De Moto Manos Libres Inalambrico Bluetooth Marca Ich ,320,NA,3,2,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/COMERGOTICA,https://articulo.mercadolibre.com.co/MCO-470209469-casco-de-moto-manos-libres-inalambrico-bluetooth-marca-ich-_JM?searchVariation=37735614620,NA,NA,NA,NA,NA,#470209469,Negro,"M,XL",Helmets,LS-2,Integral,NA,NA,NA
