search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Marca del celular,Tipo de funda,Color
14, Carcasas Colores iPhone Silicona 6/7/8/x/xs/xr/plus ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				75
				vendidos
			
		",(220 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 582
			
		
		 sin interés
		
	

	
		","
				$ 582
			",NA,Envío a todo el país,NA,NA,5.0,5,https://perfil.mercadolibre.cl/BANANATIENDA,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=KnCVBqnyMcRxw6BCsIB2bEv8uXCS5h4N%2FQ0vS92PnNGfU%2F0NNOrodtYcqBeKQCl%2BVBFMXfENego0vue2%2Bfc6WafRes677DFvfgf00cAllkGHGsKgALGXKhuqZTeHxEZsD6Jv9hu63krD7v%2FYwg0BVAT8zxrAOYGpkHCaOcRjdO5n8oKNUQXhIaORQLoI6rWB%2B67jgw93wAIzEYx9HvjDlIlsKhw0Wq8Ujm%2F%2FXkH0tF40kPBKM4ar9lncXEw50VZ5YTzLHrRrVfAggqdVoDlDTAXxk%2BYHS5gWPN6hOHtva4LUXOrAD%2FtCIJvQu7XbLJdLMqHasDQhLI8xKlbWBGn0f0bbxajo4u7%2BJXZ%2BL0jbvDH8fGJ4eOBpEygsunOcc0Un9Ek9Lj2Uzaik6xZVdUMTdMLKPaCg4BIn6XxDyLKUcBW6SnjLc6seZRho5SBNjBuTUHitgJgRZczCQ8Nb%2B361%2Fxc5j9qGEW9FCVW4pjgE9kZrQTUGHQBwhMXZYnBNuIP4KSXbxg0cIM5GxBCWWhoVoaOd8wqFFrN12h3uuWFwENZmggnrTfShhFpRwLgOc1bKjhH69GqiZ2X0ClJP0T23WwvUehEf6Sjy%2FUGzWFgs4Za%2BoIHWPIHydEMj%2B8UQyxhCY8OPVhkoDncvd%2BgfzF5SJcsytha0I35WmEHMUpqi8yB3Q%2Fi3j3jyjZOdRBmVWhJ0VHBOL8TdH0r23vYE6juJXt5m%2FwPGMJQ9pwy3RtLTeW8D1SCFKU3ipmRwUizEbLYLuR6C72uNlgdKGpIg%2Fw4VwBBiQV07Kk2eIPXs0NYFIbmIErifhcTLeLmanrYkCc78v6vBY8cqp0G2h4XwxEacRguqHtIL9qO7HZi8InAmCyoAoqfzqitvSYsLp1TXcaNMycxOgnSgoKN3zb52CqUZGeAgc4Ib1fccJrYllzT8Lae9IrrcQklseDFEKOb4wobmPX%2FitsP8e8F6wk7DCwRMApD09CMq5DS4IN%2FfomPxIjHYAdYH5ew1F8OLmXiKgV%2FaUC4icKf3tktMltqXm2%2BTt0lSANoWY0VlTWETzNJE3AH1YJr1NLTdtHY2O51z%2B8Y5EUHKHxS994C5xVBXQRl%2BbjV94jCU70%2BS%2BPzKAvV%2FFe5P7bc2UJI5srhVRIyHzXPfOZo5W%2FHLIKKlj%2BnhR4CVH2ghP98MYE%2Bk7dPe2XrXBXUcMe%2F%2F98t%2F31EPy6zEN0KlxkjPclSFJ8MMKEVZYi%2Bqvox%2FLiP9J3qpkzcYwDglwbcrlhsufu5mbOTWMNCMsDMsbLsnlaLBexXIFUShwU%2FGDDvoVqgT6SfFXEs0l0M5DhJrhUgHTL4XpO7oHGCy2U7fkAeqsFe3x2fp5nUTJUwHRUHnCAMB9f8pCgha0ToUroxZIuxigaEG4I3Mg4oQ%2F9NRM7YfGNrZ3s8h1vkdz8BvUpDB%2B7xJoTfrSW6suG8DZefVGrEO0mevogXwNrxGjUcuT6pEJXD%2Fs7kvjYPRueRA%2B1sHI%2BGOdaYEP7I9rz7IqkAbkrV%2FmKZx3m2XxyhSp9N4T0sxIdrBKe09waUU9hoszL4Nkw%3D%3D,5,0,0,0,0,#492059051,Silicone,Apple,Carcasa,NA
15, Carcasa Logo Apple iPhone 7 Plus / 8 Plus + Lamina De Vidrio ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(39 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/CARCASASPUNTOCL,https://articulo.mercadolibre.cl/MLC-477968233-carcasa-logo-apple-iphone-7-plus-8-plus-lamina-de-vidrio-_JM,NA,NA,NA,NA,NA,#477968233,Genérico,Apple,Carcasa,NA
16, iPhone 7 / 8 / 7 Plus / 8 Plus Carcasa Magnética | Kyrios ,11.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				35
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 999
			
		
		 sin interés
		
	

	
		","
				$ 999
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-470386540-iphone-7-8-7-plus-8-plus-carcasa-magnetica-kyrios-_JM?searchVariation=37721968573,NA,NA,NA,NA,NA,#470386540,LUPHIE,Apple,Carcasa,NA
17, Carcasa Original Ipaky 360º iPhone 8 Plus + Vidrio Templado ,13.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3010
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.332
			
		
		 sin interés
		
	

	
		","
				$ 2.332
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451130493-carcasa-original-ipaky-360-iphone-8-plus-vidrio-templado-_JM,NA,NA,NA,NA,NA,#451130493,Genérico,Apple,Carcasa,NA
18, Carcasa Rock Ultra Delgada iPhone 6/7/8/x/xs/plus ,8.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				361
				vendidos
			
		",(158 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 749
			
		
		 sin interés
		
	

	
		","
				$ 749
			",NA,Envío a todo el país,NA,NA,4.7,30,https://perfil.mercadolibre.cl/BANANATIENDA,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=pE9i5KnY%2FyBZC1ON12bjgiTObgQc8P0LtQLQENqYRGl%2B0jXWyRHrXt%2FroZOjvIXsxuQwzM6abMd5DrTGvFq31kSGy5m0xL3isF%2B%2B1c2O5ayzYNMkAZ1cbQKngB2TBWywSgr9zU0Uxgv77AQBOVqRg3cyUHIJSJnvjKERBbj8ssiRTs0h%2BrKFeqV2unGR3lbZfjwDp4wygfHdXXwmXV%2FUiGqmtvg5ENhQrLpFQTRgSANYjWKgP3AY21s%2FgsLqrXcdaOleA9aefeWOKaZGADvT6PP%2FlHcVy89zcSExb0bnCVpjSTjrI2i1oZ9MVAwrC%2FAtP8sTOOFZY7NKU9WVH1zc0Fopca1joLpJdUUOf1GO4Gb3Ex5GXsGr3CyU%2FBQH7uYSVh2tu%2B%2FDIt2z0IxNd4zntec10pWEmlxnUSMSHNf0sk4G0s44VOsVlGRk7nc4lNJzYZiBAWEHsnQH%2FQlQ7KxTzpChIXpaB%2FFIYt4z3Eq2zQYO4Jkd64R1p1QbKNH%2BlJLv%2BZyXSdEKVZtVY0cXoTVZgXC5CthKkR5eCUw%2F0M7OPYfUH%2FMwhdqW9W6AmL4x2wW%2FllKz5CUAoZJVyFJdDeIeTLXYl1LV%2BtaT%2BLKmDmt9Dl2V8laWLEdBruILnPjeNnPdYK6bHVZXWwkhOYIRoNuJVy%2FeoD7t5CvgthTCnsMlYjW4CqZfwuK8OdgxoteZ8jWy2IgXMrVrrsvDiebTnT7kXgy1oQVBvT2mFc8LjLnoepuJzmXGiIJQgGS6Wgd9EGHy%2BmduMTnApFQSDUlHmIWq7KI6pkOcpfCb7szYuhZr5uuyzjmQh50SKGf0JuJliAOXMNU9R4cxnnqYjFFEJ0YZVi5yW%2BRIYmYxoAFEhxOKUcc9%2FvhY3I5gxL4yKmTM0LTau%2B1uc0Khm%2BsUNpAt8qYosOSHoxVqBzDZMiXE2nh7diU0uYJJY3d3mvNHITamqblhQQPcbKoHwRDsBblpiYOrHZ0qaTCEVbr1UxlOiV1MdM%2Fbmvz%2Bg3kwF117VtfYgOBY6aQUBiIhdNGbT2%2FEJlmDgqYU%2BKKsVaTL%2BVe5RKwNup%2F9giCiXz0d1B7Dp9xES3X9v9rgfRYXaxDiGa%2Ba011P2fqiU7SvNoOBLwyGFCX9WXX7gOS2%2B1WVdtY%2B33Iqs9IBB06FjG%2Fx6P9NLX4cwV6Ztw2NKXPaqZnxJP3tBiOX18ZBM0gWdAlld1i0zc8kEk78PpsNKECj%2B3SBNv6RFSMJ1ACJzdaTu6oYKsIaEjCTWHFfpQhXQX4hPkVsxEWiviRNxm0tsUI2QimvqW2XciPA%2F8SCdt%2FaXTpMOhTAedrLLXp92YRP%2B3zyL7%2BktDHA5J9id%2FoB%2BgeuXLT9%2Bv432RSLydtmO1L1y20bWx7sNbuU8NH9l4n5IeZFR9xZWLHd1%2FEgcU0P3rm9SeJbRaqU4kq0Hv7VcFv1WmJ6we%2FvwkmAW0XfzipcQzAn8ctpGjC5juZhk7KiBX1jmB%2BNHEwztLdKDGVogh%2BVQ9hwWW1YOkG0BPJUgQZegcWiPty7H4N%2FdzW%2Bj4qqdhJe1NuyFm9i58VVQbh8,27,1,0,1,1,#452176797,Rock,Apple,Carcasa,Negro
19, Carcasa Love Mei iPhone 7 8 X Y 7 8 Plus - Tecnostrike ,20.990,22.990,"
			
				Nuevo
			
			
				
					 - 
				
				332
				vendidos
			
		",(709 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.498
			
		
		 sin interés
		
	

	
		","
				$ 3.498
			",NA,Envío gratis a todo el país,NA,NA,4.1,13,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-435358128-carcasa-love-mei-iphone-7-8-x-y-7-8-plus-tecnostrike-_JM,8,1,1,3,0,#435358128,LOVE MEI,Apple,Carcasa,NA
20, Carcasa Transparente Reforzada Para iPhone 8 Plus Miaustore ,1.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				25
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 166
			
		
		 sin interés
		
	

	
		","
				$ 166
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453525745-carcasa-transparente-reforzada-para-iphone-8-plus-miaustore-_JM,NA,NA,NA,NA,NA,#453525745,NA,Apple,Carcasa,NA
21, Carcasa Antigolpes Metal R-just Classic iPhone Xr ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ARAGUISS,https://articulo.mercadolibre.cl/MLC-489269436-carcasa-antigolpes-metal-r-just-classic-iphone-xr-_JM,NA,NA,NA,NA,NA,#489269436,r-just,Apple,Carcasa,NA
22, Carcasa 360° iPhone 8 Plus 7 Plus + Lámina Negro 3 En 1 ,9.995,NA,"
			
				Nuevo
			
			
				
					 - 
				
				36
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452824745-carcasa-360-iphone-8-plus-7-plus-lamina-negro-3-en-1-_JM,NA,NA,NA,NA,NA,#452824745,NA,Apple,Carcasa,NA
23, Carcasa 360° iPhone 8 7 Plus + Vidrio Templado Rojo 3 En 1 ,9.995,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452825550-carcasa-360-iphone-8-7-plus-vidrio-templado-rojo-3-en-1-_JM,NA,NA,NA,NA,NA,#452825550,NA,Apple,Carcasa,NA
24, iPhone 7 / 8 / Plus Carcasa Silicona Platered Esr | Kyrios ,7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 666
			
		
		 sin interés
		
	

	
		","
				$ 666
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-448592292-iphone-7-8-plus-carcasa-silicona-platered-esr-kyrios-_JM?searchVariation=41543798622,NA,NA,NA,NA,NA,#448592292,ESR,Apple,Carcasa,NA
25, Carcasa Cuero Hanman Billetera iPhone 6 7 8 / Plus + Colores ,15.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				45
				vendidos
			
		",(123 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,4.3,4,https://perfil.mercadolibre.cl/SMARTBUYCHILE,https://articulo.mercadolibre.cl/MLC-448901342-carcasa-cuero-hanman-billetera-iphone-6-7-8-plus-colores-_JM?searchVariation=35452869692,3,0,0,1,0,#448901342,Hanman,Apple,Carcasa,NA
26," Carcasa Magnética iPhone X, Xs, Xs Max, Xr + Lamina Vidrio ",11.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(506 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.998
			
		
		 sin interés
		
	

	
		","
				$ 1.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PALMCITO,https://articulo.mercadolibre.cl/MLC-497546294-carcasa-magnetica-iphone-x-xs-xs-max-xr-lamina-vidrio-_JM?searchVariation=40536215842,NA,NA,NA,NA,NA,#497546294,Genérico,Apple,Carcasa,NA
27, iPhone 6 / 7 / 8 / Plus Carcasa Magnética Premium | Kyrios ,11.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 999
			
		
		 sin interés
		
	

	
		","
				$ 999
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-464042219-iphone-6-7-8-plus-carcasa-magnetica-premium-kyrios-_JM?searchVariation=41533249095,NA,NA,NA,NA,NA,#464042219,BOTYE,Apple,Carcasa,NA
28, Apple iPhone 7/8 Plus Tpu Premium Nillkin - Webphone ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://articulo.mercadolibre.cl/MLC-468866299-apple-iphone-78-plus-tpu-premium-nillkin-webphone-_JM,NA,NA,NA,NA,NA,#468866299,Nillkin,Apple,Carcasa,NA
29, Carcasa Tpu Militar Táctica Camuflaje iPhone X 6 7 8 Plus ,5.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 499
			
		
		 sin interés
		
	

	
		","
				$ 499
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALIZADORA+REGALOCO,https://articulo.mercadolibre.cl/MLC-474169702-carcasa-tpu-militar-tactica-camuflaje-iphone-x-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#474169702,NA,Apple,Carcasa,NA
30, Carcasa iPhone 7/8 Plus 360° Vidrio Templado Negro Baseus ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/BERRIAKLTDA,https://articulo.mercadolibre.cl/MLC-482951470-carcasa-iphone-78-plus-360-vidrio-templado-negro-baseus-_JM,NA,NA,NA,NA,NA,#482951470,Baseus,Apple,Carcasa,NA
31, Funda Brazo Celular Teléfono Brazalete Iphonegalaxy S8 Plus ,1.990,2.786,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		",(80 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 166
			
		
		 sin interés
		
	

	
		","
				$ 166
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FORCECL,https://articulo.mercadolibre.cl/MLC-458986521-funda-brazo-celular-telefono-brazalete-iphonegalaxy-s8-plus-_JM,NA,NA,NA,NA,NA,#458986521,NA,Apple,Brazalete,NA
32, Carcasa Silicona iPhone 7 / 7 Plus / 8 / 8 Plus ,7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 666
			
		
		 sin interés
		
	

	
		","
				$ 666
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VENTAS.ELECTRONICAS.ONLINE,https://articulo.mercadolibre.cl/MLC-465068263-carcasa-silicona-iphone-7-7-plus-8-8-plus-_JM,NA,NA,NA,NA,NA,#465068263,Baseus,Apple,Carcasa,NA
33, Funda Brazo Armband iPhone 6 Plus Galaxy S8 Plus - Impowick ,3.990,5.466,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/IMPOWICK.SHOP,https://articulo.mercadolibre.cl/MLC-457908422-funda-brazo-armband-iphone-6-plus-galaxy-s8-plus-impowick-_JM,NA,NA,NA,NA,NA,#457908422,Genérica,NA,NA,NA
34, Carcasa Apple Silicona iPhone 7/8 Plus - Webphone ,14.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.249
			
		
		 sin interés
		
	

	
		","
				$ 1.249
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://articulo.mercadolibre.cl/MLC-474367347-carcasa-apple-silicona-iphone-78-plus-webphone-_JM,NA,NA,NA,NA,NA,#474367347,Apple,Apple,Carcasa,NA
