search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Voltagem,Quantidade de alto-falantes,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Cor
799, Caixa De Som Bluetooth H-maston B28s Bluetooth Usb Sd Fm Aux ,120,NA,30,993,12x,10.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/AER+MAGAZINE,https://produto.mercadolivre.com.br/MLB-843037578-caixa-de-som-bluetooth-h-maston-b28s-bluetooth-usb-sd-fm-aux-_JM,NA,NA,NA,NA,NA,#843037578,H'maston,B28s,20 W,Woofer, stereo,"tv, computador",Caixa,2.1,NA,NA,CAIXA DE SOM HMASTON,NA,4,USB,NA,NA,NA,NA,800 g,NA
800, Caixa Som Bluetooth Ws1618 Ent.usb Pen Drive Aux Sd ,129,NA,61,39,12x,10.79,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,8,https://perfil.mercadolivre.com.br/TNT+TECNOLOGIA,https://produto.mercadolivre.com.br/MLB-926879947-caixa-som-bluetooth-ws1618-entusb-pen-drive-aux-sd-_JM,5,3,0,0,0,#926879947,Wster/Xtrad,WS 16.18,20 W,Woofer,Comum,1,Redondo,digital,60 Hz,50 Hz,Audio,NA,NA,USB,NA,NA,NA,NA,NA,NA
801, Mini Caixinha Som Bluetooth Portátil Prova De Água Ventosa ,25,NA,38,5,5x,5.59,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3,3,https://perfil.mercadolivre.com.br/JSA+VENDAS,https://produto.mercadolivre.com.br/MLB-856876506-mini-caixinha-som-bluetooth-portatil-prova-de-agua-ventosa-_JM,1,0,1,0,1,#856876506,Importado,BTS-06,3 W,Tweeter,Tweeter,deverssos,Caixa,5.1,NA,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,NA,NA
802, Caixa De Som Portátil Bluetooth Amplificada Microfone Md-884 ,850,NA,2,3,12x,81.24,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/LOJAVISIVO,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ywOnJmjGKSznEs%2B8txZAwWC7KJArH5uSVDEUOt5J0QnMaZhqXnk0rrUYSDPzB9ec2ZQ7BpuNxFe9HTrcRqM5Dh3KCUJHDBYyRjJVYP91LOUlfnOqfiQoaOwLRF4Bbu3Bi8wJxm4J0xU%2Fta3a5yTrLLygr%2ByfHyXvQVPQam88IPgO4frA6K10l0tlpwnySrdipy8%2B%2FN7aMZAuXUHYJadakXiQYIc2wx7EK9YrklDluw7bhGKB3HK%2FRVnBvTApEXGHX9gt2r9%2BxzbVS5K4jzurP%2BiQB2OtLlVmfRr%2F8xcbELBYKks0Mvdrqhf3wozxzEUp0NV5GUy00XyktccAcXVQRzNVR%2B4Vh3fmUU83zQc0K2%2FakcouSglmP0fU%2FhrBJllhkuA4I6ORslWh7qryLiAC3tCH1RpPy8e13MqLe8YruU6X7FHhkL0DGcy2%2FXHA3rHrM%2BoqiEJ83luGZ68fy2zo7T1FSyVwM%2Bzg196kic8BKe3r2yKmBs2UQCqKu42T0tSXaPr64f5vK1k5De9owTX8L7YeBIZ0YMbiPXbO4%2FokxvILc6KqUMKFBL6G0bgV1l4xdBe9loZoWdIjdqRzBbOUIbKMPGTqno25j21eHbzKnDMnO8ge0iUOBnwbnyuWcbyDxg8fvEI4o3b9XhF1KeFrea3wpr5BQKh0fMUEv72VNCtbahf%2FRI7da7CX12cY04BXfJrPlhOmA6JIxcKFIzC6DYiybdIVHAmserO8GtMvBdM7ezEtRgrMVkyIECHLuZ83tPrxmukorgWuwlaIoYSa%2BXO40ftqeoxPRfhA2TWkD9lENyFih4mFdpsm2eTzg2y6HQ%2BbnluiTbxyJrI12RPI4T5IqgoPhUqdat9AOPmKpr73IdAWieXYwfO8RCSzIrzmKEcJ7Z%2F1S0yfPlAiTmkjbsdUT6kUp0DMSiytOZWJkzS3xk0LxdL8udfWDP84YYSvenctOyNilDxWuWnMbCWbemomy4rompVg86q89RolLDPq5dfichxp51uYpwROp7E3Eo%2Bf94F4ttCwb5Nak7hTwiOeDn4a%2FmljbSvNwf0%2BI7KsAuHJrqacI0%2BMNwBxxVfwPetDsF7hFwoSxcMyh5TmIntIwVCMD8X3XrfAwwDaj2E%2FCKEb3o3TBjffPY906Xr%2Bq0ZzuEo71acL2LLA6Lj1r%2BlTeuRawC%2BsaEn5kLW750AsX%2Fo47dlIyl1ppziE77%2BihGgiHO3TZZ05jA%2BA4o0eclKrUWm87CKa0pDhRDFf4ZxNHvrp2fDQppmnloC5YjZVktsPPAXdTNQJl4ShyIl9YzkCFM%2BP7GT1veSzjPNvn%2BdF62adkgX%2FZIoRD2B%2BzhYjXAXK%2FhaTvjQEXtZfS3%2FkoY8fN%2FQuzh8DdMoBz9rpPYaKGFsCtTRX2R%2BtaE1YYJPQ9KNC1HBLsKBRCN4u9GarrX4Z%2FV1%2B0RsKRGWbrEaUJYoaky%2FeoTc0g8mEWgQlQWOEZ5J1ohnK1EKJcaAk7s6jpcZt0z9Dz2ByVECVFMWod7h744WRjWPar4xs4bnTdO5NVFnH7AL0QPyONv1kD8%2BjXBYggyMRjIZmWODd9KoVxleY2wXC2TRFoc3%2FwJHLZ4qokJ4fBnZJK7fOcANZzzL18nnZvlG8BDE65GrRGYb51TGUx1UM7AaUndjZLvcXAilWW9dFOXPCkdbcnjB8iO%2FBb6tsXA9jkwOTlIpiaorC6xayXHfAq1P8oDej49pk1o7UJeTou2ztGMjgWSoOnduAI6OSW5k9vJMUqOpCM%2FRWdQsR7R1fuYqOQZoLzUEE8dYRpewFUsO0WhxH814us0TSqpJQ%2F5gunrBEJknovdXhIE2kutRERJOQzePP9A4RCU4B5jfjd9PL0veHgwx9PuPgsPyQ0sn7rhsnoFbzgfz%2BUvGhw%2B7%2F,1,0,0,0,0,#1196487987,Ultimate Ears,BOOM 3,20 W,NA,Ativo,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,608 g,NA
803, Caixa Som Amplificada Bluetooth 120w Bateria P10 Microfone ,459,NA,6,94,12x,43.96,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LEFA+SHOP,https://produto.mercadolivre.com.br/MLB-1221555647-caixa-som-amplificada-bluetooth-120w-bateria-p10-microfone-_JM,NA,NA,NA,NA,NA,#1221555647,LEFA,MK170,30 W,NA,NA,NA,Torre,NA,NA,NA,NA,110/220V (Bivolt),NA,NA,NA,NA,NA,NA,4800 kg,Preto
804, Caixa De Som Portátil Jbl Clip 3 Preta Original 028 ,289,NA,1,100,12x,24.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,65,https://perfil.mercadolivre.com.br/TOP+MULTIM%C3%8DDIAS,https://produto.mercadolivre.com.br/MLB-1196327968-caixa-de-som-portatil-jbl-clip-3-preta-original-028-_JM,65,0,0,0,0,#1196327968,JBL,Clip 3,3 W,NA,Ativo,NA,Caixa,NA,20 kHz,20 Hz,NA,NA,NA,NA,80 dB,NA,NA,NA,0.22 kg,NA
805, Caixa Casa Bluetooth Usb Laser Bar Comercio 1570 Rms Taramps ,889,NA,2,9984,12x,74.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MARCELOHENRIQUEPONTES,https://produto.mercadolivre.com.br/MLB-1174162571-caixa-casa-bluetooth-usb-laser-bar-comercio-1570-rms-taramps-_JM,NA,NA,NA,NA,NA,#1174162571,OESTESOM,CAIXA BLUETOOTH,NA,NA,Não se aplica,NA,12,NA,NA,NA,NA,NA,NA,NA,96 dB,NA,NA,NA,NA,NA
806, Caixa Som Ecopower Ep-132b Bluetooth Usb Com Microfone ,159,NA,16,1,12x,13.32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/EAESPORTS,https://produto.mercadolivre.com.br/MLB-1188719020-caixa-som-ecopower-ep-132b-bluetooth-usb-com-microfone-_JM,1,0,0,0,0,#1188719020,Ecopower,Ep-132b,15 W,NA,NA,NA,Caixa,não,NA,NA,NA,NA,NA,"Cartão de memória, Pen drive, Microfone, Violão, Guitarra",NA,NA,NA,NA,NA,NA
807, Caixa De Som Boombox Grande Jbl Bluetooth Resistente A Agua ,799,NA,16,8,12x,66.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,542,https://perfil.mercadolivre.com.br/DASAUTOCOMERCIAL,https://produto.mercadolivre.com.br/MLB-1280745219-caixa-de-som-boombox-grande-jbl-bluetooth-resistente-a-agua-_JM,427,45,21,20,29,#1280745219,JBL,Boombox,60 W,Subwoofer,Ativo/Passivo,Portátil,Caixa,7.1,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA
808, Caixa Acustica Amplificada Staner 10 Titânio 110w Sr-110a ,90,NA,83,917,12x,7.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2,https://perfil.mercadolivre.com.br/LUCRIMAXTENDNCIAS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=qbVK1LtAuex3DGQn7Ev3ToqZnsnCIn2ZETcLdVIwo2RXlElVoII0fR1ry7s%2BU53CM7LTowg9GUqFcYkUcL6hgm6RpzIrurHnOPmOByYGlTfzROsqNQb68vlBcZCNd3yXgpyndGghm%2FZaj4ybNq6oJCNaZFgw65YM5oaVPIUzTfaN%2FZvtwqRRpSTeeLcPAXX3DQpYBA6pm3GuKjMXs4MuVIn1hV5CZUjNBjQQrO4sPZwgauJlI3YCeeAKPBl9i8Jsv%2BXUUKa%2FkKN4x0aozBBfgomemisFEC7sr09u5sdRUsnmhdfwvBjcsAnBY0ts91TqIJlYqrCCqcX9o6ruAkSIQ70A0pciqKurR%2BKOovCr4efO4zsMAHqPC3CFXMDLevRUQ1RNTeMp9Mv6mVmzwiCGIyi%2B1mk3Tab8IaKLVhyxiiZVMmZE3XkUgEeyoTBXyPzasynuFfiEyV5FH26oQEfwIpt6eE4vR1N8erJE4wVvWJrtzRUVPhloLZEULpJ4x%2B2TJt0DD9OM%2Fiz9YNU%2FyeAjTkiVzGngpC2ZFu6GIuG9xOrmZno6DKUbFEv9VyV9z7iyjWNaTad0wV%2BkV5Jsru5A6msYtzLYPgzC3ql34FwVD%2Fju7ffVPXcDGTEdoDxT81oLuO8mLym4ndWH40u4%2BPUyjJUQN3wazcSE7Hzq%2BxiaRWOFp6kuRKmX5I6KWbmQ30phYRMqP4pq9oNIunW6esxSDc9UpozmHA6%2BCoXbvA9X7WRpj70L1zzdLsquCdzl4DHtK2Rls%2BY3un3BNux%2FmuUdcroOC8ehX69B9Rzqqxvxi%2FThjG6I89eb0njjIHG%2BhHfBSBaEKW8quw3aUSpdadBUFIChkKFR2uM5eEJ0PtOfPOQ8tGO3a2IikrKzjew1FTXI00jjM70T1UighXrx2KU1wno9Vvpbo3sKwxqWMMWDoWd%2B1b7GQzuS6awwJT73ef4w1rwGtOTwslAM0h7zXfhUwj5eRQb1Iph5CvqqWAuvHaT79c9fhXs9Id87nT7xUZ0peyj9UynSVgMO2pjPkLGXji3Yff7iRZmMFTy0mTQd9NC%2Feg5lXZNVGhHNdK9o%2BUv429NBXacuDnMU1lQgV3CR5B0aC2mnKk25G%2BpNhwa11qCw4kszGsMABo7HXAv1hAa6z49efLh2UF%2BehCW4KRprsIEBEGdGfwWkvJ%2FIaulw1Tga%2FGcmPOneENlNKR8e7UtE%2F8wM%2BXC7yJEwwclJNzhqa7Vp1w4ccjI2CLtrdd%2FGVQKceQlE9Iz3LVZWNGiC3pbieo16GQuwZE0PHXkmx9mgspU%2FzEoPfYdR1qL2YTOOJxfHpchBYPMA2M6z9H70BLfekJ483jJCt744GFPjyo8DZRZz7fm39%2FhBUnSPblzj82r8mTGR%2FNioF9KQm6EMIrBMJdIQT049TLXu38p%2BGcs5fmnfHkN1hl3PgXCJQh0PvXJECaz%2Fy3Yn3aJwbSRQfcTcm9i6I5Vp%2FiSULnLKopwLZh3CJLD9qeSQGGTOh28iaue9%2B%2FcWv8yiRNJeAJvsyxi8K3JaZFMaRTnwV69cy6kr0JxwPmMxI3gskUFBzrBU3o03K6cHKiyOXdvhsH7fwS7uluopjU77CLcBAyMDNz%2BOEqwIdOVdddWwD6rm%2BIjRJhHHv17lDG%2FPJ7KRgL4p2i6gX5gIVjXOyrzLpXyN%2FxZc1VOc0AYxaHVG2GYWfj80AP%2FhEGqjSiwWI8q%2BYjnDfWV2NQOWFMdUVXsYzZaSrAyvs96u8RRALcOByUbGhKd9FfLRxvzvFRTQpCzTW1N8Sh4P8N4n%2BL%2FHvuIMR9EfQBYHPSOQmpON1%2FCpba4V%2BJLEXjnuGKRhcY1bEFaEToVkCbqVt9tRsS%2BK%2BrHtRSEvqaikwuorKVUKKRhRS1ikgwUaPOvjC8vdjfp46wGvOQ%3D%3D,1,1,0,0,0,#1244442589,Goldenultra,Torre,10 W,Subwoofer,Ativo/Passivo,Todos,Caixa,5.1,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA
809, Caixa De Som Amplificada Bluetooth 500w Microfone Fm Sd Usb ,249,NA,79,2,12x,20.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/LOJA10.ML,https://produto.mercadolivre.com.br/MLB-1136000625-caixa-de-som-amplificada-bluetooth-500w-microfone-fm-sd-usb-_JM,1,0,0,0,0,#1136000625,Vinik,CP50BT,40 W,"Woofer, Tweeter",Ativo,NA,Caixa,NA,20 kHz,100 Hz,Caixa De Som Amplificada,NA,1,Entrada para Microfone,85 dB,32 cm,18 cm,23 cm,2 kg,NA
810, Caixa De Som Mini Charge 3+ Portatil Bluetooth E Pen Drive ,49,NA,53,5,6x,8.32,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BRWORIGINAIS,https://produto.mercadolivre.com.br/MLB-1282565236-caixa-de-som-mini-charge-3-portatil-bluetooth-e-pen-drive-_JM,NA,NA,NA,NA,NA,#1282565236,JBL,Mini charge 3,20 W,Subwoofer,Ativo,Portatil,Caixa,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811, Caixa De Som Jbl Party Xpert 350w Preto ,2299,NA,2,4,12x,191.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STOCKCARNET,https://produto.mercadolivre.com.br/MLB-1266585288-caixa-de-som-jbl-party-xpert-350w-preto-_JM,NA,NA,NA,NA,NA,#1266585288,JBL,party expert,350 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812, Caixa De Som Bluetooth Jbl Clip 2 Original Azul ,198,NA,15,9995,12x,16.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,7,https://perfil.mercadolivre.com.br/MOTOR_PARTS+MARINGA,https://produto.mercadolivre.com.br/MLB-1277894177-caixa-de-som-bluetooth-jbl-clip-2-original-azul-_JM,6,0,0,0,1,#1277894177,JBL,Clip 2,3 W,NA,Ativo,1,NA,NA,NA,NA,NA,NA,NA,Auxiliar,80 dB,143 mm,94 mm,94 mm,NA,NA
813, Caixa Som Portátil Amplificada Bluetooth Recarregável Oferta ,108,NA,4,10,12x,9.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ELETRO+SHOK,https://produto.mercadolivre.com.br/MLB-1173793122-caixa-som-portatil-amplificada-bluetooth-recarregavel-oferta-_JM,NA,NA,NA,NA,NA,#1173793122,Inova,RAD-390Z,12 W,Woofer,NA,De piso,Torre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
814, Caixa Som Bluetooth Amplificada Portátil Karaokê Fm 40w Rms ,979,NA,1,4,12x,81.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/LOJAVISIVO,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=z%2Fa429IjYC7Hmd0mILa6GfOesyaNli44R7BPzMoBnaqDSqdqZeOu8NY%2F36zl%2Bh61mKKoyPmYUYj9UGuSEu4aj%2FszL9Z%2Fbr3MQ2N7fXfzf1OY46kyd8pDpw5i%2FypjefpMVTYawp2hJKPM7a4ThKC6wscu3N0A6Oxmv4l1jGl2HFB8MqTXt%2FSLsyXQM2qrNT9q%2FjOq3Yt0kx2CDqKuRsFzRL0XSKoeobshUGMv%2BvKQP%2FII9ajaifpoytthXcntpz1mpgNMHaxXkSx2R8af5GUhOXtBPNu9KGOR7gbXtAsyJy6ALMRyIIccmlDejxJmGkr%2B4qCXwismgNzDeFcLWPqGT6Rgb0sMaBChtSx1sfWmwqy%2BcpOGIX7a6nj45MuaBCD4vrv%2BABMvFQXWG67ZF%2Bb8F1Jtxgd7fEc8%2FlBnetAZOlja2FPmATey2e2PcyvUtxrFbDwDWTh61bnPma6SssZEDQxmEwhk0lXk%2BQgJaZ7gqnKvVpKbxvG9zH6S%2FrCv%2BXZu0GDLsmv5AQaGEp0kG0xIYheBVy6CD0fY7vLrja5qDiLr3k7iNldu4nG3K3H0ZGNhbj8UQ6dq636ioonekV9r13uonIO%2FLStsLj8Gy6sCD%2Bf65MN3ziyVlDJ5e418xNXXZRJLD8GbkvcHFKli5QwsxLIbTH7RNdcya9Qb7%2BhTE1MR9OZPdETZpn6Z5QFNq7a6wYex3PdHFYTnKh6Oh%2F11f8c5L7WgarjrFhK1oBkvxwKTtZHxoJ695phl%2BpuNKhJc0Nh9SdjVAMQ2zbkMK%2FhzvWaxJEXWt845Fe4%2BTsG5wMIlkm28CONNTUb%2BTTOWAXX%2B0C6pGq0ZL9tAZcUzdKVUwCEEfajqTgi8a5%2FYDPUWYZLYNFbMFBWgUadSMsp1tOfD9FaedCgxURBDtZgpiJZgaiDNZ5O0NoNBxhREpMgSZQ%2FzeRYeskf6%2Bgxv8X4nKpAV3M5r5KxLbUG6d4wkkZKzQrLDWZlLORU67xrW4rMvSy%2BRPqO9f7qraCBRH5NIbg5915PFGb%2BhUU5Mez7I0Jo%2Bm%2Fkh2SrccrldGL7R8pROFYt6ILiEj%2BrjS6V%2F%2F5HTCFkvaHKeKaILbKwZzs0ULvFysztkNFV%2FFrARYAxQVuYn4PGxN%2FDIHNGG1IuObb8CZzVbcJ9kbdZvP4QTB6PR7J%2Fuml5Nhth8SDc11zyt3mxgavbWhAKczhJOTc9XS%2BrW27Yn%2BsLJ8N%2BAeA6kD4mT0arkZ5GAuCpENY8UaYQPNaTarl8zFoPSXShV4hIbqb21F7E%2BqR%2FirXYh93EsuU4XQ%2BTbrXT5ONwIsuiZgUjQx2QUrMEJU%2B%2FBG7cbbfZ5f7yie57ttRJGnKU3umvcbQDOLoj3720JZoQVzReBqlKcC3Y09GRP8Z6GEIs%2BNRXD7v2sRe2wy0qoovUE%2FMjFr2Tkt5N%2Ft729KuCIfKtwfeS%2Bx0FHYnU0Sfg9pQwc0OMcEgmezdryJIxpDbKAb6f4JRQdgvWYf1D8U4hzDjsbxDFEY3cNQcbqgGa6C9VHwKkD7WaOZ5K2dpWwb%2FKinus3Yw%2FvI43cJAJw35gASt5BxmiTjg%2BJXdk2J8i6SxUKZ2iNV0e%2BbWrly6rPpVxT9uSM9hGnV%2FcEdnmEnbjPtEqRh0BasIA2tB8mg3jmO5erB15U%2B2uCXuPUCjSkblI670hZwkQ8j3LaDbLTJoxCRI6NeYHeqByxH1Wnj2TfXWX03z5px4hmahGcaxdbPOUpthSzaKLgnboOWnnkahY6VbyFl5y5ef0prXgM3bFI%2F0mh9HAKVYfCqvoi9%2FFqVaGSckTRd24vS%2FNWWifLuBe1Msf7Lk%2B5jWrNogxGb6LOiX9MT3%2B7I2Y8meWf3Wxf5OmBzdswuw1EdRRPjnIUuTFJm7Nrwhdp9BL77oVUbeYrgRSJUA%3D%3D,1,0,0,0,0,#1196483937,Ultimate Ears,BOOM 3,20 W,NA,Ativo,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,608 g,NA
815, Caixa De Som Jbl Charge 4 - Original Lançamento ,850,NA,17,1,12x,70.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,91,https://perfil.mercadolivre.com.br/ERICHCAMPEZATE,https://produto.mercadolivre.com.br/MLB-1170266033-caixa-de-som-jbl-charge-4-original-lancamento-_JM,64,11,9,1,6,#1170266033,JBL,Charge 4,30 W,portátil,Woofer,portátil,Caixa,2.2,NA,NA,charge,NA,NA,NA,NA,NA,NA,NA,955 g,NA
816, Caixa Som Speaker Bluetooth Aprova Dagua Chuveiro Banheiro ,24,NA,28,65,4x,6.16,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/SELETOSTORE,https://produto.mercadolivre.com.br/MLB-814600757-caixa-som-speaker-bluetooth-aprova-dagua-chuveiro-banheiro-_JM,1,0,0,0,0,#814600757,Yes,BTS-06,3 W,NA,NA,NA,Caixa,NA,NA,NA,Portatil,Bivolt,1,Auxiliar,80 dB,NA,NA,NA,NA,Branca
817, Capa Case Bolsa Maleta Caixa Som Jbl Boombox Specker Top ,339,NA,66,80,12x,32.49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,542,https://perfil.mercadolivre.com.br/JKRDEARAUJO,https://produto.mercadolivre.com.br/MLB-1046511093-capa-case-bolsa-maleta-caixa-som-jbl-boombox-specker-top-_JM,427,45,21,20,29,#1046511093,JBL,Boombox,NA,SOMENTE A CAPA P/ JBL BOOMBOX,SOMENTE A CAPA P/ JBL BOOMBOX,SOMENTE A CAPA P/ JBL BOOMBOX,SOMENTE A CAPA P/ JBL BOOMBOX,SOMENTE A CAPA P/ JBL BOOMBOX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818, Caixa Som Harman Kardon Onyx Studio 5 50w Preto Bluetooth ,1099,NA,26,3,12x,91.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/IMPORIUM+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1021827081-caixa-som-harman-kardon-onyx-studio-5-50w-preto-bluetooth-_JM,2,0,0,0,0,#1021827081,Harman Kardon,Onyx Studio 5,50 W,NA,Harman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2980 g,NA
819, Caixa De Som Bluetooth Jbl Go 2 Portátil Original - Lacrado ,160,NA,15,2,12x,15.29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1544,https://perfil.mercadolivre.com.br/ZEINEDDINE,https://produto.mercadolivre.com.br/MLB-1260311855-caixa-de-som-bluetooth-jbl-go-2-portatil-original-lacrado-_JM,1415,99,19,5,6,#1260311855,JBL,GO 2,3 W,Woofer,Passivo,NA,Caixa,2.1,NA,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,184 g,Preto
820, Caixa De Som Portátil Jbl Wind P/ Moto E Bike Bt ,155,NA,25,140,12x,14.81,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,899,https://perfil.mercadolivre.com.br/JPARTSBRASIL,https://produto.mercadolivre.com.br/MLB-1180291665-caixa-de-som-portatil-jbl-wind-p-moto-e-bike-bt-_JM,725,119,37,6,12,#1180291665,JBL,Wind,3 W,NA,Ativo,NA,Caixa,NA,20 kHz,20 Hz,NA,NA,NA,NA,NA,NA,NA,NA,NA,Preto
821, Caixa De Som Bluetooth 5w Com Suporte Celular Mp3 Usb Sd ,39,NA,324,9859,6x,7.38,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,11,https://perfil.mercadolivre.com.br/SHOP+ELETROS,https://produto.mercadolivre.com.br/MLB-1173693186-caixa-de-som-bluetooth-5w-com-suporte-celular-mp3-usb-sd-_JM,11,0,0,0,0,#1173693186,SM,Q3+,5 W,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,457 g,NA
822, Caixa Som Xiaomi Mi Mini Bluetooth Original Recarregavel ,89,NA,19,1,12x,7.42,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MEGAMAISSTORE,https://produto.mercadolivre.com.br/MLB-1240953617-caixa-som-xiaomi-mi-mini-bluetooth-original-recarregavel-_JM,NA,NA,NA,NA,NA,#1240953617,Xiaomi,MI MINI,2 W,NA,Mini,Portatil,Caixa,1,NA,NA,Mi,NA,NA,NA,80 dB,NA,NA,NA,0.15 kg,NA
823, Caixa De Som Potente Portátil Com Bluetooth Pequena A668 Fm ,49,NA,40,85,6x,9.23,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/B3+BRINQUEDOS,https://produto.mercadolivre.com.br/MLB-906448300-caixa-de-som-potente-portatil-com-bluetooth-pequena-a668-fm-_JM,2,0,0,0,0,#906448300,Altomex,A668,8 W,Woofer,Woofer,De piso,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
824, Caixa Som Rádio Retrô Vintage Bluetooth Mp3 Fm Am Portátil ,89,NA,28,9995,12x,8.57,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,3,https://perfil.mercadolivre.com.br/RELU+MAGAZINE,https://produto.mercadolivre.com.br/MLB-1132347316-caixa-som-radio-retr-vintage-bluetooth-mp3-fm-am-portatil-_JM,2,1,0,0,0,#1132347316,XTrad,XDG-14 RADIO AM/FM,10 W,Woofer,NA,NA,Caixa,NA,NA,NA,NA,110V/220V (Bivolt),NA,Auxiliar,NA,15 cm,9 cm,21 cm,NA,NA
825, Caixa De Som Portátil Jbl Wind P/ Moto E Bike Promoção ,155,NA,20,140,12x,14.81,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,899,https://perfil.mercadolivre.com.br/JPARTSBRASIL,https://produto.mercadolivre.com.br/MLB-1180297771-caixa-de-som-portatil-jbl-wind-p-moto-e-bike-promoco-_JM,725,119,37,6,12,#1180297771,JBL,Wind,3 W,NA,Ativo,NA,Caixa,NA,20 kHz,20 Hz,NA,NA,NA,NA,NA,NA,NA,NA,NA,Preto
826, Caixa Som Portátil Recarregável 5000w Amvox C/ 2 Microfones ,839,NA,4,34,12x,70.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1235729165-caixa-som-portatil-recarregavel-5000w-amvox-c-2-microfones-_JM,NA,NA,NA,NA,NA,#1235729165,Amvox,Caixa de som Amplificada,500 W,NA,NA,NA,Caixa,NA,NA,NA,NA,110-220V,1,USB,NA,NA,NA,NA,NA,NA
