search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Peso,Voltaje,Tipos de parlante,Altura
11, Parlante Jbl Go 2 Bluetooth Portátil Sumergible 3w Go2 Cuota ,2899,NA,120,8,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,829,https://perfil.mercadolibre.com.ar/ITECOM+DIGITAL,https://articulo.mercadolibre.com.ar/MLA-756256332-parlante-jbl-go-2-bluetooth-portatil-sumergible-3w-go2-cuota-_JM,693,125,10,0,1,#756256332,JBL,NA,GO 2,3 W,Pasivo,Todos,Portátil,NA,NA,186 g,NA,Tweeter,NA
12, Parlante Xiaomi Portatil Bluetooth Inalambrico Mi Speaker ,3849,NA,452,3,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,41,https://perfil.mercadolibre.com.ar/JAZAKSHOP.COM,https://articulo.mercadolibre.com.ar/MLA-767432359-parlante-xiaomi-portatil-bluetooth-inalambrico-mi-speaker-_JM,33,7,1,0,0,#767432359,Xiaomi,Bluetooth,Mi Speaker,6 W,Portátil,NA,Bluetooth,NA,Auxiliar,270 g,1500mAh 3.8V,Portatil,NA
13, Parlante Portatil Radio Usb Bluetooth Potencia 4000w Karaoke ,6499,NA,681,439,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,67,https://perfil.mercadolibre.com.ar/BLUEWAYBLUE,https://articulo.mercadolibre.com.ar/MLA-680688727-parlante-portatil-radio-usb-bluetooth-potencia-4000w-karaoke-_JM,39,21,3,1,3,#680688727,Winco,Bateria Portatil,24/7,80 W,Portátil,Central,Vertical,MP3,NA,NA,220V,Subwoofer,NA
14, Parlante Panacom Sp-3112 Con Microfono Y Bateria Gtia Envios ,5299,NA,4,16,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/JMCLIFE777,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=xyYTsMW1zACxuC9ZIH2gE4wwr%2Fn3v73l0d9eEyBu0UywxW%2FZzBXnAnVHAueADoR9JvDpzMF52yUYixU2fpaOkf3Md51vzP5C4RbexxEIJ9JJpvnbi4a4kjqljwsf6nIPnOX6ty0xHjBUYAsVP8FSvqfMJvEX%2FN8FJM%2BixqkhkGLho3RVMM2x77wLoutmX05Ap3A6atW3X%2F%2BbSs2hfHD7mzeCaTATPmfpmJdiPGS4qtYftfsxHdNkaF3XQS54do2wuSk1gYZvI7Xd7EISKGVjXLFgQuFYotvGkMyNaSNrwNOctdyniMLYKKfjgTrgUkzBkC9kH8%2Bkoqbb8kSOxBn2m5Wlu2w5UwS2EJKBH79zvzpOmEtQqkVyyqqMnFxK1dnO35Pf7RsTuqzS2PI1M7Xk3KW68p7t1%2FrB0nxQR%2BJ6vcaq71b3L2YAXgsawU%2BUtTXCunioHxeupZKsf1dq9OnU6oiH3nQoy%2FoCR2%2F8MOSLz6Uuo2Al7pSmGDJXv%2Bu3lBvVUfGKLb%2FbdIJUOqffAr1AiojJyfHW4ITTXMNEJvSCaUJ2Lq2GgV%2BrV8X6ZdoBDqI8m4eVmAQBnR6S4NLcfwphzGSw0f5GeFhQ6GL8W8ur5ZZpevIpy77AdtBy4YYarEn8%2Fyk%2FT0F6Yu7tDBXT%2BOyNB%2F62E394tthcbIiFQ4dpWi24nRmEPlNiJnjzF%2BJWzDG8IwF2od5aTFjaAAv3tpCmyOmUw5Nzqe5MS0O0bUr6%2FI7Wi37M40dXNxBdn1KxoivfpVZ2CBg%2FfAHyGXycbqgarWaJCWeMq%2Bhhb6uKj0DN5vy9dlo0pqzGzqM8lj8kcNV5ONALDRWB2JdtoUcnl7iuxXCOj9R4tMhGM1elO4L6Bqu4spdUCx%2F%2BVeAMzymvmMQc78R%2Bq3rP7fq6368KxhX90aehc1Ie3rCwF4ftnnHXbQQMIHJtEEt7ECBlEIPGTwlOlms85%2Bzvn0b%2BxxvNTCgYxvVaELBu%2FGzbJHKZrNMWrn2nUoalx0FYmWjc%2FHPy4Nz9vssrrg5r5l%2FINfW7bPLYv%2FmqItZjJoLWEW13Q%2FWIj7SVQhQUo2A8fzIJlZF%2F%2BtiGDskVFU7em4qS%2BPkZVwCbM9pS4acnPbTU39DqVZuPKjsLLszn2f%2FldUoy1KTEtwXS%2F9iKKeb%2FULhx0P9qauBkuIpklO4r3jlkFyHwdEZRqaCzkOYOSL7CI4rbZQZLkMzRCA2kPZ%2Bahv28D5pC3zPUKLyEYTvey5IIvehG2RxWLLHalbI9xSwzVV0RjQI3sqiGfDvXa9Gj7F0b1eNWoAINmA%2FdgUMjq0ch2ZcFqsvwDuiF%2FXgrc3kSnhciCUDb6%2BTE4DeKmZSRrB7PAtK6w3renqo2JztsbISUNxXObqJVlmm0dOqlOzeSbNtmk8WQnQxfXNzT2K3XREvyFkGoCUSsJO2zxsYwbp1hNpjRBWyftYTzgbaprqWl64LGJg4mJOR56lMhsf%2BXkK%2BlvcblFy3Fo%2Bx7Jq%2FaSY1t11Dqmk1WGBRA3xST62uEHiDK3CKyYSqG9wM7BOScVexJ66fjgATXgqUdUaB9zuHlo1pfC5maSaC5jhzx6dY501dLYT%2FNLhiweG8HV1HztvahWvNKJKa1H8niizid%2F55DRR5Xr7aq9YEfarxFuaYWCGryAlEjwbevtJE7xAOVq9D9oyQFW8lF4Vb9G8%2F8GojWk3m7%2BMX2XDAzlnvx37wiqFB20CU%2Fe9XhYHzJD3B%2FDP6Gczt1nJj%2Bk7%2FimFmkqIWnxZXHZdjX%2F0FNt8nPY8tOKCGAY%2F%2FgQbVuw1bsYwvoo4TcmTvWOE42MXrMUWh5eIyq4S%2Fk%2FzH1zyhyGzUZC0exNsHnSLhiZ%2BeAn%2FmglRm0MuW%2FiA%3D%3D,NA,NA,NA,NA,NA,#779924491,Panacom,NA,SP-3112 WN,3000 W,Bluetooth con Bateria,NA,NA,NA,Auxiliar,NA,NA,NA,NA
15, Parlante Jbl Go 2 Original 100% Nuevo Modelo Garantía ,2899,NA,465,14,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,829,https://perfil.mercadolibre.com.ar/LMS-TIENDAVIRTUAL,https://articulo.mercadolibre.com.ar/MLA-732396927-parlante-jbl-go-2-original-100-nuevo-modelo-garantia-_JM,693,125,10,0,1,#732396927,JBL,NA,GO 2,3 W,Pasivo,todos,portatil,NA,NA,184 g,NA,Tweeter,NA
16, Parlante Karaoke Bluetooth Usb + Luz + Sd + Microfono ,1679,2399,1077,47,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,85,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-648179703-parlante-karaoke-bluetooth-usb-luz-sd-microfono-_JM,60,18,5,1,1,#648179703,TECHNOLOGY LINE,NA,SBL10-KARAOKE-RED,10 W,Woofer,NA,Caja,NA,NA,NA,NA,NA,NA
17, Parlante Bluetooth Portátil Radio Usb Mp3 Leds 1500 Watts ,1999,NA,312,493,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,22,https://perfil.mercadolibre.com.ar/HELITEC,https://articulo.mercadolibre.com.ar/MLA-651682375-parlante-bluetooth-portatil-radio-usb-mp3-leds-1500-watts-_JM,16,4,1,0,1,#651682375,Helitec,NA,S6,1005 W,Activo,NA,caja portatil,NA,USB,NA,NA,Woofer,NA
18, Parlante Portátil Bluetooth Usb Radio Fm Charge Mini ,799,NA,163,14,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,7,https://perfil.mercadolibre.com.ar/MWPRODUCTSARGENTINA,https://articulo.mercadolibre.com.ar/MLA-736936659-parlante-portatil-bluetooth-usb-radio-fm-charge-mini-_JM,4,1,1,1,0,#736936659,Genérico,NA,Charge Mini,6 W,NA,NA,Caja,NA,NA,512 g,3.7V,portatil,NA
19, Parlante Portátil Bluetooth Fm Usb Celu Compu Control Remoto ,1190,1590,1314,443,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,161,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-739078010-parlante-portatil-bluetooth-fm-usb-celu-compu-control-remoto-_JM,106,36,11,5,3,#739078010,Otras Marcas,ALIV,ALIV-07,10 W,Activo,NA,Caja,NA,"Bluetooth, USB, microSD, AUX",NA,usb,Subwoofer,NA
20, Parlantes Bluetooth Thonet And Vander Frei Celulares Tablet ,3328,NA,16,432,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,317,https://perfil.mercadolibre.com.ar/ROITZSA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=rRpNnpci%2FsIq%2FxUCIxPLPMPjKsvrRZT7BOUI5fZLudT72DoDGExGYbLtWKBr3mZL4uGNxhPZiK9pxq7146A4yeJfVgHh92S8ARLF3PJWycfWTM5Xz2s5ExlnI34OeB%2FVrT7bsghYGxUPVGDZIOGhO7wYbeH1MzGnSNcn5AXMxaRsomf1eHxXVlrx4CbX2UqdFIUvDQbXQpsCc7dRnfY33P38w3ZmCLdh3Tkq0%2Bevf1MRMZX6wu750C3ZmuEYQkZU%2BacI%2Fw7xjsSp%2FkGUjS1qVq%2Fj6lVR2ZfXXZRzpKhfoMlayV6f2OQ612%2F5yxri7A0muD6wM94N7gHbMYxCzeCf8BUS4w6wKrxSRSOqyKyaihUthazM6aK5%2BBa%2F0O4%2F6nrvi0WcAJ26ulrt8y0WzOGgkXxGBsv%2BGjAP8M5RTwjAvLV0as%2FAw7xavJtSpfsF%2F%2FrEIaR6dtvIbTel1UuADDy2l5%2FVl26hoS3KwmfP1d2cUQQ%2BOXSr9pQRfuqVZAQvr2oh76uC86lPE22KnSimxJzSwPrc2IE1YwfSIkjZ%2FSGYZtMqW59ZWJqFmskJ2SgXTd4fhmieztAegjG1QJxbeL3OHvXQaHMrrT2yQ9Xk%2BXWFVBjteQTBfNjc3Dmev6BpO73uHWpSINSOcUK%2F2dDYSPhzs0uZbSnEmqMLi4NrPavqmRu21wRGXbbAIV36Tv0mX9GBU%2Fz89zLXMAdqE3xM%2FLesLm7WQ%2Fku%2FMMPgPSa4NKxEM%2FrZhl6DON0pRTNVPLLvU6Z7gQNK%2B56qxvVDMsSorCi67mnnKEcs3KnK2PrDLdPKzX5hbLtunMKSDi0ZJ27s5J6YDnAi3iFU3YGznPubfMWkM9hVxZ9Z5Xt2hPQnYJ%2FxwIwrNeszosfkUUhbHMMMKodcOlECF3gUv2ZQHNWTjPUnrPFobpeTl0kbY7Z9fhqPPqOLmcRUinCg5ui3k78JOhSt%2BjVmpNKSN2h1XpetZPivvLOAHuKisNU51k0UvL2SlApv1fGGu5i0BnvUSd3cGEklIVfUBzrTXQyQBBxBAl5CW%2F%2F5j2hW5QBOwVa9tdjKCFF0HS1dfTAC821niLVnOA%2BaKcX%2FgyK6f7sBjW0xwhYBzXRg0n694aoHIRUryIIn%2F3mgn4eT8363lBI70fCby4BoTY9nS%2Fk1%2Fn3SFFFgF58Bv8G%2F4YM6odf1Wb3hbRLleonxT7fM5A5NfJkJR8aTt6eh5ji0b25W52DWm9pIg3Hsb5lbXdAoq6STRjWvxqfTZdneWq1wk%2FCr%2FCbhykpn0RTcrjAM9Oww1gVAgGa3tE%2F8ApLz2EDHsgPbyCj132QYQl00vxk42AUO79A%2FeSjqLPHzIV%2BtsoD7jwTrnM8SA1F5w5snJOSwZXK8u1YH%2B7fNukDsKr8KazAcy64BRI5KzbIM%2BmbIVAZfprPvUIn2vlFEdkuOFDxmmyoTNPXsXLezF%2F%2FyHZNcBFPwShY1jnW2F3BJtNHhXys5q9fDumjb96g79TzHpbSaa6KZEuoh%2BLgSD5vrOUfZhiJ8eXP%2Becx67TZRJr7YJg5y%2FEQhQYWWGkRttJii3%2F61FgzQwFgevlZUBbENUlwtBOPZbf0vncXpnekb6Vay%2B0ce4w1mOS%2F9WRbwi8snaqtRnNStBmbZcJgf%2B8tYzvJSYRFraliJypAxHnZX4wl3C%2BQHIZl8xcHYkdAEUhVagzg6B28ihUSa8UtNCiqvLhC6NWVtt77SIUmVMrNJOWpiHt3ovVklLLBat08UGiAi8J%2Bn0jGln93EmNBf24sG6x7c2%2F54iSHVvTI8VT32iV9T241BCKwOCI%2FleZ328FloGHUHMS3WRDTk8TKTyTBA99bgXWmT9Tvsd8Bo5cVm1X0UM8mT8XE,194,88,25,6,4,#788967780,Thonet & Vander,NA,Frei,16 W,Parlante Portatil,Living,Caja,1.0,NA,NA,NA,Activo,NA
21, Parlante Bafle Daewoo Fiesta 12 Karaoke Portatil Bt 2200watt ,4299,NA,1007,808,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,60,https://perfil.mercadolibre.com.ar/OPENFACTORY,https://articulo.mercadolibre.com.ar/MLA-751148968-parlante-bafle-daewoo-fiesta-12-karaoke-portatil-bt-2200watt-_JM,44,11,3,1,1,#751148968,Daewoo,NA,Fiesta 12,180 W,Woofer,Portatil,De caja,FM,USB,8.5 kg,NA,Woofer,NA
22, Parlante Valija Carrito Karaoke Bluetooth ,4399,NA,285,13,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,14,https://perfil.mercadolibre.com.ar/JBD-HITECH,https://articulo.mercadolibre.com.ar/MLA-719694463-parlante-valija-carrito-karaoke-bluetooth-_JM,9,1,3,1,0,#719694463,RX,NA,RX-1010,35 W,RECREACION,"PORTATIL, CARRITO, VALIJA",Caja,2.1,NA,NA,NA,CARRITO,NA
23, Parlante 12 Portatil Bateria Bluetooth Gran Potencia 5000w ,6499,NA,444,403,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,61,https://perfil.mercadolibre.com.ar/BLUEWAYBLUE,https://articulo.mercadolibre.com.ar/MLA-611396474-parlante-12-portatil-bateria-bluetooth-gran-potencia-5000w-_JM,32,22,5,1,1,#611396474,Winco,Multifuncion,239-12,100 W,Woofer,Centro,Caja,WAV MP3,NA,NA,220v 12v,Portatil,NA
24, Parlante Portatil Bluetooth Noga Ngs-310 Usb Sd Fm Led Gtia ,279,NA,570,33,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,69,https://perfil.mercadolibre.com.ar/DALECL%C3%8DCK,https://articulo.mercadolibre.com.ar/MLA-633579521-parlante-portatil-bluetooth-noga-ngs-310-usb-sd-fm-led-gtia-_JM,36,19,7,4,3,#633579521,Noganet,Go!,NGS-310USB,3 W,Pasivo,NA,Caja,1,Auxiliar,NA,NA,Tweeter,NA
25, Parlante Portatil Bluetooth Mini Hongo Manos Libre Usb 3w ,449,NA,455,21,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,9,https://perfil.mercadolibre.com.ar/UNIVERSALSHOPS,https://articulo.mercadolibre.com.ar/MLA-750048172-parlante-portatil-bluetooth-mini-hongo-manos-libre-usb-3w-_JM,8,1,0,0,0,#750048172,UNIVERTSAL,NA,Portatil,12 W,Bluetooth,Cualquier Superficie,Honguito,No aplica,NA,80 g,DC5V23:51,Bluetooth,NA
26, Parlante Bluetooth Usb Mcsd Microfono C/cable Full! ,1679,2399,175,53,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,8,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-698611319-parlante-bluetooth-usb-mcsd-microfono-ccable-full-_JM,7,1,0,0,0,#698611319,Global Electronics,NA,SBL10,10 W,Woofer,"Living, Habitacion, Comedor",Portatil,NA,NA,NA,NA,Portatil,NA
27, Parlante Karaoke Bluetooth Usb Microsd Aux Luces + Microfono ,3189,3899,187,51,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,6,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-609304272-parlante-karaoke-bluetooth-usb-microsd-aux-luces-microfono-_JM,5,0,1,0,0,#609304272,Kolke,NA,Kpmm 221,60 W,Woofer,"Exterior, Interior",Columna,2.1,"USB, Bluetooth, microSD, Aux 3.5 mm",NA,NA,Karaoke,NA
28, Parlante Bluetooth Recargable Para La Ducha Resistente Agua ,292,NA,2063,6131,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4,33,https://perfil.mercadolibre.com.ar/ELECTRO+KAMALEON,https://articulo.mercadolibre.com.ar/MLA-685066598-parlante-bluetooth-recargable-para-la-ducha-resistente-agua-_JM,13,12,4,2,2,#685066598,Genérico,NA,SOPAPA DUCHA AGUA,3 W,NA,"INTERIOR, BAÑO, ESCRITORIO, CARTERA",SOPAPA,NA,NA,NA,NA,"BLUETOOTH, APTO DUCHA, BAÑO, EXTERIOR",NA
29, Parlante Kanji Harrison Acid 250w Fm Mic Karaoke Bluetooth ,3199,NA,376,500,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,26,https://perfil.mercadolibre.com.ar/4KRC,https://articulo.mercadolibre.com.ar/MLA-745411755-parlante-kanji-harrison-acid-250w-fm-mic-karaoke-bluetooth-_JM,19,5,1,0,1,#745411755,Kanji,HARRISON,Acid,250 W,NA,"Salon, Fiestas",Caja,NA,Plug,NA,220V,Tweeter,NA
