search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Tipo de funda
14, 10 Carcasas Magnética iPhone 8 Plus Por Mayor ,69.99,NA,0,9,6,11.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALONLINE+EIRL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=a1aaapAtCQBKYbGRFXGvEndc5X9bXt8WwGKIO9SP1PFpcfHupkzdPyLiIQDEA03LdsXap9Evcx7LpNMGGxkubme8FtpGUAwimx1A14sIDS31tNpRd2qcqUapt1Kz4T4eG43HUF02y3yi%2BnqAQ9j583qUaGrRgC7kHjy3lMeAao2VZeJA8c%2FCBzAvMfT50T4qIoNIH6LnUdcasXuzJ83SFyCBxnfOvT2LLgfVIkX8s%2Btn6%2FYzF5BiKkNLvi%2BNE%2Fsr%2FpuBzXCqCrsKE7FHJRA1iSVs5kmr5UCsZzCXW6UYegVXEs0AzCarQ%2BjD07RvsCLS0suSMuz7eruRfu0Hs1lyYlEyTXqHxlgl7wlGGQbkp6llTcV71d4jfdBVKXUgLqOe%2FVwEYSN5Vh1rqvN7HxoutbsL92KFDVam0FoOAAY%2BeRUtA94jBUEuuABZAhVr8Fbk0dDLSCDDxLvVIY7zDGxsYxZoxl2MITelwqAxH52meWOLyfEjKsCb0VW0hzpsXsAjujAhive7w17AI9KNJvyetGKy1dCfHt3PXI4AxujuOOK%2FxsilUzKMbIsbqP7P8wkSrqPFS4%2BVd8iQNjNgKai9acyGR3cLuRKb8BpeKQFVcdvhK%2FiSRJ1x5qzkZx9y4Q7YYXvdRP97fqEmtkVYYW9jk465ShJk4AtgrVYDO%2Fp%2BjIEpbAiwPvuV7YCjibeXv0CJJdsteeoCs38NtBlR01ykoAaX61e1Y%2FsPtSrh3ywkzMRntRXJsTbA7wLbeP1vka4Ld32wJBfDV3IurrsbCAN%2F%2FozXDIV2pA%2BuiueuNPashko6cWo%2FHBYd4V%2FKyClPnKIgM87WMlZunJ66SirOJvxOeLYW4pzK6rYacjw7V1zibpWhYl%2FceAlVq3CYs1qZCx11er7r00repoJbQQk0aGdgiDtxz8Pj%2B%2BCZy96pvLQQB6XwPeCLI%2BYuXPfKhy%2Bon%2FazBTF8R0UR4O1kG6gG99KIQY6KCTXvK0uH4yC5OO8ImLcL2FSVMdrtXNK5Y%2BD05p%2F4yKaOVJLNgFoYkidBQMNyqGyjdmFlesPSQ6QSZDpAAN2%2BGmlqMaHY3xMrKI9YVmfQ7o%2B0DwtGo%2Fff63CKoZJ5fGaTzqYGx9nMZbtcR8aomIbKq4yTRxuAtENWOVK8IqAa6kpdz%2Ftn7Zf4dm3jw%2FQbndshLm%2BeyFnt91zHGlvrRJJzkFmGnzdPb%2FIauOVABGehp8FzRlyueIAuZfzTNb04OfPnt2ijrb0e64Jr7fCYzLSSe224LI3Zvidqex49eG%2BWSh2BZuonQ1YJKQitxM%2FIf5NDQknkpyzPUaW8OuZZm5VCHn9JQYRcuXByLn6ovqxhwGd5WkKjWe1RUR17%2FpaY%2FhvDQXAbC1t5nC7n4hC%2F7Q2Y%2FPcYdFHy4p7dhPOJq3CehzpbY8ginIrjbXZMz0sBMZrbOnHbk4kJmejLTFbsDyvvsC4kLMKAPRCuJBmg%2FMNGF4jId2ue63lkkU4TcPq086W04DimSIP1fNG03Klo1hmSumGZA3z%2FVvooz1EL9IWoS9bWRw%3D%3D,NA,NA,NA,NA,NA,#471393023,Samsung,NA,Carcasa
15, Carcasa 360° iPhone 8 Plus 7 Plus + Lámina Negro 3 En 1 ,9.995,NA,35,4,6,1.666,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452824745-carcasa-360-iphone-8-plus-7-plus-lamina-negro-3-en-1-_JM,1,0,0,0,0,#452824745,Apple,NA,Carcasa
16, Carcasa 360 Magnética iPhone 8 Negro Plata Digitek ,11.99,NA,1,9,6,1.998,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITEK.CL,https://articulo.mercadolibre.cl/MLC-470861069-carcasa-360-magnetica-iphone-8-negro-plata-digitek-_JM,NA,NA,NA,NA,NA,#470861069,Apple,NA,Carcasa
17, Carcasa 360° iPhone 8 7 Plus + Vidrio Templado Rojo 3 En 1 ,9.995,NA,8,8,6,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452825550-carcasa-360-iphone-8-7-plus-vidrio-templado-rojo-3-en-1-_JM,NA,NA,NA,NA,NA,#452825550,Apple,NA,Carcasa
18, 10 Carcasas Magnética iPhone 8 Por Mayor ,69.99,NA,0,9,6,11.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALONLINE+EIRL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=3AJTjIo7cWY98dHTSWSZ1sduP2bR9h7gle0pGM%2Bv%2BUYa86092F12PtMucWbd7IWhPpwWQTbO31wEd9Ixx9wu9C3qNCpFwV2l%2BPJugQssci2YgqxuNFpCv1q%2F3DnzJDhyj5bVVM3d%2FzHGtquaSai6yDVoFsGfknqZmqbJf%2F46QC%2Bbac8zImuZ6BfRx%2BgeftqlSszmMrdrjPS%2FD9T%2FLn%2F%2F5MYc2XdtKPXImGZwBgErelFP5Rn0SatHdXEzv2mPHh0D2ojmgy6SYR0fytaZt8y7B3KMOvfyveB9QClyi9zSMGbwCH3LyYpoKxjGDOP8G6x9VnK%2BJg10MrHreSO6%2BTV91PvM0iA%2B7rH0Zb3UgsT2kHPxz%2FOi5tcfMQ4Fjjt7%2BTbwvFgtzKAzs8EDJhsOpAu3YuJnnQFwICzPYV4Rb71%2BSRss6BzsKhviNSq%2Fe9mPPxD0w1%2FavifhRluryNG8DT1l6oqgGWAatVOMslzJLnKDQ7Vp1jUiwHMUt6m1UDIfeQI3LtgAzbSeluvYNT7WdjbJJtOn%2FcLmtOGDGwRh7jqjSYTPIkPUvLno5G9%2Bvzcmox4Xe4HewMnMypxUIQtyw37KAIADYcGtLgsr860eLd%2BheOPfCr%2FVA1Vz3GZToqTrfRWhkj%2B6SQgqE0TKnr9tCBnJIQW9OrsXLL5TcJ6BHustNu8IybKmJloDDAqZwGsLgt65ioq4GzH3ajqyzJru34%2Fvoa6GxpUySusdcFfRRiUdM7w0YCLq8xNIna4IiLMLHug1wnvU%2FPI6%2Fu79ScpbRfQa0TFPKlDWgp5q%2Bo201fxyiuBSYpkMDnTy40HZHHUsLPpvVfnOSSw6%2BVD%2FgI0RGiKqzBTLl%2B24YeeIttgcLUK%2F2L4P4X4H9zZ4HOXiiXNDpTLNCTByvsGw3eCMgCKKR%2F7lPmLYGGUwCT6gsVQNcJFaVXHr83hWmFX3ldWsCdU%2FGwQsBIupddjfqAdw%2BfsJhUFmdhvNdUOEsQe16Dx7La4XGhXeO5Id0iF%2B5AyHuokQHDdLai5Mh2MbzutWMdOliNs%2BMr8NloXHFshsd3etJuA4uW38NX8bmOoT7z1xCB7R7cvidOCCU6nUrWF7LHa3bf65fQCUHAYnFW9nZxS4fmomM8wINsW9%2FAf9SiX%2Btz6KTVJ6H213vG%2Frlv5LVVjMeuHy1IRt5wUPOV0YLcHowA4tuOfAmIBxY2wpIzVBxrdYc3z96nBfaNqoGc6%2FzNg35zz5HrHMi7FdNcYVyXo40muI12wLidUzS9J2BXehgZEj3tUGStaKN%2Bdm6Q3d2QVi4skeG6zJ1RuhFd9JTDKkgLat6U1uUCRcMYVs4vXi7tllyUXFtMssIBDtMXdYu96UvpVIIex8xVv7sJPNLve2aRzOI4To3%2F5ks6XTps4WVc6dFfTjLk3oxALI1WcHuAGIME2MSAC1phZnNFLCIIq82VNS%2Bh8zFBVKBwr78nALwLRL5W%2Bee3ug%2FXovjBGCJw87D70SMdjkOR%2BpxCSySppxhDoJiAB6ksPD17NfXvxi0jIurzM%3D,NA,NA,NA,NA,NA,#471392962,Samsung,NA,Carcasa
19, iPhone 8 Carcasa Silicon Flexible +lamina Vidrio Templado ,2.99,NA,8,3,6,498,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/PLANETMOVILRM,https://articulo.mercadolibre.cl/MLC-453689948-iphone-8-carcasa-silicon-flexible-lamina-vidrio-templado-_JM,1,0,0,0,0,#453689948,Apple,NA,Carcasa
20, Carcasa Madera Personalizada iPhone 8 I 8 Plus I 1 Diseño ,6.99,NA,2,3,6,1.165,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VENTAS+ELECTRONICAS1,https://articulo.mercadolibre.cl/MLC-474287055-carcasa-madera-personalizada-iphone-8-i-8-plus-i-1-diseno-_JM,NA,NA,NA,NA,NA,#474287055,Apple,NA,Carcasa
21," Carcasa Silicona Flexible Transparent+vidrio iPhone,6s,7,8,x ",2.99,NA,13,3,6,498,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PLANETMOVILONLINE,https://articulo.mercadolibre.cl/MLC-443654966-carcasa-silicona-flexible-transparentvidrio-iphone6s78x-_JM?searchVariation=38894930108,NA,NA,NA,NA,NA,#443654966,Apple,NA,Carcasa
22," Carcasa Ultra Delgada Transparente Para iPhone 7, 8, 7p, 8p ",3.1,NA,3,1,12,258,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ONNYA,https://articulo.mercadolibre.cl/MLC-493413357-carcasa-ultra-delgada-transparente-para-iphone-7-8-7p-8p-_JM?searchVariation=39078410306,NA,NA,NA,NA,NA,#493413357,Apple,Apple,Carcasa
23, Apple iPhone 8/7 Plus Case Eton Premium Nillkin - Webphone ,11.99,NA,2,8,12,999,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://articulo.mercadolibre.cl/MLC-475197980-apple-iphone-87-plus-case-eton-premium-nillkin-webphone-_JM,NA,NA,NA,NA,NA,#475197980,Apple,Nillkin,Carcasa
24, iPhone 8 Plus / 7 Plus - Case Carcasa Dorada + Lamina Vidrio ,19.99,NA,1,32,12,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-498947321-iphone-8-plus-7-plus-case-carcasa-dorada-lamina-vidrio-_JM,NA,NA,NA,NA,NA,#498947321,Apple,"Original, Legitima, Auténtica y Genuina - Fabricantes: GKK, Nillkin, Lenuo, Mofi, Goospery, Cafele, Enkay",Carcasa
25, iPhone 8 / iPhone 7 - Protección Carcasa Roja 100% Original ,10.99,NA,2,33,6,1.832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-492398182-iphone-8-iphone-7-proteccion-carcasa-roja-100-original-_JM,NA,NA,NA,NA,NA,#492398182,Apple,GKK,Carcasa
26, Carcasa Protector iPhone 7/8 Case Funda ,4.99,NA,1,NA,12,416,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CRANDEP,https://articulo.mercadolibre.cl/MLC-479552127-carcasa-protector-iphone-78-case-funda-_JM,NA,NA,NA,NA,NA,#479552127,Apple,Ugreen,Carcasa
27, Carcasa Silicona Transparente iPhone 8 Miaustore ,1.99,NA,3,7,12,166,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453749078-carcasa-silicona-transparente-iphone-8-miaustore-_JM,NA,NA,NA,NA,NA,#453749078,Apple,NA,Carcasa
28, Moshi Sensecover iPhone 8/7 Funda - Beige ,95.994,NA,1,NA,12,8.000,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-498522350-moshi-sensecover-iphone-87-funda-beige-_JM,NA,NA,NA,NA,NA,#498522350,Apple,Moshi,Flip Cover
29, Cafele Carcasa Magnética + Vidrio iPhone 8 Rojo ,13,NA,2,NA,12,1.083,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CUATRO+GLACIARES,https://articulo.mercadolibre.cl/MLC-481798379-cafele-carcasa-magnetica-vidrio-iphone-8-rojo-_JM,NA,NA,NA,NA,NA,#481798379,Apple,NA,Carcasa
30, Carcasa iPhone 8 Silicona Original ,19.99,NA,1,1,6,3.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/REVOLUTIONGAMES.CL,https://articulo.mercadolibre.cl/MLC-493798391-carcasa-iphone-8-silicona-original-_JM,NA,NA,NA,NA,NA,#493798391,Apple,NA,Carcasa
31," iPhone 6s,7,8,x Carcasa Silicon Flexible Transparent +vidrio ",3.99,NA,8,7,6,665,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PLANETMOVILRM,https://articulo.mercadolibre.cl/MLC-434113945-iphone-6s78x-carcasa-silicon-flexible-transparent-vidrio-_JM?searchVariation=38892923452,NA,NA,NA,NA,NA,#434113945,Apple,NA,Carcasa
32, Carcasa Ultrafina iPhone 7 I iPhone 8 I Diseño Original ,1.99,NA,1,2,6,332,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VENTAS+ELECTRONICAS1,https://articulo.mercadolibre.cl/MLC-479132417-carcasa-ultrafina-iphone-7-i-iphone-8-i-diseno-original-_JM,NA,NA,NA,NA,NA,#479132417,Apple,NA,Carcasa
33, Flip Cover Rock Dr. V Series iPhone 7 / 8 +envío - Colorcell ,15,NA,3,4,12,1.250,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COLOR-CELL,https://articulo.mercadolibre.cl/MLC-440311793-flip-cover-rock-dr-v-series-iphone-7-8-envio-colorcell-_JM,NA,NA,NA,NA,NA,#440311793,Apple,ROCK,Flip Cover
34, Apple iPhone 8 64gb + Lamina Y Funda / 12 Ctas - Phone Store ,719.99,NA,28,872,12,59.999,NA,Envío gratis a todo el país,NA,NA,4.8,40,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-450309223-apple-iphone-8-64gb-lamina-y-funda-12-ctas-phone-store-_JM,34,5,0,0,1,#450309223,NA,Apple,NA
35, Carcasa Silicona iPhone 7 iPhone 8 Apple Colores | Maxtech ,8.99,NA,75,5,12,749,NA,Envío a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/MAXTECHCHILELTDA,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=BRiJavS4kR87yCABCFgUe5yFIGs7BJMENy1incVf3t9uU2OeSwNmSNRiaHPGUUhMUQvv%2Fs9YnR%2BZwhx14YPlDmc65v20OPnoV%2FEPXqHYcfk0GCUdbvRe8HLNU%2FxZHvpDs3CoyFrarTuTouvFmSrec%2BQwjpuJ97E3YDGnslYmuxXXwvtld3q1l6ay%2BSRwSFPWDGifd61AS4AvgSiKuvqF4M6zg1o5SLvEK6yzuQCm7COYA0mUHfnJTlvKc5qKfkRjVlraZlswoA8FQc0DkBVVi26H9osNhKg%2FSG%2FLgI9VQvwx2%2Fg4k5dSCDHubD8yYslUnEQ7lyfHSUvVCL3OcQz3GBGLLCy%2FRAPDeIwYu3hvIAlrE7tBgM87tNSutv0rPDWtc0fiVH2q%2Fp7LqzKpe5O8ygrOLAm8IU4QbbBAMI9lLoelQFMocJqtgLMPutosOMwdQYnXJCmKkrm3L4CsytIUFkgM%2Bk2aeWeaB7oEg4oIwU%2BTV8vPwoufb%2FN2jZkxZGs4c5IBce40avbWi4U2Oj5e4%2FfXIVIjuOuXvZkEiN2JxkhDcpMkqKwBZjJIODO2akMCvCL%2B9EWToZmduRHosGYpGAERql59C0RkjqhPwXNHrea3uWzxZd%2F%2Br3dSWGOuk3YRz7mlndGxSWQKdCHHRpOrBvk94RwMGqIfMeJhR9LIbclNJarPT9NhNH0bEY%2FowKt5pImgZAkgMSbRS27wtJMPlHrvLrCrCfuEnVPHOTleloLrK7NWLdCvXklpz1tnJMNXBrceEDcZczAil1ZJavrdHjjFF%2FH%2Fji7IxqFBj5UX89I6vZibJ9%2Bc0knrUMrU6EYm43nmICT%2F4IH6KvIEne36XhAuPzTrX71Mcv4U3FD5fYQfVK4dMcRtbKpr2bwSkZaKmjYwJVxoAnOl1NmjgkDY3aKEspkTeSItWE%2FE925uewdaDhaEzemZPMOdI259Qx1XThIhsGw8c0wc32RhnSf0GXdy9O0c6M8GLVQXns1jLaco4vhc9qb%2FjPne3JY8UGSMw6QUSevgqRLu4RepUErE%2FKBDXI2P6px5LZKoX12p%2Bk3vkvBaU3exsTsPa2CrS1M3znNWdXuY1gDFG01yD2v7chlPdTx5S4WPN%2BfJbfzUFfENmbGN%2FlM0aszzqSX%2FXmfEyyuKKJz4KZTa5%2FNssOwyU5FO6MWLxFeAa47av5mHRQqjwUzrKFO5jN3HcqPpJsPjymnfuongA1pVQ02RHVRPRw825nICFJZLQBk3tL40ZV%2BNA5sPWNyVTDkC10H8LjWFzBJyySpy1v78%2BRZtiJzxOOFgIwl8ojSm0pCSEQwXeMCbhg7n%2FPz7rqiqvEf4ypSqKjjXsB1%2BnWH1pV7MAhvgutzuJy%2FfQhVZ7DnpITwRT0Quc7StoLEPR%2BemX0kOcQvfqUsJEVdGueR73xEdKfeoQWNkToylH1U3BwQXu0yP%2F0J2gvkRUIyuXg%2FKm%2FP4cWZIRhG%2FTCkWpx9j2wBTOFYcpog927TPXP96k8RvD9Z%2BARKf2a1k99kGWQwamZ4n8IQNCjljuolpTcu%2Fq91ATmqF,3,0,0,0,0,#441102468,Apple,Apple,Carcasa
36, Carcasa Funda Silicona iPhone 7 Plus / iPhone 8 Plus/ Celpro ,3.99,NA,14,86,12,332,NA,Envío a todo el país,NA,NA,1,1,https://perfil.mercadolibre.cl/CELPRO_CL,https://articulo.mercadolibre.cl/MLC-454559641-carcasa-funda-silicona-iphone-7-plus-iphone-8-plus-celpro-_JM,0,0,0,0,1,#454559641,Apple,Genérico,Carcasa
37, Carcasa Funda Silicona iPhone 7 / iPhone 8 / Celpro ,3.99,NA,6,30,12,332,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELPRO_CL,https://articulo.mercadolibre.cl/MLC-454559323-carcasa-funda-silicona-iphone-7-iphone-8-celpro-_JM,NA,NA,NA,NA,NA,#454559323,Apple,Genérico,Carcasa
38, Carcasa iPhone 7 iPhone 8 Poetic Carbon Flexible Tpu Negro ,12.99,NA,1,NA,6,2.165,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/BSA_STORE,https://articulo.mercadolibre.cl/MLC-490109231-carcasa-iphone-7-iphone-8-poetic-carbon-flexible-tpu-negro-_JM,NA,NA,NA,NA,NA,#490109231,Apple,NA,Flip Cover
39, Carcasa 360 iPhone 7 Plus Y iPhone 8 Plus - Tecnostrike ,15,NA,3,17,6,2.500,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-470876449-carcasa-360-iphone-7-plus-y-iphone-8-plus-tecnostrike-_JM,NA,NA,NA,NA,NA,#470876449,Apple,NA,Carcasa
40, Carcasa Metálica iPhone 8 7 Negro Lunatik Taktik Armadura ,23.99,NA,9,3,12,1.999,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452413396-carcasa-metalica-iphone-8-7-negro-lunatik-taktik-armadura-_JM,NA,NA,NA,NA,NA,#452413396,Apple,NA,Carcasa
41, iPhone 8 Plus / 7 Plus - Funda Carcasa Dorada Protección 360 ,10.99,NA,0,33,6,1.832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-492274577-iphone-8-plus-7-plus-funda-carcasa-dorada-proteccion-360-_JM,NA,NA,NA,NA,NA,#492274577,Apple,GKK,Carcasa
42, iPhone 8 / iPhone 7 - Full Carcasa Funda Original Resistente ,10.99,NA,0,33,6,1.832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-492182033-iphone-8-iphone-7-full-carcasa-funda-original-resistente-_JM,NA,NA,NA,NA,NA,#492182033,Apple,OEM /Apple,Carcasa
43, iPhone 8 Plus / 7 Plus - Carcasa Funda Original Resistente ,10.99,NA,0,33,6,1.832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-492182036-iphone-8-plus-7-plus-carcasa-funda-original-resistente-_JM,NA,NA,NA,NA,NA,#492182036,Apple,OEM /Apple,Carcasa
44, iPhone 8 / iPhone 7 - Funda Carcasa Dorada Protección Total ,10.99,NA,0,33,6,1.832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-492274582-iphone-8-iphone-7-funda-carcasa-dorada-proteccion-total-_JM,NA,NA,NA,NA,NA,#492274582,Apple,GKK,Carcasa
45, 2 Carcasas Magnética iPhone 8 | Negro Rojo Plata | Digitek ,19.99,NA,4,NA,6,3.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITEK.CL,https://articulo.mercadolibre.cl/MLC-463128876-2-carcasas-magnetica-iphone-8-negro-rojo-plata-digitek-_JM,NA,NA,NA,NA,NA,#463128876,Apple,NA,Carcasa
46, Carcasa 360 Magnética iPhone 8 Plus Negro Plata Digitek ,11.99,NA,2,8,6,1.998,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITEK.CL,https://articulo.mercadolibre.cl/MLC-470860909-carcasa-360-magnetica-iphone-8-plus-negro-plata-digitek-_JM,NA,NA,NA,NA,NA,#470860909,Apple,NA,Carcasa
