search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Formato,Modelo alfanumérico
489, Audífonos Bluetooth Bluedio T7 - Cancelación De Ruido ,249,NA,1,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DIGITALZ+PERU,https://articulo.mercadolibre.com.pe/MPE-436534371-audifonos-bluetooth-bluedio-t7-cancelacion-de-ruido-_JM#position=15&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#436534371,Bluedio,NA,NA,NA,NA
490, Huawei Sport Lite Audífonos Bluetooth Inalambricos Original ,189,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELECTRO-FIX.,https://articulo.mercadolibre.com.pe/MPE-433447578-huawei-sport-lite-audifonos-bluetooth-inalambricos-original-_JM#position=16&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#433447578,Huawei,NA,NA,NA,NA
491," Bluetooth, Stereo,wireless, Audífonos, Extra Bass, Sonic ",54,NA,1,49,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/EL+RINCONDELCOCO,https://articulo.mercadolibre.com.pe/MPE-432605287-bluetooth-stereowireless-audifonos-extra-bass-sonic-_JM#position=17&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#432605287,NA,NA,NA,NA,NA
492, U8 Audífonos Bluetooth 8 Horas De Bateria Sonido Stereo ,40,NA,11,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MARCIALZANABRIARIVERA,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=Q3UXzER0KBd7GOzNpWOmRg9Msa8IMA90i4mzbGvFwBZukAIB8RVhd%2Bl41YU%2Fyp5uF1t2P9j%2FqIYwWXk1F6fzAgGjRLKtTgJXtHRrgxIpF1mwyhT%2FVl9koAFrQHuV7ZKyd%2FDM9weWYc9P1BduKMWMRGMBhv9OpVnS7ucxxy2iaLpWaoY7qXfnRPlQsmzgQqqdsgb382Z7ExMQ7XqjTQzTYOr7GMY7aYvZFhkgbLMp7W9wCDzAQNY97PPWSmQ1yR4oOr9Ph8J50B5eTU1jwhrCT84K4vBdy1JSe7FKjOIQleDz%2FvuaT3%2FnCsHs2e%2Bxkk8CpwnEAW7SVtDMp5TExHyePewzqtBY5W6zTBZTp3r%2BE5p6p3hxna7%2FpMldRfqcAAJG49PWO9Dme%2Fqq2cCoiHqexPOaFzuytR1RXxpNE2ojTDvkAqvUxA6daHPn13LKCyKoGVz4bwQTTukmTMJmhKi5pOPpnyUkFdKz6eMIUbhN2gxiCRyvi48HZ3MkiFxO2ONI2Gjpf6Ez2Hrh3Xma%2Fkrpx86gdTEYLYt6NWzvjsfoze%2FNhzX%2B0ZpYDr3Br%2B%2BTnmDbA7Guf4oXSAZkbYmEfR3wDMAMTs6GXhDYCm9OE0u0%2BCIAfQQUk0%2B0s9pfhwmYBfhDj1gqFuy%2FJ1dPvyn%2BOrNsYd5Mgxcmv%2F%2FYr5Q0b2DDO%2BggjuVO9B3oxylk09UpsLNdgIpEpItOFV1d7Std8Zm%2Biy2mA%2BerbaCbm7NSyYffCLH8lzrgTemRsKVB8Y4CFuYb0qchN3nWvp3mxp%2BSgFdOnGtkbfUbwQGq2pDhaWwuARwuZxwxgVoWPKq1mr5kGzt14zJp5F%2FoPe61NGFxTKsjf5SxGmt8JSyHhMCD1TUCwsa0yZUKhf%2FMOo2YQAFBxkxOHi2xpjFNwSAf6Lm6pKT21x9ih9BoZ9f6MVljbtesch3N3l6U2b3nzODgBK0bb90g5qytLKBPybRycPaYtWp4fIkArsiyjG3%2FXWCrrFHyTiRjdpSGmRC9llMpvimJYS8uBjXU88gVFG9h5LmexT1P0kPwzOQOCMpDredTG445mBxSSxcTIID%2F1swjj42Kk0AmOyNFEwWojqtr3qy7aNgyiarfaiUyZyndOtYKHq3AovAETlxBt28JT4fKb9DVCm9HsijO%2FdiqW29Y7s80xp%2FMWRKdlW9zzvI1ziQdvG%2FvCq8kpJ%2BnKy%2FJ0UPYn5j1BP15vQhbxlzfZGKeKeZCyUd%2B1v80jAW80yTLBAsrjESYNpWn%2Fb8OXSU4YdvVUE13QztM8pL%2BLarCpzDMgxpi%2BBhDWJfvTWeuXzsmCYMuPnduqn%2FkQu4V06yM71Pmvo1uBt1%2BnPJm7N4YRDYo2XAsqbPkpN3xVAUPiX2mK%2Bil7OL9mnyKl9wicMSI60DDGoRBbLHNcHCTXzl4Sc9FKce6MvDngugNR5C17%2BMshTZpviaE9PgRmgAIZV6sAQrPs9zCTEYyOMipXwVBqsrGoLbezG%2BjIQglcidD9MIEPmGF%2FMj9ioIdvjRg3yXZKHXirrkyzsDqi%2FRKliZGL%2FL%2Brpiavt6NZG2rx1L4hUu%2B%2Fpp%2FQBd8hfILRsdMjK114xNsYUqQIGEG4H6VqJrw1bDT40syRAkorFFU2wAeiNeIDrnmTSLMxyy1EF%2Bc6eIhKAjL3k6w6GyyBaKalqeWDqH2%2BRSGjRzhhTi%2FVlm%2BpzEI%2BVrsSUXMCE0SKhVYVAI1XhD7aa5qNPHY7aeDwFVSEkr7H1OLmBI4WBld4wM%3D,NA,NA,NA,NA,NA,#434431093,NA,NA,NA,NA,NA
493, Audífono Bluetooth Deportivo 10 Horas Bateria - Movisun ,55,NA,45,65,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TODATECNOLOGIAPERU.COM.,https://articulo.mercadolibre.com.pe/MPE-426344282-audifono-bluetooth-deportivo-10-horas-bateria-movisun-_JM#position=19&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#426344282,NA,NA,NA,NA,NA
494, Audifonos 4 En 1 Marca Ewtto A4620b Bluetooth Carga Solar ,54,NA,2,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONATECPER%C3%9A,https://articulo.mercadolibre.com.pe/MPE-426801011-audifonos-4-en-1-marca-ewtto-a4620b-bluetooth-carga-solar-_JM#position=20&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#426801011,Ewtto,NA,NA,NA,NA
495, Audifonos Bluetooth Ergonomicos / 5 Horas De Duracion ,40,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HANNZOTIENDAONLINE,https://articulo.mercadolibre.com.pe/MPE-436111474-audifonos-bluetooth-ergonomicos-5-horas-de-duracion-_JM#position=21&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#436111474,NA,NA,NA,NA,NA
496, Bluetooth 4.2 Receptor Recargable Audifono Hands Free Carro ,22,NA,6,19,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WWW.DATADATOS.COM,https://articulo.mercadolibre.com.pe/MPE-430051485-bluetooth-42-receptor-recargable-audifono-hands-free-carro-_JM#position=22&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#430051485,NA,NA,NA,NA,NA
497, Audífono Bluetooth Llamadas/música/dobleemparejamiento ,27,NA,4,78,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECNOLIFEPE,https://articulo.mercadolibre.com.pe/MPE-431039517-audifono-bluetooth-llamadasmusicadobleemparejamiento-_JM#position=23&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#431039517,NA,NA,NA,NA,NA
498, Audifonos Bluetooth Para Apple Y Android Hbq L7 ,20,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANITA_ARROYO,https://articulo.mercadolibre.com.pe/MPE-435651073-audifonos-bluetooth-para-apple-y-android-hbq-l7-_JM#position=24&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#435651073,NA,NA,NA,NA,NA
499, Audifonos Bluetooth Twinbuds + Estuche De Carga Klip Extreme ,149,NA,0,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434380127-audifonos-bluetooth-twinbuds-estuche-de-carga-klip-extreme-_JM#position=25&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#434380127,Klip Xtreme,NA,NA,NA,NA
500, Ihome Ib82b Auriculares Deportivos Inalámbricos Bluetooth ,189,NA,NA,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PUNTOSOUTLET?brandId=168,https://articulo.mercadolibre.com.pe/MPE-436627973-ihome-ib82b-auriculares-deportivos-inalambricos-bluetooth-_JM#position=26&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#436627973,NA,NA,NA,NA,NA
501, Audifonos Jbl Bluetooth E55bt Quincy Jones Edition Original ,589,NA,2,18,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432337209-audifonos-jbl-bluetooth-e55bt-quincy-jones-edition-original-_JM#position=27&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#432337209,JBL E25BT,NA,Endurance,NA,NA
502, Audifono Bluetooth Motorola Pulse Escape ,150,NA,12,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.9,20,http://perfil.mercadolibre.com.pe/ATOCONGOMULTISERVICE,https://articulo.mercadolibre.com.pe/MPE-433118617-audifono-bluetooth-motorola-pulse-escape-_JM#position=28&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,17,3,0,0,0,#433118617,Motorola,NA,Pulse Escape,Over-ear,SH012
503, Audifonos Bluetooth AirPods I12 Tws ,96,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CTPPERU,https://articulo.mercadolibre.com.pe/MPE-437623040-audifonos-bluetooth-airpods-i12-tws-_JM#position=29&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#437623040,NA,NA,NA,NA,NA
504, Audífonos Bluetooth Magneticos ,19,NA,1,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SANDRITAMEDIACENTER,https://articulo.mercadolibre.com.pe/MPE-436361568-audifonos-bluetooth-magneticos-_JM#position=30&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#436361568,NA,NA,NA,NA,NA
505, Audifonos Bluetooth I7s Tws Portátil Apple Android ,49,NA,0,90,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONATECPER%C3%9A,https://articulo.mercadolibre.com.pe/MPE-431604425-audifonos-bluetooth-i7s-tws-portatil-apple-android-_JM#position=31&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#431604425,Apple,NA,NA,NA,NA
506, Audifono Bluetooth Sony Whch400 20 Hrs De Duración! ,135,NA,1,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AMORETTISTORE,https://articulo.mercadolibre.com.pe/MPE-435653234-audifono-bluetooth-sony-whch400-20-hrs-de-duracion-_JM#position=32&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#435653234,NA,NA,NA,NA,NA
507, Audífonos Deportivos Bluetooth Gt K4 | Envío Nacional ,25,NA,1,999,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GOBESIMPORT,https://articulo.mercadolibre.com.pe/MPE-434701586-audifonos-deportivos-bluetooth-gt-k4-envio-nacional-_JM#position=33&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#434701586,NA,NA,NA,NA,NA
508, Auriculares Avengers Bluetooth Niño Inalambricos Recargable ,279,NA,0,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436365777-auriculares-avengers-bluetooth-nino-inalambricos-recargable-_JM#position=34&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#436365777,Ekids,NA,NA,NA,NA
509, Samsung Galaxy Buds 2019 Audifonos Inalambricos En Stock!! ,499,NA,4,197,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,6,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=XJL55VgdmBFN5G4sG%2B828Px%2B7L50jPLJxBZm2fmvvY6NzdWsd20N8gfgFMC0UXtl2hJP9eMmd%2FX8DGQuyDLBCCxZwt3EN37kDWBs4QA1K4S9ya9Rr7NwemHTJ%2BbqHOgNlx6Tym5B5J0SJCbY5slbwz4gHPPMqiVA4bR15BCPzvu9gfyvtJFfyzEhA%2Bpp7kXqlOu5vFtr9SCa309rECYquJnHMwLJL4DumGxCMaA6ik06kv8jWY8Eo%2F93bq1%2BszEMz%2FRGEYXBrKF99HBr3c2UBM21ESBuCEN62hHBKqq2IkzfeKOONorMQnTojDx6FXC%2BmjXJoa8oSh1rtUsNL6HLnPqZ3ymkWVdcZHrqwGq1P%2Fg8uZC0h2v4sU84%2FlBh8F2fiMrUjXeQKuuxjJPmh8OjnCPkWGM0H6v03NuTPVJa3DDhYmW0l98KPusN4e2VCN%2Bt17kto9F9uYR15jZ9V3Gor2UZ1eEhpEhgtOCKQhUOuD2oRx3OaWXGgBoocKSXONcDWjuQjD3acAD6hb4HhR3dv4kHT8IovnLFVCqm3rHHzpWL3oVriWVdDbpe9CSGaSfkssEtgivDN1b%2B5d46NQvVllwZSxx08YSaFcmXwfSs3%2F1uWSIMl7oscNqohjs3bPM399yUp7W%2BRANG1oBrb%2BYr%2FmPNESaGQFHh1Y5Sjl%2FAb3BLSaZuZgvyf08CWZy9zYDgwT4uhnL4depDyCAHHlTfXja%2F0Mw2%2FjyuL7sTRXEVlqIPv7Vi6PByGhJAIQWoxrTOEHLnXnV95apNtgBAaTiNv8ud%2Fccwu2Fc43%2Bf9K8BcZ6M7A8gjK%2FM%2FYglm3v7CfhOEkRNMT193tjIda4XhmwAVlruhh%2FbFOvPdh%2FhtqHr7NsjgIVMwIa4ILLnzWtv1QPdC7vcLitHBaaRVFYCXQcsBy9FD%2BzYbutHmO7GWxZQCHntTUpiwo6E5fTUybUFX0yfjrf8twPog0wNkD3EXa5E28ApL8J8%2F%2FmX%2FMor8JK0WUQ03hcGtSO%2BQ6QL5MGkoEvD1xV463sMHHNvGHK7vsraOxdZhnQmYawetKY5OPusnFyTwI7SXzPp%2F80JSXBJK7gQndn5Qqi8t%2BL2RzLSQoBd89THHcjex4Gz0qCuIgoaiV8k0%2F1bajOTFa8FLW5z42kTZFGtw90ddZCr16E5%2BLCLSltu5S5uOND2uPGK3WP3pvaIHX1WXE915lLU7Pbp%2FmQhi%2FhgQdUVnfT3IG9Oc7L0KNujtKMWZ20vMPJjLK%2FuGNjFepWUOKrI6FThyumbXihcfg6bIpbzwzwv12u4KNsOeP314UAYqr%2BIkgf03SanFc1ycYRnKJGf%2BCzvChr8IVDOdpMjasPMa2Dft3hQHTMNn%2Fxaa01nLNyMmZ4vyHScTJRh2SzejWhKToPzOHp%2BM1xyHs1Vh45ycHEGhKEv%2Bno86U6fnxaCeQ36ZFXo2oFF01uBCcw44KdlWYTWDPaIpu37A0XacQtQ93GFcYX8KUVavsfBWL33UMo0S%2BF7Vkbt%2FVY9%2BkXV4CLwvPj5nEv6hxNZFhHUEKumOlGPDhtVrP4jFD9T35OAqH6oinI4VKPWz9Uf2ScPBYVz3Xp2Jd2eq9dAnaMML9ayefDPwE8w12GJNUP3CWfCEB%2BDXnUXNwbe9%2Fgv2KhOEYu88gik5ErAvWtqlwDZDGYsewPOoTWUe3fLEdNZqeT1fI81uBBLLAM5SrXX1rLy4ZN%2BMrgACiaCYr%2FC7kvSZoLbf5RCglu%2BG99A%2BM%2Flvc4L,6,0,0,0,0,#437668568,Samsung,Buds,2019,In-ear,SM-R170
510, Motorola - Audífonos Bluetooth Verve Loop Flame Orange ,149,NA,1,30,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,2,NA,https://articulo.mercadolibre.com.pe/MPE-436819253-motorola-audifonos-bluetooth-verve-loop-flame-orange-_JM#position=36&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,2,0,0,0,0,#436819253,Motorola,NA,VerveLoop,In-ear,SH011
511, Audifonos Bluetooth Tws S7 Ligero Elegante Caja Magnetica! ,130,NA,1,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CLOUD+BUSINESS,https://articulo.mercadolibre.com.pe/MPE-436907696-audifonos-bluetooth-tws-s7-ligero-elegante-caja-magnetica-_JM#position=37&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#436907696,NA,NA,NA,NA,NA
512, Mpow Solo Auricular Bluetooth Auriculares Inalambricos Auric ,200,NA,0,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436463207-mpow-solo-auricular-bluetooth-auriculares-inalambricos-auric-_JM#position=38&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#436463207,Mpow,NA,NA,NA,NA
513, Mini 503 Auriculares Bluetooth | Envíos A Nivel Nacional ,31,NA,1,997,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GOBESIMPORT,https://articulo.mercadolibre.com.pe/MPE-434613135-mini-503-auriculares-bluetooth-envios-a-nivel-nacional-_JM#position=39&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#434613135,NA,NA,NA,NA,NA
514, Audifonos Bluetooth Deportivos Headset Inalambrico Lince ,34,NA,2,7,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MARKETLINCE,https://articulo.mercadolibre.com.pe/MPE-430374236-audifonos-bluetooth-deportivos-headset-inalambrico-lince-_JM#position=40&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#430374236,Skill,NA,ISC,NA,NA
515, Audifono Bluetooth Handsfree Deportivo Radio Fm Micro Sd S9 ,42,NA,5,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LILI+LIJOV2017,https://articulo.mercadolibre.com.pe/MPE-426333161-audifono-bluetooth-handsfree-deportivo-radio-fm-micro-sd-s9-_JM#position=41&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#426333161,NA,NA,NA,NA,NA
516, Audífonos Bluetooth Soundbuds Slim Anker ,119,NA,1,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WILDMARTHUNTER,https://articulo.mercadolibre.com.pe/MPE-434648855-audifonos-bluetooth-soundbuds-slim-anker-_JM#position=42&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#434648855,Anker,NA,NA,NA,NA
517, Audífono Razer Bluetooth Hammerhead Bt Rabajas.pe ,365,NA,1,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REBAJAS-RODIEL,https://articulo.mercadolibre.com.pe/MPE-432200899-audifono-razer-bluetooth-hammerhead-bt-rabajaspe-_JM#position=43&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#432200899,NA,NA,NA,NA,NA
518," Audifono Bluetooth P47, Radio Fm, Micro Sd, Handsfree. ",38,NA,1,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GUAN4681344,https://articulo.mercadolibre.com.pe/MPE-436374943-audifono-bluetooth-p47-radio-fm-micro-sd-handsfree-_JM#position=44&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#436374943,NA,NA,NA,NA,NA
519, Awei A920bl Auriculares Deportivos Inalambricos Bluetooth 41 ,213,NA,0,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436365964-awei-a920bl-auriculares-deportivos-inalambricos-bluetooth-41-_JM#position=45&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#436365964,Awei,NA,A920BL,NA,NA
520, Audífonos Awei T8 Tws Bluetooth Inhalambricos iPhone Android ,199,NA,0,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SANTOFA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-434184932-audifonos-awei-t8-tws-bluetooth-inhalambricos-iphone-android-_JM#position=46&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#434184932,Awei,NA,NA,NA,NA
521, Audifonos Baseus D01 Bluetooth Inalambrico Wireless Negro ,150,NA,0,NA,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JUAN556,https://articulo.mercadolibre.com.pe/MPE-435612815-audifonos-baseus-d01-bluetooth-inalambrico-wireless-negro-_JM#position=47&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#435612815,NA,NA,NA,NA,NA
522, J B L Audífono Inalámbrico Bluetooth Modelo T450bt Negro ,119,NA,1,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JLPNLIMA,https://articulo.mercadolibre.com.pe/MPE-437241250-j-b-l-audifono-inalambrico-bluetooth-modelo-t450bt-negro-_JM#position=48&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#437241250,NA,NA,NA,NA,NA
523, Audifonos Manos Libres Sports Headset Bluetooth V4.1 ,35,NA,2,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SSYST,https://articulo.mercadolibre.com.pe/MPE-433447571-audifonos-manos-libres-sports-headset-bluetooth-v41-_JM#position=49&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#433447571,NA,NA,NA,NA,NA
524," Auriculares Bluetooth, Los Mejores Auriculares Inalambricos ",180,NA,0,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436364635-auriculares-bluetooth-los-mejores-auriculares-inalambricos-_JM#position=50&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#436364635,Otium,NA,NA,NA,NA
525, Bluetooth S9 Handsfree Stereo Universal Auricular Audifonos ,33,NA,2,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WILSONFERMINCASTAEDARODRIGU,https://articulo.mercadolibre.com.pe/MPE-422687825-bluetooth-s9-handsfree-stereo-universal-auricular-audifonos-_JM#position=51&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#422687825,NA,NA,NA,NA,NA
526, Auriculares Bluetooth Inalambricos Magneticos Ipx6 Inear Blu ,250,NA,0,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436463144-auriculares-bluetooth-inalambricos-magneticos-ipx6-inear-blu-_JM#position=52&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#436463144,SoundPEATS,NA,NA,NA,NA
527, Audífono Bluetooth Exclusivo Para Casco De Motociclista ,79,NA,2,96,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INNOVACIONPARATODOS+EIRL,https://articulo.mercadolibre.com.pe/MPE-437102824-audifono-bluetooth-exclusivo-para-casco-de-motociclista-_JM#position=53&type=item&tracking_id=91ce1135-3764-4c36-bffe-68b53124993f,NA,NA,NA,NA,NA,#437102824,NA,NA,NA,NA,NA
528, Mini Audifono Bluetooth Inalambrico 4.0 Microfono Dlectro ,19,NA,1,599,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WWW.DLECTRO.COM,https://articulo.mercadolibre.com.pe/MPE-432835775-mini-audifono-bluetooth-inalambrico-40-microfono-dlectro-_JM#position=1&type=item&tracking_id=4b709ed2-4ffe-43c8-b6ac-8ee1216e00ec,NA,NA,NA,NA,NA,#432835775,NA,NA,NA,NA,NA
529, Audifono Bluetooth Gt12 Verde Inalámbrico V5.0 Todo Celular ,249,NA,0,NA,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HUMA7820320,https://articulo.mercadolibre.com.pe/MPE-437226395-audifono-bluetooth-gt12-verde-inalambrico-v50-todo-celular-_JM#position=2&type=item&tracking_id=4b709ed2-4ffe-43c8-b6ac-8ee1216e00ec,NA,NA,NA,NA,NA,#437226395,NA,NA,NA,NA,NA
530, Audifonos Handsfree Bluetooth Cuello Deportivos Gift ,49,NA,1,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSRA6692680,https://articulo.mercadolibre.com.pe/MPE-436210161-audifonos-handsfree-bluetooth-cuello-deportivos-gift-_JM#position=3&type=item&tracking_id=4b709ed2-4ffe-43c8-b6ac-8ee1216e00ec,NA,NA,NA,NA,NA,#436210161,GN,NA,ISC,NA,NA
