search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Peso,Linha,Voltagem,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Resposta máxima em frequência,Resposta mínima em frequência,Cor
644, Caixa De Som Bluetooth Speaker Waterproof 15w Sp254 Pulse ,739,NA,1,299,12x,61.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/VIVI+LJF2,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=yDT9dExr%2B8jvTB8nXQZRsNzNHJwU7ZIppfTp90OSaKIcNpeOFH7BLFYsYMe6jVOnMj5QC9l7xrAnqu1mM%2FTcU%2FBrHsRVOFNKwRbOd2ErPQpAbtI4qdYqdKgePdxaNxUtfXFaWhdNJqwyc4ILWjz9ABPCU%2F5N4gVycsklAT2TW%2BHg4NUl4OoE5v82eZD1MAu71h2uTYxOp8yNsEG3HbWNYiHV1ffO84uyGmVpyGTwOkIsLZPxnnPtX8s5meeDRD788FnKd1bMyYWkBU5wW1iSD8axFxiUeL8Q%2FogT3vZ3PhVDp2Lf5gGgm210bo9kTGTBJPHVz7cU0i2WFZtG7GAPFeYT%2FA2XmRPrlmBj060mQO2Om6l9cDPNWi1gYawppfhbYdUIwvbitLieptVJa%2FQqbv%2BBRMynPns8Q3PeKJoGgRdFZGIoONamHmFgXkyAS6Cn3xxy0n5F3eilApesgBt44GBS329gIol5V8SXpupnyaE47EIqa%2B%2FvfgUSkBM3%2FCaECukJehYJn7C7hrVasff%2F68Mj5S4xFIb5fApKzKp2cU5HHQoXQgYtk4gSKuIy9fq3uC56zaSxYM2Z0NHud3W%2FiaZGZT1HhJM41GHRKJvF8i%2B%2Bh9jtenXNvEB7CXeUtihJZqayHIjHc%2Fnhuqx1EMFsdySmwxW5bewn4u1bHGBjyDSX3TBy9kEa9aXuTWLWO%2Bdrd73eKnZuA%2FmDwhB%2FjM7x3KoGNCI5vvoR%2FvssRIUhE9Fxb5Nbk5B9D0ShAgP66LvVaZpkH9cI428QuU%2F0GcGMPtXJRBxrz3EJkqWj01BQPr4tqSKHVL5xTYnyYwcJvhGU2OKrTdhjrhIaEetTXMwOAsxHnJjcZTX1msxCGip%2FBliE%2FLUPp15qOa92Qf9dKRKYSJcSe89C4m4f1tOrV99A%2FAkLWct514PB%2FiWXUqP6Qim9IdEktLGIpaB4jeyEY3GQZ9%2BHSKHGcZXj6A66nAEggfjlqi8ATxVYSi0QJyc0zT0g1wnwy6hKyEJhrkI8YpSpIaQ2QmCLa89qPjU6S4TIaxjfWt3X4YZ25xJKLzaxlsQ54C%2FIpf3N6wAEBsB8t0dISIn8L27UDNkSEw8Gu3xQi0IiJjCvy%2B6l%2FAFDYXzRKcaIiTYeqX2ZVXA3IUkGP45GS%2F92neok8gsin84D0YS7BrDmRdXpL4hzRKisx9NXTjHMbGeAC20wCVoDQ9CeFcenPQ6G8JeorFJ41tEBtNNWEPIyykcCIQQjmt%2FP4hH8tWXi5uxtFGXSU9K6lYlSCIzVCaTAFkpck%2FOSOSl8L67Q3XPc6Xo5sGpr9VepAmAu1btJvJID31UpSsJI%2F6BCcl9vCjc3AqKpB1B18wiufA4cZuSVXNMG8FCbsJV84Squ0dsN3DnvqBwhFBXO%2FyBN4Z0Nb6HtUbqKaoZACOO0XTkqYG12DzdaFQ37177fh0kwk9I4RsYt22k0E%2BfR5A%2BlE9Yigb9h%2FhBWZrK4e6bvNinMY2A6mbJsaEj4MeTSbdjy9DvUKm65yn7UPuZWdLxfazEFSNp4qf1Amp3UyJ2eNZdGamlmtl1a1CPeUvmoQoDBg1zOUzd3WtT%2Bms4StwdoICFvrJE0XRg4afFQKVShc8eVTG7LKDQ%2F9SfwYqvOod0J%2BEN36%2FSaAEGWaXncaCd13X5NLAktbzQGQ5zXtmb%2F94KXFxFH%2BNc0HlEpgLCf2qjag809o4NXfs0O1Xri4wtn%2FGWB8HDmY73NJP0cqR0DhYqCtc3bgtOknad8cJy2H4zCangwjLO3JH7TO33A9yt2LXhlI4xqe9ds0oRaCHaYwGOiczppGQg8dgPxiMcOc%2BaTkfQBa2kDxySm8FXColuDtfJlY15fnwMAf3PGVtlq2er6YEKwS2PsC7g60fuPkkQFAc%2FNGzmna5wkarj8POY%3D,NA,NA,NA,NA,NA,#1214668977,MM,bts06,2 W,NA,Tweeter,universal,Caixa,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645, Caixa Mini System Sony Bluetooth Display Led Gtk Xb5 ,697,NA,15,8,12x,66.66,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/MEGAMAMUTE+OFICIAL?brandId=20,https://produto.mercadolivre.com.br/MLB-1129999910-caixa-mini-system-sony-bluetooth-display-led-gtk-xb5-_JM,NA,NA,NA,NA,NA,#1129999910,Sony,GTK XB5,200 W,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,RCA,NA,NA,NA,NA,NA,NA,NA
646, Caixa De Som Jbl Go2 Original A Prova D'agua Lançamento ,168,NA,23,5,12x,16.14,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1497,https://perfil.mercadolivre.com.br/PRIMOS+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1099541131-caixa-de-som-jbl-go2-original-a-prova-dagua-lancamento-_JM,1374,98,18,4,3,#1099541131,JBL,GO,3 W,Ativo,3 w,portatil,Caixa,NA,1,NA,Go!,NA,NA,80 dB,NA,NA,NA,20 kHz,180 Hz,NA
647, Caixa De Som Speaker Google Home Mini Wi-fi Vitrine Com Furo ,159,NA,38,3,12x,13.32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/CLICOU_TELECOM,https://produto.mercadolivre.com.br/MLB-1137952257-caixa-de-som-speaker-google-home-mini-wi-fi-vitrine-com-furo-_JM,2,0,0,0,0,#1137952257,Google,Google Home Mini Vitrine Com Furo,3 W,Subwoofer,Ativo,De piso,Caixa,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
648," Caixa De Som Jbl, Boombox, 2x30 Watts, Preto ",2038,NA,8,158,12x,194.88,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,100,https://perfil.mercadolivre.com.br/GLOBALDISTRIBUIODEBENS?brandId=1397,https://produto.mercadolivre.com.br/MLB-1002516224-caixa-de-som-jbl-boombox-2x30-watts-preto-_JM,87,5,1,3,4,#1002516224,JBL,28910827,60 W,NA,Ativo,Portátil,Caixa,.,NA,5.25 kg,NA,NA,NA,NA,25.4 cm,19.5 cm,45.8 cm,NA,NA,NA
649, Caixa De Som Jbl Boombox Bluetooth Prova Água Várias Cores ,2017,NA,8,8,12x,168.17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,540,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-1061723135-caixa-de-som-jbl-boombox-bluetooth-prova-agua-varias-cores-_JM,424,46,21,20,29,#1061723135,JBL,Boombox,60 W,NA,NA,NA,Caixa,NA,NA,5.25 kg,NA,NA,USB,80 dB,NA,NA,NA,NA,NA,NA
650, 20 Caixa Som Banheiro Prova D Água Bluetooth Android E Ios ,599,NA,1,499,12x,50.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MEGA2019,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=EemQQ1TM3wOz7jilu2pWuF3s%2F9vS9HioRMg3Y271Y2CMmFOhT5FwNxozSymcDIRiytwI6lwMKstWB9hnDllQARTTHnfQZWbP39fZ5ISjxs0cBCcbgi8%2BPPubjr88%2BECoK5MoPwS%2BfnINqppA5KPT1bVPQN7BOmZM3uzvNPGowmDla1Npsebc4wI5Xle0TbMLvYzX1TudrQ7V3eilw41mDEwPnfnN526gBiqS2luh74CiCSKfO9qdZEZi0ezE2Ou41U5Get15DGTlmocclSgF45EMv7Jejtszm5ZqCMyo1sbUloi3Wx4mDVfg9fRDMf7ChnwDL%2FTKdvPgG0GwabOZFkzVpzUeQi9JGhZcl01bJiP4GN6OgBXP6iXgV8UbjyAfE6jfEWQxfRKur9a%2FgsDVuJzJDZseKustMY%2FUWOx8otDpvKvPx6liyKXLfnfY%2Brxw%2F1Suo%2FH7ewga43dTTpEBZ2cFKr4rYUwMDcDGYh1CtkEvh1cJlvoBWhKU07zNvMZytRiCi0sdg6aAss4k5jPvnD0UPkbCrRwkobN8TfpXSZMnkliaNqiBN1okSSmlVT9PTGxmWG10VmJCNZ%2BZloKYmTaPmWNHqbvhRcaalcO2URBXP3%2FGVBldJXArSLIsRrUf6JImatQhb3jIBbYO%2Fn%2FpNFVxRu2KWKbzCXLhw8uQmr2DtjslWSuBkleM%2B%2BuKn1FC6qnKMdhhePPkfCezlpfZc0hlKFRNR455MOIf6AqjAL7joV3vrO5EXHStgixeP3i6tJKYL9LEm2NF6NGb9FHYp1374PQyEF25u2U7K7lRnmLpt9jXcRf7nusTaFiHcXeEYSLYjq80HGXoXXpq2GO6W%2FAsvSyB1pzA4ZQV0GjYFoACfQF06l8hbUYfw%2FVeP03xglbgQvJUdEwM0z1dCpL5fxfABdQdj1cMj0pV2syjCKqYyPgH1MjoHajLsQ4x9kVNJzuEsev3U9BRprBFSDgij36wJN7p03M2DrLV9MqnoBko15jNtRizQZuMjdX52lLFtKXleaLqRjjKZVLaESJ9tTxdvpq%2FSY8GreZfSLCqQfLUwLe2j9pZrQX1d57DjyzEmI3KnLDcgelBIzKgZlbFdtwWOpfuwLlwqJNqcUtC3HhvF07zvP%2FxQ5Iduwnn8vYrIgJSO2B6gANVANb3xNK6IXaXFFpdBSqOlr%2Fl%2BBBIkoeWs99rxqDAdV%2FKSuIUr7CQlxhs%2FMkGV5gtQpx0qrDaEERZKc1IVOM3aBGbGX1zqJIOiA06iwlBfV7i6rCbIW3TeRjXZlGYfNxJ3n4P0SYIK1SBxNHreyrdFJ3x8g98UI7gSD4PP%2BzlRRgQwJKfwkfQdZnOrIw2UnVIfdR%2FT59fgiMlblyggIR7vsve%2F5%2BWiuB%2FCYgwUCLdW8oRhGXjFplBqplomku0uVZLNfX5A5b085kiUpd%2BRKkowdqvYSs6WcDOwPI4fGeharZ%2FAC3iLGl%2FDedfnH9wR7sL2o1JlsR2yV8BsVfwg7MSpYJlM1M2vqlZYMee5aX%2F7g6qMEee2ot%2Fhp548D5XOiCeWXW%2FWipi8oCpOAP12KSuZ9DHlNV7YHmbbwpZwAh8JBag9MbiNh%2BMAyaxIcBjZDEkH89z27aFnYJTjk%2FfNA7WlAJ5uIREcNhNYtjjE%2BEoTNhFZ7pIqS4rgoey5XY5i7QzYffWsWnIJTlIpmhhTpEJHBl%2FYqXhud8tjAf80xpAbWZF8%2Fw58xUXz3HrEq3bsQULpd94JPRZm%2B3%2FruAq3WIAz8J81P10Os9%2Bg3EZMVePJi97NrnVJuh1Qvs7J7VEdXOYSKelywp2cK3WpygV77O5vQdc7rKvYIymQ45u6EL13tPxxPYKKCvU9goIuEgKO1AhFe6xTWE5vzrg2TT8Lgrn3eqwklhRhpVyZaVnMfi5470UausRng%3D%3D,NA,NA,NA,NA,NA,#1273740067,GRAZEP,BH3201,100 W,REDONDO,Ativo,"PRAIA , CASA , CIDADE , SITIO",Torre,2.1,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA,NA
651, Caixa Caixinha De Som Bluetooth Portatil Nsb-01 Mp3 Usb 3w ,24,NA,53,10,4x,6.62,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4,3,https://perfil.mercadolivre.com.br/LOJASMSA?brandId=1157,https://produto.mercadolivre.com.br/MLB-925280476-caixa-caixinha-de-som-bluetooth-portatil-nsb-01-mp3-usb-3w-_JM,2,0,0,1,0,#925280476,Navcity,NSB-01,3 W,NA,NA,NA,Caixa,NA,NA,NA,Som,110,USB,NA,NA,NA,NA,20 kHz,20 Hz,NA
652, Caixa De Som Amplificada Turbinada 12 ´´+ Microfone Brinde ,530,NA,143,2,12x,44.17,NA,Entrega a combinar com o vendedor,NA,NA,5,7,https://perfil.mercadolivre.com.br/ILUMINA+RIO,https://produto.mercadolivre.com.br/MLB-1075011705-caixa-de-som-amplificada-turbinada-12-microfone-brinde-_JM,7,0,0,0,0,#1075011705,ARCA YD,S12 POLEGADAS + BRINDE MICROFONE,100 W,NA,12 POLEGADAS,NA,12 POLEGADAS,NA,NA,NA,NA,NA,"Leitor SD, USB",NA,NA,NA,NA,NA,NA,NA
653," Caixa De Som Harman Onyx Studio 4, Bluetooth, 60 Watts ",679,NA,19,220,12x,64.92,NA,Envio para todo o país,NA,NA,5,3,https://perfil.mercadolivre.com.br/GLOBALDISTRIBUIODEBENS?brandId=1397,https://produto.mercadolivre.com.br/MLB-1093378605-caixa-de-som-harman-onyx-studio-4-bluetooth-60-watts-_JM,3,0,0,0,0,#1093378605,JBL,Onyx,60 W,Woofer,Ativo,Portátil,Caixa,.,NA,2.06 kg,Studio,NA,NA,NA,27.8 cm,15.95 cm,26 cm,NA,NA,NA
654, Caixa De Som Alto Falante Bluetooth Xiaomi Mi Branca ,149,172,29,984,12x,12.42,NA,NA,NA,NA,5,2,https://perfil.mercadolivre.com.br/UNIONMALLBR?brandId=2069,https://produto.mercadolivre.com.br/MLB-1158785081-caixa-de-som-alto-falante-bluetooth-xiaomi-mi-branca-_JM,2,0,0,0,0,#1158785081,Xiaomi,Speaker 2,NA,NA,NA,NA,NA,NA,NA,NA,Mi,NA,NA,NA,NA,NA,NA,NA,NA,Branco
655, Caixa De Som Jbl Xtreme 2 40w Verde ,1249,NA,4,23,12x,119.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1871,https://perfil.mercadolivre.com.br/RW-CAR,https://produto.mercadolivre.com.br/MLB-1185542712-caixa-de-som-jbl-xtreme-2-40w-verde-_JM,1217,321,170,67,96,#1185542712,JBL,Xtreme,40 W,NA,Passivo,NA,NA,NA,1,2393 g,NA,NA,NA,80 dB,NA,NA,NA,20 kHz,70 Hz,NA
656, Caixa De Som Portátil Bluetooth Amplificada Microfone Md-884 ,239,NA,4,2,12x,20.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LILO+STORE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=2pZHeQg6HhL8kPLsXjFgIRzf8Oszb0LufmJKs0SQgkHH3g0fJW3ZqcpQO0%2FEeli9EyBDn5TY04WeunGVkLpbrf5mI7DTdbuKzToQ4W%2FtTNgURBtKWktFtTo7MUQ7T7Ectk3fmPsIGYMpDkwV0X6fUI7evWLy0mDcOicYoZ7oyCtJRtItdd8EPZN5Y9RgQD4AqzqCi0s5TJYEClHdhOjlMTFX8BMtIUd3mTfmcGlV1bfGzaEg2105W4RvgZzWayo08MyU35RN7NT8xRntj51HiGbuOKIKGjGEaXURm9EfpDtV9jmirZ4GVFb%2FzYe4r%2FRa2zgN%2FIoW7njbhTxqYGFcx1I%2BWEWDl2QQ27uv2sE8PHzCoTALKNDioymZPxV3VDYW1HuM9zWmUkQKkDUCLaDI8iWJ98moHrzJZvuGv7tnIDg7bs1qb7dEo762gEWL%2BzOtAWgcLydT29xoYQ%2F5EZzlRqIjkzJf9X3T185QKekAbZaDEaMWlQ4P3VJ%2B4b9Yx%2FRLSWEWRrm9S7xErCoGxbovysJw2M4wbDRS5f1yhLc4ILTXhuYa40l9srtWelL7Vf332UIrWG4f3ZpOD9qANuwsJWfzKpzXfyhd7FTcb%2FnZ5rba0Ja8JGEMQNrHtpuAVAJ0Ia8u0Zl3h%2FwhKzZ3YT3DmpYF%2FJAsEv3FUw5BnAKH8p5EDWqEdkUDQiTkFHNyEzdvhZ0ZcDhyeXrK7skw%2B2A7DIQJI2OvndF8%2Bmc8kZeJ6meLuYZd%2B4Q75zpKAAPUNoAwWi%2B9RXfx4w0KEw0w%2BGpQ4vBiIRzd2cjW7rN3PljQnzDJCMxajQ9UlPrXWDRIgoDx5TNKXo4xZrfK1IPgn9hQQRZNNgN3lCdz%2BjRMOesoHG50hILZ3ktwOFarv3jUjB3F9%2BXEZP3BBVqblLzJnz6A%2FET8Wc6gJxIqK%2FkC8gVtGgW5Ewir7yWUq7boB1A5EGGvYykRlqJJGF%2F67ZqVR6ETKlQHO7sBEklxlCeFNmTCkohRBXmb4Y33NrWV5hIsxVczAoOmiG7pNBRX3ssnz%2Bk%2B5tSJVRKcb2qNH3ExeCpBFQ5NNJm%2BZAuEbSTexqHh2mNOpcjbkJMtUW42X9jcYUOYuxQHzQGUrWwEWvZN%2Bun5NT0WB0Yuv%2BujGdfRKzeGj55c%2BPskdY6Le%2BbVfDaQ0h%2BRFtZaMUtYJltLatkrjoVarEXBimtXWl9SXAzYmTNBta0CLWeu4rjIptUxA3nxROEcQuVh%2FuxXEKxwBmwsQHz58wWj27ab8NekmhiVbIC%2FvSue2TROdATvYHFMEsMZdlxod23fXLTTJ90Ivp1YD1wxPbnAMRvwZDHaSLWcLqSMqxfZ8%2FT7VsPjREjdMKtxJwrqZx65pCfpApkQoXnkZFkdBY3EuFajHev8KwZjgXiMhnQHwE84qq2aJfWkRTxtjqsKpIRCoaNBObW55k3NV4VfLF6ji0Lp33UfSLBXvBYM9tf9MY09mOXTFbtyZX3pNHEBVOUL5pyDgnwzKzFaS8rviTkHPqnJIlKZK72vR63491QJd36DHU2z02uf7pQCMtyB07ldokvFMvjgxw9%2FyKmipYkcm9pgDDpisC8ApIy8%2FUMdaSNv00ii6zBMWf2sJuzD7ou5yBZ57OPPTIlNaOQm8ME64fbIicYQuSPVGAbgvd1cmFIm29I3p%2Bug%2Bl2U3Xb09qa369EC3vs%2Bt4tkEAtgSvhBjjVp7MgX0m0ns2DUes5NJAluBKNSTUBODsPmvnoKzxeKg3y%2BUIBbCFE7vMMoOh7xAQRSu%2BpLGYI%2BZi4CtXAdo5gj5UGwL2lHrU2aD5R2byHbmvrIaQyuOCceHNwX7gDQPS0EHvaS9MdlbgOnMNuEYkrMokb9bPbEYWKcKZVf6u3DX28JNdOrOr4PY6sL43ghB9L3Hv21VKAZGm4SHdI%3D,NA,NA,NA,NA,NA,#1273272515,Briwax,FBX-108,40 W,Subwoofer,Woofer,"Portátil, Palestras, Piso, Festas",Torre,2.1,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,NA,NA,NA
657, Caixa Acustica Amplificada Staner 10 Titânio 110w Sr-110a ,1249,NA,3,10,12x,104.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STOCKCARNET,https://produto.mercadolivre.com.br/MLB-1062650906-caixa-acustica-amplificada-staner-10-titnio-110w-sr-110a-_JM,NA,NA,NA,NA,NA,#1062650906,Staner,SR110,NA,Woofer,Woofer,NA,Caixa,NA,NA,9.5 kg,NA,NA,NA,NA,460 mm,240 mm,300 mm,NA,NA,NA
658, Caixa Bluetooth Jbl Go2 Laranja Com Potência De 3 W - Jbl ,162,NA,15,310,12x,13.51,NA,Envio para todo o país,NA,NA,4.6,132,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1105322548-caixa-bluetooth-jbl-go2-laranja-com-potncia-de-3-w-jbl-_JM,98,23,5,0,6,#1105322548,JBL,III,25 W,NA,NA,NA,NA,NA,NA,NA,Creature,NA,Auxiliar,80 dB,71 mm,31 mm,86 mm,NA,NA,Laranja
659, Veteke Mini Caixa De Som Portátil Para Celular ,35,NA,134,4,6x,6.64,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,10,https://perfil.mercadolivre.com.br/OMC+PEREIRA,https://produto.mercadolivre.com.br/MLB-940132580-veteke-mini-caixa-de-som-portatil-para-celular-_JM,9,0,1,0,0,#940132580,Veteke,VTKMPS-1W,3 W,NA,NA,NA,NA,NA,NA,55 g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
660, Caixa De Som Sony Srs-xb01 Bluetooth Portátil Preta ,176,NA,8,1,12x,14.73,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/EPOCAECOMMERCE,https://produto.mercadolivre.com.br/MLB-1178632532-caixa-de-som-sony-srs-xb01-bluetooth-portatil-preta-_JM,1,0,0,0,0,#1178632532,Sony,SRS-XB01,3 W,NA,NA,NA,Caixa,2.0,NA,NA,EXTRA BASS,NA,USB,NA,NA,NA,NA,NA,NA,NA
661, Caixa De Som Portátil Charge Mini Bluetooth - Envio Rapido ,41,NA,29,36,6x,6.97,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LOALTOYS,https://produto.mercadolivre.com.br/MLB-1234709924-caixa-de-som-portatil-charge-mini-bluetooth-envio-rapido-_JM,NA,NA,NA,NA,NA,#1234709924,JBL,Som Charge 3,20 W,NA,Passivo,NA,NA,2.1,2,NA,Creature,NA,NA,80 dB,NA,NA,NA,20 kHz,65 Hz,NA
662, Caixa Som Ambiente Jbl C621 Par Selenium C621p 100w Kadu Som ,529,NA,28,53,12x,44.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CASAR%C3%83O+SOM4,https://produto.mercadolivre.com.br/MLB-1010026066-caixa-som-ambiente-jbl-c621-par-selenium-c621p-100w-kadu-som-_JM,NA,NA,NA,NA,NA,#1010026066,JBL,C-621,NA,Woofer,NA,NA,NA,NA,NA,NA,Ambientare,NA,NA,NA,NA,NA,NA,20 kHz,20 Hz,NA
663, Caixa Som Amplificada Bluetooth 290w Portátil Led Falante 12 ,525,NA,1,4,12x,43.82,NA,Envio para todo o país,NA,NA,4.7,169,https://perfil.mercadolivre.com.br/CANALDATOCA,https://produto.mercadolivre.com.br/MLB-1188732630-caixa-som-amplificada-bluetooth-290w-portatil-led-falante-12-_JM,129,28,9,1,2,#1188732630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664, Caixa De Som 316bt Portatil Mp3 Entrada Usb Pen Drive Radio ,61,NA,122,48,12x,5.84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,8,https://perfil.mercadolivre.com.br/MAGAZINEHELENA,https://produto.mercadolivre.com.br/MLB-935368657-caixa-de-som-316bt-portatil-mp3-entrada-usb-pen-drive-radio-_JM,6,2,0,0,0,#935368657,Yes,MS-316BT,8 W,NA,Ativo,NA,Caixa,NA,2,NA,Mobile Multimedia Speaker,NA,Auxiliar,NA,NA,NA,NA,108 MHz,87.5 MHz,NA
665, Caixa De Som Portátil Bluetooth Jbl Xtreme Mini Extreme Mini ,110,NA,126,6,12x,9.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1871,https://perfil.mercadolivre.com.br/ETENIMIRANDABRAZ,https://produto.mercadolivre.com.br/MLB-1186912431-caixa-de-som-portatil-bluetooth-jbl-xtreme-mini-extreme-mini-_JM,1217,321,170,67,96,#1186912431,JBL,Xtreme,40 W,REDONDO,Redondo,ALÇA,Redondo,BLUETOOTH,1,NA,NA,NA,NA,80 dB,NA,NA,NA,20 kHz,70 Hz,NA
666, Caixa De Som Bluetooth Receptor Caixinha Wireless Mp3 Usb Q3 ,38,NA,31,5,6x,7.21,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/ZHENYUAN,https://produto.mercadolivre.com.br/MLB-1056154367-caixa-de-som-bluetooth-receptor-caixinha-wireless-mp3-usb-q3-_JM,1,0,0,0,0,#1056154367,hf,Q3,5 W,NA,NA,NA,Caixa,NA,NA,0.457 kg,NA,NA,USB,NA,NA,NA,NA,NA,NA,NA
667, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,35,NA,55,5,6x,6.00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MAPA4361683,https://produto.mercadolivre.com.br/MLB-1226564499-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,NA,NA,NA,NA,NA,#1226564499,GOLDENULTRA / MEX / GRASEP / SPEAKER,GT-523BT,8 W,NA,"torre, caixinha de som, bluetooth",qualquer lugar,Torre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
668, Caixa Som Amplificada Cm600 Bluetooth Usb 600w Frahm Bivolt ,740,NA,10,2,12x,61.75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ELETROCLASSE+COMERCI,https://produto.mercadolivre.com.br/MLB-1185557583-caixa-som-amplificada-cm600-bluetooth-usb-600w-frahm-bivolt-_JM,NA,NA,NA,NA,NA,#1185557583,Frahm,CM600,600 W,NA,NA,NA,NA,NA,NA,6.3 kg,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA
669, Caixa De Som Pulse Bluetooth/radio/sd/usb 40w Bazooka Sp265 ,299,NA,52,6,12x,28.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,9,https://perfil.mercadolivre.com.br/AJPACESSORIOS,https://produto.mercadolivre.com.br/MLB-958886863-caixa-de-som-pulse-bluetoothradiosdusb-40w-bazooka-sp265-_JM,8,1,0,0,0,#958886863,Pulse,SP265,40 W,NA,Ativo/Passivo,NA,Caixa,2.1,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA,NA
670, Caixa De Som Bluetooth Jbl Xtreme 2 - 40w Rms - Original ,1199,NA,10,58,12x,114.59,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1871,https://perfil.mercadolivre.com.br/DIRETOCOMVOCE?brandId=1328,https://produto.mercadolivre.com.br/MLB-1163816247-caixa-de-som-bluetooth-jbl-xtreme-2-40w-rms-original-_JM,1217,321,170,67,96,#1163816247,JBL,Xtreme 2,40 W,NA,NA,NA,NA,NA,1,NA,Portatil,NA, ,80 dB,NA,NA,NA,20 kHz,70 Hz,NA
671, Caixa De Som 50w Bluetooth 2.1 Micro System Mp3 Fm Pc Tv ,247,NA,NA,50,12x,20.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,29,https://perfil.mercadolivre.com.br/REIDOSELETR%C3%94NICOS,https://produto.mercadolivre.com.br/MLB-1273710632-caixa-de-som-50w-bluetooth-21-micro-system-mp3-fm-pc-tv-_JM,22,5,0,0,2,#1273710632,Briwax,KFX-1771,50 W,Subwoofer,Passivo,Portatíl,Caixa Sobwoofer,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
