search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de filtros do alto-falante,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Modelo alfanumérico,Voltagem,Tipos de alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Cor,Peso
366, Bolsa Capa Case Para Caixa De Som Jbl Go 1 Ou 2 ,40,NA,98,29,6x,7.40,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,1136,https://perfil.mercadolivre.com.br/CASES+JBL,https://produto.mercadolivre.com.br/MLB-1102046304-bolsa-capa-case-para-caixa-de-som-jbl-go-1-ou-2-_JM,1017,89,15,3,12,#1102046304,JBL,GO 1 ou 2,NA,Case para JBL GO 1 ou 2,NA,NA,NA,NA,NA,NA,NA,Case para JBL GO 1 ou 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
367, Caixa De Som Mini Speaker Ws887 Bluetooth Microsd Usb Fm P2 ,19,NA,77,2,3x,6.63,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LOJA_RADOME,https://produto.mercadolivre.com.br/MLB-1221013412-caixa-de-som-mini-speaker-ws887-bluetooth-microsd-usb-fm-p2-_JM,NA,NA,NA,NA,NA,#1221013412,Mini Speaker,WS-887,5 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA
368, Caixa De Som Bluetooth Jbl Tune Rádio Fm Usb Micro Sd ,354,NA,10,17,12x,29.52,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-1116128149-caixa-de-som-bluetooth-jbl-tune-radio-fm-usb-micro-sd-_JM,NA,NA,NA,NA,NA,#1116128149,JBL,TUNE,5 W,NA,NA,NA,NA,NA,NA,NA,Indefinido,Caixa,NA,NA,USB,NA,NA,NA,NA,NA,210 g
369, Caixa De Som Bluetooth Portátil Torre Mp3 Usb Rádio Microfon ,239,NA,18,10,12x,20.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/POWER+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1164626863-caixa-de-som-bluetooth-portatil-torre-mp3-usb-radio-microfon-_JM,NA,NA,NA,NA,NA,#1164626863,Briwax,BX-668,20 W,Passivo,NA,NA,NA,NA,(Bivolt),NA,NA,Caixa,NA,2,Entrada para Microfone,80 dB,NA,NA,NA,Preto,NA
370, Caixa Som Portátil 290w Rms Bluetooth Potente Amvox ,549,NA,35,41,12x,52.56,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,31,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1148749367-caixa-som-portatil-290w-rms-bluetooth-potente-amvox-_JM,22,7,2,0,0,#1148749367,JBL,ACA 292,290 W,NA,NA,NA,Caixa Amplificada Bluetooth,NA,110V/220V (Bivolt),NA,NA,Caixa,NA,NA,Entrada para Microfone,85 dB,NA,NA,NA,Preto,NA
371, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,35,NA,72,26,6x,6.00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MAPA4361683,https://produto.mercadolivre.com.br/MLB-1226564499-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,NA,NA,NA,NA,NA,#1226564499,GOLDENULTRA / MEX / GRASEP / SPEAKER,GT-523BT,8 W,"torre, caixinha de som, bluetooth",NA,NA,NA,NA,NA,NA,qualquer lugar,Torre,NA,NA,NA,NA,NA,NA,NA,NA,NA
372, Placa Mãe Principal Caixa Jbl Xtreme - Original C/ Nfe ,149,NA,22,12,12x,12.49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1898,https://perfil.mercadolivre.com.br/BSTECNLOGIA,https://produto.mercadolivre.com.br/MLB-1229525736-placa-me-principal-caixa-jbl-xtreme-original-c-nfe-_JM,1230,328,175,67,98,#1229525736,JBL,Xtreme,NA,Passivo,20 kHz,70 Hz,NA,NA,NA,Passivo,Caixa de Som,Quadrado,NA,NA,NA,80 dB,7 cm,NA,NA,NA,NA
373, Caixa Ativa 12 Master Voice Bluetooth Usb Bateria - Loja ,499,NA,14,86,12x,41.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/CASAR%C3%83O+SOM5,https://produto.mercadolivre.com.br/MLB-1187364767-caixa-ativa-12-master-voice-bluetooth-usb-bateria-loja-_JM,1,0,0,0,0,#1187364767,Master Voice,mv312,200 W,NA,NA,NA,NA,NA,NA,Woofer,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,NA,6.34 kg
374, Caixa De Som Rádio Relógio Despertador Bluetooth Usb Sd Rosa ,114,NA,68,46519,12x,9.58,NA,Chegará hoje,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,4,https://perfil.mercadolivre.com.br/ZEPELIMTEC,https://produto.mercadolivre.com.br/MLB-1070192685-caixa-de-som-radio-relogio-despertador-bluetooth-usb-sd-rosa-_JM,3,1,0,0,0,#1070192685,Sony,S2,10 W, Radio Relogio,NA,NA,NA,NA,NA,Subwoofer,De parede,Caixa,2.1,NA,NA,NA,14 cm,5 cm,8 cm,NA,NA
375, Caixiha De Som Portátil Jbi Charge Mini 3 Bluetooth Com Logo ,49,NA,61,47,6x,8.32,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/JOYLEAL63,https://produto.mercadolivre.com.br/MLB-1220548256-caixiha-de-som-portatil-jbi-charge-mini-3-bluetooth-com-logo-_JM,1,0,0,0,0,#1220548256,JBL,Charge 3 mini,10 W,Passivo,20 Hz,65 Hz,NA,NA,NA,Stereo,N/A,Caixa,NA,2,NA,80 dB,NA,NA,NA,NA,400 g
376, Caixa Amplificada Potente Subwoofer Jbl Selenium 750 W Som ,779,NA,15,9983,12x,64.92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4,1,https://perfil.mercadolivre.com.br/OESTESOM,https://produto.mercadolivre.com.br/MLB-1090581328-caixa-amplificada-potente-subwoofer-jbl-selenium-750-w-som-_JM,0,1,0,0,0,#1090581328,JBL Selenium,CAIXA BLUETOOTH,NA,12,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
377, Caixa Som Philco Pht5000 150w Mp3 Usb Bateria Bivolt ,619,NA,41,3,12x,51.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/FASHION.UTILIDADES.SILVA,https://produto.mercadolivre.com.br/MLB-1107852413-caixa-som-philco-pht5000-150w-mp3-usb-bateria-bivolt-_JM,2,0,0,0,0,#1107852413,Philco,PHT5000,150 W,Ativo,NA,NA,Philco,NA,(Bivolt),Tweeter,bancada,Caixa,5.1,NA,NA,NA,NA,NA,NA,NA,NA
378, Caixa De Som Jbl Tuner Fm Speaker Bluetooth Portátil Com Rds ,384,NA,18,21,12x,36.80,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-1223776579-caixa-de-som-jbl-tuner-fm-speaker-bluetooth-portatil-com-rds-_JM,NA,NA,NA,NA,NA,#1223776579,JBL,Tuner FM,5 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,445 g
379, Caixa Caixinha De Som Portátil Bluetooth Exbom M33bt Mp3 Fm ,49,NA,334,36,6x,9.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,26,https://perfil.mercadolivre.com.br/BREVISTORE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=%2BDrIcANbR%2B4aC1Hb67wS%2Btux1OGiPyTWePt7osuvQhfC2iZ3TKLEAXExzGVjXqs73DJwiucSusKXic6DsKafmDEIEl9i%2FiNolb8NdZ3fwcFySbNHOqYPHgFQZx32tNBOrCrJNcRKfkwBqo024dekcyCpwsv5hpWd6akTG3o%2FeVoZ7O5h%2B%2BXx9qtf%2FjEpOw7AO1v%2BlHDye3k8c1g%2Fs9X3Yy2SXtgzPb7Tkt7qBWsflC2Tn8teXmfSjkk6looGkrMayUWa1sCcAtcDE6FTgCqahmfoy5byKWQWWaGD4fobGon54lYH3OG%2F5YMZQDQ%2Bm9jTDwiCING2MjiC2zRXyKEXCq8Vi2r8Wp06ySEFw9XGt%2FJyTrkDYEsCXs1SAuKvcL3by5fF9elWATQ7%2B%2FPoE0Paulo8p5yCJIoTgboHJqwY3PTpy7C7dL1TLpQv9R%2F3yIh1ydEGTzAL9JbMZCrvQli3Fi9zkVCI0SQ1Ry%2BBUxVqAewxwKU47hNJVHGWeOw7r07FCKq4e9q9%2BBP9jkon3ENGKPwl2rXZkLf8CaCDIKI4v1Yr47oEpHhmzg%2BrZ%2BtIlKOugflPTMhCrWM1SlljrjfQ6971Efrfl8U9jNd37z2S0cXRq%2FYcuwan%2FWCjIZPQm%2BFgVvNoKgvd91GCbdIlBColkwUCAs4QPj42KBvf7Ha4iLGSIxb8Q%2Ff%2FjAjBrCsbPsdVpP%2FDPxx47eFWyzQocyRblxP9Iuwi6j5ne1fDLmagQI5MZxqm%2BlOayCGJ%2B8n5h%2B9s5vwyWZ%2FYQdRoKr4qLw4PZzj4tpPjAVZwbEi2uxKnq60ym4gAImmc6dl8CTvVSzybLF%2BHFhygq6aTx5bIjZLa9PKgDG%2BBJZiDIurs1nhR8kpdPoZYzKtuNEy1FW8Tm36TUDpchPUc%2F4kR0chqhlrdZcfYIZpxSgjQYpugcqmJH048omf9dqBG773aJ0UCI6zFHfLawr5As%2BBYpJ7z9%2B6COSqPmFdbzjQXY%2FKbo3ijPPjEpIWbR%2BukkadgUlBTiyNtMJx3K50z0XLHKNr0GMSIRpnEhrxZHcDlGPYBdYWCKSoy2yiui2jHC3keSe%2B36A83et0hQKb6JEXnmIvwzNhIXpFJ1i0zuDMmcYaIFZfhZ4wQ7PxCEFUW7oRKWVXKni1NY%2BOqnjvC%2FjwmvqOdbEM7ubVNErb4plLnisyPHQS0vZuvP9O1mNWNGIGtSmVi6WP23hRhFOY6RYNzwXP%2B413gA%2Bw3LdnPrqAiyYFmDZI4t3eKKhxhKly94CpQSrYFjftn6jGFtqV%2FqxoBmvko9Uh7nOKDNL6Q2e52VBl8WL4vX%2Bh56aI%2B0%2FH6fKnkdPJZt2ABsIaTiVyFkfe76uwkqxcbCtAn6Ns04XHqw4nYMjOJjJ7LX%2BcBzkOxi%2FaEQMyUXsxCfjbAX0vjE1WCU2AatClTMIx5OD4ugfjIySgrtUrw1V7JsF%2F%2BF9p9T9LqV3L4NTA5XtdEZ6h1mu%2BVg4mAWj9nYCevs6pVLhPJRTCA5WZdV%2FpSvzp%2FU5Iitvk14T9Vu6fIGoogCXJnivXfFt1zGVkF4pJWodAO6lk8IYDnVDkxTTJCFcbJWe6ancgt5RQzr%2FnvDM%2Fn4rcNAxxyQ9g5DYmansLrle3byAf0AVY0dRk9Ri5DH8ZsKI07I6Icxr2UgijZt70h3hEpugDdMbl8cPKF3dmDQVL38XvGxWj6qjEQLYvnTz4VimzRZPe2Zcr2m1U4G0xbQd7GXiEQYubpZ0pEoMoct71cjKzYpxCrcocZ9w1buqpRhIzhT9%2F1%2Frs%2FBqekgwiDx%2FsNbYHdzfed%2BFHxQRET2tysIKiXA%2F3EOtdz56xGlKJ0LX6J3TbLRgkm2dAoJH1veX3v8y5%2Ff8ZsVcGHr2F68LfYM3CRhuD2sGGv69dVjTr30v8iD3J7Lw%3D%3D,16,7,3,0,0,#939772594,Exbom,CS-M33BT,10 W,Ativo/Passivo,20 kHz,85 Hz,Bluetooth,CS-M33BT,110/220v Bi-volt ou 5v USB,Subwoofer,"Sala, Quarto, Cozinha, Praia, Sítio",Caixa,1.1,2,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão",NA,NA,NA,NA,NA,NA
380, Caixinha De Som Bluetooth Pen Drive Usb Fm - Varias Cores ,27,NA,29,2,5x,6.01,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1264116571-caixinha-de-som-bluetooth-pen-drive-usb-fm-varias-cores-_JM,1,0,0,0,0,#1264116571,Grasep,BH1074,6 W,Ativo/Passivo,15000 Hz,150 Hz,Portátil,BH1074,NA,Woofer,Mesa,Caixa,2.1,1,USB,80 dB,14.5 cm,9 cm,11 cm,NA,400 g
381, Caixa De Som Bluetooth Led Usb Fm Sdcard Aux Hmaston B28s ,120,NA,102,980,12x,10.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,16,https://perfil.mercadolivre.com.br/AER+MAGAZINE,https://produto.mercadolivre.com.br/MLB-843040383-caixa-de-som-bluetooth-led-usb-fm-sdcard-aux-hmaston-b28s-_JM,11,4,1,0,0,#843040383,H'maston,B28s,10 W,Woofer,NA,NA,CAIXA DE SOM HMASTON,NA,NA,Woofer,"tv, smarttv, estante, home, churrasco, piscina, lavanderia, radiofm, som, soudbar, hometheater",Caixa,2.1,4,USB,NA,NA,NA,NA,NA,800 g
382, Caixa Ativa Amplificada Frahm Cm 600 12 600w Bateria Microfo ,799,NA,16,16,12x,66.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4,1,https://perfil.mercadolivre.com.br/ARTMUSIC+STORE,https://produto.mercadolivre.com.br/MLB-1099547680-caixa-ativa-amplificada-frahm-cm-600-12-600w-bateria-microfo-_JM,0,1,0,0,0,#1099547680,Frahm,CM600,200 W,NA,NA,NA,CM,NA,NA,Woofer,NA,NA,NA,NA,Entrada para Microfone,NA,NA,NA,NA,NA,6.3 kg
383, Aparelho De Som Bluetooth Amplificado C/ Entrada Usb Sd Led ,189,NA,20,1,12x,18.15,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BOMBAUTO+STORE,https://produto.mercadolivre.com.br/MLB-1206296378-aparelho-de-som-bluetooth-amplificado-c-entrada-usb-sd-led-_JM,NA,NA,NA,NA,NA,#1206296378,Importada,NA,12 W,NA,NA,NA,NA,NA,NA,Subwoofer,NA,Torre,NA,NA,NA,NA,NA,NA,NA,NA,NA
384, Caixa Som Sony Srs-xb21 Bluetooth/nfc/auxiliar Com Microfone ,479,NA,39,990,12x,39.99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,71,https://perfil.mercadolivre.com.br/ELETTROEINFO,https://produto.mercadolivre.com.br/MLB-1168512932-caixa-som-sony-srs-xb21-bluetoothnfcauxiliar-com-microfone-_JM,54,11,3,1,2,#1168512932,Sony,RS-XB21,20 W,NA,NA,NA,EXTRA BASS,NA,NA,NA,NA,NA,5.1,NA,USB,80 dB,NA,NA,NA,NA,NA
385, Caixa De Som Grasep Bazuca 100w Bluetooth Sd Pend ,199,NA,33,5,12x,16.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,4,https://perfil.mercadolivre.com.br/CRSPSHOP,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=BosF12%2FzmK%2Ba%2Ft%2Frj6mO1KnmUq8FS%2B%2FW%2Bd7dD1toIdCWBs5s8usHgyui2s14xe%2BWoCXGTx8F9mMv%2B9aAwuGVCjLqS8g%2Bnsit5%2Fo6oD7aO2%2FJDSF1gpq7eraGLhckbJA0E1Hzjs4GLZovzsLdmmpTRUu0CeBZKWoz%2Biyl7em48ivFQo8QWV%2F8vUWt8S1XQ%2FuhzoN8smqtG1c0kICUpVJH%2F0viLoTGKcoynjkGBnvQF6CdzaYUuMiTgh3zO%2BNlRmRuycm79uSVYWdo5PzB55m76vP7OtlfJRmzZyYvB7mWt7FytC35KNYpZfPozwuK5Z%2FIGouYtTOl8gATilGRV%2Bqjm%2FoajGOfts1zxVA09mHMT1%2FAkaxp33XVCdO0jcUfCzsRBKif7FashL6blJZ9HywbbW2IMDhwbddK2%2B2NZEAyJXZMh4gj8SO0LuQ8ryE9ATnJje4AhtKddVbOqEZ9uh2Mn%2BQrUidR8NMijeeheYtLeA2rWNrtf6EuDK5v2486j8I2kZ3RmlrNX%2BWGD4vhhH6Mbz3hs8Ehh1exIVtmsDnAxwcqq49afZ2aGFY16ZgbN4fn2nTGooJgCIyx%2BbeuAQxckucWva0dKqDFW60B%2FvetmLcE%2BIw88kw1b7zJbCCXBj1YdT9z3VjgWcmtLN5rlrwBWubCe%2FD6n5RwNUpXQ4lQx0tnkNwXeSHC1tuIQ%2F0wbaXhN%2FyJ%2Be7pcTSO7vL3kzPv0%2Fvl9TazUefhAJCB%2B%2FiG3jVwEbQW0hmy5XHT4zLZ9LWwAnUPA3h1qHDTR6X5qRHiKv4rNtPGcYNUT5NgKLdd96PqwJu5BLF5BYTizzzL5A%2B824Txcb9%2F4rD9qxr7gSjEezkh4UG9eAnzX9TbwklAku%2FlDmLBR9nhird%2FkA9IO4NfTsxXWM8ZaZI%2BDhrHmaBEH7bP0uhbroQcAmn8CQu7aFBLRlSCMf0VgcqJz978V2Ruyg12sDBW2Ag8nT05cim281zr1vdSmGx%2FmDLncRsFdEXDEZqte8%2Fymebl6RPINn62R0xcQdFDResJZb5%2FODvUDSSoIZtJ%2FIeo%2BidO7WVGD%2FNCqKl4HSovyrbIo9psoMKBm3RJh%2Froic7OBS1b1ziimXT%2FjS6ET%2FnccYWYqUix9ZPGHpbtov9RA5AF0ZYNKtav2rim1vPJzfbpi1BA%2Frg9llGqPHi4TKB8A4%2BFqx1pI3b9EHxfrrDpu9HrOPsUKoj4CRwOI7KR%2BZDwOMtwZ03ONcE4Bfz1aasNkRweYle8KVqKfaN8UL0BNNLvQ3OG5SiP27eEW%2FDRDUFPBIG5ULO9D7PCFMhYW4N%2B997hxoB1L638f7HBdvuF%2BaIB1gmWXjZPjAHW%2FXntVuaxWsAe5Als2y%2FJ8kUTm61qgDxr1jku12d7SzSPBwRMdbTC%2BSEYSm900%2BGWS4EO4kiXoSCzGjkDGbesKzRM8VMTlncv%2Bl0gszJsMyGZyIcXfCAbMUyTkOii0p1ZM0SaSMZN6Yn%2FR2WOi5%2FcnqPIZtDEFp3FnCkFrI7Z%2BiHV%2BwjANzPgj44ePjuvb5bSPd0BLxnGiVqFComwujW94O3GELQf%2FRKWVprQaqdLvuuuauZfdILL2Zu7c4zmrRPpUa2qwSif06u%2FWY0BawKOKSA6Q35XUgHfdYW1y3T3Tj%2FAPqQjmsxIcm3%2B1OoVDh26g4Hn00qc8UxYBRGlnNAv9wRF6A3PfoGTMDSG6hezj6ckUZLuqIiPjxofym4fggh7Zg3Xr1wNXuRMjP%2F4xTM9dB2QJeupEMJB0t3eBSmAWCr9rbx98mLHs1No%2FTYCyt4Ug96Ku%2BtorYOIOPhaEdId385vnsth165jzeQT2eg4RS7b%2FIVRhZKAb9fjP2xys3b59rO3e0QYgTY2guAqBeMok4F2H7ENV04bzCdmcmXvXg%3D%3D,2,2,0,0,0,#999285497,Grasep,Baú,100 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26 cm,26 cm,NA,Preto,3500 g
386, Caixa De Som Caixinha Bluetooth Torre Portátil Mp3 Fm Sd Usb ,35,NA,50,9,6x,6.00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ALAN656929,https://produto.mercadolivre.com.br/MLB-1226550010-caixa-de-som-caixinha-bluetooth-torre-portatil-mp3-fm-sd-usb-_JM,NA,NA,NA,NA,NA,#1226550010,Golden,gt 523bt,5 W,NA,NA,NA,NA,NA,NA,Torre,NA,Torre,NA,NA,NA,NA,NA,NA,NA,NA,NA
387, Caixa De Som Bluetooth Sumay 4000w Amplificada Multiuso ,849,NA,16,18,12x,70.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1027390823-caixa-de-som-bluetooth-sumay-4000w-amplificada-multiuso-_JM,1,0,0,0,0,#1027390823,Sumay,Caixa de som acustica ativa,400 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,USB,NA,NA,NA,NA,NA,11.2 kg
388, Kit 4 Caixas De Som Bluetooth Portátil Atacado Caixinha Mp3 ,135,NA,40,21,12x,12.90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/NEW+VITA,https://produto.mercadolivre.com.br/MLB-1172771289-kit-4-caixas-de-som-bluetooth-portatil-atacado-caixinha-mp3-_JM,2,0,0,0,0,#1172771289,Grasep,D - BH1050,6 W,Ativo,15000 Hz,150 Hz,Caixa de som portátil,NA,NA,Tweeter,De piso,Caixa,2.1,NA,USB,NA,NA,NA,NA,NA,NA
389, Caixa Som Amplificada Bluetooth 1000w Rms Led Fm Usb Sd Aux ,1261,NA,9,15,12x,105.09,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,3,1,https://perfil.mercadolivre.com.br/BANANA-SHOP,https://produto.mercadolivre.com.br/MLB-1031184865-caixa-som-amplificada-bluetooth-1000w-rms-led-fm-usb-sd-aux-_JM,0,0,1,0,0,#1031184865,Amvox,ACA 1001 PRETO BIVOL,1000 W,Ativo,NA,NA,NA,NA,110/220V (Bivolt),Subwoofer e Tweeter,De piso,Torre,2.1,NA,NA,NA,NA,NA,NA,Preto,23.6 kg
390, Caixa Som Amplificada Bluetooth Usb Sd Microfone Sem Fio ,338,NA,16,84,12x,28.25,NA,Chegará grátis hoje,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,59,https://perfil.mercadolivre.com.br/VIRTUAL+KAR,https://produto.mercadolivre.com.br/MLB-1186158621-caixa-som-amplificada-bluetooth-usb-sd-microfone-sem-fio-_JM,35,14,3,1,6,#1186158621,Grasep,D-BH3202,100 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,Entrada para Microfone,NA,NA,NA,NA,NA,4.5 kg
391, Mini Caixinha Som Bluetooth Portátil Usb Mp3 P2 Sd Rádio Fm ,19,NA,811,10,3x,7.08,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,28,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=FDo1k0SFj%2BUqj5wU9fGLikZxTQ7kx4iDT%2FkfIqHX4%2Bkd7HNum4%2FGvE6jw2P2CIvQh5vjTM2O1%2FcVTM1TIWBhpr1UpDiT8Pyv9iLtAtsPeSJRFmel%2F96eZiledjQCTzNrzMzjG5r97SyiI3eqEl5QCZJZr52y7iYTGakZGSKk89vwrOgnQr%2BbIS8auYEyvAUqsrqJIaXvlxsXHN3DBimt5cKQ6MAlNYalpjAhmtqCQTInqNiHfBzCB9U57goe34Dh5thUACcz4lea%2BMCPlsVNB2DX1DYsfwlVhhzAWyoI79BfTUTytpdSii7pJ2MsJ3UpG4USlibal29H8lOkxGdXAWgBWZwSCzS9N%2FyRUNQ%2BgIcJG24Z82LqxrsCXgkyT6Y7Avavcaspkqe5l34hovmzKrdBGMNX8%2Ft5SWq5LOJcHoSNuk1wa26tVRw0Ulk65G7wLmy2ys9nuj0RQHYrhQnGaHcAa1CR%2FtF07TV1Dqy7MhjqpS2oEt8GhzE%2BszFUImnyk%2FIt7BRYX%2FnBaY4zlDvFcA5dcH6w9%2FORRX%2BVLCQlaYblNP4gqEujgqdJoGLiKRHBegyVTGDoSOiC1Ql%2BGQiDLKL8%2FIoAG6NIX9zDDRTnZ76ozfH98nzsjE%2FNjKd5qGxY3RjK68E1wuztS8BpgohFCdYQFv6TA5b1yr6ZH55V%2FPx1T%2FbuJPX2UYKbQEaNmOA0thnrVOlA8xUEvF5xyOMh3TIezVyY1n13QjXrLUktTn3n6ZmlBHmTAZf%2BJG8ZQtoxWPsTKoFUlR7QGl95wyOTGpqRuohkp9EZAZe6G1MzxRHpQ8UYmTNZc5RKJEOqgUKDddDXONhA6liZ5JzPgDe6p0dHpdQMPCvU8rK%2BtuVYzdYPxVnuRifm0SqfyaQq9a3vO56wTnJvUwvINGi%2FrDU9MJIdwnY89eoRGfFXHy%2BvB5bvolBVGFUbGe0WXiA%2FvCZvYvaQSfmVMS0rGHzG2%2BOmb3DPoFGQ6R4f%2F7NjHdlgrLG4X3C4zmdbLPFzQTFY%2B0gRBrNoi6S9%2BheTeDV1p6VUQoY0OyP0b5pF7OKKQM0hYbLODvjGadW5sDm5wOSP2yfGK8DEjH%2FKd8QakXntQWeRPTdwkI02hypGPzNwGGOI3DylUuUsel6GGTOIS63YEeSmkpEQPpWmh3QGz0WZhgSwnJGKQQmyXaATYSmfueZwiwXh21RnimZxcz%2BSVkDl3JPc0zs%2FE%2FULhob2cmUvrxwZBV2I5gnf8y5lU8swhtxm9GcXAo%2BMmAw680HaMwTwaeoQm%2BEyFycTmMhXkxAvp%2B9rvA9xXYoWWeGC8j%2FJbpBOnkQqw6G%2FywYRtfVyG2GMfVVu9DntwlAUC6Dd1ISKkdJvCGvkIQAhf6%2FJ95IN78tl6n%2B0KbB9Yzan5%2F1KloOeGrelaQTdVpqoiI%2FWpK2QD0Ci2vojkVuHWfg5i9yn3yeGeQzRev3OINS%2FrbC3vstk7zPLtEjTzBWSsec59loW%2BQyl5stbf0OunbNyocK50WaH49iCwfrFyaZlV0S3Rg2odgTXyaK4DhDBM5zqyppVhenVYYInNmhfZ2onplgqzNBIo9xYK3hvcPL5IcvYxF1PHg6jZApvRQKQ0xfbULMKmfApq3vVl6u3pKV2Y%2FL8Zna%2FjieYaBjVnZiI48cCH7IO7TqTuZl88sSge4UF1mO64T4i7oLzy9RClYV%2FAh6GBhqYcwJXS0BAaKoS6TKjJ3s2iJUbMtRyKqUwj%2BwZsUS3TFuoCLCP%2Bme3FJsLmUKM0awR85aXQfLh7jn9nDmETz3dMExstLNS%2BX%2B11hfasXwRI7bM6NEBNsPSA5wH4z4Oiz3zVgyVJG%2B%2BRJbtmZiSwRblbTYLNj3wNLFB92Jb9flfz2VpSdhL7QTBUzUXasmssrISNJ%2Bh24RSbvqRWhs0dnQ9qA%3D%3D,25,1,2,0,0,#1196773201,Goldenultra,Ws-887,3 W, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,NA
392, Caixa De Som Bose Soundlink Color 2 Speaker Bluetooth ,599,NA,9,1,12x,49.92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,61,https://perfil.mercadolivre.com.br/EDU_BIANCHI,https://produto.mercadolivre.com.br/MLB-1233869799-caixa-de-som-bose-soundlink-color-2-speaker-bluetooth-_JM,55,4,2,0,0,#1233869799,Bose,Soudlink color 2,NA,Ativo,NA,NA,SoundLink,NA,NA,NA,NA,NA,NA,NA,Auxiliar,80 dB,NA,NA,NA,NA,1.2 lb
