search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Peso,Linha,Modelo alfanumérico,Voltagem,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Resposta máxima em frequência,Resposta mínima em frequência,Cor
90, Caixa Amplificada Churrasco Festa Som Portátil Amvox ,599,NA,"
			
				Novo
			
			
				
					 - 
				
				101
				vendidos
			
		",(48 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5000
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,43,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1075310350-caixa-amplificada-churrasco-festa-som-portatil-amvox-_JM,33,7,3,0,0,#1075310350,AMVOX,ACA 292,290 W,NA,Ativo,NA,Caixa,NA,01,NA,Caixa de som amplificada bluetooth,410101,110V/220V (Bivolt),USB,NA,NA,NA,NA,108 MHz,87.5 MHz,Preto
91, Caixa De Som Cintura Portatil Microfone Palestras Professore ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				416
				vendidos
			
		",(60 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 907
		
		 sem juros
		
	

	
		",07,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,36,https://perfil.mercadolivre.com.br/FABIO+GOSAN,https://produto.mercadolivre.com.br/MLB-887218636-caixa-de-som-cintura-portatil-microfone-palestras-professore-_JM,20,10,1,3,2,#887218636,Alternativa,LE-608,5 W,Mini tweeter,Embutido,Cintura ou mesas,Caixa,NA,NA,NA,Multi Função,NA,NA,Auxiliar,NA,NA,NA,NA,200 kHz,18 kHz,NA
92, Caixa Som Amplificada Bluetooth 500w Portátil Led Falante 15 ,755,NA,"
			
				Novo
			
			
				
					 - 
				
				148
				vendidos
			
		",(70 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6299
		
		 sem juros
		
	

	
		",99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,153,https://perfil.mercadolivre.com.br/BANANA-SHOP,https://produto.mercadolivre.com.br/MLB-906049245-caixa-som-amplificada-bluetooth-500w-portatil-led-falante-15-_JM,109,25,11,4,4,#906049245,AMVOX,ACA 501 NEW PRETO BIVOL,500 W,Subwoofer e Tweeter,Ativo,"De piso, De mesa",Caixa,2.1,1,13.1 kg,ACA 501 NEW,ACA 501 NEW,110/220V (Bivolt),NA,NA,NA,NA,NA,NA,NA,Preto
93, Kit 10 Caixinha De Som Ws 887 Bluetooth Usb Pendrive Atacado ,169,NA,"
			
				Novo
			
			
				
					 - 
				
				164
				vendidos
			
		",(836 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1416
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,3,https://perfil.mercadolivre.com.br/ELLECTRO.COM.BR,https://produto.mercadolivre.com.br/MLB-1190163239-kit-10-caixinha-de-som-ws-887-bluetooth-usb-pendrive-atacado-_JM,3,0,0,0,0,#1190163239,WS 887,Ws-887,5 W,Mini tweeter,"Ativo, USB, Card",NA,Caixa,2.1,NA,NA,NA,NA,NA,"Auxiliar, USB",NA,NA,NA,NA,NA,NA,NA
94, Caixa Caixinha Som Portátil 5w Mp3 Micro Sd Usb Radio Fm Ws ,24,NA,"
			
				Novo
			
			
				
					 - 
				
				803
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 673
		
		 sem juros
		
	

	
		",73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,36,https://perfil.mercadolivre.com.br/CONNECT+PLANET,https://produto.mercadolivre.com.br/MLB-765776943-caixa-caixinha-som-portatil-5w-mp3-micro-sd-usb-radio-fm-ws-_JM,23,8,2,0,3,#765776943,Importado,WS-887,5 W,Subwoofer,Subwoofer,Portatil,Caixa,7.1,NA,249 g,Caixa De Som Portátil,NA,110V/220V (Bivolt),USB,NA,NA,NA,NA,16 kHz,280 Hz,NA
95, Caixa De Som Portátil Jbl Boombox Bluetooth Black 60w Rms ,1717,NA,"
			
				Novo
			
			
				
					 - 
				
				24
				vendidos
			
		",(14 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 14314
		
		 sem juros
		
	

	
		",14,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,530,https://perfil.mercadolivre.com.br/UNLIMITED-2,https://produto.mercadolivre.com.br/MLB-1160042834-caixa-de-som-portatil-jbl-boombox-bluetooth-black-60w-rms-_JM,417,44,19,21,29,#1160042834,JBL,Boombox BLK,60 W,Woofer,Ativo,NA,Caixa,NA,NA,5.25 kg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96, Caixa De Som Bluetooth Led Portátil Mp3 Usb Sd Auxiliar Fm ,31,NA,"
			
				Novo
			
			
				
					 - 
				
				1872
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 587
		
		 sem juros
		
	

	
		",87,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,162,https://perfil.mercadolivre.com.br/REIDOSELETR%C3%94NICOS,https://produto.mercadolivre.com.br/MLB-739939810-caixa-de-som-bluetooth-led-portatil-mp3-usb-sd-auxiliar-fm-_JM,112,28,8,6,8,#739939810,Exbom,CS-M17BT,5 W,Mini tweeter,Subwoofer,NA,Caixa,NA,NA,NA,NA,NA,110W,USB,NA,17 cm,NA,17 cm,NA,NA,NA
97, Kit 2 Caixa Som Bluetooth Portátil Rádio Fm Mp3 Usb Sd 300w ,53,NA,"
			
				Novo
			
			
				
					 - 
				
				165
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 614
		
		 sem juros
		
	

	
		",14,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.0,8,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://produto.mercadolivre.com.br/MLB-1191764711-kit-2-caixa-som-bluetooth-portatil-radio-fm-mp3-usb-sd-300w-_JM,6,0,0,0,2,#1191764711,Goldenultra,GT-356BT,8 W,NA, Portátil,NA,Caixa,NA,NA,NA,NA,NA,Bivolt,"P2, USB,Leitor SD",NA,NA,NA,NA,NA,NA,NA
98, Caixa De Som Amplificada Sumay Thunder Black - 4000w Potente ,879,NA,"
			
				Novo
			
			
				
					 - 
				
				299
				vendidos
			
		",(22 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7333
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,69,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-884741440-caixa-de-som-amplificada-sumay-thunder-black-4000w-potente-_JM,50,10,6,1,2,#884741440,Sumay,Caixa Amplificada Bluetooh,400 W,NA,Ativo,NA,Caixa,NA,NA,11.2 kg,caixa de som portátil,SM-CAP12T,110/220V,USB,NA,NA,NA,NA,NA,NA,Preto
99, Caixinha Som Speaker Bluetooth Prova Dagua Chuveiro Banheiro ,26,NA,"
			
				Novo
			
			
				
					 - 
				
				648
				vendidos
			
		",(5508 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 539
		
		 sem juros
		
	

	
		",39,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,14,https://perfil.mercadolivre.com.br/OTIMOS+PRODUTOS,https://produto.mercadolivre.com.br/MLB-757067970-caixinha-som-speaker-bluetooth-prova-dagua-chuveiro-banheiro-_JM,10,2,0,0,2,#757067970,Importado,A PROVA D'AGUA,3 W,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,NA,NA,NA
100, Extreme Grande Caixa De Som Com Bluetooth 40w Grave Alto ,210,NA,"
			
				Novo
			
			
				
					 - 
				
				157
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1750
		
		 sem juros
		
	

	
		",50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1783,https://perfil.mercadolivre.com.br/PEDRO+PRESENTES,https://produto.mercadolivre.com.br/MLB-1230620720-extreme-grande-caixa-de-som-com-bluetooth-40w-grave-alto-_JM,1156,303,165,65,94,#1230620720,JBL,Xtreme,40 W,Tweeter,Ativo,De piso,Caixa,2.1,2,NA,NA,NA,NA,USB,80 dB,NA,NA,NA,20 kHz,70 Hz,NA
101, Caixa De Som Bluetooth Receptor Caixinha Wireless Mp3 Usb ,66,NA,"
			
				Novo
			
			
				
					 - 
				
				410
				vendidos
			
		",(10 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 551
		
		 sem juros
		
	

	
		",51,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,21,https://perfil.mercadolivre.com.br/BRANCASHOP,https://produto.mercadolivre.com.br/MLB-925236669-caixa-de-som-bluetooth-receptor-caixinha-wireless-mp3-usb-_JM,16,4,0,1,0,#925236669,Yes,MS-144BT,15 W,NA,Redondo,NA,NA,NA,1,NA,Reader Speaker,Caixa De Som Portátil Bluetooth Amplificada,Bivolt,USB,NA,NA,NA,NA,NA,NA,NA
102, Mini Caixa Caixinha Som Portátil Bluetooth Mp3 Fm Sd Usb Hi ,38,NA,"
			
				Novo
			
			
				
					 - 
				
				122
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 642
		
		 sem juros
		
	

	
		",42,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,7,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-938734501-mini-caixa-caixinha-som-portatil-bluetooth-mp3-fm-sd-usb-hi-_JM,4,2,1,0,0,#938734501,Grasep,BH1064,6 W,Woofer,Ativo/Passivo,Mesa,Caixa,2.1,NA,NA,NA,BH1064,DC5V,USB,NA,NA,NA,NA,22 kHz,120 Hz,NA
103, Mini Caixa Caixinha Som Portátil Bluetooth Mp3 Fm Sd Usb Hi ,24,NA,"
			
				Novo
			
			
				
					 - 
				
				245
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 673
		
		 sem juros
		
	

	
		",73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,18,https://perfil.mercadolivre.com.br/LOJAZAHI,https://produto.mercadolivre.com.br/MLB-1023051192-mini-caixa-caixinha-som-portatil-bluetooth-mp3-fm-sd-usb-hi-_JM,10,6,2,0,0,#1023051192,Loja Zahi,Mini Speaker WS-887,NA,Subwoofer,Subwoofer,Portátil,Caixa,NA,NA,NA,NA,NA,5V,NA,NA,NA,NA,NA,NA,NA,NA
104, Caixinha Caixa De Som Usb Bluetooth Charge 2 Mini ,45,NA,"
			
				Novo
			
			
				
					 - 
				
				234
				vendidos
			
		",(18 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 750
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,9,https://perfil.mercadolivre.com.br/FRRI4022818,https://produto.mercadolivre.com.br/MLB-1174461549-caixinha-caixa-de-som-usb-bluetooth-charge-2-mini-_JM,6,2,0,0,1,#1174461549,JBL,Charge 2 MINI,15 W,Tweeter,Ativo,NA,NA,NA,2,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,20 kHz,20 Hz,Vermelha
105, Google Home Assistente Pessoal Caixa De Som Novo De Vitrine ,449,NA,"
			
				Novo
			
			
				
					 - 
				
				86
				vendidos
			
		",(22 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3742
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,4,https://perfil.mercadolivre.com.br/CLICOU+TELECOM,https://produto.mercadolivre.com.br/MLB-1137988500-google-home-assistente-pessoal-caixa-de-som-novo-de-vitrine-_JM,4,0,0,0,0,#1137988500,Google,Google Home,7 W,Caixa,Ativo/Passivo,Mesa,Caixa,5.1,1,1100 g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106, Caixa Amplificada Multi Connect 120w Mco-06 Mondial Bivolt ,258,NA,"
			
				Novo
			
			
				
					 - 
				
				1087
				vendidos
			
		",(337 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2158
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,63,https://perfil.mercadolivre.com.br/HW11MX,https://produto.mercadolivre.com.br/MLB-1020222842-caixa-de-som-amplificada-com-bluetooth-microfone-sd-pendrive-_JM,48,12,0,2,1,#1020222842,Deko,SY-658,15 W,NA,Woofer,"Sala,quarto,suite,cozinha,festa,balada,escritorio,carro,quintal,sacada,terraço,salão,portatil,usb,fm",Caixa,Digital,2,NA,Deko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107, Caixa De Som Portátil Jbl Wind P/ Moto E Bike P2 E Bluetooth ,229,NA,"
			
				Novo
			
			
				
					 - 
				
				806
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2197
		
		 sem juros
		
	

	
		",97,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,101,https://perfil.mercadolivre.com.br/SHOPPING-HERE,https://produto.mercadolivre.com.br/MLB-1005049779-caixa-de-som-bluetooth-canho-40w-portatil-mp3-fm-usb-sd-aux-_JM,64,18,5,8,6,#1005049779,Briwax,FBX-106,40 W,Woofer,Woofer,Portátil,Caixa,NA,2,1.645 kg,Caixa de Som Portátil,FBX106,110/220v ou USB 5v,USB,80 dB,NA,NA,NA,NA,NA,NA
108, Soundbar 2.0 Tomate Mts 2019 Bluetooth Entrada Óptica ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				1649
				vendidos
			
		",(351 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 608
		
		 sem juros
		
	

	
		",08,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,48,https://perfil.mercadolivre.com.br/NATAL+SHOW,https://produto.mercadolivre.com.br/MLB-847844019-caixa-de-som-bluetooth-caixinha-wireless-mp3-usb-887-_JM,37,7,1,1,2,#847844019,Altomex,WS-887,3 W,Mini tweeter,Normal,Superfície Plano,Caixa,NA,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA,NA
109," Caixa De Som Jbl, Wind, Bluetooth, 3 Watts, Preto - Jblwind ",74,NA,"
			
				Novo
			
			
				
					 - 
				
				8004
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 716
		
		 sem juros
		
	

	
		",16,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,872,https://perfil.mercadolivre.com.br/ZAP.OFERTAS,https://produto.mercadolivre.com.br/MLB-742391933-caixa-de-som-portatil-amplificada-usb-mp3-radio-fm-300w-e2-_JM,548,208,69,25,22,#742391933,Grasep / Automax,D-S6 / A81,15 W,NA,"6.5""",NA,NA,NA,1,NA,Alto Falante Móvel,NA,Alimentação via USB,USB,NA,NA,NA,NA,NA,NA,NA
110, Caixa Amplificada Ativa Edifier - R1700bt - Bluetooth 66w ,125,NA,"
			
				Novo
			
			
				
					 - 
				
				320
				vendidos
			
		",(20 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1199
		
		 sem juros
		
	

	
		",99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,10,https://perfil.mercadolivre.com.br/TG-SANTOS,https://produto.mercadolivre.com.br/MLB-1078576031-kit-caixa-som-bluetooth-caixinha-usb-sd-radio-atacado-4-un-_JM,7,2,0,0,1,#1078576031,Grasep,D-BH1064,6 W,NA,Mini tweeter,Portátil,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111, Caixa De Som Portátil Charge Mini 3+ Bluetooth Fm Pen Drive ,224,NA,"
			
				Novo
			
			
				
					 - 
				
				68
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1867
		
		 sem juros
		
	

	
		",67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,109,https://perfil.mercadolivre.com.br/ENCOMENDAMAIS,https://produto.mercadolivre.com.br/MLB-1154345891-caixinha-som-bluetooth-potente-80w-rms-portatil-mondial-usb-_JM,68,25,7,3,6,#1154345891,Mondial,MCO-07,80 W,Subwoofer,Mini tweeter,Posicionar,Caixa,5.1,NA,2.2 kg,NA,NA,NA,NA,NA,22 cm,12 cm,32 cm,NA,NA,NA
112, Caixa Caixinha De Som Portátil Bluetooth Exbom M33bt Mp3 Fm ,24,NA,"
			
				Novo
			
			
				
					 - 
				
				1578
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 662
		
		 sem juros
		
	

	
		",62,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,64,https://perfil.mercadolivre.com.br/ESPA%C3%87O+VENDASS,https://produto.mercadolivre.com.br/MLB-695474743-mini-caixinha-som-bluetooth-portatil-prova-de-agua-ventosa-_JM,35,7,8,4,10,#695474743,Importado,BTS-06,3 W,Tweeter,Ativo/Passivo,"Banheiro, Azulejo, Vidro",Caixa,2.1,1,NA,3w,NA,0,NA,80 dB,NA,NA,NA,NA,NA,NA
113, Caixa Som Amplificada Bluetooth 150w Bateria Recarregável ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				202
				vendidos
			
		",(56 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 925
		
		 sem juros
		
	

	
		",25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,23,https://perfil.mercadolivre.com.br/BREVISTORE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=6M9huLRf9IeUnj6Vi1Ip7qELXdW0yLEkabdeDuD8TOjTHBvy7YzOCgaVYZ1fZMCKXAf0RL6WsSEHNUw0NEL%2Bbtoj7kYqJajA2KpjIBuz5gB%2BlWa%2FurHyjsQkwtLAKXHLzrdnaoKwEitR1brxVosU5i%2BG%2BgrDA7HvVa1ZMv03VUUv8Rk3oVZvMQt8mpyqZTpXVckQog%2FmvKz6iqSw3PSq9RciHxrjDK5MIJe1538ZzO8e%2Fx8m9TWYl3HQN5LiGn2n25%2FtVs52GI1DxU01De93F8u4wyVgpwvWEM34dH1R7AVV4wnwsiz5ur0ZlRvczFlYBAel0skswko8aX%2FfURfy7VI3GlGT2OT5VC07I1YvfxpbP%2BuqOEoZaXP7TnuoWtn7giDC3g2RfDvUhY3BuwiToeXyeC5ULZ%2F4iOYiqnv9kGa42pOePJjVK92Puxlb6jYht7zPXprRP5q8qGv1NVJPm%2BbU3sOn2%2BAMFWaZdld62PNDgtFhRef1ER7GMMZU6DgFODVYR9HTHsd6fAWMnZY2JMTj5ou7bt2hXdSh%2F%2BvqL47SfCwCVDNajGYgmppF3e8BN%2B6y4PbmXjBNcB%2F0%2Blcc7HJ6080%2Fg8n2hLx%2Fh%2BfwIVtkr6KEbjLvdGnJlU4yBMB4YF8v86CoeiP52apLWDWY2QoIteAf6Qv%2FRYumUv6aBjzOl6BkGE2MDTA48B%2BtTSgPWzRJ6%2FkiZ3%2Bh2pJTRU4hBuE95aU6C53LP5IZwNSDrud8eX0Y2d%2BmVA%2BsR4Rcu7UCIJrFrBtzTpgZYGr5aL3bBvfLdmIvXoO%2Bc9aLwAWYMurGM9J3%2F9RG4WzL0rQRms%2F5nEclGPjQrSgQR7ViuaADS0YJexTMj4zvgzyBtcdnAjgcpo50qi4ny7YCUjcDt4RKqgGModh%2BnW1u2y8TSYNN5u2B0IpR9k12u5%2FVWJ%2Fhg%2FY5QiFEdumUqTB2BBnhRAgjLdThYUNvLiysiZihSUVGpglQ1CWqSgZww2scDx252dJ%2FbHgI8lEW5o%2FKNRZibQWwtgZ50hr%2FZa4gLvDpQUfzf841zbfL4rWItpcSRcPFPI2nmVsjm0xPuJPOpNwa5uSz%2B9w2xmoMCb%2Burlva2qvETTjraWC5H8xNIjadGZT2roaWP%2FhH3q%2BB9U9EC9xb0GoAaSDqRIdqrFRQu3vmYmcWI8ZG4TO7CTnD7TpxpSB4EGadlGpvqaJNg%2FctHyqiVRVCtgI5eKYj22%2BYONkrakTBKQC3qYcP7Ri3dm197dqD5j3Je66mSJoECSrr7uhaR1KrUysyzls%2FuPljCW4Cjfa4xBLFU0RHoxdLKQderXv9Rywr%2BANIfc2h0HiSkBUQcPTR2dxvx5cPeXNa%2FH3PfoRMP4WUrYBjWnv7XuoiTs6uK9X41QA7QtiLQowxmOjA4khxUR9ODsCx%2BYlAQVhu%2FPyNmLC1%2FTqxpD4M5J8wDh8q05o5LCCXZYBp%2BChnKOVBzhoC%2FgJhLEfho11nqmGw3DifkYSaXFOjQ0tDnVxQxdbJ8RYsNmmx4b0JSSVeaqTVX8QjouFO0nGntddYaNYhp9wQPvOv%2B77wRO9vIY77NYDJU0TY%2FfTerLIWx46I%2F2C7CBJ3%2B%2F5hh18uiBiYFRbB%2BrYCKX%2FG%2F4UkBxMux38Ei3%2FYeYsAvvbj3tkf7Lb9YQmvK4qAl6TQjDrbnT3jTYTHaFzazgnIxic%3D,14,6,3,0,0,#939772594,Exbom,CS-M33BT,10 W,Subwoofer,Ativo/Passivo,"Sala, Quarto, Cozinha, Praia, Sítio",Caixa,1.1,2,NA,Bluetooth,CS-M33BT,110/220v Bi-volt ou 5v USB,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão",NA,NA,NA,NA,20 kHz,85 Hz,NA
114, Caixa De Som Amplificada Bluetooth 25w Portátil Karaokê Fm ,94,NA,"
			
				Novo
			
			
				
					 - 
				
				449
				vendidos
			
		",(45 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 785
		
		 sem juros
		
	

	
		",85,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,27,https://perfil.mercadolivre.com.br/BRANCASHOP,https://produto.mercadolivre.com.br/MLB-952633424-caixa-caixinha-som-amplificada-bluetooth-mp3-usb-cartao-220b-_JM,19,3,2,2,1,#952633424,Goldenultra,MS-220BT / GT-259BT / GT-262BT / D-BH1060,12 W,NA,Ativo,NA,NA,NA,3,NA,Mobile Multimedia Speaker,MS-220BT / GT-259BT / GT-262BT / D-BH1060,110V/220V (Bivolt),Auxiliar,80 dB,NA,NA,NA,108 MHz,87.5 MHz,NA
115, Caixa De Som Jbl Go 2 Portátil 3w Bluetooth Original ,229,NA,"
			
				Novo
			
			
				
					 - 
				
				104
				vendidos
			
		",(9895 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2197
		
		 sem juros
		
	

	
		",97,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,57,https://perfil.mercadolivre.com.br/RELU+MAGAZINE,https://produto.mercadolivre.com.br/MLB-1141430737-micro-system-caixa-som-21-bluetooth-1000w-mp3-fm-pc-bivolt-_JM,38,6,7,3,3,#1141430737,XTrad,XDG-13,20 W,NA,Ativo,NA,Caixa,NA,NA,NA,NA,NA,90V,NA,NA,NA,NA,NA,NA,NA,Preto
116, Bazooquinha Pulse 3 + Bluetooth Caixa De Som Usb Sd Mp3 Fm ,451,NA,"
			
			
				
				417
				vendidos
			
		",(204 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3761
		
		 sem juros
		
	

	
		",61,NA,Envio para todo o país,NA,NA,4.9,2893,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-941686190-caixa-som-bluetooth-jbl-16w-ios-android-camuflado-flip4-_JM,2626,188,38,11,30,#941686190,JBL,Flip 4,16 W,NA,Ativo,NA,Caixa,NA,NA,NA,Flip Series,NA,NA,NA,80 dB,175 mm,66 mm,66 mm,NA,NA,NA
117, Caixa Som Charge 3 Mini Ent Usb Bluetooth Preto Verde Azul ,211,NA,"
			
				Novo
			
			
				
					 - 
				
				121
				vendidos
			
		",(15 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1758
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,5,https://perfil.mercadolivre.com.br/ALISSONFERREIRAVENCESLAU,https://produto.mercadolivre.com.br/MLB-1079363611-caixa-de-som-speaker-google-home-mini-wi-fi-original-_JM,5,0,0,0,0,#1079363611,Google,Home Mini,3 W,NA,abaulado,NA,NA,NA,NA,346 g,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA,NA
118, Caixa Caixinha De Som Portátil Bluetooth Mp3 Pen Drive A-706 ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				113
				vendidos
			
		",(12 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1246
		
		 sem juros
		
	

	
		",46,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1519,https://perfil.mercadolivre.com.br/RN+NACIONAIS-IMPORTADOS,https://produto.mercadolivre.com.br/MLB-1246892764-caixa-de-som-jbl-go2-bluetooth-original-1-ano-de-garantianf-_JM,1393,101,18,4,3,#1246892764,JBL,GO 2,3 W,portatil,NA,NA,Caixa,NA,NA,0.18 kg,NA,NA,NA,NA,80 dB,NA,NA,NA,NA,NA,NA
