search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Tipo de visor,Línea,Modelo alfanumérico,Usos recomendados,Peso
11, Casco Moto Mt Stinger New Gp D3 Amarillo Integral ,4297,NA,"
			
			
				
				10
				vendidos
			
		",(6 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/MT+HELMETS?brandId=1346,https://articulo.mercadolibre.com.ar/MLA-714158396-casco-moto-mt-stinger-new-gp-d3-amarillo-integral-_JM,NA,NA,NA,NA,NA,#714158396,Negro Fluo Amarillo Naranja,"L,M,XL,XXL",MT,Torn,Integral,Poliestireno,Policarbonato,Adultos,Unisex,Simple,Thunder,NA,NA,1450 g
12, Casco Moto Abierto Vertigo V10. En Gravedadx ,990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				963
				vendidos
			
		",(13 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,49,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-679809834-casco-moto-abierto-vertigo-v10-en-gravedadx-_JM?searchVariation=35477242994,31,12,5,1,0,#679809834,Negro,"XXS (52 cm),L (60 cm),XS (54 cm),M - 58 cm,S (56 cm)",Vértigo,Basic,Abierto,Set Poliester,Termoplástico,Adultos,Unisex,NA,Vértigo,NA,NA,NA
13, Casco Motos Integral Halcon H57 + Cuello + Guantes Fas Motos ,1546,NA,"
			
				Nuevo
			
			
				
					 - 
				
				705
				vendidos
			
		",(388 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,305,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-744827612-casco-motos-integral-halcon-h57-cuello-guantes-fas-motos-_JM?searchVariation=26854120381,192,67,32,12,2,#744827612,Negro,"S,M",Halcon,H57,Integral,Resina termoplástica,Polipropileno,Adultos,Unisex,Doble,Integral,NA,NA,NA
14, Casco Rebatible Okn 10 Doble Visor Cuello + Guantes Full Fas ,2645,NA,"
			
			
				
				375
				vendidos
			
		",(27 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,319,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=q%2BRAvhp76RclIhPsedgUM58KQeqv77kzKpI8T6Zy84OWoDNwGUw4Edpg6YpAq0OBVkwxDWG3Ug7lAFnf8%2FLPEeO%2BKsx%2FgitkDuury%2F4DjRRzh1AS9nNiVb2M6gL2uPiXazM9fBhgi%2BCnpgsnQ7O4Flu8xcHQB78RDLRY07kfPzY%2Fl%2Fv3EnfdGtIcqh%2BjZAvcJ5jJVHZxoxyv0A0mXfihPtb4tXT2h3Q3w6LkMPiU%2F3T%2FVGzFOh9hohLh96%2BoEN7xEdst7iFXN%2FjCVJgbzCSk83o25q0EC%2BrOxpXgP5ZYREuohzWyoYozWR0WXkHNI4UZV6p6rdbMw1ZozQw2minyhJMWn1Eiu%2FEmifZEjMmWykpPcs%2BVlC00KzvPnT7X1isAtgbxwWz7gxxuO738ZWWQJ7nGrTGCz6wVG4LqHw7kZlAPnZaKqe7e2XTzJSjxiqVnAbyEbYRMXCTRqyqibkLWWyr26bL7Qhk8ijvx8iE01jDFj2oVEK3gHlvwFdNqZsB7Tp%2Bn22lwjrFoxvuY42Be1F6u7z499veWTXBf5vRst%2BostL9ETodoBqxTgYF5SrxgH2IOueElyjZfwAWXdc0oOvtnzKbO%2Ba5xaED4D4%2F8H2l8n6BHBYKibXwKQAaoVRpvnFRe4j3wLiToJbL72CLCm2GCVNxAARqfbDtbCuf9B%2Bjfky3TURWISVq%2FEMkXU0tzibhnOk69rir127nxvIz23%2BRgjzcbi7bVtHo8WETzv2YAxQAWisL%2BA9jaq8%2BcQSvOwN4QTYJw1DnSLoQga6Lm1%2FCqrenHASj%2BBGIfF6GIHx4v%2BwsVUHTk1mjNDiD8LE%2BLM%2BkchygG4nRBborWEhhr0uQd%2BTk8aEc5zOki4A44M6Xfp4J24IE29f2zMWG71LLA5WQWpMdiog%2FvJRM1owY%2BzErCAKsS%2FEHtmDSgIGYrLhqEUefJqLt81vPaqYVHNdnmSNKlbWiAMOQFNKBlvac5f3bXT%2F54scWtUIL%2FNSKvmV68L05Ctai6Izz%2Fq%2Fp8SQ3fqpXcrCbZtdlGDAcj68wc6KVxpABUI7YTn%2BiuMxMMjJOa1MvyKJEcoUI8%2B8tNCDsCJGeqzKAlcSQ11USixioLzF3L4Sdt%2BoUmclAnJn%2FM4tdFr%2FJopTLkF6v9NTIX9A2QvI5MaMto9myeLFgx%2BqieCwnSCvSed5IuyMxHLDqS4QV929i1UgksGug0KE1qvxWxmIDfqSL5k9JVXB1Y5QMNXiMSBO1K9W2ccJC12JVMGT5o%2FL7IVTuiNdfunk1Ln8g45WPux0OaRLAUTBtUeAm7%2FFLROH0FsBwRVuy9JQtSMaeMrd2JAYlyF5Iul2LUEKfwX31pH%2BJjt5UcLJN%2BXkTM3ks4DT4wWxckADKVRSybJ2LxeLG2J6VWqJx%2BJw%2FjN3QdrHOeBzQhzG9d%2BOu%2FCFFsNW8vHpSYMtmhf%2BrFOlIyA%2F%2BUHlJphPgkusmEhUjV%2F1H3rhqVnjtUwkyaANMM6WR0qbsouoNlK%2B9afCIrX10LMS1tsqi9cwL3KmCPzXXs1PS3ssd4YvDvc%2BtVHMr3BwGfrLbGpc6JST5ZJ9VYNlXpC6JkPnLuRK95c9DwNWfzhgeZRukSMg6As%2FlYJM1T7VQebVKL3hVHL3jA8GMGpVXb58vIyWLvIZzJGqhlj%2Bnb%2Bq8E5a4RqUIGMYjf5t8v6CKRHhoRIihBK6DodkH7Xi9Y4JneR8sR6YpHPKPtYXc5iOLBmrdLAz4QgbSMG3hnvfNnJrBZXp84Ed57BK4%2BaPOt4HSygY18Ra%2B9bFgSHU9fsMopl3ndBeUOebfscpW5Nso8PDucwhXPsPwHNePQRu5st7ja1mdcTtuq7qAkGascB92TRvNjBv7FOwRFLEpCvYF2rw%3D%3D,214,67,32,4,1,#777255941,Negro mate,,Hawk,RS1,Integral,Cuero sintético,ABS,Adultos,Unisex,Simple,NA,NA,NA,NA
15, Casco Rebatible Okn 10 Doble Visor Cuello + Guantes Full Fas ,3750,NA,"
			
				Nuevo
			
			
				
					 - 
				
				579
				vendidos
			
		",(5 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,566,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-617028559-casco-rebatible-okn-10-doble-visor-cuello-guantes-full-fas-_JM?searchVariation=35227027230,359,138,49,11,8,#617028559,"Azul,Negro,Rojo","M,L",Okinoi,OKN-10,Rebatible,NA,ABS,Adultos,Unisex,Doble,Rebatible,NA,NA,NA
16, Casco Integral Shiro Motegi Sh-821 Rojo Negro Azul Fas Motos ,3990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				166
				vendidos
			
		",(21 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,227,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-616362502-casco-integral-shiro-motegi-sh-821-rojo-negro-azul-fas-motos-_JM?searchVariation=34642577572,158,49,12,3,5,#616362502,"Amarillo - Fluo,Negro - Blanco,Negro - Rojo,Rojo - Azul","S,M,L,XL,XXL",Shiro,MOTEGI,Integral,NA,ABS,Adultos,Unisex,Simple,urbano,821,NA,1390 g
17, Casco Integral Hawk Rs1 2019 Sti Motos Envios Full ,2199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				503
				vendidos
			
		",(20 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,319,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-636093454-casco-integral-hawk-rs1-2019-sti-motos-envios-full-_JM?searchVariation=25890123673,214,67,32,4,1,#636093454,Blanco,"S,XL",Hawk,RS1,Integral,NA,ABS PREMIUM,Adultos,Unisex,Simple,Integral,RS1,Urbana,NA
18, Casco Motos Integral Halcon H57 Modelo 2019 - Sti Motos Full ,1215,NA,"
			
				Nuevo
			
			
				
					 - 
				
				535
				vendidos
			
		",(45 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,305,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-617071459-casco-motos-integral-halcon-h57-modelo-2019-sti-motos-full-_JM?searchVariation=35322465035,192,67,32,12,2,#617071459,Negro,"S,M,L,XL",Halcon,H57,Integral,NA,Polipropileno,Adultos,Unisex,Simple,Integral,H57,NA,NA
19, Casco Rebatible Rs5 Hawk Vector Doble Visor Cycles ,3440,4500,"
			
				Nuevo
			
			
				
					 - 
				
				361
				vendidos
			
		",(106 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,1049,https://perfil.mercadolibre.com.ar/CYCLES+MOTO,https://articulo.mercadolibre.com.ar/MLA-755651553-casco-rebatible-rs5-hawk-vector-doble-visor-cycles-_JM?searchVariation=41084926794,639,281,83,30,16,#755651553,,"S,M,L,XL",Hawk,RS5,Rebatible,Cuero sintético,ABS,Adultos,Unisex,Doble,Rebatible,RS5,Urbana,NA
20, Casco Moto Hawk Rs1 Integral Negro Mate Tienda Oficial Full ,2984,NA,"
			
				Nuevo
			
			
				
					 - 
				
				184
				vendidos
			
		",(99 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,8,https://perfil.mercadolibre.com.ar/LETT+STORE,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=EBmhAYYJxISBa4rlKvn1j6PqEDg0DXV%2Foh203iLJXWTeOeQkduYDHXWJUQ65QSaFOvN9LsLR%2Bd8PTlO2641oaVLM%2BcZRhqyWoqvGJzG%2B4wT5lQwF65qyEAAkKLCET6ojJ2Vk7viUOBxJYYY6k9tpwGw5e4XM%2BQsMAWcH2nBSOlrOKPBwiOPAbO2SogIRli0onbeJT3yLLe%2B9hU28utdtoIMkeCynrusXWjIuFJXRfDn%2FzZRvxkCA7KhG%2FeiLv7jLuX1jb4Gpn6cBMO7SSnZiFgLyvk0ESNenRfQ5BDJu5pS%2FCuwIqYeRBqrLWrtn0jirrljDCwYLt0IMBe%2BTS9GKI1EPPvB0VkahIuAnu3ejRWEzvr0r6u%2FZobTlyAiz%2BTh6Tp7u5RFvutdAJNWROC0akH%2BWvxs7spRhTA2G0BV5AWa9K64VXPVZmnllqztKrpkIIexg8YvggRzfO0J%2FjyMPeNfyw3tWWNlrxVJnu3eaGhYyML%2Fn3EwkxMVbRIlaUWCu5vzlYZYSgeR9EELb3KXzye%2BNxRTi%2FUOnzTmwU%2BE5IEh1yNhU6iePiAZ7z7Gmd312QocIQtCzM%2BkxPlVfIhgarxb0PR5POHePwV4SVV%2BSTp%2FkYPhC34Ei6zZ6Kk0vCDfB%2FSyr2cdavI75QZSK6qIdwyl8c0zoE65pe%2FHsCniqjBFcr4Vc8JOrSQPo1Hb94LvkCG4Igro5OVK3vHp2TFieN0vK5N8Xoysco1WlOz67YSfr%2BbfINfbGvrWOQGGenD%2FmIqTO4fY5uHmGQohb94imZh6fazo2tUr1vDRIDsUib85SkFrkNYsWDy7WmMArdIn4VDcvKWT6BybTHSMl%2BpEB3tgbo9poDRqYOwKk9e26Zu1%2FNzb%2B%2FQButgXaXHbd0KRY7Zn0ZsrwG3ybPpGeMRiT2tyUVom4z8UZ76DqBlapzG1gwAEtEOkkrfskQA8Xb7VpyfXFTiwzu6ZMUcJaq65XIONtCJnJn%2BsTKVztFFwnbkUIhjIdvhOF3ocQavihvIOoc9IexV7aosRGPOUA3teCg%2BVQEV%2Fqrsy7ldq6gLobbaIDAKUo19sHCk9JXDymmR9zJkYowGXC79hAYG8n%2BifyWuZ7rwwlQgvq7mE0SzhZ3EtwlHwFzoeL8M4zHX%2FRNZmCv80yCrnr46CCKWMGyJ4BHhBg1wzFUOAAZ%2Fv881Q634mvLbqNLPDKGt1hh77A4WAHKVO0RU55ZxjI1YTirwvdb12cBR3cnx%2BrV6SdK%2B6MtUA4EbDN5NWfIaJqRdfjKk%2FKvR%2F88kOJ00XNG5CnLHklZvIK%2BY0I%2BypdFMAQDZCJb5p4HNN%2BndJsCg4Ot%2BRleV6seItLFw9XtPBRYhT4HlwisV%2BFeIXM6TfWUULQIHjkyUI1N6saH4tHeQoaqEBblt%2B%2BJ1rj4brcvjQej2tfHETAZiHsv%2BuH%2FQA3XHUKhjAsiqe4iYL%2FqQlAwVElmHN9kRZyUE0yphU72iVE0ir8bkjbGAyo7BIuM%2Bl%2FlI48QMS44NyEP1uoWCWKqCxdXumYl298yqYfWujHgXy7Thn9ShgsFeQFY15c7SrZknwQJMmvHBMpcZYWdYKzk1pPZDs%2FpRiAz3zBI9J2TZnkphV%2BoJSo7uohVpBvaxQz12U4U8ilCYEtiTGYSBur76iQ%2BxWTGBpH89MzmcBDUuyqHinnLEkR0ERNzqYsx%2BJs1gE8aN2QCsJxQp%2FMGM1uDAD%2FtwbNwvpai1xMGnaEMv01kkgEvcrLAbJtGc03pKD%2BZJM9wqNXUNw66nasA4POVkpDhK21hmUmGNavwWUnrRAf1U5ddJOb9nKb2VsIOGbNYQwWrMsQ3dlmYZDMEI0WK2EwgYBkwM0cTgc%3D,7,1,0,0,0,#751765547,Negro,"S,M,L,XL",Hawk,DR46,Rebatible,Cuero sintético,ABS,Adultos,Unisex,Simple,HTL,NA,NA,NA
21, Casco Rebatible Doble Visor Okn 10 Guantes Cuello Full Fas ,3750,NA,"
			
				Nuevo
			
			
				
					 - 
				
				170
				vendidos
			
		",(18 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,566,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-620583344-casco-rebatible-doble-visor-okn-10-guantes-cuello-full-fas-_JM?searchVariation=36248223822,359,138,49,11,8,#620583344,Blanco - Negro,"M,L,XL",Okinoi,Okinoi 10,Rebatible,NA,ABS,Adultos,Unisex,Doble,Rebatible,NA,NA,NA
22, Casco Moto Integral Doble Visor Vega Rs1 ,3790,NA,"
			
			
				
				175
				vendidos
			
		",(9 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,23,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://articulo.mercadolibre.com.ar/MLA-770829978-casco-moto-integral-doble-visor-vega-rs1-_JM?searchVariation=32988912564,23,0,0,0,0,#770829978,HI-VIZ ORANGE SLINGER MATTE,"M,L",Vega,RS1,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA
23, Casco Moto Hawk Htl Dr46 Rebatible Lett Store ,2984,NA,"
			
				Nuevo
			
			
				
					 - 
				
				184
				vendidos
			
		",(99 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,8,https://perfil.mercadolibre.com.ar/LETT+STORE,https://articulo.mercadolibre.com.ar/MLA-751765547-casco-moto-hawk-htl-dr46-rebatible-lett-store-_JM?searchVariation=33931244129,7,1,0,0,0,#751765547,Negro,"S,M,L,XL",Hawk,DR46,Rebatible,Cuero sintético,ABS,Adultos,Unisex,Simple,HTL,NA,NA,NA
24, Casco Motocross Enduro Just1 Edicion Limitada ,5939,NA,"
			
				Nuevo
			
			
				
					 - 
				
				169
				vendidos
			
		",(38 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,36,https://perfil.mercadolibre.com.ar/WSTANDARD+GROUP,https://articulo.mercadolibre.com.ar/MLA-683981943-casco-motocross-enduro-just1-edicion-limitada-_JM?searchVariation=20998787194,33,3,0,0,0,#683981943,"M,L",,Just1,CHUPACABRA,Cross,Termoplástico inyectado,ABS,NA,NA,NA,J32,NA,Carrera,NA
