search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca da Capa,Marca de Celular,Modelo de Celular,Modelo da Capa,Tipo de capa,Material
567, Capinha Seleções Copa México Chicharito - iPhone 8 8 Plus ,11,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(503 disponíveis),"
	
		
			
		

		2x 
		
			
				R$ 599

			 sem juros
			
		
	


	
		",99,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SHOPNOW2019,https://produto.mercadolivre.com.br/MLB-1192253189-capinha-top-proteco-antiqueda-iphone-7-8-x-xs-xr-xs-max-_JM?searchVariation=33915052664,NA,NA,NA,NA,NA,#1192253189,JFO Comercio,Apple,iPhone 7 8 Plus,Silicone Case,Silicone,Silicone
568, Capinha Top Proteção Antiqueda iPhone 7 8 X Xs Xr Xs Max ,10,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(13 disponíveis),"
	
		
			
		

		2x 
		
			
				R$ 500

			 sem juros
			
		
	


	
		",00,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/002VENDAS,https://produto.mercadolivre.com.br/MLB-1120135670-capa-capinha-anti-impacto-dupla-proteco-iphone-81pvidro-_JM,NA,NA,NA,NA,NA,#1120135670,Valle,Apple,Incolor,Incolor,Incolor,Silicone
569, Capa Capinha Anti-impacto Dupla Proteção iPhone 8+1p/vidro ,11,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(9498 disponíveis),"
	
		
			
		

		2x 
		
			
				R$ 590

			 sem juros
			
		
	


	
		",90,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SHOPNOW2019,https://produto.mercadolivre.com.br/MLB-1190893178-capinha-iphone-7-8-x-xr-xs-max-case-ultra-fina-transparente-_JM?searchVariation=33827367403,NA,NA,NA,NA,NA,#1190893178,Apple,Apple,iPhone 8,Silicone Flexível,Flexível,Silicone
570, Capinha iPhone 7 8 X Xr Xs Max Case Ultra-fina Transparente ,13,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(248 disponíveis),"
	
		
			
		

		2x 
		
			
				R$ 705

			 sem juros
			
		
	


	
		",05,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SHOPNOW2019,https://produto.mercadolivre.com.br/MLB-1190890942-capinha-p-iphone-8-360-graus-protege-frenteverso-_JM,NA,NA,NA,NA,NA,#1190890942,KCVENDAS,Apple,iPhone 7 8,Silicone Frente e Traseira,Protetora Anti Riscos e Pequenos Impactos,Silicone
571, Capinha iPhone 8 ,7,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(27 disponíveis),"
	
		
			
		

		1x 
		
			
				R$ 799

			 sem juros
			
		
	


	
		",99,Envio para todo o país,NA,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/CAPASORIGINAIS,https://produto.mercadolivre.com.br/MLB-939791549-capinha-iphone-8-_JM,NA,NA,NA,NA,NA,#939791549,NA,Apple,NA,NA,NA,NA
572," Capa 360^ Capinha iPhone 7, 8 360 Graus Frente E Verso ",17,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(3 disponíveis),"
	
		
			
		

		3x 
		
			
				R$ 597

			 sem juros
			
		
	


	
		",97,Envio para todo o país,NA,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/MOBIEXPRESSO,https://produto.mercadolivre.com.br/MLB-1218613847-capa-360-capinha-iphone-7-8-360-graus-frente-e-verso-_JM,NA,NA,NA,NA,NA,#1218613847,case power,Apple,iPhone 7 iPhone 8,Capa 360^ Graus,Braçadeira,Silicone
573, Capinha iPhone 8 / 8 Plus - Original Apple ,30,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(100 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 500

			 sem juros
			
		
	


	
		",00,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CASESEACESSORIOSIL,https://produto.mercadolivre.com.br/MLB-1177268698-capinha-iphone-8-8-plus-original-apple-_JM,NA,NA,NA,NA,NA,#1177268698,Apple,iPhone,iPhone 8 / 8 Plus,Case,silicone,silicone aveludada
574," Capa Capinha Case Cristal Iphone 8 (4,7) + Pelicula ",34,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(495 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 647

			 sem juros
			
		
	


	
		",47,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LUC_FERREIRADESALES,https://produto.mercadolivre.com.br/MLB-935021127-capa-capinha-case-cristal-iphone-8-47-pelicula-_JM,NA,NA,NA,NA,NA,#935021127,H'maston,Apple,iPhone 8 e iPhone 8 PLUS,Capa Acrílica,Capa Acrílica,Silicone
575, Capinha Case Original Apple iPhone 8/8 Plus ,33,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(90 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 559

			 sem juros
			
		
	


	
		",59,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CASESEACESSORIOSIL,https://produto.mercadolivre.com.br/MLB-1176783400-capinha-case-original-apple-iphone-88-plus-_JM,NA,NA,NA,NA,NA,#1176783400,Apple,Apple,Iphone 8 Plus,Silicone,Case,Silicone Aveludada
576, Capinha Casca De Ovo Ultra Fina iPhone 5 6 7 8 Plus +p Vidro ,26,NA,"
			
				Novo
			
			
		",(250 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 578

			 sem juros
			
		
	


	
		",78,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SHOPVENDAS19,https://produto.mercadolivre.com.br/MLB-1162451465-capinha-casca-de-ovo-ultra-fina-iphone-5-6-7-8-plus-p-vidro-_JM?searchVariation=31697152028,NA,NA,NA,NA,NA,#1162451465,Importado,importado,Iphone,Silicone,Silicone,Emborrachada
577, Capinha Case Original Apple iPhone 8 Plus ,35,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(93 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 600

			 sem juros
			
		
	


	
		",00,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CASESEACESSORIOSIL,https://produto.mercadolivre.com.br/MLB-1170962589-capinha-case-original-apple-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#1170962589,Apple,Apple,Iphone 8 Plus,Silicone,Case,Silicone Aveludada
578, Capinha Magnética Case Top Para iPhone 7 Plus 8 Plus ,28,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(967 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 580

			 sem juros
			
		
	


	
		",80,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=tmhEzKboHudVTK9FHFPqsP5GZtmv4XGFPbOEMPLoSkObmJ7qrWAez7D%2BP9DjLZ4PnVW8opJZqU%2BwyknS3CACobs7FAuc7LLUAH%2FQi0t7vNcgjKlQbfdOZY4lXrLnDsKQ%2BCwZ4nW%2F66No1uAdQYCVdFeZyHzd%2FiutcfqgofA4YfLyIZNX%2BHTRZ8L1cyDaXJk8KAmaxMlESK7e%2B2n9KHUwav0Mb9GtA6ns5oV1y6SI3ny8ip5M%2BaBZ21YvfxTbGVaQMuc4%2F6umT4rRAa7R7ABl%2Bp9bICzsu1ED2v8%2Bxbu0rkdfM7jdfQHe%2F9sxW4PwDH%2FkSWx%2Bodu7Ub2cEVeM5ciBiNok91tS9TEFSdccf4L78O%2FUONUqaR5%2BCgIaKcUxHbXK8NxRfMbwnJ8iCZSubqWgp5Zb1kX552QpquUMI%2FJcaAw9DfQPFwYMksfJUXoXUcrSylpBljqeHLG9m2I%2FtAbFL8fwt33ixcWlCiAttgTda7TvKKOCJKYVSdwdeviR72QkSmHrTq%2BbrkFeP1te4Af7wVqbJ2PRuu38Pd%2BsZKcy%2F8XpEAXlnqc4skAjuQ%2Bbbw5%2F2U3VKskwdaDDp2C5NaNcuqALT%2F1UMjyNdyNXT4o%2FfUu9x1SjkJiqGPSsRSsyZA99BsmGx1bQC41FtnoqLEXqGOFG%2BkN3VJYb1NTJoij668YZ%2FAmtYl9pxR0A4S%2FZxi8h287Vun4rPnnkSz4%2BjxEVhLWjYkIMoMOcDdQe7rVihhpw5FE59wX4IzVfe9czcr032xs8kgNubhK%2BXhIm0EqbCmymkrxbWUBMUQnatRkW9pWG0jcQMqHfg3idBG3kwkiTYKw038HytE6mb5TIlZz3LERmvvzsGYUyb24nGknFtI1yTd2jslUBCwFI1CrWSE1%2BSJnWCHga8klKeAp4Qdw%2BcwPwbZRcFkuQZlkbiTUZxtMzDhEb3EF97QyLQE5Ujma9dLdem9TjXbnDl%2F5tmsiUkwDfVkANwMoM106jUveBDULFnJzhcuBGC1Sa7evGrhlq9AT9f6yTxFt97R100Zhn%2F%2BdqQORl7WhcU41iXnbRYSSIn2EAy2u4yg8XakjRvuBHpNVEoW3BqnltlebsWvrcSbaQnNtgOggwMzPRIWq9nJX0eWKPM1%2FlIDeNc6L%2F3CUrdkmX389aysphSLa9DOPSXcoGSWfs3vAU97tImCq76iUm9RWckpV8Luw0Sa0DTwquIP4VEFEnKC5Yu91C%2BuIvKZhevl%2FaVROSVFP%2FOLrn0YahQccOagYWoMz5nsow6Mz9uk2XwPTPAhQJ4xvrjtk7hDdxZ%2F7jZ0GVj8TDkxHoMwb36hX3VNnKajIMT75pC9UYIJpOMhqDQEKO3R2bP3BN2psz87cg6%2ByeafKebnmCUCL74xn4pHehcwukGHm0T7TDiwdTfoM0C2Az9U1cVSce6rivFcCgC6rtGUEvi8oXECDCH6Q0lbmoTsUXndwoPbBoeTAKhhcsebqmXHLHsIU1mQFG,NA,NA,NA,NA,NA,#1246926811,Apple,Apple,iphone7 iphone 8,iPhone,Apple Original,Silicone- Aveludada
579, Capa Case Capinha Fumê Silicone iPhone 8 + Pelicula De Vidro ,26,NA,"
			
				Novo
			
			
				
					 - 
				
				14
				vendidos
			
		",(986 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 538

			 sem juros
			
		
	


	
		",38,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/UNIVERSOMEGASHOPP,https://produto.mercadolivre.com.br/MLB-999260588-capa-case-capinha-fum-silicone-iphone-8-pelicula-de-vidro-_JM?searchVariation=32765851271,NA,NA,NA,NA,NA,#999260588,NA,NA,NA,NA,NA,NA
580, Capa Case Capinha Quadrada Vidro Temperado iPhone 8 Gucci ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(27 disponíveis),"
	
		
			
		

		10x 
		
			
				R$ 568

			 sem juros
			
		
	


	
		",68,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LINCSTORE,https://produto.mercadolivre.com.br/MLB-1080316161-capa-case-capinha-quadrada-vidro-temperado-iphone-8-gucci-_JM,NA,NA,NA,NA,NA,#1080316161,Gucci,Apple,iPhone 8,Estampa Gucci,Tempered Case,TRASEIRA: Vidro Temperado - LATERAIS: TPU ( FLEXÍVEL ) - PC
581," Capinha Case Ultra-fina Transp Tpu iPhone 8 6, 7, 7 Plus, X ",25,NA,"
			
				Novo
			
			
		",(5000 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 501

			 sem juros
			
		
	


	
		",01,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SHOPVENDAS19,https://produto.mercadolivre.com.br/MLB-1204902751-capinha-case-ultra-fina-transp-tpu-iphone-8-6-7-7-plus-x-_JM,NA,NA,NA,NA,NA,#1204902751,KCVENDAS,Apple,iPhone,Silicone,NA,Silicone
582, Capinha Magnética Case Top Para iPhone 7 E iPhone 8 ,47,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(1 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 791

			 sem juros
			
		
	


	
		",91,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BARRETTOMEGASTORE,https://produto.mercadolivre.com.br/MLB-1172553089-capinha-magnetica-case-top-para-iphone-7-e-iphone-8-_JM?searchVariation=34511411170,NA,NA,NA,NA,NA,#1172553089,Chapolin Store,Apple,IPhone 6 IPhone 7 e IPhone 8,Case Magnética,Magnética,Alumínio
583, Capa Capinha iPhone 4 5 5s 5c Se 6 6s 7 7 8 X Xs Xr Plus Max ,19,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(9995 disponíveis),"
	
		
			
		

		3x 
		
			
				R$ 666

			 sem juros
			
		
	


	
		",66,Envio para todo o país,NA,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/QUARKCASE,https://produto.mercadolivre.com.br/MLB-888335896-capa-capinha-iphone-4-5-5s-5c-se-6-6s-7-7-8-x-xs-xr-plus-max-_JM,NA,NA,NA,NA,NA,#888335896,QuarkCase,Apple,Iphone 8,Iphone 8,Tpu Flexivel Personaizada,Silicone
584, Capinha Magnetica Do iPhone 6 7 8 7 Plus 8 Plus X Xs Max Xr ,28,NA,"
			
				Novo
			
			
				
					 - 
				
				19
				vendidos
			
		",(932 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 580

			 sem juros
			
		
	


	
		",80,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=vEDu4vJniLcYlv6oXAnh7cPaJzlKi115NQwl1uDs7NIx6mAMs%2BDaPdX4iaGywRvd5zyQWHn2ufEKsbr9o3OovD2gxp70s7oofz4IhNcIJSP8X8Bg8cBFpy88NJ7uA2MB4qLwiQxEoUL81vP6oZIqkXp%2FBFKFnb%2FonZ5e0McI8Wyr1CZxnZuht0FqyC1qlee4CwRCRDSDWkfsseZZ7H9WyW8cXlXZ4JKllNHdwdsWDu3tMPghRvi%2FdsZKiE9tuTWoPP4wg7Ae8%2BOHI2GQ00gsKfyczYjAk2pIISjCB8kvFZXj%2BbTvOJX5FXa8kI3zRGhu8G0UciWdPPRFezpu5XSExVtqbpqHvEePOL%2F99eLmNRJpPosln2jpncBpiAec8nOd%2FrB7HE9V5dcNkkNN1fc9JwtXNcfp2x0baMpSrCJIBWCvE75XhPT9dV8C9V%2FUf7QCf3nEvsseuyU4Y7Px9cF9DwCw7OkF8KoIAb1g9ndT8sfZieVt4pnrmqIyvdILugHnfxmfQokzYewM7mJmeheUOS6PvNKKdvtPePsnHmis9tprjYyMbj650yYqE6F43Ijui1sB3AGxS3GdiADwDmvwoy2UhdeXLyUEsHB%2BJO4ruoj0YCS11H2ZN2pqFAm4SwVZle2kVTXB29luvglntEyHbxN6Uc7kA0gQj93Y5GSgN8SRAyfG0MH8DLMSb3q9uco7phVozRpu0CjlVr7EBng4rbFDcD6hida%2BDp6nTbeqkBmuWD%2Bhj%2FRCIPDOsDKVNVMF65iJh1PIay4yAJbmiXffXHu2rx76SWnJZMM6ZCTasbPEQy10t%2FOE8ZAI7A0kjPsk8ws%2BrOQubaRrxdlGJTI5Q7GbkyUfiE4QxQ7nY3TvEAMcBzJNDl7v0OseckMjNclfNbTQR1uExmN2IormQMqoFXiDUmA9cTPlcrSj6mB%2F8MWqK1QxQqS4aHYlj6PdifDwo2Jdrg3TILiEi5%2FBmq3HHDGUStfZi5FsH5rvlZkvHcYKOYRbScLbPQlwC%2BZE6ML%2BRBl%2FnZ559qmF1du86ShtEXauhxT%2FmSgkvp0COBKJt84i9D3Z8McBEwGLG1RQdzdj5VyLVL%2F87Hm7GzquRb8wxr3S35ogo%2FWgWfpWJFV7KHG2NZscY3LDyook94WWlsRt3GqMK8eCCTIxqeOLci8alrs4aEBE50Kp9K3r3UB7zAOInqcC%2BPtk7AmkW%2FIKgstZikoWafDhfeT7pp7S9DwaJZdrWqinLhuH5xSMzNEO9ahlsnl2jHFhP0hKvKPRO%2Fwp0jgaAjuMI%2FQqTp2cafCFrlglvg%2FtrylO68wH1FpYQJzvaAS4MYPOniel5piq2w1XDjbCKptqpTBh1gyGEBVeqj%2BONjV6G3qHjfwqwcCukA9Wq%2B4sXNNrdUJ86B6TM5BIdDZKsTtQvogtklc6KSlO61rLfXkFDWVQUGZVKK%2BKblv9VfZSsFNsxQdAtCRTUrZnmB0WFPMQKZ%2BYXKJNQvc2nA%2Ff5Io%3D,NA,NA,NA,NA,NA,#1246923437,Apple,Apple,iphone7 plus  iphone 8 plus,iPhone,Apple Original,Silicone- Aveludada
585, Kit C/ 2 Capinhas Silicone 3d Rosa iPhone 6 7 8 / 6 7 8 Plus ,79,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(34 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 764

			 sem juros
			
		
	


	
		",64,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LINCSTORE,https://produto.mercadolivre.com.br/MLB-1077890995-kit-c-2-capinhas-silicone-3d-rosa-iphone-6-7-8-6-7-8-plus-_JM?searchVariation=26168726918,NA,NA,NA,NA,NA,#1077890995,Silicone,Apple,"iphone 6, 6s. 6Plus. 7. 7Plus. 8 . 8 PLUS","6 ,  6 Plus,  7 , 7 Plus , 8 , 8 Plus",SILICONE,Silicone
586, Kit 2 Capinhas Case Promoção Best Friend iPhone 8 ,35,NA,"
			
				Novo
			
			
		",(10 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 600

			 sem juros
			
		
	


	
		",00,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CAROLL41,https://produto.mercadolivre.com.br/MLB-1167602198-kit-2-capinhas-case-promoco-best-friend-iphone-8-_JM,NA,NA,NA,NA,NA,#1167602198,Tudo Celular,Outros,Iphone,Silicone Flexível,Silicone,Silicone
587, Capa Capinha iPhone 7plus iPhone 8plus Universo De Estrelas ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(10 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 665

			 sem juros
			
		
	


	
		",65,Envio para todo o país,NA,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/POWER.CELULARES,https://produto.mercadolivre.com.br/MLB-1151693693-capa-capinha-iphone-7plus-iphone-8plus-universo-de-estrelas-_JM,NA,NA,NA,NA,NA,#1151693693,Silicone,Apple,iPhone 7 Plus iPhone 8 Plus,Personalizada com nome,Braçadeira,Silicone
588, Capinha De Iphone 8 Bumper Silicone - Diversas Cores ,17,NA,"
			
				Novo
			
			
				
					 - 
				
				97
				vendidos
			
		",(255 disponíveis),"
	
		
			
		

		3x 
		
			
				R$ 608

			 sem juros
			
		
	


	
		",08,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,4.0,3,https://perfil.mercadolivre.com.br/CORONITASCOMERCIOLTDA,https://produto.mercadolivre.com.br/MLB-937990800-capinha-de-iphone-8-bumper-silicone-diversas-cores-_JM,2,0,0,1,0,#937990800,Apple,Apple,iPhone 7 8,Anti Impacto,Silicone Case,Silicone
589, Capinha Case Colorida iPhone 8 Plus Colorida - Kit 2 Capas ,38,NA,"
			
				Novo
			
			
				
					 - 
				
				62
				vendidos
			
		",(33 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 642

			 sem juros
			
		
	


	
		",42,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,5.0,4,https://perfil.mercadolivre.com.br/CORONITASCOMERCIOLTDA,https://produto.mercadolivre.com.br/MLB-934943843-capinha-case-colorida-iphone-8-plus-colorida-kit-2-capas-_JM,4,0,0,0,0,#934943843,Apple,Apple,iPhone 8 Plus,Silicone Flexível,Silicone Case,Silicone
590, Capinha Magnética Case Top Para iPhone 7 iPhone 8 ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(5 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 832

			 sem juros
			
		
	


	
		",32,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/RST_SALES,https://produto.mercadolivre.com.br/MLB-1034928021-capinha-carteira-iphone-88-plus-porta-carto-couro-brinde-_JM,NA,NA,NA,NA,NA,#1034928021,DUX DUCIS,Apple,Iphone 8 Normal e 8 PLUS,Carteira,Flip Cover,Couro
591, Capinha Carteira iPhone 8/8 Plus Porta Cartão Couro + Brinde ,15,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponíveis),"
	
		
			
		

		3x 
		
			
				R$ 562

			 sem juros
			
		
	


	
		",62,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BERKANOTECH,https://produto.mercadolivre.com.br/MLB-1157256235-kit-protech-capinha-capa-casepelicula-iphone-8-plus-barata-_JM,NA,NA,NA,NA,NA,#1157256235,Hrebos,Apple,iPhone 8 Plus,Anti Impacto,TPU,Silicone
592, Kit Protech Capinha Capa Case+película iPhone 8 Plus Barata! ,35,NA,"
			
				Novo
			
			
				
					 - 
				
				149
				vendidos
			
		",(11363 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 583

			 sem juros
			
		
	


	
		",83,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,3.7,3,https://perfil.mercadolivre.com.br/JKCAPAS,https://produto.mercadolivre.com.br/MLB-980245026-capa-capinha-luxo-anti-impacto-proteco-iphone-8-8-plus-top-_JM?searchVariation=20926499701,2,0,0,0,1,#980245026,1,Apple,iphone,1,NA,Emborrachada
593, Capa Capinha Luxo Anti Impacto Proteção iPhone 8 8 Plus Top ,34,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(496 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 647

			 sem juros
			
		
	


	
		",47,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LUC_FERREIRADESALES,https://produto.mercadolivre.com.br/MLB-935036817-capa-case-capinha-cristal-iphone-8-e-8-plus-pelicula-_JM,NA,NA,NA,NA,NA,#935036817,H'maston,Apple,iPhone 8 e iPhone 8 PLUS,Silicone  / TPU,Silicone  / TPU,Silicone
594, Capa Case Capinha Cristal Iphone 8 E 8 Plus + Pelicula ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(99 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 817

			 sem juros
			
		
	


	
		",17,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CASE+SMART,https://produto.mercadolivre.com.br/MLB-1011893856-capa-capinha-case-slim-rock-classy-iphone-7-8-pel-vidro-_JM,NA,NA,NA,NA,NA,#1011893856,ROCK,Apple,iphone 8/7,Classy Series,NA,Metal + PC
595, Capa Capinha Case Slim Rock Classy iPhone 7 / 8 + Pel Vidro ,59,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(999 disponíveis),"
	
		
			
		

		10x 
		
			
				R$ 599

			 sem juros
			
		
	


	
		",99,Envio para todo o país,NA,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/LOJA+CELLWAY,https://produto.mercadolivre.com.br/MLB-1052228355-capinha-carteira-couro-nome-iniciais-roxo-iphone-8-_JM,NA,NA,NA,NA,NA,#1052228355,CELLWAY,Apple,IPHONE 8,CAPA CARTEIRA COM NOME,Carteira,Couro
596, Capinha Carteira Couro Nome Iniciais Roxo iPhone 8 ,25,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(4 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 567

			 sem juros
			
		
	


	
		",67,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/FARIAS_IMPORT,https://produto.mercadolivre.com.br/MLB-1152290250-capinha-capa-case-para-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#1152290250,N/A,Apple,Iphone 8 plus,iphone 8 plus,NA,Emborrachada
597, Capinha Capa Case Para iPhone 8 Plus ,37,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(496 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 703

			 sem juros
			
		
	


	
		",03,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LUC_FERREIRADESALES,https://produto.mercadolivre.com.br/MLB-935019126-case-capa-capinha-cristal-iphone-8-e-8-plus-pelicula-_JM,NA,NA,NA,NA,NA,#935019126,H'maston,Apple,iPhone 8 e iPhone 8 PLUS,Silicone / TPU,Silicone / TPU,Silicone
598, Case Capa Capinha Cristal Iphone 8 E 8 Plus + Pelicula ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(19 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 740

			 sem juros
			
		
	


	
		",40,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LUC_FERREIRADESALES,https://produto.mercadolivre.com.br/MLB-935021410-capa-capinha-case-cristal-iphone-8-47-pelicula-de-vidro-_JM,NA,NA,NA,NA,NA,#935021410,H'maston,Apple,iPhone 8 e iPhone 8 PLUS,Silicone / TPU,Silicone / TPU,Silicone
599," Capa Capinha Case Cristal Iphone 8 (4,7) + Pelicula De Vidro ",39,NA,"
			
				Novo
			
			
				
					 - 
				
				72
				vendidos
			
		",(14294 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 650

			 sem juros
			
		
	


	
		",50,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,3.0,1,https://perfil.mercadolivre.com.br/JKCAPAS,https://produto.mercadolivre.com.br/MLB-980241978-capa-capinha-luxo-anti-impacto-phone-8-8-pluspelicula-vidro-_JM?searchVariation=20926557771,NA,NA,NA,NA,NA,#980241978,1,Apple,iphone,1,NA,Emborrachada
