search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales,Peso
11, Afeitadora Corporal Philips Bodygroom Bg3005/15 Apta Ducha ,1799,NA,"
			
				Nuevo
			
			
				
					 - 
				
				858
				vendidos
			
		",(60 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,549,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729696881-afeitadora-philips-aquatouch-s103004-_JM,368,122,37,13,9,#729696881,Philips,AquaTouch,S1030/04,S1030/04,45 M,220v,Flexibles,NA
12, Cortabarba Multigroom Philips Mg5730/15 ,2950,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(97 disponibles),6 cuotas sin interés,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,91,https://perfil.mercadolibre.com.ar/FULL_PROF,https://articulo.mercadolibre.com.ar/MLA-756788500-rasuradora-electrica-de-barba-y-patillas-trimmer-gt-555-gama-_JM,61,18,6,2,3,#756788500,GA.MA Italy,NA,GT 555,NA,NA,NA,NA,NA
13, Rasuradora Electrica De Barba Y Patillas Trimmer Gt 555 Gama ,1790,2740,"
			
				Nuevo
			
			
				
					 - 
				
				424
				vendidos
			
		",(47 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,35,https://perfil.mercadolibre.com.ar/TIENDADEPELUQUERIA,https://articulo.mercadolibre.com.ar/MLA-741917410-afeitadora-teknikpro-maquina-shaver-barbero-recargable-usb-_JM,24,9,1,0,0,#741917410,Teknik Pro,Barber,Fading & Shaving,NA,40 minutos,Batería,NA,NA
14, Afeitadora Philips Aquatouch S1030/04 ,5590,6250,"
			
				Nuevo
			
			
				
					 - 
				
				78
				vendidos
			
		",(3 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,46,https://perfil.mercadolibre.com.ar/TIENDADEPELUQUERIA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=CgDnh7QwvHXFZl53T%2BoPiAywmM2zkVW74ar%2B2NV%2FlLTWoXvSJ2%2FLEucWR5nnTAITB7l3D9dbnT6nkwtMzLhp7sbWyurpM4Mp%2FDIGcy6XFrOeH%2BDKZocWZGsG%2FUMXrgjdTug78e0radMVf3Ef1lyTechfdEvVXEm0RI6JICAYfNCdm1e5IhXbJow6YU312GkCpToiOQkez0b9U3LBMRx35mAp38s%2B0P5mxCd5cOFJLSN7G3R1UPEPZx39%2FVnM7gF1VRRGg7FvpkWULGqrNtOD%2FC0mQx061rqh3EbxbSFaiEocTEwpp7rC49VkCZp0W9sRULRTnooyyXMdo12Gd6cTc%2Bey4qC2rRZE6naXH3xOkK7F9ytuISP1cRnNW1A0s7DXj0U19MGchys4GV31xS%2Bj0%2FjHQTkMg9ff7Uj1Ep8olcKD%2FKLnwtTJ5k%2BVn9KbTJ8TX1wPMTBSM859oPfqT9otV8rJCeJXhD9TrT9t8r0jNaV6%2FhdPigUjvxEg1qHCH6NLLjqnmvKRe17QAoU1j7wYWlT92crvRmpCJQO9Ak4j2MhP38Z1Xd5NC%2BBBVb2iFK3hfVxUgnbiC7TvA8HvmjbSDEEk019ZSKdFALS%2BPdLGroQlylVAvJ2uZPRLhZBWe1lN5VBAWV%2B8zctpzAnM5FAmtHbTXJQ0Z2b2uiRBscD3dkTILl%2FZ6LlgHvZHpeBNRBhxwbjcmN9PBG50X2J4qvx1Fmrz%2BpNi6XosPiXBcbNvTCJn28tcv2kNVf2ONjLaDVDHxUbTUKUUFbi7vldHe3DEpPV8UsmceG3Z2RjNG9iepzGKgZ6ZigVAhJnXlQ525bLySSbsCCUeSAnddcjIY%2Bt3WcVu%2Fwq22J5AuLS52pktdvZLWMiG8eFqA1Pzjs665kwbVaOm4pFLWMjfIlr2dcw6OIUT5evfDCl4CL1Ec%2B2i8V%2F%2FMZTAna1DmedvWARxdjrWNdw%2BXo%2FlBrHF4bTjxaD8PqHpkF2fmfB0u%2B11GGmCUjgZOL4TodBb5uryyyjeT1FwI6kuD0RKtG%2FiR%2FIEpOxo42HwDd9QK88NWGMb7qCE4o5uqKQeCArWxUln9WDueuIyheG4cj3zqJUrhMyyzfC7wOE%2FVuhtreEppcapjwHlgguwX2Cto8vGrxTwTkMsgpLankV%2FYcvEy4Mlo5za5sAtO4emkGHpurZCyT37BTtnFoRP%2FwpjQYVLvvpJnNdMLXaEn2A155G6xYqdRHV5MOyeGObF4TLSg5yeDwXSlFyW9hDklTvMoioMNYHa6K2k%2Frhzj9m12CT023WgN82oPKeczJVCfMf6uitLSsvUeJAKctkv6dCRMYWTO4fNf3Zb4os5VoK8kksJ6uuD894YsYjKpmcSHKPn3d1yO4MQb4JBvJSHbKqVTpGKu1HKcs9JE1EbowsRr%2BHEvyyBTM186GoczDRoZpGe3yqLrj8PAEryJxej0txIcwr%2BLa4x5UsgaPcbTjQMEdvLagJp9vfTO3M4CyyrZRogaOFkzKBDXo0Q82qsvMEtMaFtPkq%2BauXY4Um5sIK8XaABco6TZDPz9%2BYTEvgdGfTq94s0L1Y8va2kMlcmJL8MI4SuQv1ovfbzj78IW1e0dNbFkpf3jCcuBixInuADZ%2F%2FoN%2FW6d0XY6E9cO066AlVpOewnfvy5At04bjsym26LufFVFRsaKSCcuOJL1AGkniY5t6Gr3fJYPwAjucZEo2lw4AI9Dv2Mxut7gQ8HSemfqolTXs60GcHywDH2%2BQCMCUoUbxsU7lf0kPJOTfFYTMqJ%2Bs%2BGYA%3D%3D,29,11,4,1,1,#713758106,Wahl,5-Star,Finale,NA,Inalambrico,Batería,Planos,NA
15, Afeitadora Teknikpro Maquina Shaver Barbero Recargable Usb ,2499,NA,"
			
			
				
				1943
				vendidos
			
		",(57 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,296,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-687451947-cortabarba-multigroom-philips-mg573015-_JM,218,72,4,1,1,#687451947,Philips,Multigroom series 5000,MG5730/15,MG5730/15,80,220v,Planos,NA
16, Philips Oneblade Qp2521/10 Recortá Modelá Y Afeitá ,2549,NA,"
			
				Nuevo
			
			
				
					 - 
				
				385
				vendidos
			
		",(84 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,47,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-614330177-repuesto-afeitadora-braun-32s-32b-foil-serie-3-320s-340s-380-_JM,43,4,0,0,0,#614330177,Braun,Series 3,32/S,NA,NA,NA,Flexibles,NA
17, Repuesto Afeitadora Braun 32s 32b Foil Serie 3 320s 340s 380 ,2299,3999,"
			
			
				
				269
				vendidos
			
		",(449 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,30,https://perfil.mercadolibre.com.ar/NEW-VENTURES?brandId=642,https://articulo.mercadolibre.com.ar/MLA-752502673-set-de-afeitado-multifuncion-braun-9-en-1-braun-mgk3080-_JM,25,4,1,0,0,#752502673,Braun,NA,MGK3080,NA,60 m,NA,NA,NA
18, Philips Oneblade Qp2526/10 Híbrida Recortá Modelá Y Afeitá ,1650,NA,"
			
				Nuevo
			
			
				
					 - 
				
				47
				vendidos
			
		",(3 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/COSMETIC+SOLUTIONS,https://articulo.mercadolibre.com.ar/MLA-594545386-afeitadora-electrica-cortadora-barba-philips-one-blade-2510-_JM,NA,NA,NA,NA,NA,#594545386,Philips,Afeitadora,QP2510/10,NA,NA,NA,NA,NA
19, Afeitadora Electrica Cortadora Barba Philips One Blade 2510 ,5590,6250,"
			
				Nuevo
			
			
				
					 - 
				
				78
				vendidos
			
		",(3 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,46,https://perfil.mercadolibre.com.ar/TIENDADEPELUQUERIA,https://articulo.mercadolibre.com.ar/MLA-713758106-maquina-afeitadora-profesional-wahl-finale-lithium-ion-_JM,29,11,4,1,1,#713758106,Wahl,5-Star,Finale,NA,Inalambrico,Batería,Planos,NA
20, Set De Afeitado Multifunción Braun 9 En 1 Braun Mgk3080 ,1899,2299,"
			
			
				
				248
				vendidos
			
		",(46 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,10,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=bsTer2%2BWHhCyJamrPjBSqDvHy%2FOtcHl4A0Edwaynjlc5SOismCG%2BsEiezPOTQdgXB6J8320%2FFaz0mXc4ZuFsrppV%2F1a6vv6RxCXTymwWcBkbBBTNGQz54uPO6eMqb%2FrvLg0Kl692JcQwoG4EfPu0rv%2F6Lqkhq245AIOlSYyKHHMJx4iHUZXlXMHpuvpB0qpw28L7%2F9HNV94YX%2FfoKPP7euHgCP72756Di1E%2B15JgS2xxkDgKyvVpJxsa%2Fp2ZbKg50bbYsJ3%2BW2R4lZuAnAyqdmyLOJlREEja8SHZQElaJcDoS7Zr9iv9A9k76ZsKOo7%2BI1TJiJ9cUHQNWowjw6xz2rO4lqiVuoKBi4mXZavmlEjRejzSTh3QRilE5bk1h8wBziYELdB5jAWBT0e6IfPd6ZbQWpNrahGwNkPFpkyGgcjT1w%2Bcnspeo2ANLkjAw6SuGLVYtQD%2BztbfGm7TN7%2BSx5mEmbioo1fNjOfJikl29Qm%2BzjC181I7iIoSgGszK7dXgbZ3YNHmZY%2F2wDO6kLDnnYgoE9PCWej%2BtOlM6nyiXLrCdAmHCzvo98d0pMJQ%2FmJpHoIyFu1UIUdRIv%2FsC8paJbL2FbCaGTESPKCQh3DNQRDpryS4v%2F3LzMmj7%2Fd6FharHUf%2FoEudwnsmsiPKnNMaZ7BWTaPau7GGkQym8TEkD4q1OwzLM%2FQXr7anHaxc3VY6lD9rNCuVqavsHwsnVQNz3%2FGEgQhiYwGFBslPa9UEtWkXyk1es7PmsWd%2FPLeCj8vBWaF12wTkfpwS3R51Qm61nSVbfodbj3vo6Ht0YfeNfvYYCcrB%2FiiwXsNQkiFGTsIacSgUV%2Fbt6gfJ%2FtaiuNPUG4MjMBIGppbRCFKCBOHdTj1K5FHDRaPRJEuJuFpVjN4NGFWLHpgyFQrdPNfPASuJRJ%2BWWB%2BQkWTFc3r9e224HGDZ6gzQOcLc0OuORzPIXqKl0Mw7zQ5081y37PyTzkkTcYJi9JJTWlBzBHGaIRRP4ZcD6y3omBOg74CqyNPSWW0b2%2BTo0XZvZowE11pBZY%2B4VaoUfzvE3ewT675UiiYBeZ%2B0pLKEp4MjyvkbAPR1OnS8v6uECP3vb%2Be4JCYN6U2bjiyzGVHJtKZvaRXPJET%2BV%2FroI5I%2FfQrPhsSKRpk8lgjGP50vGkM7oMjG7P0%2B%2F4Dm0QzdTuHJtT5VsVCSEFoWzuy0RqJE9AO605MHT8VVBC92hUYsgThKeVvop97cV3HF4aAkHWTiqAMHZ%2Bj%2BBhaoncQaIq7dUJi5YQ67XUV%2BZ3Hmcfi3pP%2B4T94KGiE1krP2EsM%2Bxj5Tq4TwfEXOkwb0FRGv%2BKhmmANz575STms0zX4uhZ20k85WZh8%2F07MNt3QRMrYm2MTh0gkCVOfQjb2PLKA845rGedebxvjlud%2BGU8vU3fBtv163DWejEJBImchLIx7ZdAFEQkQm3ZNFDgLOC4erPTqOfNe1wExgP9cYarh3QvZE5mXD1F92mlB7P6pvjTHsWb6NcgCo8jXa6Y0nI4j3jPWfQYrAeEkpb%2BFJkwhk3%2BVv522leTqhqMGOqnlS1T9AmbW1OS5Wj5t0miixbW4IuZvxXinbWXz4kWy%2BnZkWzgaDqi0KoH1mYT2as3bHPGYma%2FEni86scFoWkqHlU7FTnzFDyliTj3vJ18KmRsPpXjRmstzem78fVSqQWJAX%2FdOcewXo%2FUnILSghLJ%2FVKIpT8j2YRBMO81o1qq8de5aEWdEw5%2FrJ44oReCLU68tJRQnfUEe3gUJc9%2FbE4Ipowxv9mdSxzPHeg0I2sw%3D%3D,7,3,0,0,0,#788821630,Philips,OneBlade,QP2526/10,QP2526/10,NA,100-240v,Planos,NA
21, Afeitadora Remington Bht1000 Bodygroom Cortadora Corporal ,1799,NA,"
			
			
				
				3869
				vendidos
			
		",(13 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,876,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-694476063-philips-oneblade-qp252110-recorta-modela-y-afeita-_JM,655,156,43,8,13,#694476063,Philips,OneBlade,QP2521/10,QP2521/10,45 m,Batería,Planos,NA
22, Afeitadora Braun Serie 7 7840s Wetdry Alemana Sonica Premium ,2999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				595
				vendidos
			
		",(450 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,18,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-747481161-maquina-de-cortar-pelo-y-cortabarba-bodygroom-philips-mg7730-_JM,14,3,1,0,0,#747481161,Philips,NA,Multigroom,MG7730/15,120 MIN,Batería,Planos,NA
23, Maquina De Cortar Pelo Y Cortabarba Bodygroom Philips Mg7730 ,1650,NA,"
			
			
				
				26
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/TOMASSA+ONLINE?brandId=1449,https://articulo.mercadolibre.com.ar/MLA-749275441-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,NA,NA,NA,NA,NA,#749275441,GA.MA,NA,GM 560,NA,NA,NA,NA,NA
24, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1035,NA,"
			
				Nuevo
			
			
				
					 - 
				
				102
				vendidos
			
		",(35 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,24,https://perfil.mercadolibre.com.ar/LUICO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-624061468-afeitadora-gama-corta-patilla-inalambrica-gsh-sport-luico-_JM,17,5,1,0,1,#624061468,GA.MA,GSH Sport,GSH Sport,NA,NA,A batería,3 Cuchillas de Acero,0.144 kg
25, Maquina Afeitadora Profesional Wahl Finale Lithium Ion ,2990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				139
				vendidos
			
		",(14 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,10,https://perfil.mercadolibre.com.ar/NETFULL+OK,https://articulo.mercadolibre.com.ar/MLA-757903232-cortabarba-philips-mg773015-_JM,6,2,2,0,0,#757903232,Philips,Series 7000,MG7730/15,MG7730/15,NA,NA,NA,NA
26, Cortabarba Y Cortacabello Philips Mg3730 Kit Profesional ,10899,NA,"
			
				Nuevo
			
			
				
					 - 
				
				227
				vendidos
			
		",(9 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,145,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-617927378-afeitadora-braun-serie-7-7840s-wetdry-alemana-sonica-premium-_JM,109,29,3,2,1,#617927378,Braun,Series 7,7840s Wet&Dry,NA,50 minutos,Batería,Flexibles,400 g
27, Afeitadora Gama Corta Patilla Inalambrica Gsh Sport - Luico ,2199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				83
				vendidos
			
		",(127 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,11,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-777861630-afeitadora-philips-multigroom-10-en-1-mg573015-water-retiro-_JM,8,2,1,0,0,#777861630,Philips,Multigroom series 5000,MG5730/15,NA,NA,Batería recargable a 220v,Planos,NA
28, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(18 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,1.0,1,https://perfil.mercadolibre.com.ar/PPSTOREPEPPERSRL,https://articulo.mercadolibre.com.ar/MLA-737092131-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,NA,NA,NA,NA,NA,#737092131,GA.MA,NA,GC 545,NA,NA,NA,NA,NA
29," Recortador Philips Para Nariz, Orejas, Cejas Nt3160/10 ",2599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				73
				vendidos
			
		",(16 disponibles),6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-779763785-cortabarba-multigroom-philips-mg573015-cuerpo-y-rostro-_JM,NA,NA,NA,NA,NA,#779763785,Philips,Series 5000,MG5730/15,NA,NA,220v,Planos,NA
30, Cortabarba Philips Mg7730/15 ,1699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1639
				vendidos
			
		",(54 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,43,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-747798332-cortabarba-y-cortacabello-philips-mg3730-kit-profesional-_JM,26,15,2,0,0,#747798332,Philips,3000,MG3730/15,MG3730/15,60 min,220,Planos,400 g
