search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de filtros do alto-falante,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Modelo alfanumérico,Voltagem,Tipos de alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Cor
11, Mini Caixa De Som 8w Rms Bluetooth Rádio Fm Sd Auxiliar Usb ,699,NA,"
			
				Novo
			
			
				
					 - 
				
				818
				vendidos
			
		",(24 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5833
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,73,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-919482965-caixa-de-som-amplificada-bluetooth-2000w-fortress-sumay-_JM,65,2,3,0,3,#919482965,JBL,Caixa Amplificada Bluetooh,200 W,Ativo,NA,NA,NA,Torre,110/220v,NA,NA,Caixa,NA,01,USB,NA,NA,NA,NA,7 kg,NA
12," Caixa Som Bluetooth Torre Amplificada - Música, Mp3, Usb Fm ",32,NA,"
			
				Novo
			
			
				
					 - 
				
				1225
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 610
		
		 sem juros
		
	

	
		",10,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,50,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1174117073-caixa-som-bluetooth-portatil-amplificada-torre-fm-sd-mp3-usb-_JM,45,4,1,0,0,#1174117073,Goldenultra,GT-515bt,10 W,Subwoofer,15000 Hz,150 Hz,BLUETOOTH,GT-515bt,NA,Subwoofer,Portátil,Redondos,2.1,2,USB,80 dB,NA,NA,NA,NA,NA
13, Caixa Som Bluetooth Portátil Amplificada Mp3 Usb 2 Microfone ,975,NA,"
			
			
				
				238
				vendidos
			
		",(445 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 8126
		
		 sem juros
		
	

	
		",26,NA,Envio para todo o país,NA,NA,4.7,117,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1182693732-caixa-som-bluetooth-jbl-xtreme-2-40w-preta-jblxtreme2pto-_JM,93,16,4,1,3,#1182693732,JBL,Xtreme,40 W,Passivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,80 dB,136 mm,132 mm,288 mm,NA,NA
14, Kit 10 Mini Caixinha Som Bluetooth Portátil Usb Mp3 P2 Sd ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				456
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1529
		
		 sem juros
		
	

	
		",29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,30,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=jnTAsrQIDL%2FiBFe6KHxSmYwKlE752bDTO4Uvw8vj7NxEYc3nOTtQFFbCk5u61IumWv5yPjOlJISgSk68P%2BO2Bes6IS3xvjV7RlCVKzNphtUkEjtM82xLYfhC0glR3JpSx%2BZsqjlEb6BqCF5CoqI9TEfCtp%2BeUnyTfr9CYFC4oj8KPbOCwAMD6lfbvq7eKy7iEN6IY2brTqvUyxoeQjTSCfb38xTTQ9sx22QprZwszuRVlwEvub5Z2%2F7mpFM8kGaUZIHQ%2BqUV1apwOCOPCJuwwlvQOO035n953cxe%2BdbOaDsfkdWjHDQWrKBzzzoQ28dSFhq63h9jvYimWxOT1jcfmU6rAC3f2RqecJtTbhf1pP2EFTJ5qA1%2BoCogmwX3wUjIrtuG5tTX%2BbiIXYsyjxnpobd7u2PgQlXKElU3BCP0OA9MFMEi5QT6GQHAHRqgLMzPZZSiK5udTyS9%2FHprbIpAu4aI7LuOfWNLiX9SZH21ydQzpE6gyUGfqA494QLwC3sp6YkeG5xPG%2Be34pIrPh0glzV%2B7BcV3KKSqEsgazkRPMRn1uBDMaNZuAza5dkWSyEJyYBc1297SIfX2RceGP1DKYr7aF8AjHtEz8QJbAW7Rusj6brwpMiuo%2Famsb4wjgSxTUntUuL%2F%2BG%2FFJEJAmPcTuJnG56UE3cheeEYquTN8lnrmxHZR9Z507R1gVl5CUZB33JBlxjlrFZR3rOrLt7ygNwmFJL8bhPC2qWZwVSYjgmIXsDGqa5z16lWU8NlVKOyfI5r70TJS0CqKEkLid6xX39DCQf0kgMnpSfTV07Nr%2B8ONYdWv10lidfEw0Fyi0S4AONNxwrIsJZLDG2k4EDUaJ1bsSpnS6LjckfrZq0EoEAVMBPsAEdftnRx7aM5%2B%2B1MN7AoV9Vjn1kWzb7nPSFod5WS7b%2BLR2lTNcvfBVAE%2Ff4i0tdTVBtAkkFZsInGJXcxZd%2F%2FYCZhvwyEAeeKETsJpCln5b35MqRE4hPWaQ2TYi00kVg496ZzHQSu%2B0vMR%2FCF7LCVJ1OioJ%2BpRck3WljuzE7pixHZvfEFvA%2FAHSTa7u86ckQ%2FHzaGVrvAXVLqkgGP6zq59x80kZ%2FJt8J3t2gAj3r%2BogyGbIgg939th7uWrBugwQhNqqXkDCdzdqUWQne2fubYua1B2wa8sI1AwLypvy7l7G6kyMd9nEKL5imoEWfqZL4hAMrYdhUfqswLRh3RkgHxdAsN6mtdkBs9D1SZYLn6blFd8ucOndXjstXxbH5P9tzdqMaCzj5TU3PovYi6aZKnbh1ZOBExo5z0DZz8N6ZPWg3968wagmdm%2FxMnU2tHKFSt82ITvlhTXTnavYftYO%2FfVHP5xZl%2FUlpeOPMHrnDST12nBcZU8gDFbTrTqM%2F1MKwSGvxIYNPvD7YMZbjNvASUlZ9%2FpZnu3uXK142P007pLEu8szx0uGxDWpO%2B9DDO2AtoCb6EcUvP4DLRNinbVMOh%2Ffqr2ghqFaw7ZIZniuhg1fKAFEvkT%2BS4GIZKTtibEKvFjEF%2FYOfjXvUlSMQDPBK4tV448sT%2B8Oc5wT3E3QFr0f2TX0zo8tODuRCzVlJ87PkAq%2BEwGwpsfKaKYZka5aSgr0FHiiIdU62WGxqPaN9biZc45K7WRjrt2x5SV59LUW%2FC3nSAjSMACsbXG%2BH1MMTdkSAw25My7VqpStk4h4rwLFHOi8hL33kGQcdCQyVNIJVypr1VtaIYY32eHnKMErRPGWfxPy48AWU8cD%2By0lQlrIEyyxGwf%2BQb2mZJugtuPdh3DWYL8oZm6t6MMm82SbfNa7y5wvCvD6XWg2PUje0s%2BLkXBdYZYyTyyYpHU5%2F2c7XS07U44Migeup2xuyTW8wVdRjYBxEc3Iw%3D%3D,29,0,1,0,0,#1208611850,Goldenultra,Ws-887,3 W, ,NA,NA,NA,NA, ,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,Pele
15, Caixa Amplificada Multi Connect 120w Mco-06 Mondial Bivolt ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				337
				vendidos
			
		",(48 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 625
		
		 sem juros
		
	

	
		",25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,21,https://perfil.mercadolivre.com.br/PLACECOMPRAS,https://produto.mercadolivre.com.br/MLB-1189229037-mini-caixa-de-som-radio-fm-am-sw-portatil-mp3-player-usb-sd-_JM,19,2,0,0,0,#1189229037,Briwax,BX-667 / BX-670,3 W,Tweeter,NA,NA,NA,NA,NA,Tweeter,De piso,Caixa,2.1,NA,USB,NA,NA,NA,NA,830 g,NA
16, Caixa De Som Portátil Bluetooth Amplificada Microfone Grátis ,174,NA,"
			
				Novo
			
			
				
					 - 
				
				790
				vendidos
			
		",(144 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1458
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,30,https://perfil.mercadolivre.com.br/CLICOU_TELECOM,https://produto.mercadolivre.com.br/MLB-1137932763-caixa-de-som-speaker-google-home-mini-wi-fi-vitrine-_JM,23,5,1,0,1,#1137932763,Google Home Mini,Google Home Mini,3 W,"Caixa de som, Speaker",NA,NA,NA,NA,NA,"Caixa de som, Speaker, Assistente Pessoal","Mesa, escritorio, sala, quarto",Caixa,5.1,1,NA,NA,NA,NA,NA,NA,NA
17, Caixa Som Portátil Bluetooth 5w Celular Sd Usb Radio Fm Ws ,529,NA,"
			
				Novo
			
			
				
					 - 
				
				309
				vendidos
			
		",(11 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5065
		
		 sem juros
		
	

	
		",65,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,12,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1074171591-caixa-som-portatil-recarregavel-2900w-multiuso-amvox-_JM?searchVariation=31654758121,9,2,1,0,0,#1074171591,AMVOX,Caixa Amplificada Bluetooh Portátil,290 W,Torre,108 MHz,87.5 MHz,Caixa de som amplificada bluetooth,410101,NA,NA,NA,Torre,2.1,NA,USB,NA,NA,NA,NA,NA,NA
18, Caixa Som Bluetooth Portátil Amplificada Torre Fm Sd Mp3 Usb ,1899,NA,"
			
			
				
				262
				vendidos
			
		",(218 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 15825
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,542,https://perfil.mercadolivre.com.br/DIRETOCOMVOCE?brandId=1328,https://produto.mercadolivre.com.br/MLB-1001522471-caixa-de-som-jbl-boombox-original-1-ano-de-garantia-com-nf-_JM,426,45,22,20,29,#1001522471,JBL,Boombox,60 W,Portátil,20 kHz,20 Hz,Caixa Portátil,NA,Bivolt,Não se aplica,Não se aplica,Não se aplica,não se aplica,2, ,80 dB,NA,NA,NA,5.25 kg,NA
19, Caixa Caixinha Som Portátil Bluetooth Mp3 Usb Cartão Fm 300w ,28,NA,"
			
				Novo
			
			
				
					 - 
				
				655
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 635
		
		 sem juros
		
	

	
		",35,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,21,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://produto.mercadolivre.com.br/MLB-1191652215-caixa-caixinha-som-portatil-usb-bluetooth-p2-fm-mp3-_JM,18,2,0,1,0,#1191652215,Goldenultra,GT-356BT,8 W, ,NA,NA,NA,NA, ,NA,NA,Caixa,NA,NA, ,NA,NA,NA,NA,NA,NA
20, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,108,NA,"
			
				Novo
			
			
				
					 - 
				
				275
				vendidos
			
		",(91 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1032
		
		 sem juros
		
	

	
		",32,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,22,https://perfil.mercadolivre.com.br/TEEMDOBRASIL,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=63Hpb5%2FUAgJA0hEawJDuOA1rijz3xPb3SJB8ckvj0VeNKrJ%2BnOkBPADgSnXkjsORssh4fNahFUPnlqyOG6jknUSt1ALkK%2FrbcbB6S54LsIHH1WX3qkc4ZKb1mj4iykDU8sP3jQf5gV9ZBiRf3lztJjwgQIlqPbGOCyXXfKB%2FmQFIu0W8PED4wy2%2B7VRiI3yUx1uK%2BF9tupldY9ptgLtyPivAvqA4p%2BUvIQj7U59QsFXBiLqTRPVmKY7k26DDMhKFbZ6Vac9xtsySpjACFbLXd0g9CIvcSyyd1w2FiBBHKomQ0Q5bNMAXLS39SJbwcg7lUM3kiDB%2BLQhCYh0bZR%2B7giyS7X4%2BDS%2F8ukL9X3BAgFmRm%2BeW%2BtFpPjmL8WzO8rsUoBcydPIK8hvcc35vK%2Bjpm%2FO%2Bjt%2Bsbh%2Fbro9JDZPYc2qzUxnVRExaJ20EdzgWlroleu%2FDWDkDKoqjvBo8cFC%2FrARoTMbbtcdTYH3VstK0th34OOgbDRTz45OmAwJ2jX01dmj1PG0Ctwsc3QRNXOR%2BO%2FhqGmwfLKLKAolN42H8eyhJ3pkwOOjERPAg8E3uvTU1sNt%2BKDsaYnMhCLANhhJzWIjfkntcrSBB0Go9Ly16If1LVKTiGiTSLf%2BciLyy0TseGj3Gz3UcO3D%2FjIP6tBo2sgW823dQaJmhqkjbEjd5Yi3PHDbiHTKDmZpfe%2Bllqoa3cOGpHCQcUvdnuWxfjz4Vh44xTVrqbpCrYJzxHbZ2k6ZIHEoHtxH4nVuzkqFsvWfoPWijIigyOl8aPsQG%2BQ6fLSLgFP4K0trs2eMoSsruAEmUH26x2xRpqER93Fe5nGY5JAigBfr2APfNqRp3cT4kINqi1T3ybqkS0JA1l7SnG2%2FwihWixvDtiytDJzkoOnK5tpDZc%2FLOSd5nVLbQorl99UCxJqRasf8eMo%2BMwRCZyBo44nkiYZN6Tzf2auZiwysQMZXP%2FfhL6TKuipw2toF9TJj3Al3dogXIxEw%2FBap5uq8TR5ExgjyB%2BGXmkrxgwt5AXtuMmu1HARue8JxKEzzZql590xhAOiKxi6HjLPLKg0n9j6TRVcJ2cMPWiyzzibnb44vMtV%2F47lEUMaX%2FZ5EIZNtmbRNTaJsMYPfONtnaWFkk7bFp8pBEC3GkUW3od2XgbHqFJkO4vbgpzhvR3XkuI41EC9Jn2TqfCJy46X3I%2BBRwl%2Bk%2BmQe0gr4vZKtq7e%2BZANcvKJno9tNDCxEyTVgyK%2F6itDeHhLEKpzMGfFzxxNoSO4x0fX9ruayfnyA3p9DyxHvvB2VgH7V0ropU8s1QyFe%2F4PLKqr5%2BQOodSI0s5bc%2FMJGdyZ7zrxU6MgkRq0DLjSug3508ri3nAfAp9K0Z3q5m5gOcJXIMXe5yJCCy%2FeK8UmDj0zVVHjJjKIbHIsgeXnfGBFH75tOBBtoR8MRAE4ZeFpsn8T7nRDu3mUCTbMJdYB%2F5dYnF15ZmExZmdEWuJKyq5BhTUtkodCmyXOhY1SZOB%2Bprc32Q92c%2BgCiswrSDJ3f7GPg8KpfxYGYpWACkWg7AcvsPnivEQUaI7yE%2B4miYmj0FZxfTip4XqxSAlGtcDbjNzdVE7EWW%2FMw3IoWPhPpJUmjNIljBvaObG58vy%2Flro54cJYE8%2B5EMWhd0GqcPQKVvCDA8wXfecVIz6Ph%2FHTuKPxZUidx1220AiBIlMTIhAOVx8B%2F8Z4cbhPZyd6gRMOBmhZ43Rwj8PFYwlhSy3RDJZ4kort1otCtXTJPgIAHmPiuDbNeVnzf3VMWOZiPyCl8aHXjJ2wt6SZQiS0RrE3lIAtzvQ28ll6wp7z7rCIT5whsQHoxXsvFH1Ozv%2Fq%2BT5xs7tUrrFADZC%2B%2BsdZ%2Fv,19,1,0,0,2,#903132850,Teem,TM 5002,40 W,STÉREO,NA,NA,SPEAKER,NA,NA,Estéreo,MESA,EMBUTIDO,88-110,NA,Auxiliar,NA,NA,NA,NA,NA,NA
