search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Línea,Color
18, Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos /04126 ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				986
				vendidos
			
		",(209 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.4,16,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=xdBtM%2BwGPmDgNuJOymOgMerbND7bI9Oy60MlsNEker7CTSo2CTCm%2F%2BRjR9wnrDUZshzUCz3F3kTavJ4xNuxt1zf%2FYM1UrKxsfQeMewgZtOtWU4nSKW0hf5WRpzST%2FAa7VhSZjMaSVILf9lbORP265wW%2BpoOcqaT3r9QK2EJft%2B7w%2FPmIKG7Dq%2B56Yi4vQ68kH50f6knPgr5qa92Dzovu6VT21IsNUiX%2B5W9VzccUJxn5HhRAdyi5ltgz2UjJh5WkUvdS7KfOxm5sHtLK2%2BP8a8x8qHt4%2BgL%2B442n%2Be3eHoKwBoi5glYns6dn19kXygFOEojCIdSu%2FBe5MRz%2FVh93uV3zqjhIk2nCYKwEhbxQ3U82YMiY2s8%2F8V5vdbbzdg3I%2BLDVQTeIA%2FJYssmOj%2FYb5Z%2BPWUBgFIYvu23OaXLlNW2BysAPo8NyJBywzCtvyJWTwLM8njclUkBQdt54QpS7UhcQHeZLtG52ez03mEYwLKeZ50H8zq2Ttd69i04eNgWbf35kK%2Bm%2FfqF1famxAmC0URmkTDPe94%2BloH9DoveXEq7s3nmYVrY1VU%2FYMljGwB31UG%2BYNS3WW%2BgV0WV5Wo%2Br66Qk3j2WIkCs2TGC0RlZw0rm45GKIiTJRxJl7hMQa%2FtqkM5vFfu6ZvgPWcBfahalFEVIdMTg5CeERgUC%2F6IVWTpBHXb4zTZXCbW%2FHpi3%2BVVBzYYRx6LKw9KDkf0yhi1uXK0In%2F3%2FanQvL8QxpYKVpcOlYJSd2Qlcp2E7iEdvYkPqMqEVbNzTBIRDXBXiBxB5RJoeU76tJx5qtsUW5tdcWo59ECmEY01lkj4lCCXBCbmmHHrlRsrqsJ28WKRsHWR1qsLKYsqfEdUh3oGPmA%2FpQKYZXuSa1E%2BK89cvMgFfO3O5yiXdlYCSkGU6r0v5jnErLDFzsdKvKId6r8tHJJheJ7Xhwnhg7lh60zd3x0gZvkHC8WAPvW5qolGZfcvgjo17S9TBTtCGGAko6yh7gViGChlsFOYrW2kNqpG5MYj6m0%2Fds8sISL4vMPk54TaHgkdxbD98i1%2F%2BCBDZH6uoJhNAtxveqHcRh%2FNpPmhEvEtGCeczf8YsR4qgWCNuAIPlcrt%2B45sm4gWubrGTKlPOsmlNY0FmgBPb%2BvGCFH1fwMwlh6GpI5fylY2orL%2Bmad%2BDZqxF1to8nmWA4IVUbcDitGVzT%2Bt9BXEEZHfKbP1gGjAQIPZyfZPYtMf74d8ac%2BU%2BZMeHVzziYOxdPchtzVSAFuJrEysi7Uqh1f%2BFb8CuwVnPCWy6mAJSpOvCbLCQstgLI9P2KWvuOwCb%2FX%2FN3ENFMocfdxVrVz6Eemhsl7uOM6nz2CA262Eh8Wtdp2lxUn575GMfRnAMzPp%2FLV5x4o1026r68s5OOhXv6xOTFvWxfUFxnQ8K7G6JjhSZUZF9IP8zstGLq4ecc7U3QCZhrKnwzkvr1AkaJbZHPxjXGNpzCJanOdrDBkEMsV2v%2BgkkS36zTxH2OtKnpfQTMOtYyNxs23x8Mqhpt4uTo7uTW3pO4UleZwpnBi6zPjUL4puvPRKqlQxUwh9fACoYMvQVRwXB6XGTGIyU53mPu9c%3D,11,3,1,0,1,#473637938,047,WIRELESS 4.2+EDR,Headset,NA,NA
19, Audifono Extra Bass Sony Oem Bluetooth Fm Manos Libres ,19.990,21.990,"
			
				Nuevo
			
			
				
					 - 
				
				290
				vendidos
			
		",(15 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,4.0,27,https://perfil.mercadolibre.cl/VENTASMACUL2014,https://articulo.mercadolibre.cl/MLC-453174599-audifono-extra-bass-sony-oem-bluetooth-fm-manos-libres-_JM,12,7,5,1,2,#453174599,Sony,NA,NA,EXTRA BASS,NA
20, Audífonos Bluetooth Stereo Mp3- Aux ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				295
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,4.3,29,https://perfil.mercadolibre.cl/MARE8077404,https://articulo.mercadolibre.cl/MLC-448133358-audifonos-bluetooth-stereo-mp3-aux-_JM,16,9,1,2,1,#448133358,NA,NA,NA,NA,NA
21, Audifonos Bluetooth Tipo iPhone 7 iPhone 8 ,14.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				203
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.498
			
		
		 sin interés
		
	

	
		","
				$ 2.498
			",NA,Envío a todo el país,NA,NA,3.3,4,https://perfil.mercadolibre.cl/TELOTENEMOS.CL,https://articulo.mercadolibre.cl/MLC-461170076-audifonos-bluetooth-tipo-iphone-7-iphone-8-_JM,2,0,0,1,1,#461170076,NA,NA,NA,NA,NA
22, Audifonos Bluetooth Deportivos Power 3 Wireless Oem ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				150
				vendidos
			
		",(831 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.0,5,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://articulo.mercadolibre.cl/MLC-470816164-audifonos-bluetooth-deportivos-power-3-wireless-oem-_JM,2,1,2,0,0,#470816164,Beats,Wireless,In-ear,NA,NA
23, 2 Unidades Audifonos Bluetooth I7s Tws iPhone Samsung ,15.500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				125
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.583
			
		
		 sin interés
		
	

	
		","
				$ 2.583
			",NA,Envío a todo el país,NA,NA,1.0,1,https://perfil.mercadolibre.cl/CASALIVING,https://articulo.mercadolibre.cl/MLC-476398231-2-unidades-audifonos-bluetooth-i7s-tws-iphone-samsung-_JM,NA,NA,NA,NA,NA,#476398231,Samsung,NA,NA,NA,NA
24, Audífonos Inalámbricos Bluetooth Bose Soundsport Free ,179.990,NA,"
			
			
				
				63
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 14.999
			
		
		 sin interés
		
	

	
		","
				$ 14.999
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472192834-audifonos-inalambricos-bluetooth-bose-soundsport-free-_JM,NA,NA,NA,NA,NA,#472192834,Bose,SSPORTFREEB,NA,NA,NA
25, Audifonos Bluetooth Freebuds Huawei Negro - Prophone ,66.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(744 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 11.165
			
		
		 sin interés
		
	

	
		","
				$ 11.165
			",NA,Envío gratis a todo el país,NA,NA,5.0,5,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-487448261-audifonos-bluetooth-freebuds-huawei-negro-prophone-_JM,5,0,0,0,0,#487448261,Huawei,NA,NA,NA,Negro
26, Jbl T450bt Audífono Manos Libres Bluetooth Negro ,29.990,39.990,"
			
				Nuevo
			
			
				
					 - 
				
				34
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.998
			
		
		 sin interés
		
	

	
		","
				$ 4.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MALLCONNECTION.CL,https://articulo.mercadolibre.cl/MLC-497756557-jbl-t450bt-audifono-manos-libres-bluetooth-negro-_JM,NA,NA,NA,NA,NA,#497756557,JBL,T450BT,Over-ear,NA,NA
27, Audifonos Pioneer Bluetooth Aptx Hi-res Se-ms7bt ,69.990,119.990,"
			
			
				
				106
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 5.832
			
		
		 sin interés
		
	

	
		","
				$ 5.832
			",NA,Envío gratis a todo el país,NA,NA,4.8,13,https://perfil.mercadolibre.cl/MUSICWORLDCHILE?brandId=183,https://articulo.mercadolibre.cl/MLC-445968498-audifonos-pioneer-bluetooth-aptx-hi-res-se-ms7bt-_JM,11,2,0,0,0,#445968498,Pioneer,SE-MS7BT,NA,NA,NA
28, Audifono Bluetooth Universal Inalambrico Para Deportes ,3.990,7.990,"
			
				Nuevo
			
			
				
					 - 
				
				677
				vendidos
			
		",(24 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,2.5,11,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-436105516-audifono-bluetooth-universal-inalambrico-para-deportes-_JM,1,1,3,3,3,#436105516,NA,NA,NA,NA,NA
29, Audifonos Bluetooth Xiaomi Mi Sports - Youth Edition ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				114
				vendidos
			
		",(38 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,4.0,5,https://perfil.mercadolibre.cl/AFRICCA+STORE,https://articulo.mercadolibre.cl/MLC-460321055-audifonos-bluetooth-xiaomi-mi-sports-youth-edition-_JM,3,1,0,0,1,#460321055,Xiaomi,Mi Sports Youth Edition,NA,NA,NA
30, Pack 2 Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos ,10.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				69
				vendidos
			
		",(38 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.832
			
		
		 sin interés
		
	

	
		","
				$ 1.832
			",NA,Envío a todo el país,NA,NA,3.0,1,https://perfil.mercadolibre.cl/REQUETE+OFERTAS,https://articulo.mercadolibre.cl/MLC-498173774-pack-2-audifonos-bluetooth-p47-stereo-radio-mp3-inalambricos-_JM,NA,NA,NA,NA,NA,#498173774,047,WIRELESS 4.2+EDR,NA,NA,NA
31, Audifonos Bluetooth Estéreo Deportivos Hifi ,3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				195
				vendidos
			
		",(89 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 332
			
		
		 sin interés
		
	

	
		","
				$ 332
			",NA,Envío a todo el país,NA,NA,1.0,1,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-462977061-audifonos-bluetooth-estereo-deportivos-hifi-_JM,NA,NA,NA,NA,NA,#462977061,NA,NA,NA,NA,NA
32," Receptor Bluetooth Auto Audífonos Plug 3.5 Aux, Manos Libres ",3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				305
				vendidos
			
		",(65 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,3.9,10,https://perfil.mercadolibre.cl/ESHOPANGIE,https://articulo.mercadolibre.cl/MLC-472109708-receptor-bluetooth-auto-audifonos-plug-35-aux-manos-libres-_JM,5,2,1,1,1,#472109708,NA,NA,NA,NA,NA
33, Sony Audífonos Inalámbricos Wh-ch500 Negro ,39.990,49.990,"
			
			
				
				187
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 6.665
			
		
		 sin interés
		
	

	
		","
				$ 6.665
			",NA,Envío gratis a todo el país,NA,NA,4.9,13,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-459705101-sony-audifonos-inalambricos-wh-ch500-negro-_JM,12,2,0,0,0,#459705101,Sony,WH-CH500,Over-ear,NA,Negro
34, Audífonos Inalámbricos Bluetooth I7s Tws ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				64
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.665
			
		
		 sin interés
		
	

	
		","
				$ 1.665
			",NA,Envío a todo el país,NA,NA,4.3,3,https://perfil.mercadolibre.cl/TIENDA+EFAS,https://articulo.mercadolibre.cl/MLC-472906714-audifonos-inalambricos-bluetooth-i7s-tws-_JM,2,0,1,0,0,#472906714,NA,NA,NA,NA,NA
