search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Formato,Color
11, Audifonos Bluetooth Inalambricos Manos Libres + Power Bank ,95.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				90
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.639
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,6,https://perfil.mercadolibre.com.co/GANGAD1G1TAL,https://articulo.mercadolibre.com.co/MCO-517130602-audifonos-bluetooth-inalambricos-manos-libres-power-bank-_JM,4,2,0,0,0,#517130602,X8,TWS,X8-TWS,In-ear,NA
12, Audifono Bluetooth I7 Tws Mini + Base De Carga ,54.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				551
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.575
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.8,13,https://perfil.mercadolibre.com.co/MARIACLAUDIAGUEVARAPICO,https://articulo.mercadolibre.com.co/MCO-479550378-audifono-bluetooth-i7-tws-mini-base-de-carga-_JM,7,1,3,0,2,#479550378,NA,NA,NA,NA,NA
13, Audífonos Hbq I7 Bluetooth Inalámbrico Los 2 Auriculares ,39.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				268
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.9,8,https://perfil.mercadolibre.com.co/MARIAARACELLYSALAZARDUQUE,https://articulo.mercadolibre.com.co/MCO-494087700-audifonos-hbq-i7-bluetooth-inalambrico-los-2-auriculares-_JM,3,3,0,2,0,#494087700,HBQ,NA,NA,NA,NA
14, Audífonos Bluetooth Xiaomi Redmi Airdots + Cable Y Estuche ,129.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				476
				vendidos
			
		",(28 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.583
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,46,https://perfil.mercadolibre.com.co/CRONOSELECTRONICA,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=l7YZU3WDNhTfLdbLFjvfaMZJEzqdWOwL%2FvzmlV%2FiD0q1zMf7f8sbMP%2BNEW5EkMu0bIl5QzQP04Q%2B0SD%2B4GyLGCTZiwmI5ObXibudEOrO4TqBbguZM0Xoh2%2BgWcS3inzjKN%2Fp3Z7DEkOT%2BRyon7sdQeiyzujjmpjH%2FLLVnOBXTn3M1OnGMHVEyMFDSDJf7jtEkDu5GEZCFNl7xa0FZ30WJIMX7uOVHGhW6qzcW1KMM54%2FOh1EEnW3JTxZLF4RHZfvJ4SwgTBTvzdBoHI2ntGc6FlYXTILWbtrIZR64ahEtoEezExUR%2FhulVCZGvj%2FgfLB2NXZcx7L%2F73ntfIsCYWDkf9vQ5be%2FiMp6tHYM1CI2e7DdLpOMnJ0xLILes54QAznb3MKpI6kXuF86SvxDcMkhsNNGuKtszuJH0HBtYDpdDwh5zc5o42OY1ViQDL9cX%2F7k%2F23srDq6ApVns2IgCAZY50%2FFHA3tZleB3yuZ7WtApmYmJ6NMiMi3zyYvSbZf65PFMOaY0GEFQXhc%2BuHnh%2BkPgqtnXJRy8kDppDrlNcPUW7Nvt3tMbtuojeKbxjqeayVKZRksys5FOe8dSO0Jc5WRXiJVpmuaWOXSFRXhU6kEeLMdY78KLvgtkAWO3N4XZ3vZkuJ%2F9LABVhG2C3YJS%2BPV7ugzBPmRRdC2xg7Kg1fnfyLSikvDXHyLfqmgKG8bRdQq%2BbFXOb0dzY9Hi7h3ylCldnpa13iQQllv9HxxRjggmM5lmQpDpTQT%2F%2BzJTgo4vyUm7rFCKXKZ1jod8R6%2B4rf9ShLYChISriC%2BwM8HHdinhLS51CBCg4cjSLpRs%2Bt%2BVkhQngLUhx35q0eO4G4no5uOgGJrslBYBLN7RxXpPI5CbLlqiFDUnY8K%2Ba67cOqUuLBEvLBvyvT2JA6Ob1a8SOw8yh9tpNIAfPJkRueDsFlkebex1TDscemqLhZau4VimvgejtO9vpaho8sHkeeWLR50SY8hI72soXgZlZT9j5QGsm4ac00Oif0iajOJSymQQfSRwQ6%2FjAGnGMEPWjMeJAU8z7MNi3XTb3BnJOQUDgfIq1MBG2R9Sj6Mi3Agfu7E%2FEnaKdO3Jp2gyfTxdK%2B1I4qnQm6ei6D7GN0DINCHXFs86UG%2BiWgBT%2BMAC3TieCka1iWMHKmiAybtFWPxGj8jJ%2FCXDvPpeNkDzSdF5gs6GFSs6OYzNnOUPXIUkK93Z5YoHM%2BnhicNZUhE1WNzAJOak5e35yAv6zH1r4AjBugDiFq5GTibjREVTF0ig9OLwloDohs69LPu%2B9W2fyHaQqf%2BuvmlzW4tHctn9QrEVbI%2BLWV4VMZvR2SJ7QVzsJTSt1Lme6gl9E6KLKLrl51PiSpVzsm96A9RMfjvcJbinmcRGX7Y6QYaea8xYXob0iUvjPdj7ozDuiP7OprNlxH0pZZRAaWkC%2Fd2q7oNhjb5nqZbltRVfUzEaSiAPlMx%2FFfZERzycCA6AuEGmECpYySRYgkIdV1BUqAKbgCd%2Be07mh3vg%2BW3X1gWAd%2FTdTQ45jJHuJ182JNrwFQTT3esjzA809oBX67DV%2FQ8JnD%2BH%2Flv1c1bGeMObk0F1jMuuoqe%2Bmtx1lb9mg0It90,37,7,1,1,0,#513799922,NA,NA,NA,NA,NA
15, Audífonos Bluetooth Deportivos U8 Anti Sudor Original Nuevo ,49.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1046
				vendidos
			
		",(424 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.158
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,58,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://articulo.mercadolibre.com.co/MCO-468795741-audifonos-bluetooth-deportivos-u8-anti-sudor-original-nuevo-_JM,37,20,0,0,1,#468795741,BlueKatoom,NA,U8,Clip-ear,NA
16," Audifonos Inalambricos N65s Micro Sd, Fm, Bluetooth Lcd 1.5 ",28.999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				677
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.417
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,23,https://perfil.mercadolibre.com.co/OFERTA+USA,https://articulo.mercadolibre.com.co/MCO-453313132-audifonos-inalambricos-n65s-micro-sd-fm-bluetooth-lcd-15-_JM,17,5,0,0,1,#453313132,NA,NA,NA,Over-ear,NA
17, Audífonos Bluetooth Huawei Sport Con Bateria De 11 Horas ,169.700,229.900,"
			
				Nuevo
			
			
				
					 - 
				
				268
				vendidos
			
		",(112 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.714
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,20,https://perfil.mercadolibre.com.co/DELLTHUS,https://articulo.mercadolibre.com.co/MCO-491679616-audifonos-bluetooth-huawei-sport-con-bateria-de-11-horas-_JM,18,2,0,0,0,#491679616,Huawei,NA,NA,NA,NA
18, Audífonos Bluetooth Inalámbricos ,45.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				400
				vendidos
			
		",(211 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.750
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.2,17,https://perfil.mercadolibre.com.co/BELLAYVITAL,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=epqLxPeW00UwyzG1LfR%2BBQIfnoRornxDzwAnQm4aaLrf5IfulmPbtAyZ70ZBuuSI5WAA309Yyy01o%2FP3L2VqVpFmkJ9fyHwAcyc2nu3NNUPl0Vn%2FTmrRlEokJG%2BgzykZVX2Tb6fQxQ%2B4ohxArqy3YHVH2kj1FJatAmt1gaFI9a5ztB%2Fx7KgJPuYN7eMz2tXQjKtUzfn8sGxV5mksgOBnO%2BtGP%2FR2HVlx%2BmeZT7uIj03EeiZnMSELYfHplEqNKIir%2Fys6VNMFXjsVVyVw3Zd3qkdQCyMBHFQaVMuO24K3R33KyrBhL%2BIPHWsSa22YH3pWxdnoQCI5zu%2F9FKgo2hi8lswgXDZAvBCZ%2BcMz2wZkzQD8wglk9V9%2Fi9i8yA0ZGG2VnwordCeC2dnp8Zr%2FS6%2F31KDsKtW4SGTwVYNWhTVufGCkJMC80G8hw55blBdLKNF0C6QYlLAeN1WGLbzn38yphvFqO6FjDpgVQ5eeh85x3oGAn9pl09QYQ8xX%2B3vipj5zfsEi41pVpnRuNWdDd00uDTPZC5TqGtGu5uatWEMBuq1XidoUMcIT5QbA19X4GRFcb1ebgPjCBa%2F2Blo%2BncayS3%2FrwsOzs6cR3j08qzHXXoZVOTsVkCVXQ0FDHBNGJ8wP4sOsTPzAX%2BqhHPHuxpLWCokEhx9u0lb%2Fg1p%2FgW39cQD0BP2Qi1KfkmQrI1ECcd9LtzrDoOIa%2BcxnO45%2Fv7o6bFSz5z1SD%2F9e9U9%2FC4OEI0%2Bvi%2BiaXxuW4xpyPLsz%2BEfGyNZ0DIVhxEwKXdVrhkcSDAzN3IzirHUTty%2FvBvXUwUTiXgeExGRAbxky5%2B3Q0qEmEwiNpPuj09Ta%2B1RY%2BY5HUM53HiJD%2BrglEbSL%2FoGBq%2B6MzDjy2N2UHDS6sbFaiJq5L%2BPvL2gYZAiiMvt54BdgWB9B63rpDbfMgV6C27rDoQzTjf3vMLHC40GyUeoXKJtVUikgpM4leE7COQechbOgF1qjJSHrca03LL%2BzIuAryWcstELjBaX3adFt4Rn1WrKFdlR299jCV3bqSvn8YmtmOopvgCHgcLL42hV9j%2FfN3GhHb5CFcyJKA38JrvSpAr30yrT0SOYT7Mk2%2F%2FrCxk8FaBS50Bb5dhgtHETPwDFpdCLuRMK3bpHMjD86X6BIqwWp1Y1sALHtzVjmPj7%2B9P8AFcnoa8PxV%2Fp0fWTg%2BDJSpCwCVAVRGFFJ3n3mTLEA9RSL6%2BIwaIdKWWjlPM7XYGbMSrbRDi78DrjpmjlHe95jATAl1zQfKIUclWqYr%2FpnYh195Mjy2RYJVy6Qohbe3sdPs%2FEJ4cY0I7GTbslAAFBGjNkqtulneACrVuaeehSUIDiW5TAGCMS%2Bb8s%2BWFnqNTfIPKtGc%2BTay2XpE8%2FrJGT31zTFt2PxXnYSyOLfnYdX2s6I5EpnmDVRhKVjfNIpKIzOGNK4dow29LIZve7h6%2Ft2DXubb5Y8mPIbGH9C5qxUNgETbwr4HrZjvR0AfBsrjin79ZHJtXuKgdqT%2BzRvHPBSpN%2BVUvYQK9I%2B6DZu%2F475bbqK6ZL5oaaY9TFT47wiO2vLQwwAQ2%2FTho7OuDtQ,6,3,2,1,5,#488555518,NA,NA,NA,NA,NA
19, Audifono Auricular Manos Libres De Gotica S530 Bluetooth ,9.400,NA,"
			
				Nuevo
			
			
				
					 - 
				
				749
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 783
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.2,10,https://perfil.mercadolibre.com.co/EULALIAGIRALDO,https://articulo.mercadolibre.com.co/MCO-514308368-audifono-auricular-manos-libres-de-gotica-s530-bluetooth-_JM,5,3,1,1,0,#514308368,NA,NA,NA,NA,NA
20, Audífonos Hbq I7 Bluetooth Inalámbr 2 Auriculares-blanc ,29.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				236
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 2.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.7,6,https://perfil.mercadolibre.com.co/VENTAS+CRT,https://articulo.mercadolibre.com.co/MCO-513544770-audifonos-hbq-i7-bluetooth-inalambr-2-auriculares-blanc-_JM,3,1,0,1,1,#513544770,NA,NA,NA,NA,NA
21, Auriculares Inalambricos I11 Tws Touch Bluetooth 5.0 Estéreo ,70.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				100
				vendidos
			
		",(15 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 5.833
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,3,https://perfil.mercadolibre.com.co/MARIAARACELLYSALAZARDUQUE,https://articulo.mercadolibre.com.co/MCO-520551151-auriculares-inalambricos-i11-tws-touch-bluetooth-50-estereo-_JM,2,1,0,0,0,#520551151,TWS,touch,I11,NA,NA
22," Audífonos Bluetooth I7s Tws, Base De Carga, Tipo AirPods ",44.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				258
				vendidos
			
		",(21 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.247
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.7,7,https://perfil.mercadolibre.com.co/CILIANUNLOCK,https://articulo.mercadolibre.com.co/MCO-509867812-audifonos-bluetooth-i7s-tws-base-de-carga-tipo-airpods-_JM,2,2,2,1,0,#509867812,NA,NA,NA,NA,NA
23, Audifonos Inalambricos Manos Libres Bluetooth 4.1 ,15.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				206
				vendidos
			
		",(183 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 417
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.1,10,https://perfil.mercadolibre.com.co/GANGAD1G1TAL,https://articulo.mercadolibre.com.co/MCO-503288927-audifonos-inalambricos-manos-libres-bluetooth-41-_JM,4,5,0,0,1,#503288927,NA,NA,NA,NA,NA
24, Audífonos Bluetooth 5.0 Táctiles Ipx5 Haylou Gt1 Originales ,120.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				154
				vendidos
			
		",(31 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.333
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,9,https://perfil.mercadolibre.com.co/CRONOSELECTRONICA,https://articulo.mercadolibre.com.co/MCO-523334049-audifonos-bluetooth-50-tactiles-ipx5-haylou-gt1-originales-_JM,8,1,0,0,0,#523334049,Haylou,TWS,GT-1,In-ear,NA
25, Audifonos Inalambricos 2019 Bluetooth 5.0 Envío Gratis ,105.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				98
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.917
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,8,https://perfil.mercadolibre.com.co/JUVEZONE,https://articulo.mercadolibre.com.co/MCO-487511644-audifonos-inalambricos-2019-bluetooth-50-envio-gratis-_JM,6,1,1,0,0,#487511644,hbq q32,N/A,Q32,In-ear,NA
26, Audifono Bluetooth I7s Tws Tipo AirPods + Base De Carga ,30.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				459
				vendidos
			
		",(192 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.500
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.0,9,https://perfil.mercadolibre.com.co/VYH+TECHSOLUTIONS,https://articulo.mercadolibre.com.co/MCO-498995590-audifono-bluetooth-i7s-tws-tipo-airpods-base-de-carga-_JM,2,6,0,1,0,#498995590,NA,NA,NA,NA,NA
27, Audífonos Sony Inalámbricos On-ear - Wh-ch400 ,129.915,199.900,"
			
			
				
				86
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.609
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,17,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-473241027-audifonos-sony-inalambricos-on-ear-wh-ch400-_JM,12,4,0,1,0,#473241027,Sony,CH400,WH-CH400,Over-ear,NA
28, Manos Libres Bluetooth S530 Audífono Auricular Promoción ,9.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				282
				vendidos
			
		",(433 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 750
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,2.7,3,https://perfil.mercadolibre.com.co/GIYA437534,https://articulo.mercadolibre.com.co/MCO-513756641-manos-libres-bluetooth-s530-audifono-auricular-promocion-_JM,1,0,0,1,1,#513756641,NA,NA,NA,NA,NA
29, Audífonos I7 Mini Bluetooth Inalámbrico Los 2 Auriculares ,54.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				374
				vendidos
			
		",(101 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.525
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.3,15,https://perfil.mercadolibre.com.co/SHOPPING--WEB,https://articulo.mercadolibre.com.co/MCO-467311073-audifonos-i7-mini-bluetooth-inalambrico-los-2-auriculares-_JM,6,2,2,1,4,#467311073,HBQ,NA,NA,NA,Blanco
30, Audifono Bluetooth Manos Libre S530 Auricular Telefonos ,9.400,NA,"
			
				Nuevo
			
			
				
					 - 
				
				275
				vendidos
			
		",(383 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 783
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.1,9,https://perfil.mercadolibre.com.co/GIMO5155648,https://articulo.mercadolibre.com.co/MCO-513681846-audifono-bluetooth-manos-libre-s530-auricular-telefonos-_JM,4,3,1,1,0,#513681846,NA,NA,NA,NA,NA
31, Audífonos Diadema Sony Mdr-xb400by Extra Bass Bluetooth ,49.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				153
				vendidos
			
		",(29 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.386
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.0,6,https://perfil.mercadolibre.com.co/MYMTECNOLOGIC,https://articulo.mercadolibre.com.co/MCO-501567032-audifonos-diadema-sony-mdr-xb400by-extra-bass-bluetooth-_JM,2,2,2,0,0,#501567032,Sony,EXTRA BASS,NA,Over-ear,NA
32, Hbq I7 Mini Wireless Auriculares Bluetooth Stereo ,33.500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				229
				vendidos
			
		",(139 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.792
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.7,12,https://perfil.mercadolibre.com.co/BAGL6561050,https://articulo.mercadolibre.com.co/MCO-494549932-hbq-i7-mini-wireless-auriculares-bluetooth-stereo-_JM,6,1,2,1,2,#494549932,HBQ,NA,NA,NA,NA
33, Audifonos Bluetooth 5.0tws Innalambricos Auriculares 2019 ,109.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				76
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 9.158
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,8,https://perfil.mercadolibre.com.co/JR2008101,https://articulo.mercadolibre.com.co/MCO-505908918-audifonos-bluetooth-50tws-innalambricos-auriculares-2019-_JM,5,2,1,0,0,#505908918,NA,NA,NA,NA,Blanco
34, Audífonos Bluetooth Motorola Pulse Manos Libres Inalambricos ,143.900,215.900,"
			
				Nuevo
			
			
				
					 - 
				
				485
				vendidos
			
		",(73 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.997
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,67,https://perfil.mercadolibre.com.co/DELLTHUS,https://articulo.mercadolibre.com.co/MCO-455253824-audifonos-bluetooth-motorola-pulse-manos-libres-inalambricos-_JM,57,9,1,0,0,#455253824,Motorola,Moto,Pulse,Over-ear,NA
