search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Color,Marca,Material
55, Case Armor Protector Funda Soporte iPhone 5 6 7 8 Plus ,49,NA,0,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MOBITECH.PE,https://articulo.mercadolibre.com.pe/MPE-432409559-case-armor-protector-funda-soporte-iphone-5-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#432409559,Apple,NA,NA,NA
56, Funda Protector iPhone 7/8/plus/x Delgado Original ,49,NA,16,84,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-425414808-funda-protector-iphone-78plusx-delgado-original-_JM,1,0,0,0,0,#425414808,Apple,NA,NA,NA
57, Case Mate Funda Case Cuero Genuino iPhone X Xs 8 7 6 6s Plus ,149,NA,0,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436147670-case-mate-funda-case-cuero-genuino-iphone-x-xs-8-7-6-6s-plus-_JM,NA,NA,NA,NA,NA,#436147670,Apple,Black,NA,Cuero
58, Funda Con Tapa Cuero Genuino Para iPhone 8 Plus Y 7 Plus ,109,NA,12,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/YAJOMATECH,https://articulo.mercadolibre.com.pe/MPE-429033178-funda-con-tapa-cuero-genuino-para-iphone-8-plus-y-7-plus-_JM,NA,NA,NA,NA,NA,#429033178,Apple,NA,icarer,Cuero
59, Funda Soporte Case Protector iPhone 7 Plus - 8 Plus ,39,NA,3,7,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TEVEN255,https://articulo.mercadolibre.com.pe/MPE-422461248-funda-soporte-case-protector-iphone-7-plus-8-plus-_JM,NA,NA,NA,NA,NA,#422461248,Apple,NA,NA,NA
60, Case Funda Protector Bumper Aluminio iPhone 8/8plus + Vidrio ,135,NA,4,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-428113673-case-funda-protector-bumper-aluminio-iphone-88plus-vidrio-_JM,NA,NA,NA,NA,NA,#428113673,Apple,NA,NA,NA
61, Funda Case Protector Bumper Aluminio iPhone 7/8/plus + Glass ,119,NA,12,38,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-424832128-funda-case-protector-bumper-aluminio-iphone-78plus-glass-_JM,NA,NA,NA,NA,NA,#424832128,Apple,NA,NA,NA
62," Case Funda Protector iPhone 6, 6s, 8 Plus, X, Xs ",35,NA,0,3,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-435296680-case-funda-protector-iphone-6-6s-8-plus-x-xs-_JM,NA,NA,NA,NA,NA,#435296680,Apple,NA,NA,NA
63, Case iPhone 8 7 Plus Supcase Funda Gancho Armor Anti Shock ,159,NA,2,23,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-421249696-case-iphone-8-7-plus-supcase-funda-gancho-armor-anti-shock-_JM,NA,NA,NA,NA,NA,#421249696,Apple,NA,NA,NA
64, Funda De Mickey Mouse Para iPhone 7 Plus Y 8 Plus ,50,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REVOLUTION.STAR,https://articulo.mercadolibre.com.pe/MPE-436464787-funda-de-mickey-mouse-para-iphone-7-plus-y-8-plus-_JM,NA,NA,NA,NA,NA,#436464787,Apple,NA,NA,Cuero
65, Funda Silicone iPhone 5/5s 6/6plus 7/7plus 8/8plus/x + Mica ,39,NA,6,94,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MALUPHONE,https://articulo.mercadolibre.com.pe/MPE-430828279-funda-silicone-iphone-55s-66plus-77plus-88plusx-mica-_JM,NA,NA,NA,NA,NA,#430828279,Apple,NA,NA,NA
66, Funda Cuero Correa iPhone 8 Plus Protector Estuche Cover ,55,NA,0,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546710-funda-cuero-correa-iphone-8-plus-protector-estuche-cover-_JM,NA,NA,NA,NA,NA,#433546710,Apple,NA,NA,Cuero
67, Funda Case iPhone 8 Plus Brilla Con Led Flash Luz Blanca ,40,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DETALLESMYAPE,https://articulo.mercadolibre.com.pe/MPE-432765700-funda-case-iphone-8-plus-brilla-con-led-flash-luz-blanca-_JM,NA,NA,NA,NA,NA,#432765700,Apple,NA,NA,NA
