search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Tipo de funda,Color
13, Carcasas Apple Cuero iPhone 6 6 Plus 6s Plus 7 8 7 8 Plus ,14.990,NA,606,6,6,2.498,NA,Envío a todo el país,NA,NA,4.4,40,https://perfil.mercadolibre.cl/SMARTBUYCHILE,https://articulo.mercadolibre.cl/MLC-434288453-carcasas-apple-cuero-iphone-6-6-plus-6s-plus-7-8-7-8-plus-_JM?searchVariation=35810579020,25,8,4,2,1,#434288453,Apple,Apple,Carcasa,NA
14, 10 Carcasas Magnética iPhone 8 Plus Por Mayor ,69.990,NA,0,9,6,11.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALONLINE+EIRL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=5P9uorudJOr%2BOXa5o7wn7XxW4wA6gISDk0XxyxzMaa5LuzXDUWbZy5d9lKmInba8rpN%2F8Xxu7g9CiFcKgZbmHzbthqormVT4g4tZmyxvY%2BlWD1UJAfWO494ZknIsZT%2FAO6ke8fy%2BmsSEHJ8lX4ouVNc8sIczoFhb%2BstKP62iK90Z4StJ9bA%2FkMd4laWSTAhKDr6%2F60UU1fArCKr0rGCSH%2B0yougkHlQ4HpaMDOSoh1pJ4sKiYTVhxYS72w88C0Zn1q1FXMWqYzowXsduf%2FOQkqWvd1tLYkBDsD8FL2yibts16pVmA0GLmG%2BMZ9Pxv732OGjqfaZ%2BjLvtQ2crFnVzyGfACczekq2Q30cWLIgPOmahuwa8fIciq6a%2F3Gk7SAMYFM%2Fd%2Bz3hrv%2Bcwyu2wFofU%2FVDIVhvUJS6w%2B2vYOd0rR5F2WH10y%2FH3vgD95fHpaSV9d2%2BUxIYzA99zALzxAVcTmu4Ocba1EJWgUyeVvUnJhJpDU2hnAktm7SYWaU2qzb%2F8a%2FaScf2Itxl%2BWUHvuHBSRKiBUNeL4F%2F5c2CRG98XhN1VPUqXO%2FR0UEpBNYSWsQBA3lg3Rtpui5oywM1IXW03bfjzlo5nREVGBwLfItTaC1LIlsL8Ff2Yxch5%2Fs4pR022LlD5SEYOJxwiQvn3Me95JDieL5Bk34Q2jKWZkwNU9JaUOJ3dkm9heOe%2BpKNAs%2FrsUGbN4NwyhJklHLILVZfTkUthsXlME9%2Bb4cmox86d5WSBmKToSKdhn18Oxj%2FCa0EJRAufr8c7ulBhRqSHZtmZw0JgBpoj4HQ7FfkzN2RSDMcJVhrJ%2BZkqBAC3%2F1iNPssf0y6hkOUBaQypOUr6kXCSxSN23rsWMdTgxNuQqA%2FPS9SN4ioxzBiG6nj8ZXpfhFn5R%2BiUk%2B66HDwqtfCUHH71z0mX5w8uhvXfpFAVBEKujV2JU2Q7Kx%2BH3RElfndYRb9Rj2GeAIRxeo4AIpEUk58Wwb0%2FbAntix1Ax7Npdk2mJilh3Lu%2BreAfBMquXdMlwf2E%2F8hcRSsHKqaFxNbT2VNcz5SDbp5xt3zzAQVQOEifqQ9RCaej7aNWazxZnLXVGjI%2FZQ%2FNnHUQ065zSPrMoS5S%2FAcw8W7dnfGVr%2B6dcQFvUPvgaeL904dn13C4FV%2FiMi0cAfkDHKIKqaqkYZaR%2BUupwiwFhrJhY%2F15QEgxD7thRPPN0Z7%2FmgH1HRmWgVPDQoyzOkQY%2BONjB1RsdQ8M4XFazAKIv1N3zcfdSCxi%2FD%2BlDLfrVDXbv4bzt7wZxi%2F58KMrOrzFK1esKU%2BQqs2g8cFRs6F5EMqo6zRIQIuPjg2kxt9%2FcFGonZRucFHW76BkUlsPZqEmw%2B0NFqQ9hPSP2bPrrr%2F%2F5f%2FLUe1xc5eL5WwLA3DPXovC2vGPqlrvDQo298iP3Ztn3urhQMXpO2%2Bf7OoQ%2B%2FDtys%3D,NA,NA,NA,NA,NA,#471393023,Samsung,NA,Carcasa,NA
15, Carcasa Original Ipaky 360º iPhone 8 Plus + Vidrio Templado ,13.990,NA,3008,1,6,2.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451130493-carcasa-original-ipaky-360-iphone-8-plus-vidrio-templado-_JM,NA,NA,NA,NA,NA,#451130493,Apple,Genérico,Carcasa,NA
16, Carcasa Transparente Reforzada Para iPhone 8 Plus Miaustore ,3.590,NA,22,7,12,299,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453525745-carcasa-transparente-reforzada-para-iphone-8-plus-miaustore-_JM,1,0,0,0,0,#453525745,Apple,NA,Carcasa,NA
17, Carcasa Love Mei iPhone 7 8 X Y 7 8 Plus - Tecnostrike ,20.990,22.990,330,711,6,3.498,NA,Envío gratis a todo el país,NA,NA,4.1,13,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-435358128-carcasa-love-mei-iphone-7-8-x-y-7-8-plus-tecnostrike-_JM,8,1,1,3,0,#435358128,Apple,LOVE MEI,Carcasa,NA
18, Carcasa Rock Ultra Delgada iPhone 6/7/8/x/xs/plus ,8.990,NA,345,174,12,749,NA,Envío a todo el país,NA,NA,4.7,29,https://perfil.mercadolibre.cl/BANANATIENDA,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=%2Bl3GduDb6o98adalEgkTUYFYbfEw%2Fd2HffUwaYrildzvs%2FCIrWMO8ETzG8%2FxYxZgjsslYKSceKftRRzyTQNuI1jRqSg%2FNtHAZLWIDcGBF2NhHpRjyIc85c8KIu6CFgSJqrdQmJj%2BIshMZShU45frycnNmQ0JhO44q0zyjHiivx9zRj3BMd1QMt9ezLrVYpPnisfDzEo9cZ5vJtDRqtZrZRjYWjYx4u%2BZ%2BvZUhr%2B%2B6qgK4wMIK1vW9Lg9Jk2fYz8sYdOAJOM2FT40FroIBOIDYFX2FpOvqjYeV1kj8RcVrnN3E0kDPfdwssL7RUCIvU0uIU6ouxox0aJNoOrduoMKCKF0Tqz1decUH3uf69euDDjX%2BG4GXp7sx8b4faYJnwwBw1PeBgwTn18ZnMLwGxZApRgX6ss1JL4aQi7k7zWusAagcusF4hdqNP2V%2BjVkqkc6qDX5CDyjonlvC0iyxl54DOvIkVsNb%2BFHxlg%2BCsaD7kVUtyVfOOOcmh3k0WN%2Bn4PIgtCw%2F2p6QzlE4EYnIPt%2Fyc0l3j6PhKLsqy8AiHZym76KkvlUovURDmr4euotWW47wLN41LjnbQxMb1%2BdSLSZei6sYq%2FJGE%2F6DNtuB%2BWAUn%2FfuVeD%2FMgfz7p5KMtFX%2B%2B2hhGAJp5dz9P7gM1ROdthijSPsK8WIR3Vd8Nq10%2Bt6aUAk8QWpffvfVTnMmsj0wBI8tljoSYsjvphwZyIhX2VjW8N%2BDh7kLb112hM04%2F4YCoCob0QiDHg0mIPcHET6UaGZk39YtOjkk8xvg3FZKZ8zcMo5Sy85ukg8rAuYN1nXRx%2BBTui9oDDW%2BX6cNgzgZLrw41awaduBCaq0dY%2Bpuoc5%2FaBxeiD67UFR4RO%2FBo9PO7KEXapVLE6UmRvhsVIguj0Su4UF5xrtVwH9fkdAqbDfqR86s2zn2Dcl6ij%2BSY86505nu94LG9YQQ%2BLuualZ89Dx0CAxT%2F5Y60OYomdXOL1vQFz0n%2FAmbTF8MwbuJV%2FxA86xLhy%2BdtXGXsU6%2FKDx7G1POvRpvOjmrX4hITgjEQgE4FP6Jb7pHx9YWsOhqkQ4Ml%2FtBlSzFxXhKma5g%2FKyxqbXChMxfrqeLq82HnzJfb%2FEwgs7PMrYoNdtudy46RFN5CHtUq%2B3isJsEHiaNkdIUAGTpzn4kzxdn2W43q5ETP5pY0ODR6eOdGX9uOtYUXT4yg3Ona4Ma%2BtYlY4maN5ZO1PPO4W5%2B2I3L8xe7hWIl7PssxPjIUdpVqg%2FmRDyv6zRU%2FeOibM2Gz1p4EM6GuQxsuP6l5oLUMqR9cIp7aYFoSFCYvIsHfMOTxLLq8iPVo0ZARlReYpj3ypxnytI2YM6LomV2WcpApbL2w0f2BTxd9%2FDpMpu5xD4aiZ4uIsUroJG2Hkr%2BHd1PjCDvwcGlLkxF%2F8TzKFzIhIRWI6sAYdoOHaMclh0w%3D%3D,26,1,0,1,1,#452176797,Apple,Rock,Carcasa,NA
19, iPhone 7 8 Plus Carcasa Silicona Platered Slim Esr | Kyrios ,7.990,NA,9,1,12,666,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-448592292-iphone-7-8-plus-carcasa-silicona-platered-slim-esr-kyrios-_JM?searchVariation=34841122657,NA,NA,NA,NA,NA,#448592292,Apple,ESR,Carcasa,NA
20, Apple iPhone 7/8 Plus Tpu Premium Nillkin - Webphone ,9.990,NA,5,3,12,832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://articulo.mercadolibre.cl/MLC-468866299-apple-iphone-78-plus-tpu-premium-nillkin-webphone-_JM,NA,NA,NA,NA,NA,#468866299,Apple,NA,Carcasa,NA
21, Carcasa 360° iPhone 8 7 Plus + Vidrio Templado Rojo 3 En 1 ,9.995,NA,8,8,6,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452825550-carcasa-360-iphone-8-7-plus-vidrio-templado-rojo-3-en-1-_JM,NA,NA,NA,NA,NA,#452825550,Apple,NA,Carcasa,NA
22, iPhone 7 8 Plus Carcasa Silicona Antigolpe Brillos | Kyrios ,8.990,NA,11,2,12,749,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-446510146-iphone-7-8-plus-carcasa-silicona-antigolpe-brillos-kyrios-_JM?searchVariation=34372215982,NA,NA,NA,NA,NA,#446510146,Apple,ESR,Carcasa,NA
23, Carcasa Silicona iPhone 7 / 7 Plus / 8 / 8 Plus ,7.490,NA,38,9,12,624,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VENTAS.ELECTRONICAS.ONLINE,https://articulo.mercadolibre.cl/MLC-465068263-carcasa-silicona-iphone-7-7-plus-8-8-plus-_JM,NA,NA,NA,NA,NA,#465068263,Apple,Baseus,Carcasa,NA
24, Carcasa Logo Apple iPhone 7 Plus / 8 Plus + Lamina De Vidrio ,9.990,NA,6,20,12,832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CARCASASPUNTOCL,https://articulo.mercadolibre.cl/MLC-477968233-carcasa-logo-apple-iphone-7-plus-8-plus-lamina-de-vidrio-_JM,NA,NA,NA,NA,NA,#477968233,Apple,Apple,Carcasa,NA
25, Funda Brazo Armband iPhone 6 Plus Galaxy S8 Plus - Impowick ,3.990,NA,2,5,6,665,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/IMPOWICK.SHOP,https://articulo.mercadolibre.cl/MLC-457908422-funda-brazo-armband-iphone-6-plus-galaxy-s8-plus-impowick-_JM,NA,NA,NA,NA,NA,#457908422,NA,Genérica,NA,NA
26," Carcasa Antigolpes Metal R-just Classic iPhone 7/8plus,xr ",19.990,NA,4,2,12,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ARAGUISS,https://articulo.mercadolibre.cl/MLC-489269436-carcasa-antigolpes-metal-r-just-classic-iphone-78plusxr-_JM,NA,NA,NA,NA,NA,#489269436,Apple,r-just,Carcasa,NA
27, Carcasa Cuero Hanman Billetera iPhone 6 7 8 / Plus + Colores ,15.990,NA,43,125,12,1.332,NA,Envío a todo el país,NA,NA,4.3,4,https://perfil.mercadolibre.cl/SMARTBUYCHILE,https://articulo.mercadolibre.cl/MLC-448901342-carcasa-cuero-hanman-billetera-iphone-6-7-8-plus-colores-_JM?searchVariation=35452869692,3,0,0,1,0,#448901342,Apple,Hanman,Carcasa,NA
28, Carcasa iPhone 6 Plus /7 Plus /8 Plus Tarjetero Cuero Pu ,13.990,NA,4,3,6,2.332,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MICHELLODJUANPABLO,https://articulo.mercadolibre.cl/MLC-469764040-carcasa-iphone-6-plus-7-plus-8-plus-tarjetero-cuero-pu-_JM,NA,NA,NA,NA,NA,#469764040,Apple,NA,Carcasa,Negro
29, Unica Arena Carcasa 360 Con Logo iPhone 8 8 Plus ,9.990,NA,26,274,6,1.665,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/AERRECOMEX.COM,https://articulo.mercadolibre.cl/MLC-462074236-unica-arena-carcasa-360-con-logo-iphone-8-8-plus-_JM,1,0,0,0,0,#462074236,Apple,NA,Carcasa,Como
30, Carcasa Baseus Lsr iPhone 7 Plus Y 8 Plus - Tecnostrike ,9.990,NA,4,16,6,1.665,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-463975256-carcasa-baseus-lsr-iphone-7-plus-y-8-plus-tecnostrike-_JM,NA,NA,NA,NA,NA,#463975256,Apple,Baseus,Carcasa,NA
31, Carcasa 360° iPhone 8 Plus 7 Plus + Lámina Negro 3 En 1 ,9.995,NA,32,3,6,1.666,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452824745-carcasa-360-iphone-8-plus-7-plus-lamina-negro-3-en-1-_JM,1,0,0,0,0,#452824745,Apple,NA,Carcasa,NA
32, Carcasa Madera Personalizada iPhone 8 I 8 Plus I 1 Diseño ,6.990,NA,2,3,6,1.165,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VENTAS+ELECTRONICAS1,https://articulo.mercadolibre.cl/MLC-474287055-carcasa-madera-personalizada-iphone-8-i-8-plus-i-1-diseno-_JM,NA,NA,NA,NA,NA,#474287055,Apple,NA,Carcasa,NA
33, Funda Brazo Armband Brazalete iPhone 6 Plus Galaxy S8 Plus ,14.990,NA,132,16,6,2.498,NA,Envío a todo el país,NA,NA,4.3,4,https://perfil.mercadolibre.cl/NETEXPERTOS,https://articulo.mercadolibre.cl/MLC-434234316-funda-brazo-armband-brazalete-iphone-6-plus-galaxy-s8-plus-_JM,2,1,1,0,0,#434234316,Apple,NA,Brazalete,NA
34, Carcasa Celular Madera Para iPhone 6/6s/7/8 Plus Ganesha ,9.990,NA,3,7,12,832,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/SAPEAR,https://articulo.mercadolibre.cl/MLC-464777258-carcasa-celular-madera-para-iphone-66s78-plus-ganesha-_JM,NA,NA,NA,NA,NA,#464777258,Apple,NA,Carcasa,NA
35, Carcasas Colores iPhone Silicona 6/7/8/x/xs/xr/plus ,6.990,NA,49,387,12,582,NA,Envío a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/BANANATIENDA,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=Io2ZnJ%2F8pnHxZI1GT%2F2SWNk3saiEbHU9p9lhIKfRF2aIoSj3MmooLTa3SjYH8WUli8%2FnZRfSbOWTRt8ZXpIS28vqQPSvM0N4ThgQm1z0Tp8UGd1YyfcML4l46l5aRcjv6kdC6vbajurlukuWwQGCeCOho3mdpy6IfHcFKHcHIZKU1OhHclfOccMwgMBLmVCrcbnupATCMAf9yTRqW%2BuVETZqh9EkCizBIKSXWf%2BPKbJtZKdqbzNFwsJlIdclg597XBacpCJbMbthyep%2FZgLTY9GsZWmNik8MW7bcCv8mec70t4ULIOc9NdqZ4zi9EX%2FQqUs3gGo%2B1V6nkicM6nRlKEIzxPN%2FuFSVUnLzam01c9yPeClgLuPzBBs54AeSpsR10ugFN1yGb8K1IkYbB%2BnSrWzScQBhPNR3qvkKrj%2F6ZoZIpSZCO%2Fj4on2MW4EZR4OKLZ9ZX%2Bg%2FQnpa3abea6du2bP9%2Bwvya7zy2VOOrWAQFD55CxWYyQgBNHYQ2vdVVRr0W%2FXVedRnW9%2BssJ5SBJ5dxaM52dPDNGsPzQp7p1Y2jUmA%2Fp47eBOxGH0wMDRNBYM4ZW0LFucGI3UPW0huIPWaBCBwIJA2lSgWSUf6J1Vla6XHjda7bc4M2vAA72IsUQUoDbhZ6iFb96RHwtlYc77qKF0qNKiRHy1cxKRai2qLxAblBhQsMYv4LXcJeSR6x38jynru221kI4iHAf0fMkD%2FVGdbO6kFnbbYmH%2B2hWPFjQiz%2B9Fjvvx0RvsnqCWuHlYAfgLsGZhaHXOUU%2BNTePxmczJ7fjYN502kTvTzllyKSrE8HhgNn0FN8HPOoJtcX6%2B4iHfOYvhAENbPGhxKHoqOXYAMBLDgbWSQMpF6ThTDklvG2anwqwBjrrl4nmdDh3M55VXOyYB7JunOgHruBrS7ZWW8l1lQ%2Fs6XN5MJQH%2F0X7cZAMXyvsj%2BNIlVMhPIeZemDXE%2BzP1FqwrgFUQZBSqthgS3UPeKzf%2BuUITaArxRukOj2%2Fx5sTgfn5AB%2BGsHlJsmNNsn7WRVeGfT%2BdY%2F9XPGc18RoCm9t6yWpMcXPoDiVoRfoHBIVIYmWGFvFDQ5%2FwZY4CbRFHx%2BBoGMFXkNXFLYly%2FIPDAeNeYRYDUfT8mLx0HNeXw13ihqUFPc48VLfHKA2ghvTyAPPHNcDlYvrXhioClkPR6lgKB4DFq8EhZJ2J2QzOvB0JXm372RLttB1xYUy1FZsQVP0e42a5wub1gvmyFI7QrM7sq05AHvhPInHZ%2FzTuXOiBY5HgDCb2cgZdA5p%2BLRcb%2Bj17FvmcRQlDmuCb%2FXXbuW4PhQNuv0tGFUR2KJV6nq377tiSM4BuwY8KRkBEtpgTojaeo0tvd3s0yKU5qxok2iHR82dGuJZ1%2BWjW6fdgA1JYmTk13DH5goXywxpZ6mj6xRT9rdBvoJsz9QbHKfSkY%3D,3,0,0,0,0,#492059051,Apple,Silicone,Carcasa,NA
36, Carcasa Apple Silicona iPhone 7/8 Plus - Webphone ,14.990,NA,4,6,12,1.249,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://articulo.mercadolibre.cl/MLC-474367347-carcasa-apple-silicona-iphone-78-plus-webphone-_JM,NA,NA,NA,NA,NA,#474367347,Apple,Apple,Carcasa,NA
37, Carcasa iPhone 7/8 Plus 360° Vidrio Templado Negro Baseus ,9.990,NA,3,3,12,832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/BERRIAKLTDA,https://articulo.mercadolibre.cl/MLC-482951470-carcasa-iphone-78-plus-360-vidrio-templado-negro-baseus-_JM,NA,NA,NA,NA,NA,#482951470,Apple,Baseus,Carcasa,NA
38," Carcasa Silicona Para iPhone X,xs,xr,7/8plus ",7.000,NA,2,8,12,583,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ARAGUISS,https://articulo.mercadolibre.cl/MLC-489637669-carcasa-silicona-para-iphone-xxsxr78plus-_JM,NA,NA,NA,NA,NA,#489637669,Apple,Apple,Carcasa,NA
39, Carcasa iPhone 7plus-8 Plus Original X Doria ,12.000,NA,3,NA,12,1.000,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CASTILLOCHAVEZLUIS,https://articulo.mercadolibre.cl/MLC-463434527-carcasa-iphone-7plus-8-plus-original-x-doria-_JM,NA,NA,NA,NA,NA,#463434527,Apple,NA,Carcasa,NA
40, Carcasa Silicona iPhone 7 7 Plus 8 8 Plus ,8.990,NA,5,5,12,749,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VENTAS.ELECTRONICAS.ONLINE,https://articulo.mercadolibre.cl/MLC-465067813-carcasa-silicona-iphone-7-7-plus-8-8-plus-_JM,NA,NA,NA,NA,NA,#465067813,Apple,Mofi,Carcasa,NA
41," Carcasa Ultra Delgada Transparente Para iPhone 7, 8, 7p, 8p ",3.100,NA,2,1,12,258,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ONNYA,https://articulo.mercadolibre.cl/MLC-493413357-carcasa-ultra-delgada-transparente-para-iphone-7-8-7p-8p-_JM?searchVariation=39078410306,NA,NA,NA,NA,NA,#493413357,Apple,Apple,Carcasa,NA
42, Carcasa Silicona iPhone 8 Plus Original Apple ,19.900,NA,11,NA,12,1.658,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/LINESHOPCL,https://articulo.mercadolibre.cl/MLC-463282898-carcasa-silicona-iphone-8-plus-original-apple-_JM,NA,NA,NA,NA,NA,#463282898,Apple,Apple,Carcasa,NA
43, iPhone 6 6s 7 8 Plus Carcasa Bumper Luphie Dragon | Kyrios ,12.990,NA,35,4,12,1.082,NA,Envío a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-434865120-iphone-6-6s-7-8-plus-carcasa-bumper-luphie-dragon-kyrios-_JM?searchVariation=35206792229,2,0,0,0,0,#434865120,Apple,LUPHIE,Bumper,NA
44, Carcasa Funda De Silicona iPhone 7 Plus Y 8 Plus Denim Blue ,19.990,NA,1,899,6,3.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-469561437-carcasa-funda-de-silicona-iphone-7-plus-y-8-plus-denim-blue-_JM,NA,NA,NA,NA,NA,#469561437,Apple,NA,Carcasa,NA
45, Carcasa 360 Grados iPhone 7 / 8 Plus Ipaky Azul ,10.990,NA,2,NA,12,916,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FACTORY-TECH,https://articulo.mercadolibre.cl/MLC-446901283-carcasa-360-grados-iphone-7-8-plus-ipaky-azul-_JM,NA,NA,NA,NA,NA,#446901283,Apple,NA,Carcasa,NA
