search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca de Celular,Modelo de Celular,Marca da Capa,Modelo da Capa,Tipo de capa,Material
11, Capa Anti Impacto P/ iPhone 5 6 7 8 10 X Xs Xr + Pel. Gel ,16,NA,270,20,3x,5.63,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,3,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1056485759-capa-anti-impacto-p-iphone-5-6-7-8-10-x-xs-xr-pel-gel-_JM?searchVariation=26828489024,3,0,0,0,0,#1056485759,Apple,Escolher no anúncio.,H+,TPU,capinha de silicone,Silicone
12, Capa Capinha Anti Impacto 4em1 iPhone 6 7 8 Plus Xr X Xs Max ,49,NA,129,27667,6x,8.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,7,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1210095124-capa-capinha-anti-impacto-4em1-iphone-6-7-8-plus-xr-x-xs-max-_JM?searchVariation=35219107399,6,0,1,0,0,#1210095124,Apple,IPHONE,JK CAPAS,CAPA 4 EM 1 ANTI IMPACTO,CAPA PROTETOR,TPU/Policarbonato
13, Capa Capinha Magnetica Luxo iPhone 7 8 Plus X Xs Xr Xs Max ,54,NA,297,7597,10x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,10,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213994623-capa-capinha-magnetica-luxo-iphone-7-8-plus-x-xs-xr-xs-max-_JM?searchVariation=38590025464,10,0,0,0,0,#1213994623,Apple,iphone,jk capas,Magnética,capa protetor,metal e vidro
14, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Lacrada ,31,32,85,920,6x,5.22,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=CJubwXW9LMXVe1l64hLLMaVIONI4GR1bG6fHt5AoGMaRMwq6JExQzNUJCrGE1ubJPWsCx3lpyYMKZiDzOwmsKxx33LDD5bQyqUFAGqGpLfDnaGQwL2J8YG3F0haTO71fueES9CdF3Ab2q1cBYEeOxn9g7d3fbv2OK2a7yj%2BTDhvCYV%2BzsBXyxTKxYZyrgL1SfUvOo%2BWqRxad8LQramS72Igz4GSYZcPyfVP4JO4i2nQg2ISAbsIFS%2FP%2FXxlShYwE%2F0tgKoBq2p8%2BFiyZtGGWrp9CcD0Eo2%2Bagop7mWNnwAhnRQ%2FlBs9t3DChTz6gq1cGweIYDcD1Vq31wWOVOocx1UbcONyBLYJo%2B3Vt%2Bk%2Bgw5hMIR31KMPgEYPHS5%2BKg4FNx412Dmg64Wbj7mUEg0FhTWz0yYeSjXbuJUmvIYh3UN2z%2BWt8Dno5d5qOUTd9ocTWbq6qIkkHXuYZ8kLW7CNy0tm%2B4UkZNi7iUoCMNFsmu33%2BhCrbA2lIb11FDuoEPIplvOW8BeNhI7qhBNT8ue%2FVD2R68z%2B93kMDo4BDU3SvKDcESG76ijpJ%2FxTxPIQH2nPvtEmhewSh8NavrsNAX1JTMYbVaigTk60f4o2eC6KXqoiAZFC0QgKrCCgwksqLIHOKV2aCJqr5BQFiGY%2BtwsrKH92RgMQBDSKEzITJhogoLqi2Mw4PL4mODvvtk3C2IVSs6Ex%2BuHcwXjNhZ3Kbv1WgnBHGB7dONA6f8SGuNhtPHKs5ClUMthSwEI53wcW45yxwlJlJEkM0QaOcQQSe54CYTJKhS%2FpA42B2wsDyzWJM932q65s4lKRdp28zKetffdiAonHVu%2Bjdi97MQ9cjCb77nP9QoH38N%2FBZOTN3Lrf%2FX39mvNwH%2BCwZ3PpBuC0U5r6kyv7U%2ByzbulC%2FQV58ONIyPbcaaFdWNqv4E6xeu7is%2BeZE%2BgHu1GqlOjIyoZ5aug7vHW4XVo27ZIdpfqaiuXSSK1iJUOtyhmrEnezsJTcm%2Fn6zpO8bG3Qka4vqujJkeeOcpCgbFWwKB0QL2LaaRclqa1PDI3RqvYjadBrwFEP9Jo%2BtCKtRJ%2FuUErvrNtWhhLSaL5iXtlFqumEpojUtqRifCT2zyBNPI%2BEaLStOgZFNfQymTOviLfYbNZNM6lvRZvbtz3SX4UsVxNme0V8bwtRNBuU7PkqsOq9VnAJP0spxrQDKsZNKANRwmsqCH9KPK7fvwIE3sJgSil52DrYrv4qSx1PoleFkgV5%2FFiXQ3qZ9IPdyJus0%2BZnQDOI1qjVLpSpSTHONtDEaaPEi5UY4w%2F1wneEfCblzdOIj38vXy%2BFa3X0JdASwc34j6mIXYILvkaAKf94SH%2B%2FzahKIHEqBpPapaKLOaH4BjdCihJQR%2BlAF0nnZtYJO3%2BxE7%2Bfx02XCt6Oui7W8YkboCIwws18XtHoWasbmusDrdIkPon6ce6NXuIcd5cINXFYxQ3FJA%2BXbzuVC6IC5cPvrDLRwqGZYycTi,2,0,0,0,0,#1246923437,Apple,iphone7 plus  iphone 8 plus,Apple,iPhone,Apple Original,Silicone- Aveludada
15, Capinha Case Capa iPhone 4 5 5s Se 6 6s 7 8 7 Plus Coracoes ,19,NA,668,942,3x,6.66,NA,Envio para todo o país,NA,NA,4.1,28,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-709855452-capinha-case-capa-iphone-4-5-5s-se-6-6s-7-8-7-plus-coracoes-_JM?searchVariation=20025292856,18,3,2,2,3,#709855452,Apple,Iphone,Marketmix1,Silicone,Silicone,Silicone
16, Capa Capinha Ultra Fina Fosca iPhone 7 Tpu Case Varias Cores ,22,NA,145,60,4x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.7,7,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-926275689-capa-capinha-ultra-fina-fosca-iphone-7-tpu-case-varias-cores-_JM?searchVariation=33828300664,3,1,2,0,1,#926275689,Apple,Iphone,Bumper,Silicone,Silicone,Silicone
17, Capa Capinha Ultra Fina Fosca iPhone X 5s Se 6s Plus 7 8plus ,34,NA,5543,40405,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,494,https://perfil.mercadolivre.com.br/JKCAPAS,https://produto.mercadolivre.com.br/MLB-682539065-capa-capinha-ultra-fina-fosca-iphone-x-5s-se-6s-plus-7-8plus-_JM?searchVariation=22563854091,396,59,25,11,3,#682539065,Apple,IPHONE,JK CAPAS,ULTRA FINA,CAPA PROTETOR,TPU
18, Capa Capinha Case Rosa De iPhone 7 - Feminina ,34,NA,312,471,6x,5.82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,16,https://perfil.mercadolivre.com.br/AQUITEMDETUDO16,https://produto.mercadolivre.com.br/MLB-835972839-capa-capinha-case-rosa-de-iphone-7-feminina-_JM?searchVariation=25908148601,10,1,1,0,4,#835972839,Apple,7,Apple,"7""",Silicone,Silicone
19, Capinha Anti Queda Silicone iPhone X Xs Xr Max 5 Se 6s 7 8 P ,17,NA,1160,882,3x,6.37,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,33,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-689234987-capinha-anti-queda-silicone-iphone-x-xs-xr-max-5-se-6s-7-8-p-_JM?searchVariation=21674208427,25,4,2,1,1,#689234987,Apple,Iphone,Marketmix1,Silicone,Anti impacto,Silicone
20, Capinha Apple iPhone 8 Plus (consulte Cores) ,39,NA,4,990,6x,6.66,NA,Chega amanhã,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/OLST2825962,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=B%2Fj8bhl0ex7xE6xW2G%2BpbHll%2Fld%2F6tz1suwovbpqZGRliKJ8odnxc0wWoUevYCcMaavOdiTQI6OuBGyiojzw9e4Yf3D1g6jWEXKC9lwmpDgI57pLF8mqfVL40MY%2BVdIbcu%2FAfNQ6HCkEw6lzX5OOxS3f0L3%2Fv%2FYllYEmCfny4lGepMEpLQPDZ0rKFEn64fTb0Vb0GujE9YpJKXpKEDcesM8NRP8F1WQ3YW0aNuiwTVqEcf4yquR%2BKEcg8ahnKBBIs0QSgFYQGM0mlfj3%2Fdxlat5%2BAtWgV69TQUl0y0SvYbbMY7HKZ40%2BhzjgHrPgqd%2FeLYtbVJ%2FgPkCtwiXtp5hcc8agjJmXngGaSvW%2BmN8k0EKHpFtlaWWwJ61VH%2F%2F696DB%2BiD51vw3wMoo8GL%2Bmet%2BmnzfrzrDqcAsu1so5hDFg7WOycn3B712I5522F89TtfbSybvxAd7Ya%2FHfLnXmUuW%2FCA8ONjt4D%2Fnpnh0u7JhkOu1o2LeWQK03zRB2Nj%2BQiPM1GJ%2BNoz8rbQgcob0r44R2hquLCDCYOCw6Yj619fDpzPJRKphYDnbQ32eSTeoWXy0N%2FNNLbuTQn3%2BbSuuJBNJKM6XOqOFYfBp3XVg5PlJWIDDruSScqC%2BFhO7IyFVlYcypV3i6SU5k%2FWgB3pdKEzJK2csmft7pq4jXKHPqnMOf6meqXx8JhxS1Hw5ZzDwrqQld8VKRxAfQMYtuLN68uoKo%2BkZqq%2B87CXCs5YCjIxI0wcVpYEBN2%2FADR9v2mort6Rv4Zbp9h0xedDjBrTj0i87coNk1kPG%2F69t5YXumVA6PLghRkg8LakN5Aki4nkEpY3QsDdcstuLabPcCR3CduwThLrRep91qwSrgpKm2XAcnV3mxydXPagscm%2BfDeKiv4h6JXsyW6CLaLfkpI9tpqzIKkIirBqtaZMpyqV2kYNvSOWkuTHM8SsI9bfRq%2FS4FzM8txBgnaaxqM8L%2Fo%2B%2FaNO90vnTava8J%2Bv0P53%2F0U8HvXW909qaS%2FnqYozLDxCbE3RakmFocMoKz2xvoJWdmSErjydVdXiBrHNRp0TM3YcfsXo3cCgIOwwWqIeZLqVpZcS6MU2N4sUvZm3UjEsRP43raNb%2FHkI4eTEfdPZcuDQ1JlLyq3XkwsQ3JLQUfyT71RKwwoSiqIuTBThiWqA6GFkClzPy%2F%2FPOtwJJOBbvNAaOaabtbBDcYJV45zr4mM5iwDpM085ifLerhQ3uEGSC93%2FS%2FPlKYO4c0zOgxbnRfT5tauu1%2FmNx4YxeB8n86reW%2Bnf%2B9C6AUw3eQUyvu8XYOo6Gkq4tC9C%2B7fuDxwJbkdg37jkXJ0qslGX1WlbeNF6nnv9hnSoNo1JjZx1AzJQ9NZa274s%2Bq8i1RYfOBSHsNWp8VAahIJlLovB9DBIx6wTz%2F0yMJ5pcMDnJ5D5kEVz7doKflmKCUEzFMovbouhnPbPlisW4Cjh74N2Dm770rua47q4UiRc%3D,NA,NA,NA,NA,NA,#1270824212,Apple,7 Plus / 8 Plus,Apple,Silicone,Original,Silicone
21, Capa Capinha Magnetica Premium iPhone 7 8 Plus X Xs Xr Xsmax ,54,NA,191,7654,10x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,5,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213999114-capa-capinha-magnetica-premium-iphone-7-8-plus-x-xs-xr-xsmax-_JM?searchVariation=37715721002,3,0,0,2,0,#1213999114,Apple,iphone,jk capas,Magnética,capa protetor,metal e vidro
22, Capa Capinha Case Magnetica iPhone 6 7 8 7 Plus 8 Plus X Xs ,57,NA,576,1285,10x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.9,25,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-687097200-capa-capinha-case-magnetica-iphone-6-7-8-7-plus-8-plus-x-xs-_JM?searchVariation=27812486572,14,3,3,2,3,#687097200,Apple,Iphone,Marketmix1,Magnetica,Silicone,Emborrachada
23, Capinha Maxima Proteção 3 Em 1 iPhone 5_5s_se_6_7_8_plus ,34,NA,100,472,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/AJCAPA,https://produto.mercadolivre.com.br/MLB-1234100623-capinha-maxima-proteco-3-em-1-iphone-55sse678plus-_JM?searchVariation=37645886908,NA,NA,NA,NA,NA,#1234100623,Apple,Iphone 5_Se_6_6+_7_7+_8_8+,ADS,Capa Fina 3 em 1,Case cabido,TPU/Policarbonato
24, Capinha Capa iPhone 5s Se 6 6s 7 8 Plus X Frente Verso 360 ,29,NA,493,290,5x,5.98,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,23,https://perfil.mercadolivre.com.br/FAVA+STORE,https://produto.mercadolivre.com.br/MLB-908246136-capinha-capa-iphone-5s-se-6-6s-7-8-plus-x-frente-verso-360-_JM?searchVariation=31530913320,20,2,0,1,0,#908246136,Apple,iPhone,Protect 360° Case,360°,Frente e Verso,Acrílico
25, Capinha Anti Queda Silicone Resistent iPhone Xs 7 8 Plus Xr ,18,NA,74,433,3x,6.70,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MAISVARIEDADESHOP,https://produto.mercadolivre.com.br/MLB-1157073729-capinha-anti-queda-silicone-resistent-iphone-xs-7-8-plus-xr-_JM?searchVariation=31302197409,NA,NA,NA,NA,NA,#1157073729,Apple,iPhone 7 8 X XR XS XS Max,MAISVARIEDADESHOP,Anti Impacto,Anti Shock,Silicone
26, Capinha Capa Anti Impacto iPhone 5 5s Se 6 6s 7 8 Plus X 10 ,6,NA,241,5,1x,6.99,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,6,https://perfil.mercadolivre.com.br/FULLCELL_ML,https://produto.mercadolivre.com.br/MLB-1137858506-capinha-capa-anti-impacto-iphone-5-5s-se-6-6s-7-8-plus-x-10-_JM?searchVariation=30114741350,4,2,0,0,0,#1137858506,Apple,Escolher no anúncio.,HR,TPU,Capinha,Silicone
27, Capa Capinha Ultra Fina Fosca iPhone X 5s Se 6s Plus 7 8plus ,20,NA,179,69,4x,5.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/PRESENTES4ALL,https://produto.mercadolivre.com.br/MLB-828466878-capa-capinha-ultra-fina-fosca-iphone-x-5s-se-6s-plus-7-8plus-_JM?searchVariation=32338006784,2,0,0,0,0,#828466878,Apple,iPhone 7 Plus,Apple,iPhone,traseira,TPU
28, Capinha Capa Fina P/ iPhone 5 6 7 8 Plus 10 X ,7,NA,125,16,1x,7.99,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1056948426-capinha-capa-fina-p-iphone-5-6-7-8-plus-10-x-_JM?searchVariation=25316698501,NA,NA,NA,NA,NA,#1056948426,Apple,Escolha antes de comprar o Iphone 5 5s 6 6s 7 8 10 X,H+,TPU SILICONE Transparente,capinha de silicone,Silicone
29, Capinha Silicone Aveludado iPhone 8 Plus Rosa ,29,NA,50,450,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536357-capinha-silicone-aveludado-iphone-8-plus-rosa-_JM,2,0,0,0,0,#1165536357,Apple,Iphone 8 Plus,Apple,iPhone 8 Plus,Silicone,Silicone
30, Capa Case Capinha Silicone Aveludado iPhone 8 Plus Branco ,29,NA,50,450,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536270-capa-case-capinha-silicone-aveludado-iphone-8-plus-branco-_JM,NA,NA,NA,NA,NA,#1165536270,NA,NA,NA,NA,NA,NA
31, Capa Capinha Case Flip Magnética iPhone 8 Plus ,48,NA,63,842,6x,8.11,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/KARMINPARTS2003,https://produto.mercadolivre.com.br/MLB-1214046247-capa-capinha-case-flip-magnetica-iphone-8-plus-_JM?searchVariation=35503300510,1,0,0,0,0,#1214046247,Apple,iPhone 8 Plus,000,Magnético,Flip Magnético,TPU/Policarbonato
32, Capa Capinha Case Nillkin Luxo iPhone 8 Plus - Eton Case ,94,NA,6,1,12x,7.91,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CAPINHASMARTPHONE,https://produto.mercadolivre.com.br/MLB-1136029586-capa-capinha-case-nillkin-luxo-iphone-8-plus-eton-case-_JM,NA,NA,NA,NA,NA,#1136029586,Apple,iPhone 8 Plus,Nillkin,Eton Case,Back Cover,TPU/Policarbonato
33, Capa Capinha 360 Anti Impacto Luxo iPhone 6 7 8 Plus X Xr Xs ,49,NA,32,8871,6x,8.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1204440894-capa-capinha-360-anti-impacto-luxo-iphone-6-7-8-plus-x-xr-xs-_JM?searchVariation=34758789527,NA,NA,NA,NA,NA,#1204440894,Apple,iphone,gkk,capa 360,capa protetor,TPU/Policarbonato
34, Capinha Silicone Aveludado iPhone 8 Plus Amarelo ,29,NA,44,456,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536360-capinha-silicone-aveludado-iphone-8-plus-amarelo-_JM,NA,NA,NA,NA,NA,#1165536360,Apple,Iphone 8 Plus,Apple,iPhone 8 Plus,Silicone,Silicone
35, Capinha Capa Anti Impacto iPhone 5 Se 6 7 8 Plus X 10 Xs Xr ,9,NA,1058,2,1x,9.99,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,58,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1046394380-capinha-capa-anti-impacto-iphone-5-se-6-7-8-plus-x-10-xs-xr-_JM?searchVariation=26818898415,45,6,4,1,2,#1046394380,Apple,Escolha o modelo no anúncio,H+,"6, 7, 8 ou 10",Capinha,Silicone
