search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Material,Color
11," Case Funda Anti Golpe Caída iPhone 6, 6+, 7/8, 7/8 Plus, X ",34,NA,4,46,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/RODRI+STORE01,https://articulo.mercadolibre.com.pe/MPE-432630035-case-funda-anti-golpe-caida-iphone-6-6-78-78-plus-x-_JM,NA,NA,NA,NA,NA,#432630035,Apple,NA,TPU,NA
12, Case iPhone X Xs Max Xr 7 8 10 Plus Xs Protector Supcase Usa ,129,159,15,84,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989656-case-iphone-x-xs-max-xr-7-8-10-plus-xs-protector-supcase-usa-_JM,0,1,0,0,0,#435989656,Apple,NA,NA,NA
13," Funda Case iPhone 6, 6s, 7, 7plus,8, 8plus,xr, X, Xs, Xs Max ",55,NA,2,11,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-435296638-funda-case-iphone-6-6s-7-7plus8-8plusxr-x-xs-xs-max-_JM,NA,NA,NA,NA,NA,#435296638,Apple,NA,NA,NA
14, Apple® Leather Case Para iPhone 7 8 Plus Funda Cuero Tienda ,189,NA,2,97,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990324-apple-leather-case-para-iphone-7-8-plus-funda-cuero-tienda-_JM,NA,NA,NA,NA,NA,#435990324,Apple,Apple,Cuero,Negro
15, Protector Bumper Funda Case iPhone 6 / 6s 7 / 8plus Aluminio ,75,NA,10,14,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-426950928-protector-bumper-funda-case-iphone-6-6s-7-8plus-aluminio-_JM,NA,NA,NA,NA,NA,#426950928,Apple,NA,NA,NA
16, Rock Case Funda Protector Moc Series iPhone 7 / 8plus ,50,NA,4,29,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-430286444-rock-case-funda-protector-moc-series-iphone-7-8plus-_JM,NA,NA,NA,NA,NA,#430286444,Apple,NA,NA,Roja
17, Protector Case Funda Delgado iPhone 7/8/plus/x Aluminio ,99,NA,93,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,3,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-422979822-protector-case-funda-delgado-iphone-78plusx-aluminio-_JM,3,0,0,0,0,#422979822,Apple,NA,NA,NA
18, Case iPhone 7/8 / 7/8 Plus X De Cuero Louis Vuitton Y Gucci ,65,NA,7,493,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/MALUPHONE,https://articulo.mercadolibre.com.pe/MPE-433215134-case-iphone-78-78-plus-x-de-cuero-louis-vuitton-y-gucci-_JM?searchVariation=40515285935,1,0,0,0,0,#433215134,Apple,NA,Cuero,NA
19," Case Funda Protector iPhone 7 Plus,8plus,xr, X, Xs Y Xs Max ",55,NA,1,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-436663632-case-funda-protector-iphone-7-plus8plusxr-x-xs-y-xs-max-_JM,NA,NA,NA,NA,NA,#436663632,Apple,NA,NA,NA
20, Funda Case Protector Antishock iPhone 7/8/plus Delgada ,15,NA,3,92,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-432695703-funda-case-protector-antishock-iphone-78plus-delgada-_JM,NA,NA,NA,NA,NA,#432695703,Apple,NA,NA,NA
21, Protector Case Funda De Silicona iPhone 6/6s 7/8 Plus ,39,NA,3,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SERGIOAMARANTOPEREA,https://articulo.mercadolibre.com.pe/MPE-431846795-protector-case-funda-de-silicona-iphone-66s-78-plus-_JM,NA,NA,NA,NA,NA,#431846795,Apple,NA,NA,NA
22, Case Delgado Mate Para iPhone X Xr Xs Max 7 8 Plus Protector ,69,NA,4,95,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989675-case-delgado-mate-para-iphone-x-xr-xs-max-7-8-plus-protector-_JM,NA,NA,NA,NA,NA,#435989675,Apple,NA,NA,Negro
23, Funda Case Protector 360 iPhone 8/8plus/x + Vidrio Pantalla ,69,NA,1,999,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-426538133-funda-case-protector-360-iphone-88plusx-vidrio-pantalla-_JM,NA,NA,NA,NA,NA,#426538133,Apple,NA,NA,NA
24, Funda Case Bumper Aluminio Espejo iPhone 5 6 7 8 Plus ,35,NA,6,94,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTOREPUNTOPE,https://articulo.mercadolibre.com.pe/MPE-423672540-funda-case-bumper-aluminio-espejo-iphone-5-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#423672540,Apple,NA,NA,NA
25, iPhone 8 Plus Billetera Funda De Phone iPhone 7 Plus Funda X ,147,NA,1,11,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436462758-iphone-8-plus-billetera-funda-de-phone-iphone-7-plus-funda-x-_JM,NA,NA,NA,NA,NA,#436462758,Apple,XRPOW,Cuero,Red
26, Funda iPhone X/8/8plus/7/7plus Gom Case Carcasa Protector ,39,NA,27,7,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430710607-funda-iphone-x88plus77plus-gom-case-carcasa-protector-_JM,NA,NA,NA,NA,NA,#430710607,Apple,NA,NA,Roja
27, Funda iPhone 6/6plus/7/7plus/8/8plus Puma Case Protector ,39,NA,26,44,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430531110-funda-iphone-66plus77plus88plus-puma-case-protector-_JM,NA,NA,NA,NA,NA,#430531110,Apple,NA,NA,Dorada
28, Lunatik iPhone 5/6/6s 7/7plus 8/8plus Armadura De Aluminio ,125,NA,3,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ALBERTOPP75,https://articulo.mercadolibre.com.pe/MPE-428313439-lunatik-iphone-566s-77plus-88plus-armadura-de-aluminio-_JM,NA,NA,NA,NA,NA,#428313439,Apple,NA,Aluminio,Negro
29, Funda iPhone Case 5s/se/6/6plus/7/7plus/8/8plus Multi Case ,40,NA,36,38,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430509893-funda-iphone-case-5sse66plus77plus88plus-multi-case-_JM,NA,NA,NA,NA,NA,#430509893,Apple,NA,NA,Roja
30, Case Funda Protector Retro Juegos Gameboy iPhone 6 7 8 Plus ,54,NA,8,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/LAGRAN_VENTANA,https://articulo.mercadolibre.com.pe/MPE-432587504-case-funda-protector-retro-juegos-gameboy-iphone-6-7-8-plus-_JM,1,0,0,0,0,#432587504,Apple,NA,NA,NA
31, Case Consola Retro Games iPhone 6s 7 8 Plus Xs Funda Juegos ,54,NA,3,27,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,https://articulo.mercadolibre.com.pe/MPE-431938397-case-consola-retro-games-iphone-6s-7-8-plus-xs-funda-juegos-_JM,NA,NA,NA,NA,NA,#431938397,Apple,NA,NA,NA
32, Case Funda Protector Spigen iPhone X 7 8 Y Plus Original Usa ,89,99,217,37,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,7,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-421175972-case-funda-protector-spigen-iphone-x-7-8-y-plus-original-usa-_JM,4,2,1,0,0,#421175972,Apple,NA,NA,NA
33," Case Funda Silicona iPhone 6, 7, 8, X, Plus ",15,NA,54,48,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,2,1,http://perfil.mercadolibre.com.pe/MAOMATACASTILLO,https://articulo.mercadolibre.com.pe/MPE-433067982-case-funda-silicona-iphone-6-7-8-x-plus-_JM,0,0,0,1,0,#433067982,Apple,NA,NA,NA
34, Power Case iPhone 7 Plus & 8 Plus 3650mah Baseus ,169,NA,2,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/APPLEMALLCENTER,https://articulo.mercadolibre.com.pe/MPE-428583035-power-case-iphone-7-plus-8-plus-3650mah-baseus-_JM,NA,NA,NA,NA,NA,#428583035,Apple,Baseus,NA,NA
35, Funda Case Protector Anti Caída iPhone 7/8/plus/x/s/r/max ,149,NA,136,99,NA,NA,NA,Envío gratis a todo el país,NA,NA,4.2,5,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-425935369-funda-case-protector-anti-caida-iphone-78plusxsrmax-_JM,4,0,0,0,1,#425935369,Apple,NA,NA,NA
36, Protector Bumper Funda Case iPhone 7/8/plus/x Aluminio Pro ,59,NA,39,16,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-427126693-protector-bumper-funda-case-iphone-78plusx-aluminio-pro-_JM,NA,NA,NA,NA,NA,#427126693,Apple,NA,NA,NA
37, Case iPhone X Xs Max Xr 7 8 10 Plus + Gancho Y Mica Supcase ,134,NA,1,98,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990497-case-iphone-x-xs-max-xr-7-8-10-plus-gancho-y-mica-supcase-_JM,NA,NA,NA,NA,NA,#435990497,Apple,NA,NA,NA
38, Case Premium iPhone 6 7 8 Plus Xr Xsmax Protector Funda Bump ,49,NA,0,30,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SABO520433,https://articulo.mercadolibre.com.pe/MPE-434229773-case-premium-iphone-6-7-8-plus-xr-xsmax-protector-funda-bump-_JM,NA,NA,NA,NA,NA,#434229773,Apple,NA,NA,NA
39, Case iPhone 7 6 Plus Galaxy Note 9 8 S9 C/ Vidrio Funda Usa ,169,NA,2,97,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-432123028-case-iphone-7-6-plus-galaxy-note-9-8-s9-c-vidrio-funda-usa-_JM,NA,NA,NA,NA,NA,#432123028,Apple,NA,NA,NA
40, Case iPhone X Xs 7 8 5s Plus Max Xr + Mica Supcase Original ,129,NA,1,98,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989860-case-iphone-x-xs-7-8-5s-plus-max-xr-mica-supcase-original-_JM,NA,NA,NA,NA,NA,#435989860,Apple,NA,NA,NA
41, Case iPhone 7 Plus 7+ 7 8 8+ Funda Cover Extrema Thor Metal ,130,NA,4,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-421670783-case-iphone-7-plus-7-7-8-8-funda-cover-extrema-thor-metal-_JM,NA,NA,NA,NA,NA,#421670783,Apple,NA,NA,NA
42, Funda Case Protector Aluminio iPhone 7/8/plus/x Delgado+glas ,109,NA,25,75,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-422979846-funda-case-protector-aluminio-iphone-78plusx-delgadoglas-_JM,1,0,0,0,0,#422979846,Apple,NA,NA,NA
43," Case Funda Protector Silicona iPhone 6s Plus, 7plus, 8 Plus ",25,NA,1,8,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-434564795-case-funda-protector-silicona-iphone-6s-plus-7plus-8-plus-_JM,NA,NA,NA,NA,NA,#434564795,Apple,NA,NA,NA
44, Protector Case Ringke Fusión Bumper iPhone X 7 8 Y Plus ,59,NA,63,189,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,2,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-421426418-protector-case-ringke-fusion-bumper-iphone-x-7-8-y-plus-_JM,0,2,0,0,0,#421426418,Apple,Ringke,NA,NA
45, Funda Protector iPhone 7/8/plus/x Delgado Original ,49,NA,16,84,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-425414808-funda-protector-iphone-78plusx-delgado-original-_JM,1,0,0,0,0,#425414808,Apple,NA,NA,NA
46, Lensun Vidrio Protector Pantalla 360 iPhone 7/8/plus/x/r/ma ,129,NA,3,19,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-427694168-lensun-vidrio-protector-pantalla-360-iphone-78plusxrma-_JM,NA,NA,NA,NA,NA,#427694168,Apple,NA,NA,NA
47, Case Funda Original Jelly iPhone 7plus / 8 Plus / 6 Plus ,28,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AZTILEYRODRIGUEZ,https://articulo.mercadolibre.com.pe/MPE-435783718-case-funda-original-jelly-iphone-7plus-8-plus-6-plus-_JM,NA,NA,NA,NA,NA,#435783718,Apple,NA,NA,NA
48, Funda Soporte Case Protector iPhone 7 Plus - 8 Plus ,39,NA,3,7,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TEVEN255,https://articulo.mercadolibre.com.pe/MPE-422461248-funda-soporte-case-protector-iphone-7-plus-8-plus-_JM,NA,NA,NA,NA,NA,#422461248,Apple,NA,NA,NA
49, Funda Case iPhone 6 7 8 Plus X Xs Max Xr Otterbox Defender ,60,NA,1,19,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-434433295-funda-case-iphone-6-7-8-plus-x-xs-max-xr-otterbox-defender-_JM,NA,NA,NA,NA,NA,#434433295,Apple,OtterBox,NA,NA
50, Funda Case Protector Bumper Aluminio iPhone 7/8/plus + Glass ,119,NA,12,38,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-424832128-funda-case-protector-bumper-aluminio-iphone-78plus-glass-_JM,NA,NA,NA,NA,NA,#424832128,Apple,NA,NA,NA
51, Funda Case Protector Todo Terreno iPhone 7/8/plus/x Aluminio ,229,NA,10,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-424962913-funda-case-protector-todo-terreno-iphone-78plusx-aluminio-_JM,NA,NA,NA,NA,NA,#424962913,Apple,NA,NA,Aluminio
52, Funda Case Protector Militar Antishock iPhone 7/8/plus/x ,109,NA,10,90,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-424941759-funda-case-protector-militar-antishock-iphone-78plusx-_JM,NA,NA,NA,NA,NA,#424941759,Apple,NA,Aluminio,NA
53, Funda Bumper Case iPhone 7/8/plus/x Aluminio Antishock ,129,NA,1,9,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-427847071-funda-bumper-case-iphone-78plusx-aluminio-antishock-_JM,NA,NA,NA,NA,NA,#427847071,Apple,NA,NA,Roja
54, Case Armor Protector Funda Soporte iPhone 5 6 7 8 Plus ,49,NA,0,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MOBITECH.PE,https://articulo.mercadolibre.com.pe/MPE-432409559-case-armor-protector-funda-soporte-iphone-5-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#432409559,Apple,NA,NA,NA
55, Estuche Cuero Correa Samsung iPhone X Xs 7 Plus 8 Luxmo ,30,NA,1,28,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-434092787-estuche-cuero-correa-samsung-iphone-x-xs-7-plus-8-luxmo-_JM,NA,NA,NA,NA,NA,#434092787,Samsung,Samsung,Cuero,NA
56, Funda Case Protector Bumper Anti Shock iPhone 7/8/plus/x ,129,NA,3,17,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-429994028-funda-case-protector-bumper-anti-shock-iphone-78plusx-_JM,NA,NA,NA,NA,NA,#429994028,Apple,NA,NA,Roja
57," Case Funda iPhone 6s, 7, 8,7 Plus, 8 Plus,x,xs, Xr Y Xs Max ",55,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-436695527-case-funda-iphone-6s-7-87-plus-8-plusxxs-xr-y-xs-max-_JM,NA,NA,NA,NA,NA,#436695527,Apple,NA,NA,NA
58, Funda Case Silicona iPhone 6 7 8 X Se Plus Apple ,33,NA,0,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JOHNEDWARDROJASMOZOMBITE,https://articulo.mercadolibre.com.pe/MPE-433417261-funda-case-silicona-iphone-6-7-8-x-se-plus-apple-_JM,NA,NA,NA,NA,NA,#433417261,Apple,Apple,Silicona,NA
59, Case Funda Resistente Color Camaleón Para iPhone 8 Y 7 Plus ,49,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/YAJOMATECH,https://articulo.mercadolibre.com.pe/MPE-434939764-case-funda-resistente-color-camaleon-para-iphone-8-y-7-plus-_JM,NA,NA,NA,NA,NA,#434939764,Apple,NA,NA,NA
60," Case Funda iPhone 7plus,8 Plus,x, Xs, Xr Y Xs Max Con Anillo ",55,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-436695536-case-funda-iphone-7plus8-plusx-xs-xr-y-xs-max-con-anillo-_JM,NA,NA,NA,NA,NA,#436695536,Apple,NA,NA,NA
61, Protector Funda Case Bumper Auminio S9/plus/note8/9 ,55,NA,69,36,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-422979840-protector-funda-case-bumper-auminio-s9plusnote89-_JM,0,1,0,0,0,#422979840,NA,NA,NA,NA
62, Case Funda Protector Bumper Aluminio iPhone 8/8plus + Vidrio ,135,NA,4,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-428113673-case-funda-protector-bumper-aluminio-iphone-88plus-vidrio-_JM,NA,NA,NA,NA,NA,#428113673,Apple,NA,NA,NA
63, Funda Cases Protector 360 + Mica De Vidrio iPhone 8 & 8 Plus ,45,NA,0,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ASMOBILEACCESORIES,https://articulo.mercadolibre.com.pe/MPE-432015260-funda-cases-protector-360-mica-de-vidrio-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#432015260,Apple,NA,NA,NA
64, Funda Case Protector Delgado Mate iPhone 7/8/plus/x ,69,NA,18,32,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-425119317-funda-case-protector-delgado-mate-iphone-78plusx-_JM,1,0,0,0,0,#425119317,Apple,NA,NA,NA
65, Case Bumpers Fundas iPhone 8 Y 8 Plus ,19,NA,2,13,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JARRIETAA,https://articulo.mercadolibre.com.pe/MPE-426642181-case-bumpers-fundas-iphone-8-y-8-plus-_JM,NA,NA,NA,NA,NA,#426642181,Apple,NA,NA,NA
66, Case iPhone 8 7 Plus Supcase Funda Gancho Armor Anti Shock ,159,NA,2,23,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-421249696-case-iphone-8-7-plus-supcase-funda-gancho-armor-anti-shock-_JM,NA,NA,NA,NA,NA,#421249696,Apple,NA,NA,NA
