search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Tipo de funda
11, Apple iPhone 8 Plus 64gb + Lamina Y Funda - Phone Store ,774.99,NA,104,796,6,129.165,NA,Envío gratis a todo el país,NA,NA,4.9,47,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-450308073-apple-iphone-8-plus-64gb-lamina-y-funda-phone-store-_JM,44,1,2,0,0,#450308073,NA,Apple,NA
12, Carcasa + Soporte Dragon Ball iPhone X 6 7 8 Plus Xs Max ,7.99,NA,16,6,12,666,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALIZADORA+REGALOCO,https://articulo.mercadolibre.cl/MLC-475108196-carcasa-soporte-dragon-ball-iphone-x-6-7-8-plus-xs-max-_JM,NA,NA,NA,NA,NA,#475108196,Apple,NA,Carcasa
13, iPhone 7 / 8 / 7 Plus / 8 Plus Carcasa Magnética | Kyrios ,11.99,NA,35,2,12,999,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-470386540-iphone-7-8-7-plus-8-plus-carcasa-magnetica-kyrios-_JM?searchVariation=37721968573,1,0,0,0,0,#470386540,Apple,LUPHIE,Carcasa
14, Lote De 12 Fundas De Cuero Para iPhone 6 / 7 / Plus / 8 / X ,89.99,NA,2,98,12,7.499,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELLBOX.CL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=EJ4BZF1Nsw%2Fy8hvsa5aW%2BysrsphdLXM5eAY2AiHMNoFmCnIQAaY5njwMfCsl1WJnPfz0AeKnW3Ocs9TiFxplHhAcjXX1RE5jzmInKlHa9hQ%2B3lyfKyCFbRtyXA6Z7CI7mGyCvS%2FZIh%2FVJFVYftzUcjMM3pX%2FCPdohFePClwxnSGE1r3H10zaz73x%2B04sAzjyiNBMGzkr1EGzHodGFxZssFNs6qQnUG%2FcEclt%2FrpFb31lNTyGjm9yk7eIef%2Fr7JSqCh9oW5krbm4%2BJrMwyXUMQm9bbBHmU5eXAc28oaFVMj2fVg45bSzOKR2jQB6uV%2B2bgdf1F3DArtKgcNwrbllN2nqTGcJ5ZvWpOAwrRuiz9BP5knbdSfY6BIAxoSnjb6AhPprouKrtlLvIJdyl6ouJAHEdT6wpUTcoK1DmHcf%2BrTsH25e%2FgOWvM288%2Fj%2B9V2iczCjqTwfjFXwjaWlcdH10aWiHWU0yrpwEV23csAS6fdCwyO9J8TPG3HQctbPMOpR4r1soerMX0OKDCasSi9G%2F5aGl2EfY2LPlFqjeyrNRe2l7SencfAhqi%2FdAcKgMXXGoF59JfTtOOpkuyhtTA0B5QgozHLM8DT2DRXzjcr376bHWvRtWsQ9%2BrQD8lHwaflMJKdOmDeTD9X%2BulFej9a27y3kAPR3KRF5pjRV23P2BdZ99QOczKXwmCglt%2BuY9eBjGrks6ERAbs9Bp1mmbems2hJbGjYEb3hc0qcjtfG1USk0nFce4r3sE5W2myXxu8gIp3XJa%2FAgQSP4VwwT3DaxHmwflsa9EddQuulJQIx8TlZAC4nraPqz8LQKdcn6ChctwUqRBMyhmIYVbxbyP%2Bfr7ebSmkY96ejf%2F0WSVQeFGf64%2Bum7qRS4AX9Z7x%2FQrWRZUtVn2XzCupOENxUKS3JQp7OCEsiCPBY5o8A8ZfuZE72T7aQgWhMryH%2B3pvdiIVoNlHdnldTKH5mxMI9Yc7Z1T4y6Jljm0Ro3IyVj7YQ14n700ZnpzSygS1lFY2kjgfnVOPy0YQeuuqAZehDpaf4N738xJ7%2F4mVI2vRA5re7xgAmE%2Bzy5f60OCTqF2AbEjRlz7YEp3bLt0nFNthrWr81fAHKHAy12a0CjrNFbOPzzmwszL0FT9JT9BSn3xTBWNNfqUTFBUpuDlWGUeGpWTuWfUDRdgzxxcoC00LGv3c47bm3m1m8KDmeYu69ZlmWdI1kTZqXCw3I%2BCxM4WneATANzHFuu2x9xwQ9OdtFgaHwK2iSOVweVYk8cVGzO2PNLyn%2BID14KjNcJilyZz6%2BIvPdjn12Ltq%2BJru4TaKqoig5VqDoiuiHkBRVQuNgiOZ1zoLPn4sQA%2BPhzj09wtBFuaIkyuHHqeIFkBKkbb0oxarZB3OKgVgJg2ajj2a2O8OAdh8UhE5vJZoy9Q3hw1wICwtlPkwVk96qYktbONxvZLav1eg4cjVrT8ZqDKK4s2RLQLC8tQIHYKmAXK7aWr3YVqIU2hSeDIFrk3%2FChytPnIzlni5buVeTO4snFaUfztMZaQydlWArFioqICJt8EeS3RgqSTSUOmYYF0CinqLA%3D%3D,NA,NA,NA,NA,NA,#459600680,Apple,NA,Carcasa
15, Carcasa Love Mei iPhone 7 8 X Y 7 8 Plus - Tecnostrike ,20.99,22.990,332,709,6,3.498,NA,Envío gratis a todo el país,NA,NA,4.1,13,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-435358128-carcasa-love-mei-iphone-7-8-x-y-7-8-plus-tecnostrike-_JM,8,1,1,3,0,#435358128,Apple,LOVE MEI,Carcasa
16, Carcasas Apple Cuero iPhone 6 6 Plus 6s Plus 7 8 7 8 Plus ,14.99,NA,606,6,6,2.498,NA,Envío a todo el país,NA,NA,4.4,40,https://perfil.mercadolibre.cl/SMARTBUYCHILE,https://articulo.mercadolibre.cl/MLC-434288453-carcasas-apple-cuero-iphone-6-6-plus-6s-plus-7-8-7-8-plus-_JM?searchVariation=35810579020,25,8,4,2,1,#434288453,Apple,Apple,Carcasa
17, Carcasa Logo Apple iPhone 7 Plus / 8 Plus + Lamina De Vidrio ,9.99,NA,8,40,12,832,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/CARCASASPUNTOCL,https://articulo.mercadolibre.cl/MLC-477968233-carcasa-logo-apple-iphone-7-plus-8-plus-lamina-de-vidrio-_JM,1,0,0,0,0,#477968233,Apple,Apple,Carcasa
18, Carcasa Apple Silicona Original 6 / 7 Y 7 Plus / 8 Y 8 Plus ,7.8,NA,253,78,12,650,NA,Envío a todo el país,NA,NA,4.8,17,https://perfil.mercadolibre.cl/CELLBOX.CL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=Z10Z1Nn53f4P7mqTJuCQ%2B%2FyK6SPVNvN7sifNuqLJD3q31SW1izl3g41ZV9Qu8ebPXFh4saAJ5uTDTj4z0Npov7zcxN19lkTL5%2BxHBf%2FBl2aQKu%2BujAdIy5fAw0I6M4XlDjHOHv56BLwYqXvvKwS5rcrBscJyHMNyTFPnpRArJb6QUT0yJJ%2BNHme6gehfUqstbqg9IPRXUKET28YuqMaUiyBaYyijbH75%2FwR%2BZBbXmWSmHHQh%2BoJIQgmj8uMkbj7pz%2BWj8TGWvacKKjXPzUa%2BXeMHcWqp0%2BhQNiWDNOK3rQRG1qt43wRZcMmKnKt2CGaekiXgeDUXVygHZIC3DoTXNKwGR4Py1AcbzCotc58kiZhtyMjiubdTGFRy7J%2B9pVcHrtpMrVbUiUlaRqrGCdXvyKAL8dw3xf6NvDZPcYeF6LOjNKvyKtMqFRSBY5lkLLy1eDUq17srE4J5GjrxSpxKJMOCGFanG%2BYX35Jg5j4mrWpFBbc9ml5%2BrnkbmoueMXnR2F0g2OZA%2BE5LH9CmiOGQ0YWAVd%2FQXLu%2BbKaUioOfY57HI2kwBnXiSRwtYonrD3bicWUx4gVKF2nwHXqO8HTeBKGnyootG1Sup5UQfGF40EHQF%2BGBliSSlIXt6RkO2niseB24p%2BfcgN7oz3An9wlq9mVaX1xsrgMjifDU60lgTgwOqpYeHkI%2FwxcPbwXMzJbszOutHZ6y8ax6vEnn4qgFi6l8CeROg3Ey9GmUMJM93x11lGKYv%2BT9AwUZ1PG9r39dHVOja9dQtmvt4mzCpi6rwFBK0M%2FzcUXLp3zwnmTftuSF1D0CJUcl9J%2FgZQotb6qTc39Gz7gpmlS80pf4SciZ8TGdP%2BTEHCgcjhoV56d4I0R8eebK87rXqlRxkbsHkGc7rh%2FRoy%2FrEmzCd3eJoIfVLch43NFzNdgb3smC4k%2B6uB4LZALTzeajsJAiT%2Fjs2%2FjBh7XSGYGzOwJ2kjbgQcAkxX%2BdJRJlPRqBeSnTdWePnsYGy4V9kE8ZKQFK35MZngE7t0urYkPP1pM4vy6Txl%2BOuVa4WOIJnQ7mbClUfPB6kI1o2gnGQ2BxklD%2FWTO05EgUDCa26NLmInWYzVvhJZG1Jhz%2FOP9%2FnQZEeNzJmElsEIAh44YFkYmdOiEiiupdl9Ack4trazpkyI%2FmDJBAs8xahQzTMoydg%2FOdeguyTq5U1srjDVf%2BMTDXfRhofcKLr0YrgdmHf7%2FscbMHSBOuwT9o0B%2FjuvRt4VJQEL%2BObC6FyDHhyjxJIrtbEP84Y%2Fkj9OHrO4sSr4KPKG1hobR1XJ%2Fe13cGfUc67l3%2B1e5qneHW4UvXKypoXpna2Aj0YYMiLQdDp6ZkSXLtI5ecs6MENbv1I1DGxM3bxMtdQXO3NTIo6k6AwEXtCZw%2Bzhfo%2F2n1cRcG%2FeI9GjP4gSX8KqY7d3machVNJ4EwRbVF2u%2BG%2FI%2BnyKiYyqTLv6LXluMYAN123U6bDRv2Pk1FNM3E2C5ibdSRrrG1wc0wKsoeMMZdtgzDvcJbBvdfss%2BA%2FUZQWI3lVjzIDJ2NrSewvd2AIkFzhZspcWi0ZbScMsABV3nSXGQ%3D,16,0,0,0,1,#454645969,Apple,Apple,Carcasa
19, Carcasa Original Ipaky 360º iPhone 8 Plus + Vidrio Templado ,13.99,NA,3009,4,6,2.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451130493-carcasa-original-ipaky-360-iphone-8-plus-vidrio-templado-_JM,NA,NA,NA,NA,NA,#451130493,Apple,Genérico,Carcasa
20, Carcasa Transparente Reforzada Para iPhone 8 Plus Miaustore ,1.99,NA,22,4,12,166,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453525745-carcasa-transparente-reforzada-para-iphone-8-plus-miaustore-_JM,1,0,0,0,0,#453525745,Apple,NA,Carcasa
21, iPhone 7 8 Plus Carcasa Silicona Platered Slim Esr | Kyrios ,7.99,NA,9,1,12,666,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-448592292-iphone-7-8-plus-carcasa-silicona-platered-slim-esr-kyrios-_JM?searchVariation=34841122657,NA,NA,NA,NA,NA,#448592292,Apple,ESR,Carcasa
22, Apple iPhone 7/8 Plus Tpu Premium Nillkin - Webphone ,9.99,NA,5,3,12,832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://articulo.mercadolibre.cl/MLC-468866299-apple-iphone-78-plus-tpu-premium-nillkin-webphone-_JM,NA,NA,NA,NA,NA,#468866299,Apple,Nillkin,Carcasa
23, Carcasa 360° iPhone 8 Plus 7 Plus + Lámina Negro 3 En 1 ,9.995,NA,35,4,6,1.666,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452824745-carcasa-360-iphone-8-plus-7-plus-lamina-negro-3-en-1-_JM,1,0,0,0,0,#452824745,Apple,NA,Carcasa
24, Carcasa Cuero Hanman Billetera iPhone 6 7 8 / Plus + Colores ,15.99,NA,44,124,12,1.332,NA,Envío a todo el país,NA,NA,4.3,4,https://perfil.mercadolibre.cl/SMARTBUYCHILE,https://articulo.mercadolibre.cl/MLC-448901342-carcasa-cuero-hanman-billetera-iphone-6-7-8-plus-colores-_JM?searchVariation=35452869692,3,0,0,1,0,#448901342,Apple,Hanman,Carcasa
25," Carcasa Antigolpes Metal R-just Classic iPhone 7/8plus,xr ",19.99,NA,5,1,12,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ARAGUISS,https://articulo.mercadolibre.cl/MLC-489269436-carcasa-antigolpes-metal-r-just-classic-iphone-78plusxr-_JM,NA,NA,NA,NA,NA,#489269436,Apple,r-just,Carcasa
26, Carcasa 360° iPhone 8 7 Plus + Vidrio Templado Rojo 3 En 1 ,9.995,NA,8,8,6,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452825550-carcasa-360-iphone-8-7-plus-vidrio-templado-rojo-3-en-1-_JM,NA,NA,NA,NA,NA,#452825550,Apple,NA,Carcasa
27, Carcasa Madera Personalizada iPhone 8 I 8 Plus I 1 Diseño ,6.99,NA,2,3,6,1.165,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VENTAS+ELECTRONICAS1,https://articulo.mercadolibre.cl/MLC-474287055-carcasa-madera-personalizada-iphone-8-i-8-plus-i-1-diseno-_JM,NA,NA,NA,NA,NA,#474287055,Apple,NA,Carcasa
28, Carcasa Tpu Militar Táctica Camuflaje iPhone X 6 7 8 Plus ,5.99,NA,5,9,12,499,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALIZADORA+REGALOCO,https://articulo.mercadolibre.cl/MLC-474169702-carcasa-tpu-militar-tactica-camuflaje-iphone-x-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#474169702,Apple,NA,Carcasa
29, Carcasa iPhone 7/8 Plus 360° Vidrio Templado Negro Baseus ,9.99,NA,4,2,12,832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/BERRIAKLTDA,https://articulo.mercadolibre.cl/MLC-482951470-carcasa-iphone-78-plus-360-vidrio-templado-negro-baseus-_JM,NA,NA,NA,NA,NA,#482951470,Apple,Baseus,Carcasa
30, Carcasa Apple Silicona iPhone 7/8 Plus - Webphone ,14.99,NA,5,5,12,1.249,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://articulo.mercadolibre.cl/MLC-474367347-carcasa-apple-silicona-iphone-78-plus-webphone-_JM,NA,NA,NA,NA,NA,#474367347,Apple,Apple,Carcasa
31, Funda Brazo Celular Teléfono Brazalete Iphonegalaxy S8 Plus ,1.99,2.786,20,80,12,166,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FORCECL,https://articulo.mercadolibre.cl/MLC-458986521-funda-brazo-celular-telefono-brazalete-iphonegalaxy-s8-plus-_JM,NA,NA,NA,NA,NA,#458986521,Apple,NA,Brazalete
32, Funda Brazo Armband iPhone 6 Plus Galaxy S8 Plus - Impowick ,3.99,NA,2,5,6,665,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/IMPOWICK.SHOP,https://articulo.mercadolibre.cl/MLC-457908422-funda-brazo-armband-iphone-6-plus-galaxy-s8-plus-impowick-_JM,NA,NA,NA,NA,NA,#457908422,NA,Genérica,NA
33, Carcasa iPhone 6 Plus /7 Plus /8 Plus Tarjetero Cuero Pu ,13.99,NA,4,3,6,2.332,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MICHELLODJUANPABLO,https://articulo.mercadolibre.cl/MLC-469764040-carcasa-iphone-6-plus-7-plus-8-plus-tarjetero-cuero-pu-_JM,NA,NA,NA,NA,NA,#469764040,Apple,NA,Carcasa
34, Carcasa iPhone 7plus-8 Plus Original X Doria ,12,NA,4,NA,12,1.000,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CASTILLOCHAVEZLUIS,https://articulo.mercadolibre.cl/MLC-463434527-carcasa-iphone-7plus-8-plus-original-x-doria-_JM,NA,NA,NA,NA,NA,#463434527,Apple,NA,Carcasa
35, 10 Carcasas Magnética iPhone 8 Plus Por Mayor ,69.99,NA,0,9,6,11.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALONLINE+EIRL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=6dCkp5LwYTPea6vrPaSoeX%2BtIqQA7irkNbt5%2BlfKPaLxZKPwXL2oGCLotkURfayEnoMxKBN45%2BkKRtkyR9P9ktbfQtW4RhP4%2BE00rkJEssf7%2FOcK%2F468RmNzISftzWD7Tv7ZmTHl4aNjPsu7IyR6oBDmyfJ1pQD3U388G3AFPqhIXXl2qh%2BG8TjM8UuQifD%2FgPBD8sywmLJeXZseRScdnLVpVix9DLVF9TGK4zQDnOIp42NAZoQv%2BTFqcYRmu5jaJlC9i1oDJ5wOiPYYoLBHFnWtw75VpOoVB2ub%2B3ty95dzMy42YDaY3pU0ZAW3k06gzGvsBoUX1KKZWNl9XycyAcN7vaY6uQ%2BC5S2NkK1vfW9tD%2Fgq3N3Of0ftYIJDIyGoCgmoOB4p6kJ4e3EH3PQj6MXE5plWMUuUJnXgPpiVLS1Q1%2B3Lzxpd0CQaGwJXuFeuFEPdHT7NdJ0R44yFTR%2Blwcdrvm2Al7YVlbdy0rZXx2FTvdWj8zXANs5joKTCgbeawl%2Bvek1F64wAW3kFjM6nyi0eYtNdw5UshUmU5dUu3llzp8wxJVG4IchfI1tPdm8LhD2sZ7oxbnk%2Bh4Eeu63gf0NslIhVd1aDOw2WpVDzo0N5501SOEviKb8jbhg%2FC6rFar3Dti5m1hs6ewjS0vSRMBvdsjI5wDu%2FQ%2FsCQdinc2%2BkhkfafRtNKJxFkVQHPysH0yCSdfzDwKc9YwCXf4Gsu2cn8mCAAU%2FeZTUeks48ZWYoxoJMXAgW0RQGyazH5TXcfJpBzSTMiDSmKEObE6VX32jjJKKsrHh%2F2AjCwnvxqs2hUFRjYftYlx2k3oqUJCRdjkhTf3ktv0TPYzk6nR85K6sOGCLcUMEP%2BKo7cHAAHSBZGRI%2FhAdbJC4XkqGDaUyu%2FYyWzXduVWAIPKJZ78ODrXvMLSZxGOgMzRVB%2ByHzfZrZfUWlBJm51GpPKUt92a%2F6kJC5RVvLvpgEXbof3Zv%2B5JxJOPVLKgvEGRq5AGYzbYpTIyaDXp%2BzflDPkyzxhwU1W4bXdJ7jKLWlipvcdzgYTgwW6IyQT%2Few3iAnCvBUfUPlQA5zALbL9lMKlK3nNHAueAn3CX9o%2Ff6fJhwJQ3dLOfiYOyxcrmykzEUv4CHBLq9cQTWslfcKVWhbTdMrzWblfBmzOEShKgdBg2oOC1TfaR5xW8Y5Y7phxdNwNVg7fPSVc7%2FSEa0DtxWQh7EVMPplCn2MLp4FK6LK0pWZzuInfl1E6l9ve6n2TqLa5%2FkJGg6lwUyrRW2u1vQF0%2B4rfNGs0IfJvQbmSoar6h3Q7hr5RWGppbO2vAyWS3cUsQ%2BBG8rHeZweThUctZyXXHwuLqqV3%2FkOHlJUI6A6OQabQyxX1Y08nzDo6sojA4%2F%2B5%2FK6rhivXnuMy%2FGWj1jXUvN34vqHXgrM4QbJvUfprMj%2BDCGg2nXoJrvSyX%2B%2FCFrD23eDZPRaZk8r7tjYhj%2FgS7tuED5XrL8iMXIXruxthoRglGxRXXd4XBBac7OxMu7%2FyvARanDs40uB2IzMPjyqoQM0mcrrEwUA79aV6IJmOkNVlI%2FzTJ3yAg%3D%3D,NA,NA,NA,NA,NA,#471393023,Samsung,NA,Carcasa
36, Carcasa Silicona iPhone 7 / 7 Plus / 8 / 8 Plus ,6.99,9.990,38,9,12,582,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VENTAS.ELECTRONICAS.ONLINE,https://articulo.mercadolibre.cl/MLC-465068263-carcasa-silicona-iphone-7-7-plus-8-8-plus-_JM,NA,NA,NA,NA,NA,#465068263,Apple,Baseus,Carcasa
37, Carcasa Baseus Lsr iPhone 7 Plus Y 8 Plus - Tecnostrike ,9.99,NA,4,16,6,1.665,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-463975256-carcasa-baseus-lsr-iphone-7-plus-y-8-plus-tecnostrike-_JM,NA,NA,NA,NA,NA,#463975256,Apple,Baseus,Carcasa
38," Carcasa Ultra Delgada Transparente Para iPhone 7, 8, 7p, 8p ",3.1,NA,3,1,12,258,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ONNYA,https://articulo.mercadolibre.cl/MLC-493413357-carcasa-ultra-delgada-transparente-para-iphone-7-8-7p-8p-_JM?searchVariation=39078410306,NA,NA,NA,NA,NA,#493413357,Apple,Apple,Carcasa
39," Carcasa Silicona iPhone 7/8, 7/8 Plus / Apple Silicone Case ",6.99,NA,20,31,6,1.165,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/SAFE_MICASE,https://articulo.mercadolibre.cl/MLC-462682156-carcasa-silicona-iphone-78-78-plus-apple-silicone-case-_JM,NA,NA,NA,NA,NA,#462682156,Apple,Silicone,Carcasa
40, Apple iPhone 8/7 Plus Case Eton Premium Nillkin - Webphone ,11.99,NA,2,8,12,999,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://articulo.mercadolibre.cl/MLC-475197980-apple-iphone-87-plus-case-eton-premium-nillkin-webphone-_JM,NA,NA,NA,NA,NA,#475197980,Apple,Nillkin,Carcasa
41, Funda Brazo Armband Brazalete iPhone 6 Plus Galaxy S8 Plus ,14.99,NA,132,15,6,2.498,NA,Envío a todo el país,NA,NA,4.3,4,https://perfil.mercadolibre.cl/NETEXPERTOS,https://articulo.mercadolibre.cl/MLC-434234316-funda-brazo-armband-brazalete-iphone-6-plus-galaxy-s8-plus-_JM,2,1,1,0,0,#434234316,Apple,NA,Brazalete
42, Carcasa Celular Madera Para iPhone 6/6s/7/8 Plus Ganesha ,9.99,NA,3,7,12,832,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/SAPEAR,https://articulo.mercadolibre.cl/MLC-464777258-carcasa-celular-madera-para-iphone-66s78-plus-ganesha-_JM,NA,NA,NA,NA,NA,#464777258,Apple,NA,Carcasa
43, Carcasa Silicona iPhone 7 7 Plus 8 8 Plus ,8.99,12.990,5,5,12,749,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VENTAS.ELECTRONICAS.ONLINE,https://articulo.mercadolibre.cl/MLC-465067813-carcasa-silicona-iphone-7-7-plus-8-8-plus-_JM,NA,NA,NA,NA,NA,#465067813,Apple,Mofi,Carcasa
44, iPhone 8 Plus / 7 Plus - Case Carcasa Dorada + Lamina Vidrio ,19.99,NA,1,32,12,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-498947321-iphone-8-plus-7-plus-case-carcasa-dorada-lamina-vidrio-_JM,NA,NA,NA,NA,NA,#498947321,Apple,"Original, Legitima, Auténtica y Genuina - Fabricantes: GKK, Nillkin, Lenuo, Mofi, Goospery, Cafele, Enkay",Carcasa
