search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Modelo alfanumérico,Línea
11, Auriculares Inalambricos Bluetooth 5.0 I7s Tws In Ear ,1999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				231
				vendidos
			
		",(49699 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,14,https://perfil.mercadolibre.com.ar/JMS-IMPORTACIONES,https://articulo.mercadolibre.com.ar/MLA-762680561-auriculares-bluetooth-a7-alta-gama-4hs-de-musica-sup-i7s-_JM,9,1,3,0,1,#762680561,JMS,A7 TWS,In-ear,NA,In Ear
12, Auriculares Bluetooth Inalambricos In Ear Twins Microfono K2 ,845,890,"
			
				Nuevo
			
			
				
					 - 
				
				2899
				vendidos
			
		",(163 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,112,https://perfil.mercadolibre.com.ar/SYSIMPORTACIONESS,https://articulo.mercadolibre.com.ar/MLA-735692134-auriculares-inalambricos-bluetooth-50-i7s-tws-in-ear-_JM,56,26,15,2,13,#735692134,TWS,I7S,In-ear,I7s,Earphone
13, Auricular Bluetooth Vincha Micro Sd Radio Fm Inalambrico P47 ,1799,NA,"
			
				Nuevo
			
			
				
					 - 
				
				896
				vendidos
			
		",(3 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,73,https://perfil.mercadolibre.com.ar/JAZAKSHOP.COM,https://articulo.mercadolibre.com.ar/MLA-672953659-auriculares-bluetooth-inalambricos-in-ear-twins-microfono-k2-_JM,40,17,7,2,7,#672953659,True Wirless,K2,In-ear,K2,Auriculares Bluetooth
14," Auricular Bluetooth Nuquero, Ideal Para Correr, Manos Libres ",1999,3100,"
			
			
				
				1615
				vendidos
			
		",(7435 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,395,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=GhllXAUO9DlINaufLs1Famb2zTp58xnfMEPaUEBe4PFZsFtCcG1NaGolocI0Wt5YhDI90Dw98DylYIrl0hCmH7QTlbDN9dyEhlaOC9gKQ272Yd5OWctgKqo2Z6zFTQZlisLhFuKFx7gG6XDZlwGSqZRVIdH%2FOMpFUvESI3pFbu94kQs2mHq%2BldvLzuwbdDK0PCj7h2WFdvBiEcSNrHVC8xc6ZIboXajo2nN2OlSIAuW9royEijAaREGmGip11wbyg7VL1DuRI0YkiumtV%2FApntkff9V1p9rach2B2z5t0%2FSRSOsn1GjQp8KJigaNGBCHmd8t%2FcHFjwiz7Bmy1i8LP06huk7ucSSHpIjtBpAWYTpJX5iGcUj%2FG66XA2cdhp6GdvsUdABzNYHTtMAtHx6oawHNIQg0uUkkewsroGvcksmzsuRqmQ4DYkYrNzHvZHrHvG0%2Fzfpt6FGLFxnU5rk0aGnwJT0f8o0PHzHHyVe9%2BTFS6YoPXjuP7gio%2F9zJdY3sbXD2Lf%2BF06zjwHUfs8Gjf%2FKkvLVsVoev1jGQA0h9FkD4vzLZ%2B0d7cumDty7U2C4tZAQFi8DyjqNbXLs15IttCrmSd8l%2FBsncacQB2o141ATH5Zfb9%2B9oOMVEifUcFsud80%2FAFXZFVqr0B6vDMSRwuEnQqj5LvGuDZNnqmhspyY0R%2FmzrIl3WLEPctiY20Q6mahGJi6YIL0edFDnEzssbUleJtm6qagaix3i%2Bg3SHCKiyuiPx%2FqaJaErPACwTrE0H9COxQntAqpYMEn2fT7F4Iw%2FsVqgWnmGZ%2FxuFzGDs6laT6vjM%2BGeG87vnZcFgvadL%2FL997kOfGqQQyTolwzVJBwG6KYtng5NqVvBOgxqk25kq4J%2B67WZwSRdXyxxx9lVnheRGrpj0m523ETrKFKW1w9w7ulyKndsahn%2FtclnMGY10I2bJBLh5VLoi33AfCp5ks%2FuOAYDIlk6H45hBN7ZH2tEfLCs1DPogWzeXy%2F9eqzcK01nnh3vw2%2BHX73qmQLz9VKqHuyl4CU4cgp7aAtl7PdJ8czUQ2mhx3iJtCZs%2Fd2zEh1oJe5RdiKRXj9NlvCOS1IxXA%2BqZr5CgzvjkX1tKr0rlXjaoZr4G034JKDyiGrQaHQiC6Xi65NOFpqVOFGrHa6ct6V5qzcYtJw7QUjU6z%2BzpY6u2TwuARIgTzG3RIsNJhRua9jXW%2BD5o0Ze2k9wd6UdGU1msFbDql7M948eYCJk1eukxlp63aPj3JxP1%2BRYeva%2Fei7lj%2BckeJUkyTMmh6nmiColZp6VcNDBQhcn1sbreW1pVzFRaF3xOZ8M3m7mJx8S1GwisiWbWlwzgL5ACRnCcXnPHnYG03MoASEBdjdbbHpgKrV%2FFhCTBhAWTWcn83FrSLKVzyowg%2FZyOkkPmMLyFATu3QuzMM7vffasnspWxHnB2iFNegot0uQ1GJqYP675QVq5Uojxf%2BOEmjCPxi5b9rzkumCmNRq4WunPgWquI8bjuXdjVciE5bANR6s1f%2BmBgt765dGPS%2BjZQh0EuGs4zL%2FEMxEFBhPm57tjoGD9tohZBjGqC3xM7VR2iru5SU5ctWgfTto5wELnxaa8AdW5hnNcRPDiHT%2FGz%2BHSQq3NVZEQhTvJhmqJlQrT7,311,53,19,6,6,#647289481,Gadnic,BT6,Over-ear,NA,NA
15, Auriculares Bluetooth Celular Inalambrico Deportivos In Ear! ,711,749,"
			
				Nuevo
			
			
				
					 - 
				
				1866
				vendidos
			
		",(40 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,102,https://perfil.mercadolibre.com.ar/MWPRODUCTSARGENTINA,https://articulo.mercadolibre.com.ar/MLA-669916084-auricular-bluetooth-vincha-micro-sd-radio-fm-inalambrico-p47-_JM,58,31,10,1,2,#669916084,Genericos,P.47,Over-ear,P47,WIRELESS
16, Auriculares Bluetooth Qcy T2c Tws Original 2019 Inalambrico ,341,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3213
				vendidos
			
		",(849 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.6,150,https://perfil.mercadolibre.com.ar/OPORTUNIDADESVIP,https://articulo.mercadolibre.com.ar/MLA-623392121-auricular-bluetooth-nuquero-ideal-para-correr-manos-libres-_JM,63,27,22,18,20,#623392121,Genérico,Base,Headset,NA,NA
17, Auricular Bluetooth Xiaomi Redmi Airdots Manos Libres Tws ,759,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3506
				vendidos
			
		",(12 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,268,https://perfil.mercadolibre.com.ar/JAZAKSHOP.COM,https://articulo.mercadolibre.com.ar/MLA-672953591-auriculares-bluetooth-celular-inalambrico-deportivos-in-ear-_JM,174,56,29,3,6,#672953591,Mobile Phone,Q10 - Waterproof,Clip-ear,Q10,Auriculares Bluetooth
18, Auriculares Qcy T1 C Manos Libres Bluetooth Samsung Lg Sony ,2660,2800,"
			
				Nuevo
			
			
				
					 - 
				
				2050
				vendidos
			
		",(178 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,186,https://perfil.mercadolibre.com.ar/TIENDASHOPEALOML,https://articulo.mercadolibre.com.ar/MLA-693323156-auriculares-bluetooth-qcy-t2c-tws-original-2019-inalambrico-_JM,132,39,10,2,3,#693323156,QCY,T2C,In-ear,In1852,In-Ear
19, Auricular Motorola Bluetooth Pulse Escape Cuotas S/ Interes ,2999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				460
				vendidos
			
		",(540 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,165,https://perfil.mercadolibre.com.ar/NICTOM-TECH,https://articulo.mercadolibre.com.ar/MLA-790706831-auricular-bluetooth-xiaomi-redmi-airdots-manos-libres-tws-_JM,114,39,6,3,3,#790706831,Xiaomi,AirDots,In-ear,NA,REDMI
20, Auriculares Wireless Bluetooth Tws19 2019 Cargador Bateria ,795,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1884
				vendidos
			
		",(51 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,93,https://perfil.mercadolibre.com.ar/TOPTEK_,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=QV0qFlHleFV%2Bi3t9JlgU5BPkmpj58rSYuK2KsyKPsKCoevVU3b5arB%2BQOSygTS8WcSkrZUHJ8GVanrt6v0GfjAkCjfdGpcL9UB7fun%2Be%2FR9Ccwuv2C04%2FvPNZugpZnf%2BUdVgZjJO0svPonj4SAuaGi3e3gtbdrPn1sFH8MuK6NBujkFRLSabYhIKOAV6phUNd%2FhAwV2Gyb6RWbymwaSlQ4jMw2enKUTgEsmyEslWdvyFPr%2FNtlgPSFespVOVS2hWHzSqLNDx%2Fdejic9OvUiXhqyo6Wkpp8lXfmQ%2Bo%2FaS%2FKgKZi4vdT%2FlSZDpfdmGtmMYMHcZyg4bnuJR2zpyKB7PwmrtASXeDl3df%2BGIrjSSzdMOb6VAUdTaCwZ3COhcCXLDQF20pAWBPncCu7P7cWxBsFc9%2B7EMK3R%2BocvI6%2BJGXtXaf20j153RRDlNf9AhA%2BfBIuszEZBD5xd%2BZ8Tb7FXLX3fEVlqpXhOkhhDfqA741DNpGnyV%2B%2BJmGMuTi8FttwoK3wWVeJ%2F6hVycUFPL%2BHEYa3Cp6FPSPFQ0sn1%2BKTe4YQ69XjlRLMfrMIOAy4HuiGCMrWeShJ66PZisUW3ZnCzfKYZ1RuaDlksQGzyEGcLEo9MpYuhLj7g5khT6ME4Cbb5iAaUdosd86UAbfv8HX6zaZ8aSON3s8xxYrR2yUHAxcHeUl1jlqzWRJfnkTPxzNFRQiOl7m1%2BtzSn4PmyvhM9BQi0Des1Wvrrq1OkW%2FL0X9brHUbktJQm7ggzLQFe7EIOFitLhP6ZejaVq%2BjKKTIl%2F0uGNHQgIK8bE5xj9i0QZ9HCM7tXyh4b6nDIbetHE2RHUN2KhmzrxcPAjG8T%2B9t23lRjAXVVguHWSXRogZbc8B2%2BL2vUeKHyltTQJjn6dPv9VS1aT55TCgcYK7kbQu8AYG6KjQsTtG3FkPXcTWvDtYpTEitKuG%2F2lV9n4lUBfbviEeQp%2FPMheahzjehWef6M6r2zgiE5hwirEMYxs6v7ynPbFFzf2YtdMFxsSqvEJAtEKH6MJD1PhC0EvLwGuGL6QDkRYkMVr%2Fb6T4seaOiAOnmxaBYNRSLwEEbi7R%2B9aNpsb%2Fz4%2FKNjeHr54wIeRB3OAu9TsPDFTaYW7rsUsR07fINrl3W976M95PRF9wY%2B0u0uh%2B6t4JZ%2BJZa4be8WMjJKAwesFu29ZdF3LXXzQt9nAhDmSvetzPCV3nzFLjOi3U7ruxQhzvmdtZ5PZgfCO9nzYVGU2AKJC7ViMsrliIRjaLiQpdoEt0S0Dsg%2BCdukthdn761o%2Bhb3j07bv9tJ7II45DAfol2X2R%2BIRCg3yKc9bYEGh0Cvg6ZWE7HzMdD6%2Bw6zrkPIhYyyt5%2BgmzzkrnIZDHuQpddQJuhF0r7rJd16ShwXn1z9Qrv%2B9wsBJ%2BmzkiN68%2BHOjjRQE4wuFEvc1kH5FiDlK1ymaAlE5EZv0CJiUYxI6wiiIb%2BqpiKwUH9hOcZjsAcc7yp1YUaUJ7WzvghZCe2EfkFjwvney%2BHar2xL9FnS5aX%2Bi%2FUz1XlVty62QnK%2B92USdgOeN9rIOqliCPNtFRNkq%2BfS7jXuB0b5LoPYKlubbiVvUgNpUrns4%2FDa310cD3616mLdJaOw5C2QaxxbsFBqCi7n4X9E%3D,52,21,6,5,9,#726718392,TWS,I7s,In-ear,3213213211,inear
21, Auriculares Bluetooth Noga Bt469 Inalambrico Manos Libres ,1989,NA,"
			
				Nuevo
			
			
				
					 - 
				
				441
				vendidos
			
		",(121 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,103,https://perfil.mercadolibre.com.ar/TRISHOP2010,https://articulo.mercadolibre.com.ar/MLA-686652267-auriculares-qcy-t1-c-manos-libres-bluetooth-samsung-lg-sony-_JM,65,29,4,3,2,#686652267,Samsung,QCY T1,In-ear,T1C,QCY
22, Auricular Deportivo Bluetooth Manos Libres Samsung iPhone ,2849,NA,"
			
				Nuevo
			
			
				
					 - 
				
				325
				vendidos
			
		",(20 disponibles),6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,653,https://perfil.mercadolibre.com.ar/ITECOM+DIGITAL,https://articulo.mercadolibre.com.ar/MLA-738311366-auricular-motorola-bluetooth-pulse-escape-cuotas-s-interes-_JM,465,148,28,6,6,#738311366,Motorola,SH012 BK,Over-ear,NA,NA
23, Auriculares Bluetooth 5.0 Inalambricos I9s Tws In Ear ,1875,2100,"
			
				Nuevo
			
			
				
					 - 
				
				95
				vendidos
			
		",(53 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,3,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-756798657-auriculares-wireless-bluetooth-tws19-2019-cargador-bateria-_JM,1,2,0,0,0,#756798657,Norcel,TWS19,Over-ear,TWS19,2019
24, Auriculares Bluetooth Celular Inalambrico Deportivos Magnet ,549,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1540
				vendidos
			
		",(100 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,156,https://perfil.mercadolibre.com.ar/DALECL%C3%8DCK,https://articulo.mercadolibre.com.ar/MLA-670915233-auriculares-bluetooth-noga-bt469-inalambrico-manos-libres-_JM,85,46,16,5,4,#670915233,Noganet,NG-BT469,Over-ear,NG-BT469,Aris
25, Auriculares Bluetooth +5.0 Inalambricos I7s Pro In Ear ,549,NA,"
			
				Nuevo
			
			
				
					 - 
				
				507
				vendidos
			
		",(781 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,32,https://perfil.mercadolibre.com.ar/QUIEROESO+YA,https://articulo.mercadolibre.com.ar/MLA-705186048-auricular-deportivo-bluetooth-manos-libres-samsung-iphone-_JM,19,7,2,3,1,#705186048,Quiero eso ya,QUIERO ESO YA,Ear-Buds,NA,In Ear
26, Auricular Bluetooth Samsung Original Galaxy Buds ,1299,NA,"
			
				Nuevo
			
			
				
					 - 
				
				561
				vendidos
			
		",(5 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,30,https://perfil.mercadolibre.com.ar/SYSIMPORTACIONESS,https://articulo.mercadolibre.com.ar/MLA-753632999-auriculares-bluetooth-50-inalambricos-i9s-tws-in-ear-_JM,16,11,1,0,2,#753632999,TWS,I9s,In-ear,I9s,earphone
27, Auricular Bluetooth Redmi Xiaomi Airdots Manos Libres Tws ,699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				475
				vendidos
			
		",(61 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,27,https://perfil.mercadolibre.com.ar/JAZAKSHOP.COM,https://articulo.mercadolibre.com.ar/MLA-720232059-auriculares-bluetooth-celular-inalambrico-deportivos-magnet-_JM,12,12,2,0,1,#720232059,Mobile Phone,S6 Magnetic,In-ear,S-6,Auriculares Bluetooth
28, Auriculares Bluetooth Inalambricos In Ear Twins Microfono ,795,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1884
				vendidos
			
		",(51 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,93,https://perfil.mercadolibre.com.ar/TOPTEK_,https://articulo.mercadolibre.com.ar/MLA-726718392-auriculares-bluetooth-50-inalambricos-i7s-pro-in-ear-_JM,52,21,6,5,9,#726718392,TWS,I7s,In-ear,3213213211,inear
29, Auriculares Deportivos Bluetooth Running Fit Gtia ,9499,NA,"
			
			
				
				228
				vendidos
			
		",(38 disponibles),6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,50,https://perfil.mercadolibre.com.ar/SAMSUNG_TIENDA_OFICIAL_MP?brandId=1550,https://articulo.mercadolibre.com.ar/MLA-781796882-auricular-bluetooth-samsung-original-galaxy-buds-_JM,38,10,1,0,1,#781796882,Samsung,Buds,In-ear,SM-R170,Galaxy Buds 2019
30, Auricular Manos Libres Bluetooth 5.0 Qcy Mini 2 Samsung Sony ,3399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				152
				vendidos
			
		",(15 disponibles),6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,165,https://perfil.mercadolibre.com.ar/NYT+SRL,https://articulo.mercadolibre.com.ar/MLA-784889871-auricular-bluetooth-redmi-xiaomi-airdots-manos-libres-tws-_JM,114,39,6,3,3,#784889871,Xiaomi,AirDots,In-ear,AirDots,Redmi
31, Auricular Inalambrico Bluetooth Motorola Pulse Escape ,1599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				171
				vendidos
			
		",(67 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,8,https://perfil.mercadolibre.com.ar/UNIVERSALSHOPS,https://articulo.mercadolibre.com.ar/MLA-749553907-auriculares-bluetooth-inalambricos-in-ear-twins-microfono-_JM,4,3,0,0,1,#749553907,True Wireless,Twins,In-ear,Twins,In Ear
32, Auriculares Bluetooth Inalambricos Tws Sin Cable Deportivo ,469,NA,"
			
				Nuevo
			
			
				
					 - 
				
				777
				vendidos
			
		",(55 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,39,https://perfil.mercadolibre.com.ar/NEWCELL+ACCESORIOS,https://articulo.mercadolibre.com.ar/MLA-698128098-auriculares-deportivos-bluetooth-running-fit-gtia-_JM,23,8,4,2,2,#698128098,Wireless Headset,BT-1,In-ear,NA,NA
33, Auriculares Bluetooth Instto Insun X In Ear iPhone Android- ,899,NA,"
			
				Nuevo
			
			
				
					 - 
				
				81
				vendidos
			
		",(105 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,3,https://perfil.mercadolibre.com.ar/TRISHOP2010,https://articulo.mercadolibre.com.ar/MLA-764724058-auricular-manos-libres-bluetooth-50-qcy-mini-2-samsung-sony-_JM,3,0,0,0,0,#764724058,QCY,Mini 2,In-ear,MINI 2.0,QCY
