search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Conectores de entrada,Peso,Modelo,Potencia de salida (RMS),Altura,Tipos de filtros del parlante,Color
11, Par Parlante Caja Acústica 15 Eon615 Jbl - Envío Gratis ,620,800.000,12,NA,6,103.333,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/ARTECNOINSTRUMENTOS,https://articulo.mercadolibre.cl/MLC-487403975-par-parlante-caja-acustica-15-eon615-jbl-envio-gratis-_JM,2,0,0,0,0,#487403975,JBL,NA,NA,EON615,NA,NA,NA,NA
12, Parlante Jbl Charge 4 Bluetooth Portatil Cargador Waterproof ,119.99,159.990,45,398,12,9.999,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-481530674-parlante-jbl-charge-4-bluetooth-portatil-cargador-waterproof-_JM,2,0,0,0,0,#481530674,JBL,NA,0.96 kg,Charge 4,30 W,NA,Activo,NA
13, Parlante Soundbar Irt Bluetooth 24w Rms Nuevo Envío Gratis ,24.99,29.990,37,NA,6,4.165,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/TECNOBEST+CHILE,https://articulo.mercadolibre.cl/MLC-453169030-parlante-soundbar-irt-bluetooth-24w-rms-nuevo-envio-gratis-_JM,3,0,0,0,0,#453169030,NA,NA,NA,NA,NA,NA,NA,NA
14, Parlante Speaker Bluetooth Soundcore Anker ,21.99,39.990,592,2,12,1.832,NA,Envío gratis a todo el país,NA,NA,4.9,65,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=K3ma7yKoQfwUys7GLcH%2BEjcqkZuGraFhS23OsGNrO3oXktLDteRq0HPp1%2BCf6MAHOIVZWk3tsabbFfrR1Fx18UD2yXovTYqKyd3v0rXLln1UXTJAwdMAZtG8BF6t1gdLzhJT7JqLcFUKaRNGiuqoZftsVM7fPxKPAtGxdpEWiqTJoj0oCX8UvH5PYHXIoyYdthz2MuE5T62%2BPQLsc3Iw%2BmzpclrgGLmf665ATsce6J60N9pVNskYhdwBkvEQyssBpHKxtzCn%2FkQS1mtfPQNWqNO6kr1o7qu4wAtGeRBvhzTZHroPu0kMO9ldcXpbRQrsC8z%2BgnoWaueodj7wts%2FsHhPF52ixMcDtDJqMYnoYH89voOIq92nZD1Q4lbbBmwgOTxBVr2zoG8fyxOilcCpLL1leLHwFkz7gIOmxcrP3f7ZXxGgl61ZCsFWq4Qgoy09Iw7BUnHNK2OXSbnKTmhuJALaNoOYxAz2nTZDmA8O6aJ4Qy2dhm1eaUIKNc2VU%2Ffo0yT2u57eViaueF1GFsEm%2BsofC9r%2BkltAE7Ty23sXGSCmpMTcujOKrOv5ZQBE33NA5kdnmffZrs7PIgQzAx6KOaSe3q8BAirme9v6Z8ac3lm1bxHEtl8fJ04zziHVODHiigGdDoSd%2FHUrfich6ZAJS8HRzOKPeL5cGMIDYaO1ympuzSvxU8mIb07cmPUTE9rTHvMaVffFZ%2FV93tPEz6U%2FIiqXS0NFwVO%2BZqNZHwoyuUP%2Fkf5tZLusw7RKweitFX46BJEmHuM6apwifmVzt2eZsKIuylEaW%2FYGn6wbtTXtXFGsTFin78Q0dYfuoE9bAQq14CKrGtLNMTfviPIeUPAS06Lf2rMFAvQ3SWlETIgiHJjTDnaPJHgIT89M50MusBGUIIEFrJcQYv%2F2GOmEmzHbATBAoktB8rl1pu6Trz4uFB7%2FoxcGK9%2Fq03jewuh90hsuW%2F5IVbmA%2FpaO9KiAqdzcuqmD6Z7PfQVnrnsEZshupNNnFDHQGkZYxElukLEXdVzK9xNV8sXmDXsByDAcY%2B0qfmPzV0Yefw%2FEnSsdoyk5sAHSP08FcPLPelkNb2c7VmdlqnyAlwfogAY%2FgiHhZXiYtRfG11NkJxzfjj%2FqMy7wi1bnXPu%2BzavRn93lPLVzv4OojmdLGz9vCWvz822WSP9n4L%2B6ckksURsSuKiVuyx%2FaN5hTjJDPQUwofmtnsrZBLNmKczW7eQaDv92hKbvvLb%2BFWz8eQLXLaoZHN1eXIrZmEAExRPN0mhEGmo1sWtFYuvZgHj4NpnQDgRWdM7xc7a88Zs2s7DvYXiG7ALnD3RR1twunNuQYplQwIWDvKqwXNEz9VqsGdtCH5k%2FxzACNfji8048s96OSXohx4Cwmd11GDyuk6riC21rp0LfhjTDS22eP%2Bn0iaDe04SK%2B1xR99kxjbyuz2HCdHhkwWlwH96tV%2BAIDpILRMhFqS%2Bhfe%2FI1hmiOXpQKuLCG%2BUR7t415kZENkTXxTaCIdw4dm09OP3qx%2BOIc%2BVNPtO8hn4tigmoK9yDXoSx51Kl%2BGRbcgwYw4Jbl1g%3D%3D,59,4,2,0,0,#444708073,Anker,Auxiliar,360 g,NA,NA,NA,NA,NA
15, Parlante Bluetooth Karaoke Mlab 60w 8 + 2 Microfonos ,39.99,NA,212,29,6,6.665,NA,Envío gratis a todo el país,NA,NA,4.9,13,https://perfil.mercadolibre.cl/MMSMIKE1,https://articulo.mercadolibre.cl/MLC-465278552-parlante-bluetooth-karaoke-mlab-60w-8-2-microfonos-_JM,12,1,0,0,0,#465278552,MLAB,NA,5.8 kg,7806,60 W,NA,NA,Negro
16, Mini Parlante Bluetooth Usb Sd Con Luces Led ,2.99,NA,98,2,12,249,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-486318322-mini-parlante-bluetooth-usb-sd-con-luces-led-_JM,1,0,0,0,0,#486318322,NA,NA,NA,NA,NA,NA,NA,NA
17, Parlante Portátil Bluetooth Bose Soundlink Revolve ,199.99,NA,43,1,12,16.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-471014399-parlante-portatil-bluetooth-bose-soundlink-revolve-_JM,NA,NA,NA,NA,NA,#471014399,Bose,Auxiliar,NA,Parlante Portátil Bluetooth Bose Soundlink Revolve,NA,NA,Activo,NA
18, Parlante Bluetooth Harman Kardon Onyx Studio 4 ,114.99,129.990,360,98,6,19.165,NA,Envío gratis a todo el país,NA,NA,4.9,48,https://perfil.mercadolibre.cl/ONLINECLUB,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=HufFjE0krKQcLOnj53veYvl6Hw3Uj%2Bf4x8c%2BsA9cuSbpwQFfRg88PWN0Q%2B6%2FY6lZg1dJy5KjJrVZfo8maIJS8U4U%2Fvrs25ey60npxc5d7N2pC%2BoZLnADSv9O6VJhHIz92xk1KCd4RCdx6k0%2FHQJZPQtLrtdX3z2JNEtNTDwp76FtSSTQMgnjSqVq%2Fs1S7RMa%2BjbBO%2BZGM6dP1NyIE2vkP5wllOHXGRvovZQLsawwebI5hrbP8l95FQekKGxoudLFrV9KJlB2NoOi1pLfTUQrbXI6r7U7BWTI57nsP37WUeM82H2SlEoKhgb%2Fwyt6iuwEv2EdCYqKMmsSNgU01MVrKBNa5PzQp9%2FoAV8w3QtGnRSghci0S9SJQKKWeLUj6Y2P3zULFgf2GWbvP9dHJMFZonxAXhuZZyh89g4M01upxQzLSqtfh%2FZq8hD%2BVO%2F214YZAELwLNvNjB6zszBxNch26PJRg30VCZ3myrf%2B1AulMiK1SI8GDadbgJpDXQlaVMo9nTrqGaqD0DrmGkkW0%2Fwt8NKtRQ2zRujDYpsS%2BM08TAcBzAhs6JKB6tzH5HoJc1j%2B5KE9A%2BnTla2pI%2Bwp1SGRx7Ob6lI6oyL9pJFOVtUsC1Hry%2FjFm7EyMMg6hHEWZX7mv4jzxEBgmyzBpkhE%2FWysGGRHY8gwRUNpJsqDUYCW64ElPavBh9dz8ZE8MugpA1YmVmsOgiobSVBAPGlTTV9wQtJ%2FpQvoceLEgptkcftjvX89Dwx3jSDTCLgxu9UrDw0IEvhNhd%2F4tSfXw6hzkXlqiQQ8blSBJVvlk%2Fjyqwk9%2BvGW3%2Bb44a0zLu3nii0M3Mp3UuG4wLcO6jPpEk98ciWdlZH6EjpOHiGvyAqdB%2BhE%2F3CFKjzRqbxaRd6N3HIQ93ZGakEz7j7Fe9Fy00uf75slIpDJ3kWtaqV2znaGd75cyk9Yn5CftR8OkBR3y51yXeNfk9JLFd643kML%2F5oiwlLCtZuKIvX5s63jacPm5nUObKvOiEWDwiBsnovhEqo2F%2BtfIMldQiQ%2FmgY9lMuAkDI125pn1R%2FPK%2FVlC%2F5MfMbHYnqzclcmvzDnOKYZVUEGQPK8gXFW3W5Ilmk%2BaaTaH5bL7Wt%2BM%2BUcEHlQjnRBjYjsEaPdDNX%2BIXI%2ByvpZN0tONWnruyCI3a6TyiwMUjxzsNPMXaoXRWdLvNWKcvGRCf7vDa9vp08vCshwyCKkkw7vwSNlCUkpfnLKx%2BlUcTTJHF9NZhFtZ4o41ul7zUHQGv%2FfxwNWsbQ21HKXe90gsFQyWTcWlhUYeyPezvpYtn08JKTctddrf10Re276HXUEPIQp764fLcKKnAIZqb4XM9XBFG9LU2npSXovl4EBxbbX8JWADELnWKAYt2v6FH5cWnHKkK%2BRRWa7PNnsPVl%2FzUg816bdXcnW6A39Og7gz9kGxmcQnW0TRr6naNx%2FLJ1mRyvdlOp8TQYpEa8QZJNceC%2ByAWKqJFCwuWCN2QDx0KpjeDMAjXXZ2BrjXgnaS05m062Hpo0DNAzYdwYpGMgzCHqcqNnn7hcMts8Adz0bBvYyNA5FSpr4xS4%3D,46,1,1,0,0,#448975270,Harman Kardon,NA,NA,Onyx Studio 4,60 W,NA,Activo,NA
19, Lampara Luna Y Parlante Bluetooth 15cm 2 Colores Recargable ,12.99,24.990,468,42,6,2.165,NA,Envío a todo el país,NA,NA,4.6,37,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-463306191-lampara-luna-y-parlante-bluetooth-15cm-2-colores-recargable-_JM,28,7,0,1,1,#463306191,Importado,NA,NA,Lampara Luna,NA,NA,NA,NA
20, Parlante Bluetooth Bose Home Speaker 300 ,219.99,NA,3,2,12,18.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-500569383-parlante-bluetooth-bose-home-speaker-300-_JM,NA,NA,NA,NA,NA,#500569383,Bose,NA,NA,HS300S,NA,NA,NA,NA
21, Amazon Echo Dot 3 Parlante Inteligente Alexa Español ,31.99,64.990,56,995,6,5.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-484950082-amazon-echo-dot-3-parlante-inteligente-alexa-espanol-_JM,NA,NA,NA,NA,NA,#484950082,Amazon,NA,NA,NA,NA,NA,NA,NA
22, Pendrive Receptor Transmisor Bluetooth Usb Parlantes Auto ,3.99,NA,1245,58,6,665,NA,Envío a todo el país,NA,NA,3.5,51,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-435146526-pendrive-receptor-transmisor-bluetooth-usb-parlantes-auto-_JM,24,6,3,6,12,#435146526,Importado,NA,NA,Pendrive,NA,NA,NA,NA
23, Parlante Bluetooth Harman Kardon Aura Studio 2 ,139.99,249.990,63,5,6,23.332,NA,Envío gratis a todo el país,NA,NA,5,4,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-451893220-parlante-bluetooth-harman-kardon-aura-studio-2-_JM,3,0,0,0,0,#451893220,Harman Kardon,NA,NA,Aura Studio 2,NA,"1.5 """,Activo,NA
24, Parlante Bluetooth Portatil Excelente Sonido Usb Mini ,9.99,NA,50,75,12,832,NA,Envío a todo el país,NA,NA,3.7,3,https://perfil.mercadolibre.cl/MULTISHOPVIRTUAL23,https://articulo.mercadolibre.cl/MLC-492465137-parlante-bluetooth-portatil-excelente-sonido-usb-mini-_JM,1,1,0,1,0,#492465137,charge,NA,130 g,mini,3 W,NA,Activo,NA
25, Parlante Mini Bluetooth Portatil Baño Ducha Resistente Agua ,4.98,NA,12,23,12,415,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/HDFACTORY,https://articulo.mercadolibre.cl/MLC-489698904-parlante-mini-bluetooth-portatil-bano-ducha-resistente-agua-_JM,NA,NA,NA,NA,NA,#489698904,NA,NA,NA,NA,NA,NA,NA,NA
26, Sony Parlante Portátil Extra Bass Con Bluetooth Xb41 Azul ,129.99,149.990,108,32,6,21.665,NA,Envío gratis a todo el país,NA,NA,5,6,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-463377316-sony-parlante-portatil-extra-bass-con-bluetooth-xb41-azul-_JM,6,0,0,0,0,#463377316,Sony,USB,1500 g,NA,NA,"1 """,NA,Azul
27, Parlante Caja Acústica 15 Eon615 Jbl - Envío Gratis ,320,400.000,12,NA,6,53.333,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ARTECNOINSTRUMENTOS,https://articulo.mercadolibre.cl/MLC-487386671-parlante-caja-acustica-15-eon615-jbl-envio-gratis-_JM,NA,NA,NA,NA,NA,#487386671,JBL,NA,NA,EON615,NA,NA,NA,NA
28, Parlante Bluetooth Outdoor Powerbass3 10w Ipx6 Njoytech ,24.99,NA,121,79,12,2.082,NA,Envío gratis a todo el país,NA,NA,4.7,10,https://perfil.mercadolibre.cl/NJOYTECH+CHILE,https://articulo.mercadolibre.cl/MLC-464586508-parlante-bluetooth-outdoor-powerbass3-10w-ipx6-njoytech-_JM,8,1,1,0,0,#464586508,NA,NA,287 g,NA,10 W,NA,NA,NA
29, Parlante Bt Tower Sound Bar Living Room Microlab / Musicarro ,49.99,NA,5,2,6,8.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MUSICARROLIMITADA,https://articulo.mercadolibre.cl/MLC-491647433-parlante-bt-tower-sound-bar-living-room-microlab-musicarro-_JM,NA,NA,NA,NA,NA,#491647433,Microlab,NA,NA,NA,NA,NA,NA,NA
30, Jbl Flip 4 Gris Parlante Portátil Bluetooth Inalámbrico ,59.99,79.990,29,3,6,9.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-492270992-jbl-flip-4-gris-parlante-portatil-bluetooth-inalambrico-_JM,NA,NA,NA,NA,NA,#492270992,JBL,NA,515 g,JBL Flip 4 Gris Parlante Bluetooth Waterproof,16 W,NA,No aplica,NA
31, Parlante Jbl Go2 Nuevo Elige Tu Color Paga En 6cuotas ,24.59,NA,84,3,6,4.098,NA,Envío gratis a todo el país,NA,NA,4.7,55,https://perfil.mercadolibre.cl/VIJAYBHOJ,https://articulo.mercadolibre.cl/MLC-488142891-parlante-jbl-go2-nuevo-elige-tu-color-paga-en-6cuotas-_JM,45,7,1,2,0,#488142891,JBL,NA,184 g,GO 2,3 W,NA,Activo,NA
32, Parlante Portátil Jbl Boombox Bluetooth 20.000mah Original ,329.99,449.990,8,97,12,27.499,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-488716694-parlante-portatil-jbl-boombox-bluetooth-20000mah-original-_JM,1,0,0,0,0,#488716694,JBL,NA,5.25 kg,Boombox,NA,NA,Activo,NA
33, Parlante Soundbar Aiwa Bluetooth Sb-002l - Prophone ,37.99,NA,16,915,6,6.332,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-462029223-parlante-soundbar-aiwa-bluetooth-sb-002l-prophone-_JM,1,0,0,0,0,#462029223,Aiwa,NA,NA,NA,NA,NA,NA,NA
34, Parlante True Wireless Soundcore Motion B ,39.99,NA,313,3,6,6.665,NA,Envío gratis a todo el país,NA,NA,5,22,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://articulo.mercadolibre.cl/MLC-467283866-parlante-true-wireless-soundcore-motion-b-_JM,21,1,0,0,0,#467283866,Anker,NA,400 g,NA,NA,NA,NA,NA
35, Parlante Bluetooth Harman Kardon Aura Studio 2 ,139.99,249.990,63,5,6,23.332,NA,Envío gratis a todo el país,NA,NA,5,4,https://perfil.mercadolibre.cl/ONLINECLUB,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=QfMzLJKxF93FnQA%2FhVKiXkMIXIsDcc7ohHf%2FJSp6%2FmPLJkgBKcZj1uREhFKrHpMKY45E1DtbdwhCTmmN8l%2BSuV%2BC6nEW2I8cH%2BZQ8TK8s8IclgH0lHB0%2BIlwyAEP4jcd8BCl4cJnD7mJxpENTRA%2B2UyJVXka2ZHiF3wNKjli7rsOmwS%2F7Pq1wK0LPs2YjSOYltapCe1XT8L6myhqRUuTCMftRNx%2BLgEUp%2Bv0fclqzgW%2BRV08PrMMBwIz2pd%2FyaKi5Vr3qhb2QDDQU089ZSkwrGcxyKml9CdQVOLooxRgoqFtagXfM%2BpjFGW0eIL6OEBd%2B9rM8mZsZAaOZbZu9%2FHxlY2wQsJW9xKoFa3rg39CZbS0D4ZKNPNdLZ2pZUC7ueyIUs0s%2FYm6SMmow9GRRAI2%2FFgIUvsW%2BGgBqNYNju3k2a1ohneUnmUIm1WHwsujvbKWy2uT4xaUoXfU9Q2AMhOV0XSTUv91ZOvhuMFl6gRcHftZft1Wf7F550Q9p4n%2FnvZ83F2rCEa%2FSAWWIJjCGfXtIlSfDky%2B%2Fd%2B5V3%2BEP%2BfwUSL0nLfwOdmgpd%2BMJxhWo4YWZnLf0xmOzMTi2EQ9Y7oPIF3iqUMHaI9e3ohe0V0%2BxiOraAXMAe%2Fmrtt2vOuSFripgMQgQagejcd2a6FyQ3QyBGCiMcAIBLdtTOP3fBZ%2FbepWZ1pRC5y4MtTE73BcaNtOM8lWMFRGbuNrJkL1mhNHCkeDIpQCIPiSPn19SfA5YhoVPkH6GrUUYj%2B9irs17IlBuVvzFHQAOZIbpeQl7gbwEvld8gG2DI3V2FFgwYI0PQFSO4yDtA3K6A9CcslGOsuPcjRf08Ke7LAqpIYv5pG1PgTx1RMIiCWomMI0PzEgGz67r9vLAH6Wp0B7D3WRT86Ssc6v7OxGIzRCy5wPdIv4eKVBvya%2BSVV7xy%2B8ptH9iFU1G5tC08hqg3DkdCN6Ek%2FXuYErvMVpQlmVYNcmS4BvXk6cLRp6rcgBRDema9s3S6PeJ1vihyDy%2FA%2FzMBHrxOMcN0SurS4EUUaJ6ivCrcj6DKGuv3LHsFtxhW7fbO7PTM1Ed%2BikOGRjlutHwzrzSQx3wHMjByFkrPNY7Y0xqBth52szWnQdY%2BbHKOVpk2OvbJ4k%2FHy2Dwjos%2B0O20WGVa9svu74rDoCUQ8pq80XsS%2B%2B5iN0aF3Jk%2FNApHeOtkmaGZH1ccN4TGEv0gKj4z5kZnYgnTI4b2CQ9pwOQLy1aWnBF%2F6Kvo4Her4C7EjZMJyrapbJ5RVFDuYaV4hBeOU1FbbiHAcLpAajFQzkEt8llXuqpUxwbhj6UgsouoMPSDCi5t89mOSNnd6Shu5hdrPhxiQd0fHV%2Fo1cOZqz5E98Lu6hUvSPztyClq0GUUR2QT6L4Ws4JjJmbQ%2BrAnXXqsYCjEemMqjpeW4hn8eroMhzqC730hIMag8Nl5WeoHQ%2BY85Bp%2FuhwcnAHexaygiClhL8J3uyNBmxEC3bOFDMyxkZT0E4Wh4kjhjzuTURGpQlIfWRSs4khw%2FsRUjWyqH0z%2FSRA64oZHNaELvFnL3ImGFX3AHPlujx61s%3D,3,0,0,0,0,#451893220,Harman Kardon,NA,NA,Aura Studio 2,NA,"1.5 """,Activo,NA
36, Parlante Radio Reloj Bluetooth Lampara Master G ,15.997,NA,42,3,12,1.333,NA,Envío a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/ANDRESGOAHEAD,https://articulo.mercadolibre.cl/MLC-475071355-parlante-radio-reloj-bluetooth-lampara-master-g-_JM,2,0,0,0,0,#475071355,Master-G,NA,537 g,MGCLOCKBT,5 W,NA,NA,NA
37, Ampolleta Parlante Led Con Bluetooth ,4.999,NA,82,69,6,833,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-447753891-ampolleta-parlante-led-con-bluetooth-_JM,NA,NA,NA,NA,NA,#447753891,NA,NA,NA,NA,NA,NA,NA,NA
38, Microfono Karaoke Inalambrico Bluetooth Parlante Ml2784 ,6.99,NA,34,72,6,1.165,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/IMPORTADORATECNOPRO,https://articulo.mercadolibre.cl/MLC-457618028-microfono-karaoke-inalambrico-bluetooth-parlante-ml2784-_JM,NA,NA,NA,NA,NA,#457618028,NA,NA,NA,NA,NA,NA,NA,NA
39, Parlante Soundbar Subwoofer Aiwa Bluetooth Sb-006 - Prophone ,52.99,NA,17,914,6,8.832,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-462029241-parlante-soundbar-subwoofer-aiwa-bluetooth-sb-006-prophone-_JM,NA,NA,NA,NA,NA,#462029241,Aiwa,NA,NA,NA,NA,NA,NA,NA
40, Parlante Portátil Extra Bass Xb41 Con Bluetooth ,129.99,149.990,26,28,6,21.665,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-491022134-parlante-portatil-extra-bass-xb41-con-bluetooth-_JM,2,0,0,0,0,#491022134,NA,NA,NA,NA,NA,NA,NA,NA
41, Bose Soundbar 500 ,479.99,NA,7,5,12,39.999,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-473710605-bose-soundbar-500-_JM,NA,NA,NA,NA,NA,#473710605,Bose,NA,NA,Bose Soundbar 500,NA,NA,NA,NA
42, Parlante Portátil Bluetooth Bose Soundlink Revolve+ ,299.99,NA,15,6,12,24.999,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472174702-parlante-portatil-bluetooth-bose-soundlink-revolve-_JM,2,0,0,0,0,#472174702,Bose,Auxiliar,NA,Parlante Portátil Bluetooth Bose Soundlink Revolve+,NA,NA,NA,NA
43, Parlante Bluetooth Mic Manos Libres Impermeable Ducha 4 Colo ,3.25,NA,54,5,12,271,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIAMISTORE2014,https://articulo.mercadolibre.cl/MLC-433763402-parlante-bluetooth-mic-manos-libres-impermeable-ducha-4-colo-_JM,NA,NA,NA,NA,NA,#433763402,NA,NA,NA,NA,NA,NA,NA,NA
