search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso
11, Capacete Sm Moto Automatico Marino Pro Tork Motoboy ,60,NA,"
			
				Novo
			
			
				
					 - 
				
				2785
				vendidos
			
		",(39 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1552,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-939522798-capacete-sm-moto-automatico-marino-pro-tork-motoboy-_JM?searchVariation=25199373283,963,335,149,56,49,#939522798,"Preto-fosco,Amarelo,Azul,Branco,Branco Flor,Prata,Preto,Preto-fosco,Preto/Cinza,Preto/Rosa,Preto/Verde,Preto/Vermelho,Rosa,Vermelho","56,58,60",Pro Tork,sm 788,Sport Moto,Integral,NA,NA,ABS,NA,NA,NA
12, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Prata ,98,NA,"
			
			
				
				680
				vendidos
			
		",(1459 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 824
		
		 sem juros
		
	

	
		",24,NA,Envio para todo o país,NA,NA,4.4,2103,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-1108201423-capacete-moto-fechado-r8-viseira-fum-pro-tork-prata-_JM?searchVariation=35910915051,1397,396,180,62,68,#1108201423,"Prata,Amarelo,Azul,Azul-claro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,NA,NA,NA,NA,NA
13, Capacete Sport Moto 788 Automatico Pro Tork San Marino ,75,NA,"
			
				Novo
			
			
				
					 - 
				
				1900
				vendidos
			
		",(15 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 717
		
		 sem juros
		
	

	
		",17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,44,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1052195678-capacete-sport-moto-788-automatico-pro-tork-san-marino-_JM?searchVariation=24813044366,30,5,6,1,2,#1052195678,Azul,"56,58,60",Pro Tork,CAPACETE,Sport Moto 788,Integral,NA,NA,ABS,NA,NA,1.04 g
14, Capacete Street Sport Moto For Girls Pro Tork Feminino ,75,NA,"
			
				Novo
			
			
				
					 - 
				
				887
				vendidos
			
		",(35 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 717
		
		 sem juros
		
	

	
		",17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1552,https://perfil.mercadolivre.com.br/VEGASMIX,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=aDjbvM7F0kTZExzw%2Fd1SqlSmu2EeC%2BnYipKRXcEbqkj5yCTHYjQ6ag9JmCZyvvbopwbgsDOdGUCejd6YBTJonzapt5WvzRuXYJIAdgeIWVY6la6LohHgIs4ogipuvqZTV7%2FxCXXN366PKE0iEOxxYA1SySC7qKM3t%2FkyXq%2F7SHJBrGOz75%2BlI33uOubrSbEBgEfXQiMcVRLk2drz6N7ibj3NZCEpXtdf0hPQnxArPgVZ94Xqc2FdnsysQNDwRO9jdUqzBjLyHS0ilqcxAlkUpZ01BmOm9jwyVXPjqod9w5cIIUpWWRoDIzCrnPCSlb9AMiWgvcJKzsQIyZJSHwYGRzwcvSdgPYVAR6g8HYxt%2Fc5sM%2Fa%2BrGarXGQ%2BdwNooAvVBcnPm3rmdOhvlT09rf7GLO1chVTqzGm06I0F7EfocMqvbZ7W8aQ12a6cIK6aAnjFLcavwqgjBCMmMX%2BiNVJeNVosiHrIZRex4aqWw2JYrl1t5m8r7bju%2FPw%2F18ajrqVKZ7FLONnqtfpWVmJ9go5tLLDdtDw12b%2Bn1SB%2Bozba%2B7ugiZzdgP7nSchb2oYGL4peextb5qxFvcK5GQnk9lJgzotc2PD8677BjzIXigBx2odcJbKFCIJOs60y2h%2BKANjsRbcLStWd1TNdvqVuEaxvhVbfq4ReuCpNYrGzd0a618znmHfMmCiJVm83%2B%2F%2F4iHOIa6xANw5Wr7MVDh8vnzzWVC%2Bb8Xr7eOa1vbeLqPqeHnoN7b1nI3y%2FgLbBA8NWwK3kSmjsG4%2FtGVl31%2BlqiMHUVAmDm2ShXzrRd1xTiTnWRrqXkV4AF%2FpuOtM6EnR2Xx66Q4x8rXmrQFkFD%2B2q9JgzVVRcnIW%2BAQbsYGLgmFHCHQueay4EmmL4E%2FuhbYS8CXnUYtTOHYgZPQvOaS1CwVP%2BHW0y%2BgyT3ql4gvG2ctL3o7GDycwXQehdXSHqvIGKq17q2sxu8AIPocaL0B2dIx6hcqVZyLj7Aczw7MjPjf6RUqMf6pTF%2FssCuQgSeWe6HzYiKeGcYqOrG4ZsshgN0szkSAwLNDnNtfAFRGGDGgLoKl4Q8KWu%2Bo0%2B6SDZd8v5MkeKJ4Jz0V3uBmHqxUJ9BK%2BuLvtTI9ryWq6yPx%2FxDb%2FqUHjNqISPae57lC6FQhN7aXYo7sLrPNSAPX44AbFUXb40evDyOjltFiVPs8yjqKpThZUd7UrGwoAVLecFFO0yG7ZIx%2Fzyiws1w3fRF0ISQ1qt1dMlYPW9BwLmb9WgYyPtqBY6JYeLSTk22VFPa%2B6WHGH%2B2Wg6Ru2W8TXb7DmgVl5OOLMRlSxahUdpsrYcH7kumihGf5cqhIoJqk1lWG5aKaxYsRfPbKv3vsoEfm3Cq1tdvbL%2FyvKDWdFUr87eLKLgQ0zTWuY2bO%2Fymkfp%2F57iC8nkY0TXuDKBYGtz5k4YBhleWn4kaGB3DlXG1nuQ%2FIMi4AZ0tCiCj3ppfOWtC1exv7btf2ilWZBj5IuYIQAHKZX4ux1TDpcWMCZwouVA6SU3T4KyPpGbzRplYjyonOpRm82SPJOvJtOvtLsNrJCO4kMLJbHeNVlozocrtva5AGq0aAYJk6qmZmV%2FSRKQgv2pY0Glm8jZSEaGuPQasv6l%2FshqzxXlQfIBcrCbgK3Qhvid8hJJW0HsXJ4YCFWr%2BRaSqqVCVa9JHExX%2FlJeW%2Fs0FYkKgCATLIUtdiyQjUX0HyiVsu8n8g1R3AyvaBbPccdxzc9YfyhVjs0ld0vyJwDslU6hu2RT9HSKHaaWQIuHNNgoTmubptWF5US%2FpVkc5fkAF0lT8ilagjy7yDWsoFJj3y5ckgI2QvTe0XVH7DZfWqoX%2BzaDqMV6pR%2BVFj7zAYHDVQtuWa9rKL2i%2Bh4WAjXR3P84wVO57nQlcY8qy1vGnGM%3D,963,335,149,56,49,#1051226842,Preto,"56,58,60",Pro Tork,CAPACETE,Sport Moto,Integral,NA,NA,ABS,NA,NA,NA
15, Capacete Moto Fechado Protork R8 +viseira Fume+ #balaclava ,132,NA,"
			
				Novo
			
			
				
					 - 
				
				1115
				vendidos
			
		",(1286 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1271
		
		 sem juros
		
	

	
		",71,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2103,https://perfil.mercadolivre.com.br/PISTAMOTO,https://produto.mercadolivre.com.br/MLB-1077714424-capacete-moto-fechado-protork-r8-viseira-fume-balaclava-_JM?searchVariation=26160059577,1397,396,180,62,68,#1077714424,"Vermelho,Amarelo,Azul-claro,Azul-escuro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,R8,Integral,NA,NA,NA,NA,NA,1200 g
16, Capacete Pro Tork Fechado Automatico Sport Moto 788 ,57,NA,"
			
			
				
				619
				vendidos
			
		",(2567 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 648
		
		 sem juros
		
	

	
		",48,NA,Envio para todo o país,NA,NA,4.4,800,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-836775816-capacete-pro-tork-fechado-automatico-sport-moto-788-_JM?searchVariation=15907429717,480,189,90,22,19,#836775816,"Laranja,Amarelo,Azul,Branco,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,Sport Moto 788,Integral,NA,NA,ABS,NA,NA,NA
17, Capacete Moto Pro Tork R8 Fechado ,104,NA,"
			
			
				
				4736
				vendidos
			
		",(1621 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 867
		
		 sem juros
		
	

	
		",67,NA,Envio para todo o país,NA,NA,4.4,2103,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-781215610-capacete-moto-pro-tork-r8-fechado-_JM?searchVariation=17279219016,1397,396,180,62,68,#781215610,"Verde,Amarelo,Azul,Azul-claro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,R8,Integral,NA,NA,ABS,NA,NA,NA
18, Capacete Moto P/ Mulher Fechado Rosa Com Viseira Espelhada ,129,NA,"
			
				Novo
			
			
				
					 - 
				
				664
				vendidos
			
		",(179 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1082
		
		 sem juros
		
	

	
		",82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2103,https://perfil.mercadolivre.com.br/RACE+ACTION,https://produto.mercadolivre.com.br/MLB-1119741753-capacete-moto-p-mulher-fechado-rosa-com-viseira-espelhada-_JM,1397,396,180,62,68,#1119741753,Viseira Cromada,"56,58,60",Pro Tork,R8,R8,Integral,Simple,EPS,ABS,Adultos,Unissex,NA
19, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,55,NA,"
			
				Novo
			
			
				
					 - 
				
				578
				vendidos
			
		",(88 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 625
		
		 sem juros
		
	

	
		",25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1578,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1190902717-capacete-moto-aberto-pro-tork-new-liberty-3-three-_JM?searchVariation=37973983683,1166,277,100,15,19,#1190902717,Preto,"56,58,60",Pro Tork,NA,New Liberty Three,Aberto com Viseira,NA,NA,NA,NA,NA,NA
20, Capacete Moto Axxis By Mt Skull Caveira Preto Fosco ,399,NA,"
			
				Novo
			
			
				
					 - 
				
				201
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,19,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=BWJOWGYcyBldV13tIUm3Iv2t8ZV0NG4wq7ZOBi2DtxTWZWwGswQKkxke8mGL2ckeQZzj7Nx9ar%2FiuHchzwr6udzWGD0Ibqy5PjbORhTcurYgfa8EolB7g6QS72EG9H8ZAVi3v2lbn6eoKo1HcKUUsu6I%2B%2BFtPRX3qWRDb410yEs6PnvnY1NH7VqYfEsC5ukhotmwGLHLiuoPbl2agxAWqzjrl9CxzMvZZVtoxEZp5bNIGl4u1lB5Rh0lE1YoGmqnltXML362RmD%2BmWcHG0AD%2FRcPNrm7OCkaEb29XyxLWkCxJGXnFF2uIQgUv0dXqT3xD4%2FRdfXOdhgo66tdi%2FBaWBUqougwl6lzpmk%2BWLyBQe6qtqyiilbVCIdPgEs9w366Xcj95vIJBalNSYa%2BzGkQLrxyoJoM7enTWVkNvSwlrFNpbmp6DshUB3cBNr8XoUNtEF1Y8P9t8Cf3G9%2Be%2FurWVZg7N7BfefPbOXWZ%2FIxs4MN%2FOsFI1zBjsVwf78yoEXXN44vnABE%2F4mwMn%2F2V3%2B32tMeyMxFcpmhGfwgBU37u1w%2F%2B9NZa%2BLUDHsK8%2FZ%2FLFyadBb%2BNFT2CTAGgNe%2B01EThEteqpIv5tAw9km6XCPqz9MiAW2PyiJMY2S5Gax2XWP8h6k%2FFRb%2F53RHgc9iRDo2CesVPl2bmN%2F3Dg%2B8hETAjM9nOLmj8yI7h82MuorEfklQgXUmOsYxx%2Bwvf2bEeHqE8v2riMOgbQW7cTgOxMip4hwrCeaMg0WG%2F6kb8GqaFWdSYWUqsx2aMa1tCVIHbDzTTGLfAZaFehPakoGoFEjB0kkFZ1xljwqsTZKi533jCquc6cx4jEVig9Yv9AgMqqtOXHbXi745Jkwk8yevvI2005nxLs6TyFKFKfzpc1FEEBRP%2BtFbpuZx33%2Bf3gBoqE2IvRh5qk58UjnhkkOV7Sp1b8aypBTW%2BhEuOIfAj2Xm8Q5N8ttgNqsrf93hvFrmRj5sGAxiYc5z1qT%2BdaLFHd63DT%2F%2B%2B8MFn9Ni5KRHMWk9xtJ4C9vBLHict2q5RTBlBAEx%2Fo%2FqEEmU5K%2F%2FEdeoI49%2BsYlF92ttXZn5GW64dxp7yVbOcVWIq7SZesGURJqEJvVguZGPZVDAzUrDwS9MuBBb7CyMjN4Q4G05T%2FAEjGDD60h6wBkgD%2F1QRficHrotcq6XylYyWdOWoIwiwJwnZsvBNe0afKwVHfkCl37ZcElpJppiNWOdQ7HquDIraGYgORp%2BXr7xj5OQ66LsIBDZO%2FK4KpmEoAuT6fS2OV6sO3d8EKntEsO2J7Cx91X92sOvUhYNHMqeEtVXwB8CMF78rid6gzVtsoo39c%2BhSZd63N78i6V5sfeoZBwCGmDP2IFxn8pcokc9gfb01wZTX%2FdW6%2BHuSjZ0mdez6JHAuZq5Se2Egfce8SEf%2B47TDvZC3LbsdoPopsMsfnN%2FxmHf%2BnZ%2Bhz6HYJPIDbaKWPfLI2BMP9GA3O2%2FmCGWDvsJrWbor7%2Faan3V3rtvJS%2F0xcAdXLlXmynLfrVo0SeAa2LigLcd%2Byb6Brd3ssjj5pjhlOSQt2Sh2%2FYau%2Fs%2FNkkN0M0j0kpW6XjYyEREw%2Fizp1FEUeOAuS4ZXberKdZx4YJUxNlnsza126dp1nwaZtZHhssDJePOoMmRNkP3HLYQS%2BOpscoZ%2BIwMTq0zBxLAiM9cbic3Wetca2JBxXYeZxz9In2IFobUohG3sGb3YdpGj8pkrSzSG%2FmjllFk%2F6SrFQUbJmsaz7hNy4w8NEGlCFIQNSTuNioeI0q6%2FZyOrOqhQ2LEKYTqE1X85IfVFGQMf3wAl4YOHcXlifErQAfnjMiBrsPsXHA%2B9jATT6gMcSU9crQdSob%2BozhqCqBjL27f6lsBHPejquvv5BMt1LZMWPVJ1FhqL,16,2,1,0,0,#702919658,Preto - Skull Fosco,"56,60,62",Axxis,Axxis,Eagle,Integral,Simple,NA,ABS,Adultos,Unissex,1430 g
21, Capacete Street Sport Moto For Girls Pro Tork Feminino ,75,NA,"
			
				Novo
			
			
				
					 - 
				
				887
				vendidos
			
		",(35 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 717
		
		 sem juros
		
	

	
		",17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1552,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1051226842-capacete-street-sport-moto-for-girls-pro-tork-feminino-_JM?searchVariation=24768784773,963,335,149,56,49,#1051226842,Preto,"56,58,60",Pro Tork,CAPACETE,Sport Moto,Integral,NA,NA,ABS,NA,NA,NA
22, Capacete Moto Pro Tork Evolution G4 Las Vegas + Viseira Extr ,154,NA,"
			
				Novo
			
			
				
					 - 
				
				723
				vendidos
			
		",(2412 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1292
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,321,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-984292838-capacete-moto-pro-tork-evolution-g4-las-vegas-viseira-extr-_JM?searchVariation=21128485402,251,48,14,2,6,#984292838,Branco,"56,58,60",Pro Tork,Masculino,Evolution las Vegas,Integral,NA,NA,ABS,NA,NA,NA
